fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	7917	0.0
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2131464	0.0
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1160237	0.0
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	518956	0.0
fam1571	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1901780	0.0
fam3872	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	297964	0.0
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	257479	0.0
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1244401	0.0
fam3479	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	791869	0.0
fam3276	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1033554	0.0
fam1720	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2058097	0.0
fam1499	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1813968	0.0
fam2659	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1777398	0.0
fam3994	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	146820	0.0
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1238548	0.0
fam3345	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	946718	0.0
fam4095	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	34192	0.0
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	826243	0.0
fam875	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1042864	0.0
fam4190	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	76722	0.0
fam1483	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1796590	0.0
fam1781	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2128279	0.0
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	554319	0.0
fam1195	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1424815	0.0
fam3726	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	446446	0.0
fam4141	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	26939	0.0
fam3379	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	909833	0.0
fam1928	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2301679	0.0
fam3111	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1212618	0.0
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	198309	0.0
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	799665	0.0
fam4153	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	37132	0.0
fam3894	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	274543	0.0
fam2317	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2175411	0.0
fam1988	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2366769	0.0
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	381746	0.0
fam2943	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1406440	0.0
fam1040	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1247909	0.0
fam3456	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	819219	0.0
fam1786	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2133127	0.0
fam3641	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	605420	0.0
fam3986	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	160250	0.0
fam443	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	571908	0.0
fam3198	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1117397	0.0
fam3286	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1022409	0.0
fam3216	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1101234	0.0
fam355	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	477181	0.0
fam3280	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1029897	0.0
fam1784	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2130763	0.0
fam3247	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1069472	0.0
fam2761	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1631833	0.0
fam3314	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	981267	0.0
fam2375	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2107435	0.0
fam2090	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2461192	0.0
fam2139	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2400624	0.0
fam2305	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2191747	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	651448	0.0
fam1093	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1307422	0.0
fam2823	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1562460	0.0
fam2025	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2409037	0.0
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	977459	0.0
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	435248	0.0
fam594	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	732891	0.0
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	467314	0.0
fam643	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	783025	0.0
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	152134	0.0
fam1679	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2014306	0.0
fam922	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1113494	0.0
fam494	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	624387	0.0
fam2091	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2460524	0.0
fam2999	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1340217	0.0
fam2732	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1672310	0.0
fam1358	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1620164	0.0
fam2664	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1774012	0.0
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	792270	0.0
fam3550	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	711649	0.0
fam870	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1036866	0.0
fam910	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1099929	0.0
fam150	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	251849	0.0
fam508	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	636733	0.0
fam155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	255940	0.0
fam179	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	279278	0.0
fam2642	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1796954	0.0
fam885	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1066427	0.0
fam2735	0.06475225225225224	0.06475225225225224	0.0	0.003833333333333333	0.0	0.005421151989096865	0.0592	0.0	0.08372144289248723	1667977	0.013479465860418241
fam2021	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2403579	0.0
fam3801	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	382836	0.0
fam1934	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2309624	0.0
fam3438	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	840037	0.0
fam119	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	220091	0.0
fam1001	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1203189	0.0
fam2143	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2395824	0.0
fam43	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	128526	0.0
fam3658	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	588708	0.0
fam2822	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1562904	0.0
fam1364	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1627406	0.0
fam1587	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1919021	0.0
fam2024	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2408031	0.0
fam2161	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2371681	0.0
fam174	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	275111	0.0
fam2772	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1617640	0.0
fam1446	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1758034	0.0
fam1143	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1373183	0.0
fam3496	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	772528	0.0
fam2627	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1815028	0.0
fam933	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1127238	0.0
fam2904	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1454424	0.0
fam3016	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1319584	0.0
fam3704	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	474631	0.0
fam3718	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	452962	0.0
fam839	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1004763	0.0
fam1534	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1854785	0.0
fam2304	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2192015	0.0
fam1447	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1758804	0.0
