fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.07791587153662295	0.08675078864353312	0.06305416873807836	0.003142857142857143	0.0055	0.0027217941261796644	0.033171428571428574	0.0371	0.018911325476880698	1900920	0.012127697520955948
fam966	0.008772451265849876	0.0	0.013343122885796857	0.00042857142857142855	0.0	0.0006776309271789385	0.04254761904761904	0.0475	0.01938506098956516	1028697	0.011716989634970707
fam393	0.08658822801527803	0.08084358523725835	0.03861495327592099	0.0054428571428571425	0.0058	0.003030884112499414	0.06563333333333334	0.075	0.030204199224506036	419692	0.01886792452830189
fam1571	0.02856818265583745	0.0	0.04400762162476515	0.0006571428571428571	0.0	0.001039034088341039	0.01543809523809524	0.0168	0.00967389595967151	1672729	0.0037149611617696724
fam3872	0.2285216091667705	0.0	0.26387551890666167	0.004714285714285715	0.0	0.0049443845699450005	0.014228571428571429	0.0186	0.011427833309497468	33770	0.00793650793650794
fam158	0.016463458881040106	0.015918958031837918	0.008300090022999997	0.0011285714285714287	0.0011	0.0007560189322036453	0.06699047619047618	0.0691	0.028176026702245005	178580	0.015382729668443954
fam1037	0.011757803868775715	0.018743109151047408	0.011446911041814304	0.0008190476190476191	0.0	0.0008594677464897888	0.06233333333333334	0.0622	0.023880363188857622	1110365	0.01565642501315016
fam3479	0.005316612478377856	0.0	0.008056062248229435	0.00037142857142857143	0.0	0.0005872801368884133	0.06608095238095238	0.0768	0.028035226464262673	479308	0.015731713061089916
fam3276	0.10519895242104269	0.09106830122591944	0.05881671862450604	0.0061190476190476194	0.0069	0.003271466694170332	0.06822857142857143	0.0522	0.04415867646887747	707362	0.022850165707308565
fam1499	0.1357732798070189	0.13948497854077252	0.06735196535786109	0.005433333333333333	0.0065	0.0025653985735689965	0.04449523809523809	0.0497	0.018449609008387095	1599775	0.01526832955404384
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.0668857142857143	0.0565	0.03125115290390307	1101507	0.017777777777777774
fam3345	0.0	0.0	0.0	0.0	0.0	0.0	0.004047619047619047	0.0053	0.003251463999583813	624411	0.00124494242141301
fam1483	0.062101661782139696	0.056603773584905655	0.02967893546785132	0.0033571428571428576	0.0039	0.002023333277297739	0.05558571428571429	0.0638	0.021932934264301637	1585360	0.016283524904214558
fam1781	0.08247865743289792	0.05555555555555555	0.049259429245007744	0.004742857142857142	0.0033	0.002969619412615414	0.06489047619047619	0.0594	0.031154788743915515	1897979	0.02009820714856686
fam425	0.1355654717295739	0.11359223300970875	0.10819232053162023	0.010742857142857144	0.0115	0.005748090484472828	0.09882380952380952	0.1157	0.051685172459363965	452271	0.031746031746031744
fam1195	0.023532059284978396	0.013317191283292978	0.018305862080995532	0.0017619047619047612	0.0012	0.0013950511820193248	0.08186190476190476	0.0827	0.032512348953391855	1272548	0.022552255225522552
fam3379	0.02449660485793878	0.03773584905660377	0.019203631413385325	0.002142857142857143	0.0013	0.0018561535826673878	0.0848142857142857	0.0894	0.03424621335639461	584726	0.02120848339335734
fam1928	0.054870058181594676	0.06440677966101696	0.025733380058160157	0.004185714285714286	0.0043	0.002760139008625975	0.07213809523809524	0.081	0.027420768566049244	2056198	0.017824183937140747
fam3111	0.01780964916247544	0.028368794326241134	0.01742634126135515	0.0011238095238095237	0.0	0.0011791460840491074	0.05384761904761905	0.0533	0.023403899126664036	902702	0.01447487457850152
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.033914285714285716	0.0286	0.0223735874406852	115175	0.009177318911832186
fam657	0.007652230447948491	0.010130246020260492	0.0048801880352518446	0.0005333333333333333	0.0007	0.0004268749491621899	0.07232857142857142	0.0761	0.027642757474903374	697643	0.01793902746283699
fam3894	0.019715430546798345	0.031578947368421054	0.017241465947849904	0.0013333333333333333	0.002	0.0013213749452868201	0.06291904761904761	0.0643	0.024497533773784913	13391	0.016265382557517388
fam1496	0.034701335609956245	0.0	0.055368940583834694	0.0008571428571428572	0.0	0.0013552618543578772	0.032914285714285715	0.0329	0.017314768970153657	1596934	0.009276437847866418
fam2317	0.022261513500777978	0.01948051948051948	0.019897540837330467	0.0016095238095238094	0.0015	0.0014835301405783893	0.07558095238095239	0.0822	0.03156610024705706	1777886	0.019908528383104657
fam1988	0.05849275755184835	0.06410256410256411	0.029210173651454143	0.0020952380952380958	0.002	0.001268848818521355	0.03691428571428572	0.0404	0.013969023066849625	2126461	0.010356609011317533
fam265	0.037685391896185506	0.03814262023217247	0.011485958881587661	0.002195238095238095	0.0023	0.0009209085526577961	0.05860476190476191	0.0603	0.021627043832741236	302238	0.015440676919276138
fam2943	0.0	0.0	0.0	0.0	0.0	0.0	0.009261904761904763	0.0121	0.0061472778482276735	1083981	0.0024537995552488304
fam1040	0.034223550739950634	0.049937578027465665	0.024804130158779084	0.002276190476190477	0.0013	0.0019777102589815135	0.05436666666666666	0.068	0.027048023135814486	1114346	0.015550954681389466
fam3456	0.0	0.0	0.0	0.0	0.0	0.0	0.012723809523809523	0.0089	0.009826490182005584	500038	0.0037495313085864268
fam1786	0.11134485389390114	0.09323583180987204	0.11405224389370434	0.0024190476190476193	0.0	0.0025372686941480707	0.03053333333333334	0.0214	0.01793640441043308	1901300	0.011337868480725625
fam3641	0.0075365149040640565	0.007416563658838071	0.005244353401265394	0.0005285714285714285	0.0006	0.0004095791767666129	0.06753333333333333	0.0768	0.02549428196083217	296879	0.018006836936878084
fam443	0.010450287447226106	0.011185682326621925	0.011389409451820313	0.0005714285714285715	0.001	0.0005832118435198044	0.0635	0.0692	0.024280248684691766	473029	0.014635698377346483
fam3198	0.2231294091858077	0.22231833910034604	0.06521686943706678	0.02275238095238095	0.02	0.012080035440172667	0.10262380952380952	0.1076	0.04280595090763171	800490	0.044514848950332815
