fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	700600	0.0
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	149384	0.0
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	744638	0.0
fam1571	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	484573	0.0
fam158	0.0	0.0	0.0	0.0	0.0	0.0	0.000675	0.0	0.001169134295108992	971270	0.000178826895565093
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	73817	0.0
fam1720	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	634247	0.0
fam1499	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	401095	0.0
fam2659	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	126192	0.0
fam1031	nan	nan	nan	0.000225	0.0	0.00038971143170299746	0.0	0.0	0.0	80184	0.00015518311607697085
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	447226	0.0
fam875	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	253299	0.0
fam1483	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	389495	0.0
fam1781	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	696413	0.0
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	703654	0.0
fam1195	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	86076	0.0
fam1928	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	846757	0.0
fam3111	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	367268	0.0
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1034841	0.0
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	474807	0.0
fam1496	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	398519	0.0
fam2317	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	482057	0.0
fam1988	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	911839	0.0
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	870197	0.0
fam2943	0.0	0.0	0.0	0.0	0.0	0.0	0.003107142857142857	0.0058	0.0028925925804949948	191790	0.000888415067519545
fam1040	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	70549	0.0
fam1786	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	702014	0.0011398176291793312
fam443	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	687699	0.0
fam355	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	782490	0.0
fam2761	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	19820	0.0
fam2375	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	425640	0.0
fam2090	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	441400	0.0
fam2139	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	489826	0.0
fam2305	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	494540	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	612051	0.0
fam1093	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	13869	0.0
fam2823	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	52011	0.0
fam2025	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	952800	0.05357142857142857
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	309233	0.0
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	812711	0.0
fam594	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	536104	0.0
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	789274	0.0
fam643	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	490818	0.0
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1070193	0.0
fam1679	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	586914	0.0
fam922	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	194669	0.0
fam2091	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	443368	0.0
fam2999	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	250218	0.0
fam2732	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	48318	0.0
fam1358	nan	nan	nan	0.0004285714285714286	0.0008	0.00039897828696482693	0.0	0.0	0.0	256436	0.00033191715347849173
fam2664	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	121443	0.0
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	480632	0.0
fam870	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	257352	0.0
fam910	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	206904	0.0
fam150	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	979204	0.0
fam508	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	623160	0.0
fam155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	973350	0.0
fam179	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	949152	0.0
fam2642	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	140458	0.0
fam885	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	239407	0.0
fam2735	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	41793	0.0
fam1934	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	852507	0.0
fam119	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1014689	0.0
fam1001	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	111257	0.0
fam2143	nan	nan	nan	0.0005714285714285715	0.001	0.0004948716593053935	0.0	0.0	0.0	493497	0.0004186289900575615
fam43	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1090797	0.0
fam2822	nan	nan	nan	0.00048214285714285715	0.0009	0.00044885057283543023	0.0	0.0	0.0	50041	0.00035430839002267573
fam1364	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	263885	0.0
fam1587	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	502122	0.0
fam2024	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	951940	0.0
fam174	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	956969	0.0
fam2772	0.0	0.0	0.0	0.0	0.0	0.0	0.0012499999999999998	0.0	0.0021650635094610966	7870	0.00028735632183908046
fam1446	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	347159	0.0
fam1143	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	32539	0.0
fam2627	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	151300	0.0
fam933	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	186435	0.0
