fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	479232	0.0
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	185700	0.0
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	302812	0.0
fam425	0.24922600619195046	0.18421052631578946	0.08803137590162805	0.0007749999999999999	0.0007	0.00047103609203541925	0.0025785714285714288	0.0038	0.0022830676641710985	529020	0.0010333994708994708
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0017320508075688774	112325	0.00016371971185330712
fam657	0.15873015873015875	0.2222222222222222	0.10038976698947236	0.0007499999999999998	0.0014	0.0006982120021884469	0.001575	0.0	0.002727980021920982	342059	0.0008818342151675487
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.0026285714285714285	0.0046	0.0022764096328048104	328161	0.0004378762999452655
fam443	0.17922685127002083	0.2054794520547945	0.1327448193749949	0.0011107142857142856	0.0015	0.0008363779416175978	0.006317857142857143	0.0072	0.0036910174334291016	552030	0.08506907917806297
fam355	nan	nan	nan	0.000275	0.0	0.00047631397208144124	0.0	0.0	0.0	421067	0.00023540489642184556
fam519	nan	nan	nan	0.0008678571428571428	0.0009	0.0007787598068305104	0.0	0.0	0.0	531446	0.0007510013351134847
fam321	0.0	0.0	0.0	0.0	0.0	0.0	0.003525	0.0	0.006105479096680293	392421	0.0006127450980392158
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	411454	0.0
fam643	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	363849	0.0
fam62	0.0	0.0	0.0	0.0	0.0	0.0	0.0013000000000000002	0.0	0.00225166604983954	59606	0.000275027502750275
fam494	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	555141	0.0
fam651	nan	nan	nan	0.0004285714285714285	0.0004	0.0003410667538946663	0.0	0.0	0.0	350702	0.00036469730123997083
fam870	0.235315253406953	0.24829416224412437	0.023956003945702273	0.04705714285714286	0.0605	0.030216214055316968	0.20044285714285714	0.2638	0.12730188930415826	38861	0.0781971651536869
fam150	0.0	0.0	0.0	0.0	0.0	0.0	0.002785714285714285	0.0052	0.002593358865271375	178274	0.0005161023947151115
fam508	0.0	0.0	0.0	0.0	0.0	0.0	0.0035	0.0	0.006062177826491072	542070	0.0005668934240362813
fam155	0.0	0.0	0.0	0.0	0.0	0.0	0.012571428571428572	0.022	0.010887176504718656	182441	0.0024110910186859553
fam179	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	210897	0.0
fam119	0.31115459882583174	0.2465753424657534	0.16660506186921928	0.0017142857142857148	0.0018	0.001192450743431444	0.001825	0.0	0.0031609927238132013	138415	0.0017150928167877322
fam43	nan	nan	nan	0.0017714285714285711	0.0031	0.0015341021438467198	0.0	0.0	0.0	36467	0.0014267879436418763
fam174	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	205775	0.0
fam839	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	83022	0.0
fam317	0.0	0.0	0.0	0.0	0.0	0.0	0.020100000000000003	0.0248	0.01316510539266587	390711	0.002933057280883368
fam645	0.0	0.0	0.0	0.0	0.0	0.0	0.003385714285714286	0.0	0.003909486108512609	361277	0.0005370569280343716
