fam	loc
fam1	1291963
fam2	1290280
fam6	1286877
fam7	1286327
fam8	1284791
fam9	1283597
fam12	1280574
fam13	1279978
fam14	1278911
fam15	1277947
fam16	1276371
fam17	1274550
fam18	1273666
fam19	1272258
fam20	1271342
fam22	1270295
fam23	1269828
fam24	1269216
fam25	1265630
fam26	1264248
fam27	1263300
fam28	1262601
fam29	1261355
fam30	1260664
fam31	1258979
fam33	1256145
fam34	1255279
fam35	1254431
fam36	1253610
fam39	1251578
fam41	1248407
fam44	1244213
fam45	1243641
fam46	1242130
fam47	1240996
fam48	1240013
fam49	1239335
fam51	1236986
fam52	1236348
fam53	1235585
fam54	1234611
fam55	1233004
fam56	1232020
fam57	1231066
fam58	1229968
fam60	1227018
fam61	1225958
fam62	1224465
fam63	1223170
fam64	1221865
fam66	1220260
fam67	1220056
fam68	1218680
fam70	1217473
fam71	1216911
fam72	1216292
fam73	1215353
fam75	1213001
fam76	1209792
fam77	1208608
fam78	1208061
fam79	1206928
fam80	1206005
fam81	1205272
fam82	1204561
fam83	1203651
fam84	1202770
fam85	1201713
fam86	1201169
fam87	1199125
fam88	1197330
fam89	1196730
fam90	1195723
fam91	1194693
fam94	1191115
fam95	1188473
fam96	1187780
fam97	1187034
fam98	1186214
fam99	1184833
fam100	1181901
fam101	1180748
fam102	1180092
fam105	1176498
fam106	1175281
fam107	1174487
fam109	1164888
fam110	1164373
fam111	1163898
fam114	1159915
fam115	1159240
fam116	1158944
fam117	1158081
fam118	1157493
fam119	1156578
fam120	1154994
fam121	1154123
fam122	1153197
fam123	1152182
fam124	1151265
fam125	1149827
fam126	1149348
fam127	1148574
fam128	1147413
fam129	1145077
fam131	1143387
fam134	1138838
fam135	1138163
fam136	1137571
fam137	1135196
fam138	1134267
fam139	1133349
fam140	1132480
fam141	1131716
fam142	1130863
fam143	1129867
fam144	1129005
fam145	1127795
fam146	1126494
fam147	1125612
fam148	1125029
fam149	1124135
fam152	1121485
fam154	1120474
fam155	1118828
fam157	1116707
fam158	1114338
fam159	1113346
fam161	1112338
fam163	1109209
fam164	1108937
fam165	1108153
fam166	1106369
fam170	1098861
fam171	1097731
fam172	1096276
fam173	1095648
fam174	1095235
fam175	1093819
fam177	1092009
fam178	1088926
fam181	1085123
fam182	1084571
fam183	1084224
fam184	1083046
fam185	1082009
fam186	1081000
fam187	1079323
fam192	1076254
fam193	1075486
fam194	1074679
fam195	1073635
fam196	1072761
fam199	1070677
fam200	1069788
fam201	1067176
fam202	1065935
fam203	1065266
fam204	1064118
fam205	1063524
fam206	1063303
fam208	1061696
fam210	1057987
fam211	1056609
fam212	1055867
fam213	1054864
fam214	1054135
fam215	1053515
fam216	1053133
fam217	1052097
fam218	1051506
fam219	1050757
fam220	1049995
fam221	1048897
fam226	1045629
fam227	1044266
fam228	1042984
fam229	1042005
fam230	1041076
fam231	1040199
fam232	1039817
fam234	1037774
fam235	1037022
fam236	1036471
fam237	1036019
fam240	1032467
fam241	1031588
fam242	1030397
fam243	1029796
fam246	1027973
fam247	1026472
fam248	1026080
fam249	1024769
fam251	1022551
fam252	1022271
fam253	1020616
fam255	1019415
fam256	1018644
fam257	1018277
fam258	1017286
fam259	1015469
fam260	1014145
fam261	1013210
fam262	1011719
fam263	1010651
fam264	1009317
fam265	1007438
fam266	1006410
fam267	1005501
fam269	1003883
fam270	1003610
fam271	1002881
fam272	1001157
fam273	1000176
fam274	999517
fam275	998504
fam276	997533
fam277	996611
fam278	995622
fam279	993989
fam280	992886
fam281	991639
fam282	989705
fam284	987254
fam285	986625
fam286	986161
fam287	985103
fam290	982320
fam291	981467
fam293	979211
fam294	977673
fam295	976294
fam296	975274
fam297	973461
fam298	970739
fam299	970369
fam300	967551
fam301	966881
fam302	965904
fam304	961851
fam305	961461
fam306	961126
fam307	960054
fam308	959047
fam310	955980
fam311	953526
fam312	951955
fam313	951581
fam316	950166
fam317	948500
fam318	947421
fam319	946930
fam320	945550
fam321	944726
fam322	944150
fam323	943650
fam324	942614
fam325	942111
fam326	941573
fam327	940391
fam328	939448
fam329	938645
fam330	936147
fam331	935044
fam332	934538
fam333	933298
fam334	932525
fam335	931662
fam336	930844
fam337	929058
fam338	927764
fam339	927071
fam340	926535
fam341	926223
fam342	925015
fam343	924635
fam344	922152
fam345	921306
fam350	913875
fam351	912929
fam355	907879
fam356	906222
fam357	904927
fam358	904275
fam360	902813
fam361	900020
fam362	898955
fam363	897405
fam364	896897
fam365	896195
fam367	893798
fam368	892864
fam369	891760
fam372	887489
fam373	886098
fam374	885192
fam375	884605
fam377	882853
fam379	881123
fam383	876214
fam384	873859
fam386	870523
fam387	869710
fam389	867755
fam390	866352
fam391	865666
fam393	863528
fam396	859207
fam397	858038
fam398	855050
fam399	853911
fam401	851528
fam402	850227
fam403	849024
fam405	846302
fam406	845745
fam407	844730
fam408	844245
fam409	842832
fam410	841348
fam411	839822
fam412	838273
fam413	836559
fam414	834644
fam415	832992
fam416	831462
fam417	829921
fam418	827837
fam420	824426
fam421	823238
fam422	821615
fam423	819330
fam424	818667
fam425	818075
fam426	817511
fam427	813787
fam429	810782
fam430	810407
fam431	808133
fam432	806830
fam433	806232
fam434	805102
fam435	804333
fam436	803392
fam437	802063
fam438	801390
fam439	800138
fam440	799882
fam443	797998
fam444	797229
fam445	796252
fam446	795254
fam447	794844
fam448	793803
fam451	789651
fam452	788536
fam453	786068
fam454	784946
fam455	783966
fam456	783145
fam457	781911
fam458	781112
fam459	780336
fam460	778759
fam461	777803
fam462	776661
fam463	775875
fam464	774202
fam467	770050
fam468	768767
fam469	767932
fam470	766857
fam471	765810
fam472	764925
fam473	763899
fam474	761764
fam476	759271
fam478	757386
fam479	755398
fam480	754553
fam481	753944
fam482	752806
fam483	751685
fam484	750732
fam485	748797
fam486	747937
fam487	747137
fam488	746375
fam489	745426
fam490	743646
fam491	742616
fam493	740617
fam494	739647
fam495	739445
fam498	736953
fam500	734679
fam501	733444
fam502	730781
fam503	729306
fam504	728346
fam505	727459
fam506	726823
fam507	726050
fam508	725323
fam509	725046
fam511	723033
fam512	722174
fam513	720869
fam514	719904
fam515	718870
fam516	716845
fam517	715280
fam518	714539
fam521	713404
fam522	710136
fam523	709544
fam524	708943
fam526	707236
fam527	706529
fam528	705153
fam529	695490
fam530	694625
fam531	693348
fam532	691256
fam537	687765
fam540	684150
