fam	loc
fam2	3062
fam3	4187
fam4	6598
fam27	36449
fam28	37393
fam30	39023
fam37	44898
fam38	46292
fam39	47239
fam40	47790
fam43	50756
fam45	52889
fam66	73695
fam73	79309
fam75	81278
fam77	84519
fam78	84794
fam83	89855
fam84	91497
fam85	92102
fam86	93028
fam91	96734
fam105	111673
fam106	113484
fam109	115911
fam110	116981
fam116	125497
fam125	139097
fam134	147746
fam146	162654
fam147	162971
fam148	164106
fam158	176032
fam159	176956
fam219	235103
fam222	239366
fam228	246562
fam231	250692
fam237	261379
fam247	273980
fam250	276826
fam251	278663
fam252	279447
fam258	285677
fam259	286742
fam260	287566
fam261	288652
fam262	288992
fam266	292207
fam267	292899
fam269	294508
fam274	303723
fam275	305136
fam277	306790
fam278	307679
fam281	310352
fam282	310946
fam283	312646
fam285	314638
fam290	319956
fam292	322259
fam293	323269
fam294	324235
fam298	330381
fam299	330686
fam300	331565
fam301	332349
fam304	335975
fam305	336592
fam307	337637
fam308	338786
fam310	341567
fam312	343118
fam313	344220
fam317	348074
fam318	349390
fam319	350406
fam320	350928
fam321	351379
fam324	354065
fam325	354709
fam326	355119
fam327	357823
fam332	368139
fam333	369654
fam337	375560
fam339	378868
fam340	379974
fam341	381471
fam351	392042
fam352	393058
fam356	397871
fam357	399037
fam358	400246
fam361	402121
fam369	408925
fam374	415925
fam380	422814
fam381	425167
fam388	432056
fam392	436195
fam394	440751
fam397	444022
fam400	451302
fam406	457605
fam407	458095
fam408	459089
fam409	460562
fam412	463349
fam414	464850
fam415	466689
fam417	471447
fam418	474674
fam420	476783
fam422	478906
fam423	479804
fam427	484635
fam432	491461
fam433	492974
fam435	495031
fam436	496203
fam437	497765
fam438	498656
fam441	503140
fam443	504785
fam446	506970
fam447	507761
fam449	509595
fam451	512677
fam452	513897
fam453	514691
fam458	521762
fam459	522343
fam460	523790
fam462	524886
fam465	526679
fam472	537934
fam474	542065
fam475	542785
fam476	544140
fam477	544718
fam480	546893
fam482	548508
fam483	549766
fam492	558049
fam495	562204
fam496	563310
fam504	570986
fam508	573470
fam510	575041
fam511	576627
fam512	578854
fam518	586047
fam519	586525
fam520	588013
fam521	589580
fam522	590659
fam524	593113
fam525	595468
fam526	595875
fam528	598111
fam529	600666
fam530	601910
fam535	606334
fam536	607458
fam538	613613
fam539	615128
fam540	616339
fam561	634353
fam568	646639
