fam	loc
fam1	408172
fam2	408771
fam3	410042
fam4	410599
fam5	411477
fam7	413418
fam8	414110
fam11	416579
fam12	417475
fam14	419111
fam15	419891
fam16	420541
fam17	421288
fam18	423038
fam19	424008
fam20	424574
fam21	425258
fam22	426480
fam24	427368
fam25	427848
fam26	429286
fam27	430140
fam28	430640
fam29	432964
fam31	436636
fam32	439486
fam33	442659
fam34	444263
fam35	444649
fam36	445905
fam37	446449
fam38	447123
fam39	448020
fam40	448599
fam42	449558
fam43	451037
fam44	452208
fam45	452747
fam46	453904
fam47	454505
fam48	456504
fam49	457061
fam50	458553
fam51	459462
fam52	459851
fam53	460332
fam54	461531
fam55	464148
fam56	465328
fam57	466588
fam59	467934
fam60	468954
fam61	469697
fam62	470307
fam63	471487
fam64	474829
fam65	476164
fam66	477021
fam67	478069
fam68	480000
fam69	480541
fam70	481401
fam71	482605
fam72	483534
fam73	484551
fam75	486470
fam77	488805
fam82	492458
fam83	493254
fam84	495315
fam85	495698
fam86	495865
fam87	498192
fam88	499185
fam89	500628
fam90	502131
fam92	502997
fam93	503802
fam94	504544
fam95	505577
fam98	510713
fam99	511610
fam100	512828
fam101	513537
fam102	514350
fam103	516225
fam104	516935
fam105	517603
fam106	518107
fam107	519339
fam108	520633
fam109	522026
fam110	522808
fam111	523425
fam112	524613
fam113	525336
fam114	526320
fam115	528337
fam116	530210
fam117	531791
fam118	534581
fam119	535332
fam120	535940
fam121	536889
fam124	538987
fam125	540444
fam126	541362
fam127	542908
fam128	544136
fam129	545718
fam130	547037
fam131	547866
fam132	548633
fam133	549366
fam134	549980
fam136	552580
fam137	553864
fam138	554269
fam139	554995
fam140	556233
fam141	557529
fam142	558621
fam143	559163
fam144	560027
fam145	560693
fam146	561374
fam148	562616
fam150	565377
fam152	568515
fam153	572632
fam154	573947
fam155	574750
fam156	575155
fam157	575883
fam158	578690
fam159	579522
fam161	580976
fam162	581482
fam164	583964
fam165	584308
fam166	584860
fam167	585614
fam168	589264
fam169	589938
fam170	591245
fam171	592458
fam172	592778
fam173	594152
fam174	595554
fam175	596930
fam177	598478
fam178	599322
fam179	600132
fam181	602245
fam182	603940
fam183	604506
fam184	607143
fam185	607859
fam186	609179
fam187	610480
fam189	613013
fam190	614577
fam191	622076
fam192	623669
fam193	624500
fam194	625871
fam195	626362
fam196	626654
fam197	629169
fam198	629441
fam203	633471
fam204	634980
fam205	635578
fam206	636917
fam207	637390
fam208	637863
fam210	638918
fam211	639137
fam212	640521
fam218	652130
fam219	653411
fam220	654618
fam221	662077
fam222	663135
fam224	664036
fam225	664307
fam226	664731
fam227	666220
fam228	668333
fam229	669347
fam230	670465
fam231	672268
fam232	673245
fam233	674249
fam234	674573
fam235	675946
fam236	678246
fam237	678569
fam238	678938
fam239	681258
fam240	681730
fam241	682635
fam242	683684
fam243	684073
fam244	684624
fam245	685077
fam246	687508
fam247	689105
fam248	689856
fam249	690433
fam250	691512
fam251	692869
fam252	693515
fam253	694482
fam254	695365
fam255	696327
fam256	697054
fam257	698521
fam258	699075
fam259	699647
fam260	700072
fam261	700407
fam262	701207
fam263	701732
fam264	702844
fam265	703380
fam266	704087
fam267	704590
fam268	705382
fam271	708971
fam272	710249
fam273	711312
fam274	712484
fam275	713797
fam276	715278
fam277	715780
fam278	716724
fam279	718030
