fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.0	0.0	0.0	0.0	0.0	0.0	0.0006909090909090909	0.0	0.001465639510095753	284126	0.0002068466232288758
fam393	0.9036144578313253	0.9036144578313252	1.1102230246251565e-16	0.0013636363636363637	0.0	0.002892709559399512	0.0015090909090909091	0.0	0.0032012652457354606	384616	0.0013986013986013986
fam1037	0.2121212121212121	0.2121212121212121	0.0	0.00038181818181818184	0.0	0.0008099586766318633	0.0018000000000000004	0.0	0.003818376618407357	365290	0.000790513833992095
fam1031	nan	nan	nan	0.0003654545454545456	0.0	0.0005233521956208429	0.0	0.0	0.0	359699	0.00027238678924072193
fam680	0.21782178217821785	0.21782178217821785	0.0	0.00039999999999999996	0.0	0.000848528137423857	0.0018363636363636364	0.0	0.0038955155399913433	61274	0.0007463800567248844
fam875	0.0	0.0	0.0	0.0	0.0	0.0	0.003909090909090909	0.0	0.008292434070278602	176682	0.001036001036001036
fam425	nan	nan	nan	0.0017454545454545455	0.0	0.003702668236031376	0.0	0.0	0.0	355683	0.0012001200120012
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.0015618181818181818	0.0	0.0022193767273383856	523362	0.00045913682277318646
fam657	0.2125	0.20833333333333334	0.012499999999999997	0.0003436363636363637	0.0	0.0005789531732873604	0.001309090909090909	0.0	0.002777001177023532	82568	0.0005865102639296188
fam265	nan	nan	nan	0.001018181818181818	0.0	0.0021598898043516356	0.0	0.0	0.0	528221	0.0007482229704451928
fam443	0.4549632352941176	0.7031249999999999	0.4333751150734376	0.0008181818181818182	0.0	0.0017356257356397073	0.0011636363636363637	0.0	0.0019807586825955573	321440	0.0009143155694879834
fam355	0.05274763169500013	0.09557109557109558	0.050053426799830755	0.0007454545454545455	0.0	0.0015813478924717335	0.007767272727272728	0.0	0.015647620261071995	422812	0.002707487243569718
fam519	0.1940298507462686	0.19402985074626863	2.7755575615628914e-17	0.00023636363636363636	0.0	0.0005014029902959156	0.0012181818181818183	0.0	0.002584153873063565	220419	0.0004981320049813201
fam814	0.2894736842105264	0.2894736842105263	5.551115123125783e-17	0.0006000000000000001	0.0	0.0012727922061357858	0.0020727272727272725	0.0	0.004396918530287259	99690	0.0010485477613505294
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	459372	0.0
fam594	0.74	0.74	0.0	0.000672727272727273	0.0	0.0014270700493037598	0.000909090909090909	0.0	0.0019284730395996753	136733	0.0007272727272727274
fam346	0.1783783783783784	0.16756756756756758	0.02162162162162163	0.000929090909090909	0.0	0.0012316541319812337	0.003363636363636363	0.0	0.007135350246518795	432611	0.0015396458814472668
fam643	0.0	0.0	0.0	0.0	0.0	0.0	0.003509090909090909	0.0	0.007443905932854745	97843	0.0008596604341285192
fam922	nan	nan	nan	0.0006	0.0	0.0012000000000000001	0.0	0.0	0.0	230683	0.00042194092827004215
fam494	nan	nan	nan	0.0017454545454545455	0.0	0.003702668236031376	0.0	0.0	0.0	243569	0.0012368583797155224
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	92351	0.0
fam870	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	164762	0.0
fam910	0.6885245901639344	0.6885245901639343	1.1102230246251565e-16	0.0007636363636363637	0.0	0.0016199173532637273	0.0011090909090909092	0.0	0.0023527371083116033	216573	0.0008456659619450317
fam150	0.5868263473053892	0.5748502994011976	0.023952095808383242	0.002101818181818182	0.0	0.0036640509578180817	0.003036363636363636	0.0	0.0064410999522629174	592635	0.002329935510713542
fam508	0.3592197276407803	0.36363636363636365	0.3494015347777981	0.0005090909090909091	0.0	0.001079944902175818	0.0014163636363636364	0.0	0.0020123946510078377	231875	0.001859081613682841
fam155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	595203	0.0
fam179	nan	nan	nan	0.0004545454545454545	0.0	0.0009642365197998374	0.0	0.0	0.0	610818	0.0003276003276003276
fam885	0.8358974358974359	0.8717948717948718	0.07179487179487176	0.0009745454545454545	0.0007	0.0011784763941506203	0.000709090909090909	0.0	0.0015042089708877462	193214	0.0008931419457735246
fam119	0.0972972972972973	0.10810810810810811	0.032432432432432434	0.0006690909090909091	0.0008	0.0006429683230632827	0.0013454545454545457	0.0	0.002854140098607519	547156	0.0008359456635318706
fam1001	0.2784810126582279	0.27848101265822783	5.551115123125783e-17	0.00039999999999999996	0.0	0.000848528137423857	0.0014363636363636367	0.0	0.0030469874025674856	323929	0.0007014590347923681
fam43	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	454119	0.0022813688212927757
fam174	0.14521193092621665	0.0	0.19052937423483549	0.0007490909090909091	0.0	0.001589153316852345	0.00496	0.0	0.005541565253116257	614190	0.003552769070010449
fam933	0.12837837837837837	0.14864864864864866	0.030963349290242168	0.0004018181818181818	0.0006	0.00038682432427555494	0.0013454545454545457	0.0	0.002854140098607519	242851	0.0006441223832528182
fam839	0.07936507936507935	0.07936507936507936	1.3877787807814457e-17	0.00018181818181818186	0.0	0.000385694607919935	0.002290909090909091	0.0	0.004859752059791182	128825	0.0006855889208830384
fam317	0.40816326530612246	0.40816326530612246	0.0	0.0003636363636363637	0.0	0.0007713892158398699	0.000890909090909091	0.0	0.0018899035788076815	463123	0.0005121638924455827
fam568	0.13253012048192775	0.13253012048192772	2.7755575615628914e-17	0.0004	0.0	0.000848528137423857	0.0030181818181818183	0.0	0.006402530491470921	162682	0.0011489300588826657
fam645	0.0	0.0	0.0	0.0	0.0	0.0	0.004654545454545455	0.0	0.009873781962750336	95711	0.0011730205278592375
fam124	0.4032513877874703	0.0	0.518838197859796	0.001309090909090909	0.0	0.002777001177023532	0.0022145454545454543	0.0	0.0027301960090685582	555573	0.0015779092702169623
fam732	0.16580310880829013	0.16580310880829016	2.7755575615628914e-17	0.0005818181818181818	0.0	0.001234222745343792	0.0035090909090909096	0.0	0.007443905932854745	5656	0.0013430705951481576
fam989	0.21666666666666665	0.19696969696969696	0.0590909090909091	0.0004727272727272727	0.0	0.0006727027022540007	0.0012000000000000001	0.0	0.0025455844122715715	312291	0.0006790595025889144
fam622	0.087248322147651	0.087248322147651	0.0	0.0004727272727272728	0.0	0.0010028059805918313	0.005418181818181818	0.0	0.011493699316014063	109872	0.0014692378328741965
fam531	0.5822222222222223	0.5444444444444445	0.07555555555555556	0.0014181818181818184	0.0	0.0019518840231093194	0.001636363636363636	0.0	0.0034712514712794146	204672	0.0014824504033137131
fam507	nan	nan	nan	0.00032	0.0	0.0006400000000000002	0.0	0.0	0.0	233047	0.00023894862604540026
fam157	0.12191602271669306	0.20770877944325483	0.1158043936905122	0.0017636363636363637	0.0	0.003741237696823369	0.00844181818181818	0.0	0.015904255472946868	627971	0.003305785123966942
fam646	0.33962264150943394	0.33962264150943394	0.0	0.00032727272727272726	0.0	0.000694250294255883	0.0009636363636363638	0.0	0.0020441814219756558	94831	0.0004867956675185591
fam504	0.6697674418604651	0.627906976744186	0.08372093023255811	0.0015709090909090905	0.0	0.0021450723850700427	0.0015636363636363636	0.0	0.003316973628111441	236155	0.0015610651974288334
fam363	0.0	0.0	0.0	0.0	0.0	0.0	0.0035672727272727275	0.0	0.0050826998747249405	414994	0.0010185892538833712
fam233	0.0	0.0	0.0	0.0	0.0	0.0	0.00112	0.0	0.00224	555911	0.00025839793281653745
fam565	0.20505809979494188	0.3376623376623376	0.19594467140348862	0.0009472727272727272	0.0	0.0013512088251843972	0.0028000000000000004	0.0	0.003984469851812157	166184	0.001417685628211944
fam231	0.0	0.0	0.0	0.0	0.0	0.0	0.002981818181818182	0.0	0.006325391569886934	558369	0.0008027292795504717
fam229	0.11280890398038106	0.0	0.1681973715097296	0.0009454545454545453	0.0	0.002005611961183662	0.004974545454545454	0.0057	0.0056536462307505	560406	0.001861130994989263
fam116	0.02439771013405011	0.0	0.035859480333221075	0.0003636363636363637	0.0	0.00077138921583987	0.007641818181818182	0.0072	0.009751618810304657	544597	0.0019258000566411782
fam69	0.225	0.225	0.0	0.000490909090909091	0.0	0.0010413754413838247	0.0021818181818181815	0.0	0.00462833529503922	482490	0.0009045680687471731
fam1009	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	335641	0.0
fam222	0.6229508196721312	0.6229508196721311	1.1102230246251565e-16	0.0006909090909090909	0.0	0.001465639510095753	0.0011090909090909092	0.0	0.0023527371083116033	566476	0.0007803355442840422
fam942	0.19714285714285715	0.17857142857142858	0.05571428571428573	0.000910909090909091	0.0	0.0012994646068526876	0.0025454545454545456	0.0	0.00539972451087909	254380	0.0013468013468013469
fam1050	0.8095238095238095	0.8095238095238095	0.0	0.0011745454545454544	0.0	0.0016167552445132682	0.0007636363636363637	0.0	0.0016199173532637273	381385	0.0010502133245815558
fam949	0.4375	0.4375	0.0	0.00038181818181818184	0.0	0.0008099586766318637	0.0008727272727272727	0.0	0.001851334118015688	258262	0.0005387205387205387
fam498	0.40816326530612246	0.40816326530612246	0.0	0.001090909090909091	0.0	0.00231416764751961	0.0026727272727272724	0.0	0.005669710736423043	241867	0.0015343306482546986
fam74	0.0	0.0	0.0	0.0	0.0	0.0	0.0019818181818181814	0.0	0.004204071226327292	485867	0.0004298302170642596
fam983	0.3026315789473685	0.3026315789473684	5.551115123125783e-17	0.0004181818181818182	0.0	0.0008870975982158504	0.0013818181818181818	0.0	0.002931279020191506	306145	0.0006516780710329097
fam868	0.0	0.0	0.0	0.0	0.0	0.0	0.0014545454545454549	0.0	0.0030855568633594795	163308	0.00040404040404040404
fam835	0.0	0.0	0.0	0.0	0.0	0.0	0.002381818181818182	0.0	0.00505259936375115	124053	0.0013689253935660506
fam176	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	613418	0.0
fam817	0.7222222222222221	0.7222222222222221	0.0	0.000709090909090909	0.0	0.0015042089708877462	0.0009818181818181818	0.0	0.002082750882767649	101633	0.0007803355442840422
fam287	2.041666666666667	2.166666666666667	0.19094065395649346	0.0006363636363636363	0.0005	0.0008896094416527322	0.00021818181818181816	0.0	0.000462833529503922	499860	0.0005110565110565111
fam225	nan	nan	nan	0.0014545454545454547	0.0	0.0030855568633594795	0.0	0.0	0.0	563629	0.0010315925209542231
fam1046	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	376228	0.013513513513513514
fam271	nan	nan	nan	0.00047272727272727267	0.0	0.001002805980591831	0.0	0.0	0.0	520676	0.00035861574323112785
fam374	0.33023255813953495	0.35813953488372097	0.04262861111586828	0.0020163636363636364	0.0019	0.002575038473595272	0.003909090909090909	0.0	0.008292434070278602	401751	0.0024955436720142596
fam256	0.6956521739130437	0.6956521739130436	1.1102230246251565e-16	0.0005818181818181818	0.0	0.001234222745343792	0.0008363636363636364	0.0	0.0017741951964317009	536650	0.0006470397929472663
fam518	0.12832733224222584	0.0	0.16375321388137562	0.0006000000000000001	0.0	0.0012727922061357858	0.002723636363636363	0.0	0.0037298288352813017	221516	0.001141853315766359
fam964	0.023896412834860648	0.0	0.08257469200122843	0.0002909090909090909	0.0	0.000617111372671896	0.00402	0.0	0.0068726969696301645	282000	0.0012539184952978057
fam258	0.032857142857142856	0.0	0.09857142857142857	0.0004181818181818182	0.0	0.0008870975982158504	0.0012727272727272728	0.0	0.002699862255439545	534856	0.0006313131313131314
fam846	nan	nan	nan	0.00025454545454545456	0.0	0.000539972451087909	0.0	0.0	0.0	141318	0.00018145527127563053
fam1002	nan	nan	nan	0.00027272727272727274	0.0	0.0005785419118799025	0.0	0.0	0.0	324761	0.00020826824950536294
fam581	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	151214	0.0
fam833	0.0	0.0	0.0	0.0	0.0	0.0	0.0025163636363636365	0.0	0.004399287695912256	121966	0.0006747891283973757
fam794	0.2548783596250248	0.0	0.4003990318382488	0.0007454545454545455	0.0	0.0015813478924717338	0.0023363636363636364	0.0034	0.002301964665739692	77062	0.0011980267794221282
fam162	0.4292035398230089	0.3893805309734514	0.11946902654867254	0.0016181818181818183	0.0	0.00230289074537286	0.0020545454545454547	0.0	0.0043583490694952655	624628	0.011466011466011464
fam948	0.0	0.0	0.0	0.0	0.0	0.0	0.00378	0.0	0.007560000000000001	256700	0.0009259259259259259
fam1049	0.3939393939393939	0.3939393939393939	0.0	0.00023636363636363636	0.0	0.0005014029902959157	0.0006000000000000001	0.0	0.0012727922061357858	380543	0.0003339176892895901
fam254	nan	nan	nan	0.0009272727272727273	0.0	0.0019670425003916686	0.0	0.0	0.0	538541	0.0007301935012778386
fam475	0.29861111111111105	0.29166666666666663	0.02083333333333334	0.0009454545454545454	0.0	0.0016272473334737782	0.002618181818181818	0.0	0.005554002354047064	264895	0.0014492753623188408
fam796	0.0	0.0	0.0	0.0	0.0	0.0	0.0008727272727272727	0.0	0.001851334118015688	78381	0.00024242424242424247
fam15	0.06787232566353821	0.0	0.09601924764850947	0.00154	0.0	0.0030800000000000003	0.008206666666666666	0.0016	0.014834934745016199	420111	0.003252734599884859
fam559	0.35	0.35	0.0	0.00038181818181818184	0.0	0.0008099586766318633	0.0010909090909090907	0.0	0.00231416764751961	173576	0.0005717552887364208
fam90	0.0	0.0	0.0	0.0	0.0	0.0	0.0012181818181818183	0.0	0.002584153873063565	506448	0.0003586157432311279
fam1048	0.3212074303405574	0.2549019607843137	0.09205646911087544	0.00034	0.0	0.0005000363623141457	0.0012363636363636361	0.0	0.0020102793687683976	379303	0.0005887445887445889
fam603	0.15853658536585363	0.15853658536585363	0.0	0.00023636363636363633	0.0	0.0005014029902959156	0.001490909090909091	0.0	0.0031626957849434675	127022	0.000546000546000546
fam300	0.0	0.0	0.0	0.0	0.0	0.0	0.0005272727272727272	0.0	0.0011185143629678113	486152	0.0001412728685455958
fam576	0.5408163265306122	0.5408163265306123	1.1102230246251565e-16	0.0019272727272727276	0.0	0.0040883628439513115	0.003563636363636364	0.0	0.007559614315230726	154551	0.0023923444976076554
fam200	nan	nan	nan	0.002547272727272728	0.0	0.0036280149616537516	0.0	0.0	0.0	586263	0.0018648018648018646
fam698	0.4230769230769232	0.42307692307692313	5.551115123125783e-17	0.00019999999999999998	0.0	0.0004242640687119285	0.00047272727272727267	0.0	0.001002805980591831	37649	0.00027423556835321546
fam274	nan	nan	nan	0.0007072727272727274	0.0	0.0010700644917615598	0.0	0.0	0.0	518014	0.0005331911490269261
fam563	nan	nan	nan	0.00034545454545454544	0.0	0.0007328197550478765	0.0	0.0	0.0	167274	0.00025464731347084286
fam360	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	418390	0.0
fam939	0.4339622641509434	0.4339622641509434	0.0	0.0004181818181818182	0.0	0.0008870975982158504	0.0009636363636363638	0.0	0.0020441814219756558	251412	0.0005884083553986467
fam77	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	487553	0.0
fam647	0.42857142857142855	0.42857142857142855	0.0	0.00162	0.0	0.00324	0.00378	0.0	0.007560000000000001	94627	0.0022598870056497176
fam802	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	86223	0.0
fam444	0.2624671916010498	0.26246719160104987	5.551115123125783e-17	0.0018181818181818182	0.0	0.0038569460791993506	0.006927272727272727	0.0	0.014694964561749525	319638	0.0031835868411743897
fam705	0.5870129870129871	0.5194805194805194	0.08271004326280863	0.0013890909090909088	0.0013	0.0016112866374730396	0.0014	0.0	0.0029698484809834997	31586	0.0013944757307589172
fam185	0.24076019069600585	0.36585365853658536	0.1897820030542651	0.0008763636363636364	0.0	0.0012013573590452724	0.0019836363636363636	0.0	0.0032343476867333974	601316	0.0011799410029498523
fam1058	nan	nan	nan	0.0014363636363636367	0.0	0.0030469874025674864	0.0	0.0	0.0	387195	0.0010272213662044169
fam803	0.05076515312735784	0.0	0.07721523481088229	0.00043636363636363637	0.0	0.000925667059007844	0.00376	0.0021	0.00520728859824905	88188	0.0013375130616509927
fam526	0.0894308943089431	0.08943089430894309	1.3877787807814457e-17	0.00019999999999999998	0.0	0.0004242640687119285	0.002236363636363636	0.0	0.0047440436774152	214984	0.0008098805426199635
fam1019	0.0	0.0	0.0	0.0	0.0	0.0	0.001218181818181818	0.0	0.002584153873063565	346458	0.0013110229429015006
fam1029	0.07784431137724553	0.07784431137724551	1.3877787807814457e-17	0.00023636363636363636	0.0	0.0005014029902959156	0.003036363636363636	0.0	0.0064410999522629174	357899	0.0010129146619397317
fam864	0.33720930232558144	0.3372093023255814	5.551115123125783e-17	0.0010545454545454545	0.0	0.002237028725935623	0.0031272727272727272	0.0	0.006633947256222882	159020	0.0015741833923652107
fam625	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	108493	0.0
fam750	0.3419354838709677	0.3419354838709677	0.0	0.0009636363636363638	0.0	0.0020441814219756558	0.0028181818181818186	0.0	0.005978266422758993	24322	0.00142602495543672
fam984	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	306317	0.0
fam1028	0.37499999999999994	0.37499999999999994	0.0	0.00021818181818181818	0.0	0.000462833529503922	0.0005818181818181818	0.0	0.001234222745343792	356835	0.0003156565656565657
fam484	0.18699186991869918	0.18699186991869918	0.0	0.0004181818181818182	0.0	0.0008870975982158504	0.002236363636363636	0.0	0.0047440436774152	255883	0.0009159606136936111
fam791	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	72308	0.0
fam556	0.0	0.0	0.0	0.0	0.0	0.0	0.0017090909090909088	0.0	0.0024320790004567715	175785	0.00048484848484848484
fam41	0.30328947368421044	0.26249999999999996	0.09960041442315515	0.00039818181818181825	0.0	0.0005635894408620869	0.0014709090909090909	0.0	0.0022281400908521916	451577	0.0006855889208830384
fam1018	0.0	0.0	0.0	0.0	0.0	0.0	0.004345454545454546	0.0	0.009218101129286446	344843	0.0012894906511927786
fam578	0.08085106382978724	0.08085106382978724	0.0	0.00034545454545454544	0.0	0.0007328197550478765	0.004272727272727273	0.0	0.009063823286118473	153280	0.001443001443001443
fam543	0.1074513056085223	0.10518934081346423	0.006785894385174215	0.0016381818181818184	0.0	0.002897365004092883	0.012961818181818184	0.0	0.027496171574233192	194931	0.004662004662004662
fam399	0.1764705882352941	0.1764705882352941	0.0	0.00027272727272727274	0.0	0.0005785419118799025	0.0015454545454545458	0.0	0.0032784041673194486	378758	0.0006163328197226503
fam950	0.2676523297491039	0.0	0.39836397247591027	0.0005272727272727272	0.0	0.0011185143629678115	0.001152727272727273	0.0013	0.0013230618133645423	261138	0.0006948465547191662
fam524	nan	nan	nan	0.0006727272727272729	0.0	0.0014270700493037595	0.0	0.0	0.0	216891	0.0004887585532746824
fam821	nan	nan	nan	0.00096	0.0	0.001292439553712281	0.0	0.0	0.0	105285	0.0006890611541774332
fam78	0.17669007901668127	0.14925373134328357	0.03606721781954364	0.0004454545454545456	0.0003	0.0004555987795570619	0.0012236363636363636	0.0	0.002595798257769915	491448	0.0006486591151127892
fam608	0.0641287284144427	0.0	0.0811972998220352	0.0006909090909090909	0.0	0.001465639510095753	0.00473090909090909	0.0	0.00857861766205579	120359	0.0017656102762485739
fam36	0.31111111111111117	0.22222222222222224	0.1777777777777778	0.0008363636363636364	0.0	0.0009679150293968119	0.000818181818181818	0.0	0.0017356257356397073	446963	0.0008213552361396305
fam352	0.0797870381029124	0.08627450980392158	0.009873057706633048	0.0014	0.0011	0.0014449913494550754	0.009274545454545454	0.0	0.019674286108631683	425853	0.003446790176647997
fam751	0.06428571428571428	0.0	0.12857142857142856	0.000589090909090909	0.0	0.0008445919353096399	0.001018181818181818	0.0	0.0021598898043516356	25019	0.0006898250800689825
fam1041	0.17241379310344832	0.1724137931034483	2.7755575615628914e-17	0.00018181818181818186	0.0	0.000385694607919935	0.0010545454545454545	0.0	0.002237028725935623	369617	0.00041322314049586776
fam283	0.256043956043956	0.25274725274725274	0.12749620848621382	0.0015745454545454548	0.0012	0.0011068740885637736	0.0016545454545454545	0.0	0.0035098209320714086	505587	0.00561056105610561
