fam	loc
fam1	1329
fam2	2529
fam3	4857
fam11	10730
fam14	13172
fam15	13391
fam16	14037
fam17	15775
fam18	17336
fam19	17983
fam20	19060
fam21	19328
fam22	20178
fam23	22152
fam24	22933
fam25	23557
fam26	24637
fam28	26652
fam29	28060
fam30	30453
fam31	32454
fam32	33257
fam33	35175
fam34	35693
fam35	36818
fam49	46777
fam50	47229
fam51	48115
fam52	48934
fam53	49676
fam54	50506
fam55	51264
fam58	53036
fam59	53275
fam60	53631
fam62	56019
fam65	59956
fam66	60437
fam67	61158
fam70	68746
fam71	69397
fam72	70143
fam73	70825
fam74	71883
fam75	72516
fam76	73101
fam77	73712
fam78	73995
fam79	74827
fam80	75110
fam81	75494
fam82	76197
fam83	76625
fam84	76797
fam85	77058
fam86	77426
fam87	77653
fam88	78200
fam89	78387
fam90	78795
fam91	79410
fam92	79776
fam93	80236
fam94	80632
fam95	81894
fam97	83823
fam98	84554
fam99	85102
fam100	85631
fam102	88269
fam103	89648
fam104	90493
fam108	94899
fam109	95186
fam110	95555
fam111	95957
fam112	96614
fam113	97642
fam114	97999
fam115	99014
fam116	100304
fam117	101368
fam118	101946
fam119	102687
fam120	103436
fam121	104076
fam122	106675
fam123	108791
fam124	109183
fam125	109709
fam126	110976
fam127	111282
fam128	112358
fam129	113203
fam130	115111
fam131	116213
fam132	116932
fam133	117759
fam134	118354
fam135	118918
fam136	119487
fam139	121667
fam140	122407
fam141	123723
fam142	124399
fam147	128456
fam150	131218
fam151	132068
fam153	134837
fam154	136268
fam158	142344
fam159	142795
fam161	144803
fam162	145294
fam163	145992
fam164	146263
fam165	147504
fam166	148541
fam167	149515
fam168	149810
fam169	150583
fam170	151226
fam171	151984
fam172	153202
fam173	154019
fam174	156106
fam184	173414
fam185	173953
fam186	174246
fam187	175001
fam188	176494
fam189	176739
fam190	177531
fam191	177926
fam192	178522
fam193	179756
fam194	180215
fam195	180480
fam196	181620
fam199	183611
fam200	184390
fam201	185245
fam202	185734
fam203	186256
fam204	186777
fam205	188292
fam206	189186
fam207	190598
fam208	190993
fam209	191553
fam210	191943
fam211	192726
fam212	193922
fam213	194472
fam214	195474
fam215	196071
fam216	196991
fam217	197674
fam218	198432
fam219	198937
fam220	199553
fam221	199857
fam222	200845
fam223	201825
fam224	202178
fam225	202642
fam226	203488
fam227	205755
fam228	206660
fam229	208112
fam230	208999
fam231	209445
fam232	210332
fam234	213237
fam235	213596
fam236	214008
fam239	218210
fam240	219100
fam241	220311
fam242	220882
fam243	221904
fam244	222379
fam245	223770
fam246	224626
fam247	224998
fam248	225671
fam249	226762
fam250	227591
fam251	228223
fam252	229202
