fam	loc
fam1	1833
fam2	4805
fam3	7324
fam5	11259
fam6	15749
fam7	27316
fam8	34534
fam9	36744
fam10	46776
fam11	67073
fam12	79721
fam13	80399
fam14	85032
fam15	85184
fam16	86400
fam17	86918
fam18	88063
fam19	88313
fam20	110103
fam21	110811
fam28	147479
fam29	151371
fam30	151765
fam31	152450
fam32	156279
fam33	165774
fam34	191031
fam36	197811
fam37	205990
fam38	207830
fam39	208183
fam40	215809
fam41	216229
fam42	217106
fam43	218460
fam44	219323
fam45	219586
fam46	220067
fam48	222273
fam49	222608
fam50	223153
fam51	223340
fam52	223762
fam53	224674
fam54	225337
fam55	225796
fam57	227870
fam58	228616
fam59	228852
fam60	228976
fam61	232788
fam62	245946
fam63	248440
fam64	251658
fam65	259955
fam67	270803
fam68	273850
fam69	275457
fam70	278771
fam71	279271
fam72	279575
fam73	280027
fam74	290033
fam75	291616
fam76	292711
fam77	295510
fam78	301371
fam79	303880
fam80	304661
fam81	316428
fam82	316922
fam83	317701
fam84	319815
fam85	323228
fam86	324321
fam88	334819
fam89	335852
fam91	342459
fam92	347267
fam93	349393
fam94	350286
fam95	350760
fam96	354041
fam98	360773
fam99	370442
fam100	372269
fam101	373185
fam102	381931
fam103	384569
fam104	384864
fam105	385171
fam106	386454
fam107	387328
fam108	409986
fam110	405071
fam111	403554
fam112	402285
fam113	401450
fam114	398610
fam115	388223
fam117	365192
fam118	360858
fam121	353404
fam123	349548
fam124	345322
fam125	339514
fam126	338651
fam127	335591
fam128	333345
fam129	331436
fam130	324144
fam131	315116
fam132	308584
fam133	308276
fam134	303238
fam135	283355
fam136	275553
fam137	264714
fam138	257168
fam139	248161
fam140	248000
fam141	247100
fam142	246288
fam143	243200
fam144	240838
fam145	239472
fam146	235766
fam147	235564
fam148	234146
fam149	233637
fam150	230030
fam151	224439
fam152	220523
fam153	217679
fam154	216640
fam155	216195
fam156	214102
fam157	207680
fam158	194891
fam159	194671
fam160	194012
fam161	185206
fam162	176879
fam163	171884
fam164	170472
fam165	166124
fam166	165361
fam167	164735
fam169	162010
fam171	161424
fam172	161151
fam173	155692
fam174	146629
fam175	143107
fam176	142539
fam177	140484
fam178	134939
fam179	124959
fam180	124606
fam181	124032
fam182	119526
fam183	99936
fam184	99342
fam185	98966
fam186	97257
fam187	96856
fam188	95426
fam189	93031
fam190	92492
fam191	91556
fam192	88329
fam194	76581
fam197	64982
fam198	64513
fam199	60614
fam200	58620
fam201	56928
fam202	41364
fam203	37442
fam205	32950
fam206	28283
fam207	27084
fam208	24949
fam209	23724
fam210	22647
fam211	22078
fam212	19805
fam213	19257
fam214	17638
fam215	16928
fam217	10547
fam218	1607
fam219	855
fam220	56
