fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.1220609731057318	0.08916758122020305	0.08460094666961968	0.057366666666666656	0.0291	0.055280324006125564	0.7326799999999999	0.4072	0.8093423908334471	125284	0.11974358974358973
fam1785	0.025718454723080517	0.031023497826511662	0.011366727044616373	0.027466666666666674	0.0182	0.024411764012914394	0.8706266666666667	0.5973	0.7133867940714599	1863093	0.09736673089274246
fam966	0.07223724822525157	0.08564582101726065	0.03183070020492533	0.059626666666666654	0.0434	0.04929939102621406	0.6741866666666667	0.4911	0.5030414639857125	1021736	0.14677640603566527
fam393	0.010334006593248948	0.0	0.013990008190581191	0.013806666666666667	0.0	0.01952647661225365	0.5767933333333333	0.1894	0.6253857161428902	429292	0.06431372549019608
fam158	0.05699896978052391	0.043756670224119526	0.03156660491825705	0.0356	0.0309	0.025407190583245	0.6729733333333333	0.791	0.39008092915302706	194443	0.1027777777777778
fam1037	0.0418922361123939	0.03176704169424222	0.018181308007841165	0.029453333333333335	0.0143	0.02867098107068462	0.6117600000000001	0.5224	0.46410192960885943	1090480	0.0874329501915709
fam3479	0.20566894695386936	0.17626583532582132	0.06499316531066297	0.034613333333333336	0.0247	0.029214034678938513	0.19003333333333333	0.0918	0.18399105654593348	843363	0.06626506024096385
fam1720	0.03952040346072149	0.03732303732303732	0.021427426157347555	0.037919999999999995	0.035	0.02365062930804732	1.4284399999999997	0.8306	1.4318427142671781	1797243	0.11490414347557204
fam5537	0.10207950008368652	0.09813586458633591	0.014768306926573863	0.05290000000000001	0.0358	0.03373986761483611	0.5381	0.3664	0.3662808721914555	481539	0.114900947459087
fam1499	0.09086577153832073	0.0735930735930736	0.07274451601546725	0.041313333333333334	0.0337	0.030753576847074048	0.5431399999999998	0.4851	0.34595676762663086	1557504	0.11692451945616503
fam3994	0.05243773843193748	0.049309664694280074	0.02847408935040131	0.023666666666666666	0.0141	0.021657598102180108	0.46198	0.3434	0.3565962688157762	260101	0.0734567901234568
fam3345	0.08235605720658509	0.045305209377449515	0.0957130686972336	0.04335333333333334	0.0288	0.03683065510625022	0.9856866666666667	0.7209	0.8281446160880088	985898	0.1245588936576061
fam4095	0.10901125578759115	0.08285550458715596	0.06913683259192141	0.05594666666666667	0.0399	0.048621214391342475	0.7548400000000001	0.3604	0.7358854827575642	166000	0.11926364234056543
fam680	0.13147703666890495	0.06737572671143359	0.17739767591709135	0.061000000000000006	0.029	0.06391552758654713	0.9163800000000001	0.4281	0.9212300409054552	712714	0.11893234016139044
fam875	0.06182998845697195	0.055007473841554556	0.05157967881390653	0.03974	0.0225	0.03679592006368822	0.6978666666666666	0.573	0.5095330851759176	925320	0.10398724082934609
fam4775	0.06730364096750846	0.06724447101016139	0.01424157327845428	0.017280000000000004	0.0172	0.005728315633761813	0.2625666666666666	0.2964	0.07996188814401244	180732	0.05682459108855047
fam4190	0.06115456885434318	0.06229758049152219	0.03641363056583522	0.04003333333333334	0.0499	0.023761387913073504	0.5925800000000001	0.4928	0.43282477316653983	50227	0.11249999999999999
fam1483	0.04916395119247123	0.051422694256961665	0.022002626846763688	0.05448000000000001	0.0317	0.04991593199236759	1.10758	0.7146	1.0571392523851024	1542284	0.1268456375838926
fam1195	0.07562076967218913	0.08092613009922824	0.015258811241390929	0.07262666666666664	0.0367	0.06872633136012879	0.9884466666666665	0.5886	1.0656522971818196	1247269	0.1437229437229437
fam5082	0.027293843128681206	0.029547105836764353	0.005962945813094911	0.025119999999999996	0.0233	0.01675192327266733	1.0581733333333332	0.8235	0.9345222040998039	992096	0.09285925925925925
fam3726	0.07906860051337518	0.07324429125376994	0.06064596388702417	0.05419333333333333	0.0357	0.04591155942558354	0.9626599999999998	0.605	1.017740123214173	556736	0.1238095238095238
fam4141	0.02472999852811264	0.01776765375854214	0.024587584527506527	0.013626666666666665	0.0039	0.017168788218418007	0.3242933333333334	0.2291	0.2568640482607266	108708	0.0630952380952381
fam3379	0.04908601714908005	0.05171627357247968	0.022345727586290245	0.055119999999999995	0.0334	0.04951455274293946	0.9602266666666668	0.704	0.8192095193674339	956435	0.13158079214861548
fam1928	0.0858103714046302	0.09249331014057585	0.026200454099587527	0.06943333333333333	0.0717	0.04555100681897407	0.7423066666666667	0.8437	0.47281413327249666	2005256	0.14907161803713528
fam657	0.07889972858032057	0.07283763277693474	0.029457545103557366	0.04889333333333334	0.0384	0.024990117157699672	0.7758333333333333	0.5194	0.583056750430198	687112	0.11386430678466078
fam4153	0.0703287840920804	0.03187415306663525	0.0921524265739244	0.027880000000000005	0.0207	0.01991067385432581	0.8443466666666669	0.8312	0.5698011207040186	93577	0.11422092646582442
fam3894	0.02400617563524078	0.020058503969912243	0.012694604242568533	0.01596	0.0105	0.013397153926611928	0.6947800000000001	0.5711	0.5124225095237979	367981	0.07908636688079942
fam5163	0.09957780225597791	0.03824085281254514	0.14380386169643747	0.04664666666666666	0.0195	0.046070509246395594	1.1407866666666666	0.5613	1.2253264810472166	908936	0.11345029239766082
fam1496	0.044970959020325635	0.04906546160408109	0.011959177212758923	0.04126666666666667	0.0213	0.03890971886588519	0.7950666666666666	0.5118	0.675682178410991	1554362	0.11160936721474837
fam4239	0.09266616002246002	0.058544739472305915	0.10968885087043141	0.04568666666666667	0.0391	0.03252502352890088	1.2671666666666668	0.6422	1.2875179033922424	13324	0.15063913470993118
fam3456	0.09257557201490854	0.09488367120753301	0.021750186989602766	0.05988666666666667	0.0424	0.04023739333284678	0.6676666666666667	0.6066	0.42780690296233215	868930	0.12314814814814815
fam3641	0.03707477557733418	0.04150746787078847	0.01570044436192077	0.029226666666666668	0.0239	0.022300776269498383	0.6560466666666668	0.5758	0.45857171720704953	662469	0.0943185904350953
