fam	loc
fam1	1353
fam2	2646
fam3	2921
fam4	3407
fam5	4606
fam6	5333
fam7	8830
fam8	10310
fam9	10613
fam10	10971
fam11	12399
fam12	13679
fam13	14226
fam14	16221
fam15	17774
fam16	25476
fam17	25982
fam18	27256
fam20	29731
fam21	30861
fam22	31984
fam23	32225
fam24	33084
fam25	37003
fam26	38557
fam27	39636
fam29	41884
fam30	43415
fam32	45749
fam33	46809
fam34	47048
fam35	48937
fam36	50150
fam37	51372
fam38	52071
fam39	52478
fam40	54256
fam41	57317
fam42	58834
fam43	60051
fam45	62340
fam46	63681
fam47	64369
fam48	65293
fam49	65941
fam50	66237
fam51	67088
fam52	67478
fam53	67838
fam54	68504
fam55	68921
fam56	69137
fam57	69425
fam58	69818
fam59	70207
fam60	70773
fam61	70974
fam62	71704
fam63	72562
fam64	73021
fam65	73534
fam66	73731
fam67	74374
fam68	75695
fam69	76488
fam70	76824
fam71	76966
fam72	77349
fam73	77750
fam74	78735
fam75	79136
fam78	83184
fam83	95631
fam84	96696
fam85	97209
fam86	97932
fam87	98734
fam88	100173
fam89	102578
fam91	107979
fam92	111705
fam93	112999
fam94	113425
fam95	115973
fam96	116622
fam97	117740
fam98	118707
fam99	119031
fam100	119434
fam101	119681
fam104	121457
fam105	122716
fam107	126264
fam108	126553
fam109	127909
fam110	128769
fam111	129698
fam112	131927
fam113	133166
fam114	134104
fam115	136096
fam116	136677
fam117	137512
fam118	138145
fam119	140586
fam123	144266
fam124	144640
fam125	144911
fam126	145497
fam127	147190
fam129	153702
fam130	154736
fam131	154911
fam132	156885
fam133	157406
fam134	159777
fam135	159978
fam136	160166
fam137	161088
fam138	163648
fam140	168146
fam142	170924
fam143	171318
fam144	172021
fam145	172781
fam146	173649
fam147	174366
fam148	176315
fam149	177602
fam151	179305
fam152	181053
fam153	184092
fam154	184784
fam155	185294
fam156	187366
fam157	191469
fam158	192510
fam159	193873
fam162	196787
fam163	197330
fam164	198211
fam165	198702
fam166	200032
fam167	200965
fam168	202615
fam169	204073
fam170	205025
fam172	208098
fam173	209488
fam174	211379
fam175	211840
fam176	212521
fam177	213526
fam178	213925
fam180	217108
fam181	218624
fam182	219370
fam184	220623
fam185	223106
fam186	224004
fam187	224752
fam189	230580
fam191	232457
fam192	234060
fam193	235343
fam194	237146
fam195	237617
fam196	238090
fam197	239013
fam198	239817
fam199	241120
fam200	243246
fam201	243855
fam202	248587
fam203	249137
fam204	249812
fam205	250553
fam207	252921
fam208	256872
fam209	257617
fam210	258165
fam211	259630
fam212	260030
fam213	261035
fam214	261830
fam215	262349
fam216	263401
fam217	264385
fam218	264797
fam229	274158
fam230	275245
fam231	276739
fam232	277915
fam233	279057
fam234	280103
fam235	282275
fam236	283528
fam237	285954
fam239	294457
fam240	295393
fam243	297184
fam244	298118
fam245	299978
fam246	301594
fam247	302426
fam248	304313
fam249	305598
fam250	306819
fam253	310010
fam254	310527
fam255	312191
fam256	313345
fam258	315048
fam259	316609
fam260	317763
fam261	318647
fam262	319811
fam263	320708
fam264	322061
fam265	323314
fam266	323738
fam267	325196
fam268	326538
fam269	327856
fam270	329418
fam271	331702
fam272	333265
fam273	334191
fam274	335270
fam275	336186
fam278	344771
fam279	345889
fam281	346940
fam282	347530
fam283	347885
fam284	348758
fam285	349968
fam286	351040
fam287	351897
fam288	352964
fam289	354170
fam290	355613
fam291	356670
fam292	357363
fam293	358793
fam294	360435
fam295	361177
fam296	362563
fam297	363810
fam298	364503
fam299	365428
fam300	366249
fam301	367120
fam302	368614
fam303	369299
fam304	370446
fam305	371355
fam306	372715
fam307	376143
fam308	376940
fam309	378315
fam310	378857
fam311	380522
fam312	381077
fam313	382254
fam314	382615
fam315	383644
fam316	384183
fam317	384892
fam319	385532
fam320	386506
fam321	387492
fam322	387989
fam323	388459
fam324	389189
fam325	389896
fam326	390432
fam327	391391
fam328	391666
fam329	392370
fam336	396500
fam338	398164
fam339	398804
fam340	399918
fam342	401283
fam343	402745
fam344	403613
fam345	405033
fam346	405753
fam347	406856
fam348	407878
fam349	408827
fam350	409631
fam351	411336
fam352	413053
fam353	413832
fam354	414653
fam355	415204
fam356	415489
fam357	416438
fam358	417327
fam359	418124
fam360	418440
fam361	419311
fam364	420445
fam365	421503
fam366	423346
fam367	424164
fam368	426535
fam370	428789
fam371	429566
fam372	431199
fam373	432828
fam374	434257
fam375	435504
fam376	435940
fam377	436993
fam378	437320
fam379	439579
fam380	440588
fam381	442014
fam382	443110
fam383	444445
fam384	445596
fam385	446339
fam386	446676
fam387	447653
fam388	449168
fam389	450913
fam390	451734
fam391	453778
fam392	455986
fam393	456581
fam394	457172
fam395	457617
fam396	459217
fam397	460682
fam398	461314
fam399	463081
fam400	463870
fam401	464212
fam402	466660
fam403	467662
fam404	468974
fam405	469752
fam407	472469
fam408	473470
fam409	474104
fam410	475538
fam411	475900
fam412	477213
fam413	477975
fam414	479353
fam415	479993
fam416	480617
fam418	488732
fam419	489741
fam426	500513
fam427	501877
fam428	502455
fam429	502675
fam430	504062
fam431	505396
fam432	505649
fam434	509274
fam435	509780
fam436	510086
fam440	512365
fam441	513197
fam444	516204
fam445	516809
fam446	519786
fam447	521114
fam448	522278
fam449	523987
fam450	525405
fam451	527900
fam452	528781
fam453	529943
fam454	530879
fam455	532408
fam456	533361
fam457	535075
fam458	536559
fam459	540016
fam460	541051
fam461	541945
fam462	543358
fam463	544172
fam464	545902
fam465	546424
fam468	548031
fam469	550695
fam470	551392
fam472	552801
fam473	553492
fam475	555124
fam477	557437
fam478	557685
fam479	558408
fam480	559104
fam481	560182
fam482	560967
fam483	561801
fam484	562763
fam486	565542
fam489	567716
fam490	568511
fam492	573270
fam493	574289
fam494	575080
fam495	575856
fam496	576523
fam497	577941
fam498	578535
fam499	579526
fam500	580376
fam501	580588
fam502	581791
fam503	582413
fam504	583094
fam505	583936
