fam	loc
fam1	994394
fam2	996288
fam3	997821
fam4	998407
fam5	999728
fam6	1000239
fam7	1001112
fam8	1002477
fam9	1002991
fam10	1003633
fam11	1004511
fam12	1006442
fam13	1008049
fam14	1008792
fam15	1009242
fam16	1009955
fam17	1010545
fam18	1010959
fam19	1011914
fam20	1012365
fam21	1014091
fam29	1025686
fam32	1028025
fam33	1028551
fam34	1028736
fam35	1029998
fam36	1030268
fam42	1034726
fam43	1035675
fam44	1036637
fam45	1037535
fam46	1037817
fam47	1038665
fam48	1041338
fam49	1042483
fam50	1043429
fam51	1043981
fam52	1044710
fam53	1045648
fam54	1046400
fam55	1049103
fam56	1049777
fam57	1050408
fam58	1050802
fam59	1052155
fam60	1052695
fam61	1053434
fam62	1054204
fam63	1055457
fam64	1056383
fam65	1057616
fam66	1058674
fam67	1059717
fam68	1061120
fam69	1061591
fam70	1062993
fam71	1063707
fam72	1064568
fam73	1065276
fam74	1065974
fam75	1067112
fam76	1068599
fam77	1069346
fam78	1070250
fam79	1071854
fam80	1072512
fam81	1073649
fam82	1074830
fam83	1076035
fam84	1076586
fam85	1077486
fam86	1078360
fam87	1079028
fam88	1079835
fam89	1080014
fam90	1080514
fam91	1082508
fam92	1083040
fam93	1083537
fam94	1084778
fam95	1085757
fam96	1086520
fam97	1087184
fam98	1087450
fam99	1087986
fam100	1088985
fam101	1090162
fam102	1091250
fam103	1092237
fam104	1095995
fam105	1098421
fam106	1098670
fam107	1099531
fam108	1102073
fam113	1112846
fam130	1141927
fam134	1145135
fam135	1146098
fam149	1161537
fam150	1162000
fam151	1163450
fam152	1165406
fam153	1166260
fam154	1167031
fam155	1167914
fam156	1168583
fam157	1169337
fam158	1170097
fam159	1171005
fam160	1171601
fam161	1219438
fam162	1218669
fam163	1217892
fam164	1217327
fam165	1216062
fam166	1215667
fam167	1214215
fam168	1213674
fam169	1212846
fam170	1212546
fam171	1211939
fam172	1211031
fam173	1210393
fam174	1209566
fam175	1208833
fam176	1206744
fam177	1205586
fam178	1205336
fam179	1204584
fam180	1203661
fam181	1203547
fam182	1201817
fam183	1200688
fam184	1199873
fam185	1199405
fam186	1197237
fam187	1196509
fam188	1195819
fam189	1195007
fam191	1191661
fam192	1190562
fam193	1189231
fam194	1187575
fam195	1186655
fam200	1181769
fam201	1178359
fam202	1177112
fam203	1176717
fam204	1175617
fam205	1174787
fam206	1174127
fam207	1173225
fam208	1172692
fam209	1172360
fam210	1171325
fam211	1169546
fam212	1168853
fam213	1168352
fam214	1166774
fam215	1165460
fam216	1164507
fam217	1163516
fam218	1162881
fam219	1162120
fam220	1161051
fam221	1160581
fam222	1159164
fam223	1155273
fam224	1153633
fam225	1152591
fam226	1151648
fam227	1148846
fam228	1148406
fam235	1142197
fam236	1139707
fam237	1137031
fam238	1136040
fam243	1131321
fam244	1130953
fam245	1130636
fam246	1127024
fam247	1121219
fam248	1120798
fam252	1118048
fam257	1112640
fam258	1111257
fam259	1108260
fam260	1108091
fam262	1105675
fam263	1105029
fam266	1103024
fam267	1101700
fam268	1100935
fam269	1099663
fam270	1099405
fam271	1099081
fam272	1098446
fam273	1097967
fam274	1097170
fam275	1096357
fam276	1095196
fam277	1094660
fam278	1094032
fam279	1093524
fam280	1092793
fam281	1092439
fam282	1091757
fam283	1089974
fam284	1088676
fam285	1087842
fam286	1087524
fam287	1086607
fam288	1084891
fam289	1084285
fam290	1083846
fam291	1082298
fam292	1081533
fam293	1080004
fam295	1077330
fam296	1076717
fam297	1075442
fam299	1073522
fam300	1072425
fam301	1071689
fam302	1070795
fam303	1069621
fam304	1069154
fam305	1068669
fam306	1068193
fam311	1063834
fam312	1063101
fam313	1058068
fam314	1056190
fam315	1055682
fam316	1054133
fam317	1053221
fam318	1052403
fam319	1050955
fam320	1049273
fam321	1048652
fam322	1047909
fam323	1046461
fam324	1044049
fam325	1043082
fam326	1041060
fam327	1040535
fam328	1038714
fam329	1037887
fam330	1035647
fam331	1034542
fam332	1033380
fam333	1032297
fam334	1029523
fam335	1028354
fam336	1026481
fam337	1025729
fam338	1024511
fam339	1023924
fam340	1023545
fam341	1022069
fam342	1021121
fam343	1020000
fam344	1018857
fam345	1018056
fam346	1017640
fam347	1017076
fam348	1015740
fam349	1014970
fam350	1014076
fam351	1013532
fam352	1012345
fam397	953018
fam398	952155
fam399	951621
fam400	950499
fam401	949470
fam402	948223
fam403	947387
fam404	946409
fam405	944769
fam406	944366
fam407	943212
fam408	942137
fam410	939979
fam411	936833
fam412	935418
fam413	934499
fam414	934061
fam415	932194
fam416	928854
fam417	928153
fam418	927299
fam419	925879
fam420	924958
fam421	924455
fam422	924164
fam423	923670
fam424	922177
fam426	919050
fam427	917860
fam428	917288
fam429	914370
fam430	913016
fam431	912229
fam432	911019
fam433	909869
fam434	908987
fam435	908348
fam436	907215
fam437	906436
fam438	905999
fam439	904881
fam440	904371
fam441	901981
fam442	900567
fam443	899322
fam444	898534
fam445	897785
fam446	897216
fam447	896476
fam448	895458
fam449	894613
fam450	893527
fam451	890769
fam452	890556
fam453	890196
fam454	889217
fam455	887944
fam456	887546
fam457	887233
fam458	886178
fam459	884593
fam460	883259
fam461	882166
fam462	880747
fam463	880102
fam464	879269
fam465	878499
fam466	877617
fam467	876529
fam468	875264
fam469	873151
fam470	872540
fam471	871657
fam472	870545
fam473	869776
fam474	869153
fam475	868032
fam476	866954
fam477	865887
fam478	865329
fam479	863257
fam480	862726
fam481	862169
fam482	861117
fam483	860656
fam484	859875
fam485	859687
fam486	858675
fam487	856186
fam488	855405
fam489	854369
fam490	852575
fam494	848140
fam495	846772
fam496	844073
fam497	843683
fam498	842394
fam499	842181
fam500	841243
fam501	839964
fam502	839263
fam503	838947
fam504	837541
fam505	836741
fam506	833041
fam507	832494
fam508	831512
fam509	829640
fam510	829259
fam511	828106
fam512	827053
fam513	826118
fam514	824900
fam515	822418
fam516	821591
fam517	821200
fam518	820613
fam519	819966
fam520	818475
fam521	817104
fam522	815925
fam523	815040
fam524	814284
fam525	813784
fam526	813536
fam527	811862
fam528	810838
fam529	809467
fam530	808380
fam531	807380
fam532	806746
fam533	806084
fam534	804535
fam535	803942
fam536	802459
fam537	801953
fam538	801498
fam539	800334
fam540	799313
fam541	798084
fam542	797121
fam543	796357
fam544	795715
fam545	794233
fam546	793527
fam547	793301
fam548	792394
fam550	790318
fam551	789238
fam552	788349
fam553	787050
fam554	786274
fam555	785492
fam556	784006
fam557	783359
fam558	781579
fam559	780154
fam560	778468
fam561	777661
fam562	775706
fam563	774801
fam564	774091
fam565	773459
fam566	772924
fam567	772545
fam568	771888
fam569	769158
fam570	767751
fam571	766653
fam572	765487
fam573	763841
fam574	762580
fam575	759682
fam576	758730
fam577	756946
fam578	756574
fam579	756206
fam580	754567
fam581	753903
fam582	753545
fam583	752667
fam584	751987
fam585	750198
fam586	749584
fam587	749392
fam588	748481
fam589	746949
fam590	746419
fam591	743980
fam592	743750
fam593	743064
fam594	741657
fam595	739588
fam597	738497
fam598	737259
fam599	736799
fam600	736201
fam601	735851
fam602	735222
fam603	734553
fam604	733632
fam605	733189
fam606	732831
fam607	732036
fam608	731281
fam609	730733
fam610	730111
fam611	728916
fam612	727817
fam613	727135
fam614	725777
fam615	724957
fam617	723496
fam618	722191
fam619	719899
fam620	718070
fam621	717362
fam622	716785
fam623	714823
fam624	714125
fam625	713267
fam626	712705
fam627	711620
fam628	711078
fam629	709978
fam630	709508
fam631	708747
fam632	707313
fam633	706743
fam636	698388
fam637	697598
fam638	696264
fam639	694086
fam640	693278
fam641	691376
fam642	689314
fam643	687232
fam644	686198
fam645	685689
fam646	684218
fam647	683092
fam648	682183
fam649	680531
