fam	loc
fam1	838136
fam2	835319
fam3	834642
fam4	833755
fam5	832945
fam6	831858
fam7	830198
fam8	829229
fam9	828133
fam10	826982
fam11	825466
fam12	824415
fam13	823693
fam14	821146
fam15	819735
fam16	818562
fam18	814142
fam19	812526
fam21	811232
fam22	809313
fam23	807666
fam24	806497
fam27	803688
fam28	802782
fam29	801856
fam31	800107
fam32	793749
fam33	793190
fam34	792459
fam35	791297
fam36	789815
fam37	789097
fam38	788012
fam39	786330
fam40	784837
fam41	783998
fam42	783273
fam43	782070
fam44	781132
fam45	780095
fam46	778654
fam47	777549
fam48	775590
fam49	774459
fam50	773652
fam51	772587
fam52	771197
fam53	768945
fam54	768230
fam55	767699
fam56	765464
fam59	760228
fam60	758752
fam62	757140
fam63	753649
fam65	750330
fam66	749793
fam67	749166
fam68	748418
fam69	746695
fam70	745369
fam71	743944
fam72	743187
fam75	740425
fam76	739756
fam79	736198
fam80	733438
fam81	732010
fam82	731716
fam83	730388
fam84	728161
fam85	727690
fam86	726476
fam87	725787
fam88	724681
fam89	723280
fam90	722181
fam93	716337
fam94	715851
fam95	713904
fam96	712992
fam97	711962
fam98	711495
fam103	707946
fam105	706619
fam107	705026
fam108	703948
fam109	703076
fam110	702828
fam111	702131
fam114	699821
fam115	698852
fam116	697962
fam118	694538
fam119	693619
fam122	688288
fam123	686465
fam124	684573
fam135	669610
fam136	668681
fam137	667938
fam140	665209
fam141	663353
fam142	662773
fam143	662333
fam144	661221
fam145	659520
fam146	658467
fam147	655042
fam148	653399
fam149	651917
fam150	650883
fam151	649755
fam152	649025
fam153	647824
fam154	646654
fam155	645767
fam156	643968
fam157	641593
fam158	639526
fam160	634016
fam161	632743
fam162	631712
fam164	628859
fam165	627075
fam166	625695
fam167	619488
fam168	618270
fam169	617179
fam170	615777
fam171	615250
fam173	613587
fam174	612554
fam175	611638
fam176	610379
fam177	609296
fam178	607681
fam179	605629
fam180	604020
fam181	601190
fam182	598829
fam183	596855
fam184	594402
fam185	591587
fam186	589097
fam187	588054
fam188	587241
fam189	586406
fam190	585969
fam192	584377
fam193	583875
fam194	582846
fam195	581736
fam196	580838
fam197	579350
fam198	578082
fam199	577112
fam200	575346
fam201	574636
fam202	573198
fam203	572804
fam204	570809
fam205	569603
fam206	569155
fam208	565532
fam209	565185
fam212	561375
fam213	560650
fam214	559483
fam215	558393
fam216	557103
fam217	556426
fam218	555137
fam219	554187
fam220	553203
fam221	552066
fam223	547846
fam225	545488
fam227	543258
fam229	540249
fam230	538192
fam231	536863
fam232	533478
fam233	532871
fam234	531751
fam238	526976
fam239	526293
fam240	525355
fam241	523427
fam242	521887
fam243	520865
fam244	519619
fam245	518307
fam246	516322
fam247	514275
fam248	511877
fam249	511368
fam250	510924
fam251	509477
fam252	507184
fam253	505859
fam254	503485
fam255	502246
fam256	500828
fam259	498143
fam260	497209
fam261	496409
fam262	495760
fam264	493663
fam265	491605
fam267	489415
fam268	485835
fam270	483678
fam271	482932
fam272	482301
fam273	481259
fam274	479559
fam279	475715
fam281	474687
fam282	474079
fam283	473168
fam284	471338
fam285	470735
fam286	469649
fam287	469007
fam288	468280
fam289	467701
fam290	467489
fam291	465940
fam293	464805
fam294	463374
fam295	462831
fam296	461641
fam297	460253
fam298	458765
fam300	456734
fam301	455827
fam304	454092
fam305	453371
fam307	451998
fam308	451219
fam309	450005
fam312	448624
fam313	447724
fam314	446783
fam315	445879
fam317	444655
fam318	443709
fam319	443210
fam321	441946
fam322	439775
fam323	439147
fam324	437680
fam325	435994
fam328	432536
fam329	431607
fam330	430400
fam331	429650
fam332	428136
fam333	427087
fam334	426559
fam335	424948
fam336	424129
fam338	423662
fam339	423208
fam341	422179
fam342	421755
fam343	420343
fam345	418646
fam346	417816
fam348	410824
fam349	409566
fam350	408264
fam351	406859
fam353	403590
fam356	400037
fam357	398692
fam358	398536
fam359	396676
fam362	392177
fam363	390444
fam364	387578
fam365	385616
fam366	384881
fam368	382580
fam372	377260
fam373	374946
fam374	373831
fam375	373626
