fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1043575	0.0
fam1571	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	890665	0.0
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1123554	0.0
fam1720	nan	nan	nan	0.0004222222222222222	0.0	0.0007899054483189432	0.0	0.0	0.0	728697	0.0003578457684737878
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1116737	0.0
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	759427	0.0
fam1781	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	662851	0.0
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.006222222222222222	0.0112	0.005565324743999477	484258	0.0011870845204178537
fam1195	0.04573170731707316	0.0	0.0891475092513015	0.00019999999999999998	0.0	0.00037416573867739413	0.0031888888888888895	0.0041	0.002577011380324307	1316126	0.0007358351729212655
fam98	0.1665268090955052	0.15217391304347827	0.12022974516268846	0.010133333333333333	0.0105	0.00613740806674754	0.06761944444444444	0.06175	0.044202525188327096	109774	0.02239243998356518
fam657	0.24309345806878524	0.20512820512820515	0.2092246363342003	0.0005972222222222223	0.0	0.0008156408901767953	0.0021805555555555554	0.002	0.0021562337850526483	738216	0.0008657031014754591
fam1988	0.03273809523809524	0.0	0.08661685839794792	0.0002444444444444445	0.0	0.00045731368060570395	0.0009333333333333333	0.0	0.0017461067804945061	442002	0.00038884028385340725
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	288173	0.0
fam1040	0.0	0.0	0.0	0.0	0.0	0.0	0.004022222222222222	0.0	0.0075248887445120375	1125860	0.00925925925925926
fam1786	0.16733124661907614	0.28272251308900526	0.14845903278633252	0.0062944444444444445	0.0	0.00789053386605482	0.02205	0.0029	0.025712248486319162	655323	0.009505593230162871
fam355	0.0	0.0	0.0	0.0	0.0	0.0	0.008594444444444444	0.0	0.01077370627563144	406097	0.0014730639730639729
fam1784	0.2471042471042471	0.21621621621621623	0.07565991483500165	0.0004888888888888889	0.0008	0.00047245092501042884	0.001438888888888889	0.0	0.0018037426796306032	658730	0.0006626905235255137
fam2375	0.04047619047619048	0.0	0.05259695722470124	0.0001333333333333333	0.0	0.0002494438257849294	0.002333333333333334	0.002	0.0023333333333333335	25359	0.0006181080947436086
fam2090	0.1546218487394958	0.1546218487394958	0.0	0.004599999999999999	0.0046	0.0046	0.02974999999999999	0.02975	0.029749999999999995	338756	0.011041009463722396
fam2139	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	292562	0.026666666666666665
fam519	0.10119047619047616	0.0	0.1191326227136069	0.0005305555555555555	0.0	0.0006522693055123628	0.0037333333333333333	0.0056	0.0034922135609890123	588123	0.0010673497705197992
fam1093	0.07954545454545453	0.0	0.11249426064331437	0.00046666666666666666	0.0	0.0008730533902472531	0.0044	0.0044	0.004399999999999999	1201427	0.0012037037037037038
fam2025	0.011733844998250254	0.0	0.014998448744099805	0.0003333333333333333	0.0	0.0006236095644623237	0.012880555555555557	0.0052	0.01945380310496931	406680	0.0030646844027125714
fam594	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	670526	0.0
fam346	0.05768487610697944	0.036303630363036306	0.05118805228599282	0.0034805555555555553	0.00365	0.0019103256622373236	0.08813611111111114	0.0775	0.06139195637132576	396900	0.018295224484935094
fam643	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	722728	0.0
fam922	nan	nan	nan	0.0006666666666666669	0.0	0.0008249579113843054	0.0	0.0	0.0	997840	0.0005291005291005291
