fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.08489041868463866	0.07560137457044674	0.10851743667558225	0.0018535462394303514	0.0022	0.0019782721084320837	0.024994448776145976	0.0243	0.01930931771126374	223045	0.008967177785869375
fam4124	0.10071651023718357	0.08741258741258741	0.07862181743337536	0.002949814851467334	0.0013	0.00500111496393216	0.025881932813933826	0.0227	0.025565185782999468	519561	0.00974001847786754
fam1785	0.06120723240697717	0.050505050505050504	0.07979241624138211	0.0022304711356170128	0.0025	0.002677466182877676	0.03709521302768492	0.037	0.022804633778817345	1932919	0.01265744444163045
fam966	0.04122128181548549	0.0	0.06025109159444044	0.0009425129771564569	0.0	0.0014563027583830385	0.022849236362273487	0.0201	0.020948825599836466	1042398	0.007210502432358284
fam393	0.004178545548745763	0.0	0.02237750185471128	0.00019220303674591415	0.0	0.000694872694839876	0.027090717236146016	0.0199	0.03281101595761718	476760	0.007585431844231749
fam1037	0.34962161265621633	0.42424242424242425	0.1642074253767715	0.03495479336949049	0.0057	0.03773080274405061	0.0980819112367275	0.034	0.12691373474749346	1121263	0.05286109752512571
fam3479	0.2619757559381983	0.21171171171171171	0.29796852610121854	0.004725637283621838	0.0	0.006286909976868744	0.009811461695517087	0.0	0.020922926981577095	1220831	0.00618474133254426
fam3276	0.056962910501793765	0.046511627906976744	0.05668176424266708	0.001738341074498043	0.0012	0.001282468395574236	0.0357134703580441	0.0312	0.02332251443193731	1442070	0.01212850786893265
fam1499	0.07431704834649214	0.0	0.10239228417180626	0.0024182057700843323	0.0	0.003614851417305951	0.03259075259653794	0.0286	0.025517171758051765	1621981	0.011379120746291318
fam2659	0.10051543567873934	0.0	0.16548342028060434	0.0039635425011125954	0.0	0.005790854577959605	0.029117749532710284	0.017	0.048183021881732034	2079488	0.011407605201997725
fam1031	0.001406294876495871	0.0	0.01924592498863195	1.8343075701811356e-05	0.0	0.0003544893024979575	0.011854340405571193	0.0	0.023885378435013017	1114643	0.004093918786469906
fam4095	0.024974728789338617	0.02444987775061125	0.040308592558071385	0.0026379761250294514	0.003	0.002958780627188665	0.10024346972433834	0.0771	0.09172768773178172	547589	0.031429588313712675
fam680	0.13282563183918936	0.11671924290220821	0.1296804411330765	0.0036216511318242343	0.0037	0.0023772437293399316	0.03291799698180204	0.0287	0.029130106257585848	754456	0.012177362139025656
fam875	0.10588690457041412	0.10511363636363637	0.06714627768263207	0.004266035425011125	0.0036	0.003743019428887459	0.04184600729862038	0.0412	0.028689063147493237	942746	0.01479151037361985
fam4190	0.055383323794487474	0.04731182795698925	0.06560454603059485	0.0020042519453929803	0.0	0.0026451021738714314	0.031683123939608704	0.0254	0.033929983086320704	438593	0.010449397704299668
fam1781	0.22678348227211167	0.19865319865319864	0.18450019790019345	0.005725992082718722	0.0059	0.004703047316653299	0.030725893744773566	0.0298	0.021872648431623877	1929970	0.012586756699938646
fam425	0.0025753127973565364	0.0	0.03257907363699306	3.851124136995493e-05	0.0	0.00033196307665313377	0.0023533756238264206	0.0	0.006374972663296131	492645	0.0007270110258196758
fam1195	0.07976431817136183	0.06196840826245444	0.08443019853844456	0.0015912907048970823	0.0013	0.0014316643715953626	0.026354907077529393	0.0219	0.02224442851834057	1282085	0.009183114699298223
fam3726	0.005703524340188293	0.0	0.025672161275863924	0.00010564622055886425	0.0	0.0003684433147771588	0.024386601291901323	0.0231	0.02227707111307357	930192	0.006985042903873888
fam4141	0.0014482856963377116	0.0	0.018763243348107098	1.9982910547396525e-05	0.0	0.00022282813754142503	0.021578296751223854	0.0179	0.03154805310448298	502312	0.006159683360319669
fam3111	0.11945212657694952	0.0	0.19976814806723317	0.0006169451424235265	0.0	0.002448585301855149	0.0034429224921074665	0.0	0.011416534385444507	1612962	0.0015034856585934846
fam657	0.027742875761540775	0.02077922077922078	0.030935708565152563	0.0011658230363051432	0.0008	0.0022603797558223503	0.03276213444594729	0.0273	0.03168783483370138	728704	0.010532168616926357
fam4153	0.20363170351674723	0.14792899408284024	0.24668299315463918	0.00365682777036048	0.0026	0.003635772342826133	0.0271857684023142	0.0225	0.026617447396890766	489453	0.010720437799167554
fam1496	0.02148277326151571	0.016034985422740528	0.05519863222632421	0.0009748313259033435	0.0011	0.0014805813090189553	0.05577186016292669	0.05	0.039092126054445085	1619331	0.014507536409793796
fam4592	0.016079267439772085	0.014285714285714287	0.018081832788874062	0.0014496313238694528	0.0015	0.0016666209076319951	0.09152001804007472	0.0835	0.0692508831636436	31461	0.02130040613385759
fam1988	0.1326936788421633	0.09781790820165538	0.15437899413602962	0.0034332691581049706	0.0026	0.003967508240561994	0.03166836389153786	0.0293	0.028644050203071314	2125204	0.0114560699569966
fam265	0.08137236311925428	0.07374631268436578	0.06197438540746967	0.002603777938204917	0.0025	0.0026366704550552338	0.03390952393044879	0.031	0.02432398872193078	333634	0.012836811053419677
fam2943	0.04983466246089965	0.039344262295081964	0.042805989370502964	0.0022556710792191632	0.0012	0.0029298901424371047	0.043619640635146346	0.0414	0.03126506280378462	1786490	0.013090744038711232
fam3456	0.024325863517573647	0.0	0.04756764966385832	0.0004994149968955357	0.0	0.0008777220859598579	0.024971284243318216	0.0189	0.03076441407761654	1247274	0.007390526575643427
fam1786	0.07369622104860606	0.06209150326797386	0.07541441363878998	0.0028185465829544637	0.0019	0.0022787132949841638	0.04181723100238147	0.0431	0.02313079088011932	1933676	0.014360790273300181
fam3641	0.002119073666350844	0.0	0.012298790577613135	0.00014100975989376208	0.0	0.0006725451711765222	0.047565202801596415	0.044	0.0404726860206494	1023411	0.014456721988332762
fam443	0.1375398347767371	0.1372549019607843	0.08516693255655997	0.0044600543259016205	0.0041	0.00514761288058333	0.0296317414640331	0.0277	0.024989095167156472	504956	0.01231427235562585
fam3286	0.15746468247045722	0.1266233766233766	0.15458573416092955	0.003928744677780183	0.0039	0.003587005416252131	0.03063944071588367	0.0245	0.03025998957015438	1428061	0.011558864960400695
fam4262	0.19627402179101025	0.223463687150838	0.20084004979177567	0.002414605785491767	0.004	0.0023939076517359567	0.017109485358255454	0.0089	0.022672060874082228	348427	0.006761753984061323
fam3216	0.007692498314611424	0.0	0.02855934307457259	0.0003037270813466003	0.0	0.0011560650603418014	0.03196321176026053	0.0276	0.029056814804709556	1499233	0.009447660520112408
fam355	0.14855862621602003	0.11470588235294116	0.11468018684860105	0.006509907856191745	0.0039	0.005803438582798918	0.04893401864181091	0.044	0.06073318652524769	436335	0.01773906161567058
fam4434	0.007106929034666528	0.0	0.01908038361501817	0.00047125793727494645	0.0	0.0015806413206748897	0.036913963876897965	0.0259	0.033975907730885525	144107	0.010412343622531055
fam1784	0.16132012765696171	0.1593220338983051	0.12583857585074082	0.005525531861153208	0.0047	0.005001895725310317	0.038381628418849685	0.0358	0.027091952119340276	1932351	0.014393950001741313
