fam	loc
fam1	3840
fam2	5270
fam3	6228
fam4	7161
fam5	8160
fam6	9153
fam7	10663
fam8	11090
fam9	13173
fam10	14892
fam11	16337
fam12	17330
fam13	17940
fam14	18480
fam15	20744
fam16	21475
fam17	22471
fam18	23295
fam19	23584
fam20	24103
fam21	24651
fam22	26205
fam23	27120
fam24	28534
fam25	28974
fam26	30483
fam27	32538
fam28	33856
fam29	34944
fam30	35834
fam31	36655
fam32	37407
fam33	38117
fam34	39620
fam35	40278
fam36	41061
fam39	44775
fam40	46491
fam41	46751
fam42	47074
fam43	47231
fam44	49264
fam45	50369
fam46	51442
fam47	53882
fam54	62027
fam55	62943
fam56	63818
fam57	64419
fam58	65564
fam59	67019
fam60	68300
fam61	68629
fam62	69355
fam63	69920
fam64	71773
fam65	72487
fam66	74332
fam67	75651
fam68	76091
fam69	76428
fam70	77797
fam124	129922
fam125	130931
fam126	131440
fam127	131594
fam130	133056
fam131	134851
fam132	135142
fam133	135861
fam134	137363
fam135	138666
fam136	140190
fam141	144782
fam142	145736
fam143	147249
fam144	147691
fam145	149070
fam146	150413
fam147	150739
fam148	151983
fam149	152328
fam155	160535
fam158	163786
fam178	187021
fam179	188127
fam180	188640
fam181	189465
fam182	190108
fam229	234377
fam230	236200
fam231	237710
fam232	239137
fam235	244034
fam236	244329
fam237	245007
fam246	255968
fam247	257040
fam248	257882
fam249	258590
fam250	259269
fam251	259846
fam252	261041
fam253	261877
fam254	262331
fam255	262521
fam256	263403
fam257	263885
fam258	264659
fam259	265933
fam260	266989
fam261	268101
fam262	269231
fam263	270298
fam264	271402
fam266	273455
fam268	275492
fam269	276427
fam270	277837
fam271	278875
fam275	282988
fam276	284275
fam277	285829
fam278	286509
fam279	286772
fam280	287271
fam281	288290
fam282	289187
fam283	289523
fam284	291633
fam285	293169
fam286	294443
fam287	294917
fam288	296518
fam289	297864
fam290	298924
fam291	300111
fam292	301370
fam293	302044
fam294	303179
fam295	304431
fam296	305507
fam297	306856
fam298	307609
fam299	309191
fam300	311479
fam301	312675
fam302	313436
fam303	314395
fam305	317268
fam306	317821
fam307	318160
fam308	319020
fam309	319724
fam310	320623
fam311	321339
fam312	323581
fam314	324888
fam315	326247
fam316	326766
fam317	327796
fam318	329716
fam319	330398
fam320	331015
fam321	332119
fam322	332951
fam323	333933
fam324	334774
fam325	337152
fam326	338006
fam327	339027
fam328	340623
fam329	341445
fam330	342064
fam331	343701
fam332	344032
fam333	344578
fam334	345351
fam335	346175
fam336	346663
fam337	348329
fam338	349070
fam339	350906
fam340	351232
fam341	352273
fam342	352730
fam343	353763
fam344	355071
fam345	356127
fam346	356880
fam347	357999
fam348	358841
fam349	361333
fam350	361742
fam351	362301
fam352	364444
fam354	368774
fam355	369955
fam356	370867
fam357	371861
fam358	372871
fam359	373865
fam360	375927
fam361	376538
fam362	377085
fam363	377670
fam364	378378
fam365	379165
fam366	379597
fam367	383945
fam368	388245
fam369	388678
fam370	388986
fam371	390708
fam372	392174
fam373	392941
fam374	393143
fam375	393882
fam376	394510
fam377	396405
fam378	397145
fam379	398014
fam380	399117
fam381	399798
fam382	400430
fam383	400889
fam384	401593
fam385	402934
fam386	404539
fam387	411082
fam388	412954
fam389	414290
fam390	416093
fam391	416944
fam392	420821
fam393	422569
fam396	424202
fam398	425470
fam399	426913
fam400	428937
fam401	429546
fam402	430248
fam403	430982
fam404	433078
fam405	433667
fam406	434656
fam407	436215
fam408	437527
fam409	439008
fam410	440361
fam411	441414
fam414	444886
fam415	445765
fam416	448278
fam417	448801
fam418	449518
fam419	450919
fam420	451248
fam421	451808
fam422	452414
fam477	498245
fam478	498624
fam479	499792
fam480	501265
fam481	502361
fam482	503664
fam483	504646
fam484	505175
fam485	505531
fam486	508357
fam487	509139
fam488	509482
fam490	513157
fam491	513490
fam492	514047
fam493	515075
fam494	516722
fam495	518521
fam496	519484
fam497	519997
fam498	520679
fam499	522362
fam500	522673
fam501	524760
fam502	526497
fam503	527252
fam504	527526
fam505	530983
fam506	531984
fam507	532844
fam508	533541
fam509	534604
fam510	535628
fam511	537145
fam512	539624
fam520	546843
fam521	547656
fam522	548100
fam523	548644
fam524	549777
fam525	550454
fam526	551417
fam527	552259
fam528	553316
fam529	553900
fam530	554349
fam531	555075
fam532	555875
fam533	557008
fam534	557820
fam535	558425
fam536	558841
fam537	561787
fam538	562662
fam539	563687
fam540	565836
fam541	566823
fam545	575413
fam546	577166
fam547	577465
fam548	578880
fam549	580433
fam550	581233
fam551	582504
fam552	582976
fam553	584662
fam557	587594
fam558	588688
fam559	589295
fam560	589484
fam561	589739
fam562	590376
fam563	590956
fam564	591483
fam565	592787
fam566	593795
fam567	594184
fam568	594590
fam569	595335
fam570	597118
fam571	598406
fam573	604431
fam574	605614
fam575	606234
fam576	608158
fam577	609680
fam578	610134
fam579	611488
fam580	613342
fam581	614285
fam582	614682
fam583	616037
fam584	617353
fam585	618360
fam586	618629
fam587	620031
fam588	620649
fam589	623129
fam590	623924
fam591	625290
fam592	627108
fam593	629036
fam594	629482
fam595	629960
fam596	630820
fam605	637924
fam606	638660
fam607	638981
fam608	639213
fam609	639704
fam611	641471
fam612	642323
fam614	644047
fam615	646691
fam616	647736
fam617	648636
fam618	649566
fam619	650037
fam620	652074
fam621	653005
fam622	653556
fam623	654087
fam624	655501
fam631	663649
fam632	665607
fam633	669380
fam634	669727
fam635	670415
fam636	671681
fam637	673287
fam638	674323
fam639	675311
fam640	676973
fam641	678008
fam642	679561
fam643	680217
fam644	681665
fam645	682095
fam647	683076
fam648	683449
fam649	683751
fam650	684550
fam651	685205
fam652	686381
fam653	687483
fam654	688220
fam655	689472
fam656	691402
fam657	691899
fam658	694143
fam664	702062
fam665	703535
fam666	704607
fam667	707702
fam668	710289
fam670	712347
fam671	712882
fam672	713827
fam674	714546
fam675	716030
fam676	717081
fam677	718113
fam678	719344
fam679	720472
fam680	721617
fam681	723599
fam682	725208
fam683	726830
fam684	727593
fam687	729881
fam688	730471
fam689	731277
fam717	752544
fam719	754598
fam721	757376
fam722	757659
fam723	757916
fam724	758320
fam726	764536
fam728	765793
fam729	767049
fam734	772540
fam735	772878
fam736	774352
fam737	774934
fam738	775517
fam740	776849
fam741	777913
fam742	778979
fam743	780247
fam745	783209
fam746	783935
fam747	785705
fam750	789194
fam751	789408
fam752	791627
fam754	792734
fam755	794314
fam756	795400
fam757	796715
fam758	797531
fam759	798344
fam761	798926
fam762	799787
fam763	801256
fam764	802530
fam765	803239
fam766	804987
fam767	805818
fam768	808109
fam769	808863
fam770	809685
fam771	810227
fam772	810782
fam773	811319
fam774	811837
fam775	812604
fam777	814369
fam778	814859
fam779	816534
fam780	817400
fam781	818560
fam782	819045
fam783	820580
fam784	821096
fam785	821508
fam786	822205
fam787	823887
fam788	824808
fam789	825095
fam790	826270
fam791	827049
fam792	827904
fam793	829414
fam794	830456
fam795	831878
fam796	833155
fam797	834001
fam800	836873
fam801	838334
fam802	839602
fam803	840687
fam804	841694
fam805	843490
fam806	845654
fam807	846039
fam808	846582
fam809	847278
fam810	848144
fam811	848829
fam812	849594
fam813	849830
fam814	850916
fam816	853739
fam817	854670
fam818	855960
fam819	856496
fam820	857302
fam821	858802
fam822	860018
fam823	860716
fam824	862161
fam825	862704
fam826	864914
fam827	866147
fam828	867495
fam829	868454
fam830	868776
fam833	870031
fam834	872893
fam835	873393
fam836	873959
fam837	874911
fam846	882867
fam847	884470
fam848	887713
fam849	888087
fam851	892013
fam852	893871
fam853	894465
fam854	895353
fam855	895735
fam856	896560
fam857	897543
fam858	898829
fam859	901234
fam860	902289
fam861	902980
fam862	905899
fam863	908384
fam864	909236
fam865	910825
fam866	912545
fam867	913728
fam868	914614
fam869	915323
fam870	916917
fam871	917876
fam872	919700
fam873	919941
fam874	921241
fam876	922307
fam877	923718
fam878	924812
fam879	926383
fam881	928134
fam882	930235
fam883	930728
fam884	931912
fam885	932961
fam886	933905
fam887	934267
fam888	936049
fam889	937523
fam890	938878
fam891	939954
fam892	941273
fam893	942517
fam894	943578
fam895	945113
fam896	946026
fam897	946870
fam898	948123
fam899	949338
fam900	950357
fam901	951141
fam902	953905
fam903	954355
fam904	954584
fam905	955337
fam906	955957
fam907	957229
fam908	958447
fam909	959816
fam910	960266
fam911	961334
fam912	961985
fam913	962836
fam914	963805
fam915	965213
fam916	966748
fam917	968050
fam918	970837
fam919	972747
fam920	974347
fam921	975191
fam923	980146
fam924	980721
fam925	981547
fam926	982417
fam927	982866
fam928	984571
fam929	987049
fam930	987792
fam931	988519
fam932	989553
fam933	990320
fam934	990866
fam935	992177
fam943	999842
fam944	1000726
fam945	1001529
fam946	1002132
fam947	1003553
fam948	1004459
fam949	1004974
fam950	1005855
fam951	1006399
fam952	1008902
fam953	1011577
fam959	1019969
fam960	1020859
fam961	1022838
fam962	1024230
fam963	1025808
fam964	1026238
fam965	1026920
fam966	1027753
fam967	1028444
fam968	1030041
fam969	1031607
fam970	1032911
fam971	1033390
fam972	1034326
fam973	1037034
fam974	1037891
fam975	1038938
fam976	1039907
fam977	1040782
fam978	1041507
fam979	1042799
fam980	1043743
fam981	1044613
fam982	1045977
fam983	1048426
fam984	1049044
fam985	1050073
fam986	1050633
fam987	1051425
fam988	1052573
fam989	1053166
fam990	1056687
fam991	1057659
fam992	1059892
fam993	1060348
fam994	1061693
fam995	1061980
fam996	1062167
fam997	1062908
fam998	1063321
fam999	1064059
fam1000	1065823
fam1001	1066643
fam1002	1067044
fam1003	1067966
fam1004	1068660
fam1005	1069684
fam1006	1070439
fam1007	1077043
fam1008	1077979
fam1009	1079258
fam1010	1080196
fam1011	1081047
fam1012	1082464
fam1013	1083291
fam1014	1084040
fam1015	1084508
fam1016	1085304
fam1024	1094531
fam1025	1097083
fam1026	1097901
fam1027	1098717
fam1028	1099428
fam1029	1101072
fam1030	1102310
fam1031	1103097
fam1032	1103728
fam1033	1104331
fam1034	1105565
fam1035	1105768
fam1036	1106934
fam1037	1108447
fam1038	1109164
fam1039	1110513
fam1040	1110971
fam1041	1112155
fam1042	1113564
fam1043	1114829
fam1062	1134960
fam1063	1136184
fam1064	1137742
fam1065	1138661
fam1066	1139848
fam1067	1140625
fam1068	1141449
fam1069	1142297
fam1070	1144077
fam1071	1145180
fam1073	1148395
fam1075	1150274
fam1076	1151846
fam1077	1152956
fam1078	1153259
fam1079	1153729
fam1080	1154830
fam1081	1155617
fam1082	1157001
fam1083	1157470
fam1084	1158085
fam1085	1160117
fam1086	1160673
fam1087	1161342
fam1088	1161578
fam1089	1162492
fam1090	1162851
fam1091	1163813
fam1092	1164842
fam1093	1168057
fam1094	1169259
fam1095	1170136
fam1096	1171453
fam1097	1173182
fam1098	1174637
fam1099	1176618
fam1102	1181347
fam1103	1182056
fam1104	1183219
fam1105	1184400
fam1106	1184755
fam1107	1186630
fam1108	1187612
fam1112	1190587
fam1113	1191189
fam1114	1192297
fam1115	1192854
fam1116	1193295
fam1117	1194345
fam1118	1195412
fam1119	1197337
fam1120	1198261
fam1121	1198504
fam1122	1200131
fam1127	1205181
fam1128	1206055
fam1129	1206672
fam1130	1208066
fam1140	1219986
fam1141	1220324
fam1142	1220938
fam1143	1222919
fam1144	1223883
fam1145	1225837
fam1146	1226461
fam1147	1227082
fam1149	1228712
fam1150	1229596
fam1151	1230998
fam1152	1233537
fam1153	1234020
fam1154	1236104
fam1155	1236633
fam1156	1237129
fam1157	1237887
fam1158	1239654
fam1159	1240574
fam1160	1241662
fam1162	1244021
fam1163	1245795
fam1164	1246345
fam1165	1247667
fam1166	1248623
fam1167	1249354
fam1168	1249703
fam1169	1250469
fam1170	1250681
fam1171	1252173
fam1172	1252869
fam1173	1254016
fam1174	1257209
fam1177	1260028
fam1178	1260506
fam1179	1260649
fam1180	1261356
fam1181	1262918
fam1182	1263357
fam1183	1264025
fam1184	1264452
fam1185	1264854
fam1186	1268511
fam1187	1269727
fam1188	1270522
fam1189	1273983
fam1190	1274688
fam1191	1275116
fam1192	1275819
fam1193	1277836
fam1194	1278222
fam1195	1278827
fam1196	1280812
fam1197	1281675
fam1198	1282762
fam1199	1284129
fam1200	1285899
fam1201	1287352
fam1202	1289169
fam1203	1289738
fam1204	1290731
fam1205	1293280
fam1206	1293799
fam1207	1294248
fam1208	1295159
fam1210	1296982
fam1211	1297757
fam1212	1298663
fam1213	1299531
fam1214	1300144
fam1215	1300801
fam1216	1303212
fam1217	1305737
fam1218	1306889
fam1219	1307395
fam1220	1308237
fam1221	1308735
fam1222	1310296
fam1223	1310909
fam1224	1311999
fam1225	1313582
fam1226	1314077
fam1227	1314946
fam1229	1316432
fam1230	1317159
fam1231	1319732
fam1233	1321263
fam1234	1321946
fam1235	1323472
fam1238	1327424
fam1240	1331016
fam1245	1337002
fam1246	1338506
fam1247	1339483
fam1251	1341231
fam1253	1345408
fam1255	1349776
fam1257	1353992
fam1265	1359511
fam1266	1360396
fam1267	1362089
fam1268	1362880
fam1269	1363491
fam1276	1371251
fam1277	1372737
fam1278	1373338
fam1279	1375500
fam1289	1384382
fam1290	1385728
fam1291	1385951
fam1292	1389805
fam1293	1390682
fam1294	1391668
fam1295	1392672
fam1296	1394008
fam1297	1395045
fam1298	1396408
fam1299	1398028
fam1300	1398893
fam1301	1399645
fam1302	1400058
fam1303	1402313
fam1304	1402571
fam1305	1402972
fam1308	1405322
fam1309	1406984
fam1310	1407976
fam1311	1409060
fam1312	1410394
fam1313	1411681
fam1314	1412800
fam1319	1416413
fam1320	1417099
fam1321	1417710
fam1322	1418993
fam1323	1419620
fam1324	1420828
fam1326	1423060
fam1327	1424814
fam1328	1425302
fam1329	1426722
fam1330	1427370
fam1331	1428253
fam1338	1436352
fam1339	1437814
fam1345	1445218
fam1346	1445618
fam1347	1446221
fam1348	1447077
fam1349	1447406
fam1350	1448451
fam1351	1449612
fam1352	1450545
fam1353	1450903
fam1354	1452222
fam1355	1453468
fam1356	1454597
fam1357	1456501
fam1358	1456997
fam1359	1457318
fam1361	1458243
fam1362	1459276
fam1363	1459845
fam1364	1462466
fam1365	1463139
fam1366	1464137
fam1367	1464982
fam1368	1465656
fam1369	1466397
fam1370	1467476
fam1372	1469377
fam1373	1470261
fam1374	1470813
fam1375	1471856
fam1376	1473444
fam1377	1474755
fam1379	1477447
fam1380	1478450
fam1381	1479716
fam1382	1480873
fam1383	1481729
fam1385	1485841
fam1387	1488059
fam1388	1488648
fam1390	1489470
fam1391	1489913
fam1392	1490815
fam1393	1491544
fam1394	1493209
fam1395	1494612
fam1396	1496807
fam1397	1497167
fam1398	1498123
fam1399	1500807
fam1400	1501383
fam1401	1503444
fam1402	1505142
fam1403	1505231
fam1404	1505747
fam1405	1507761
fam1406	1508515
fam1407	1509186
fam1408	1510112
fam1409	1510839
fam1410	1511649
fam1411	1513017
fam1412	1514061
fam1413	1514402
fam1414	1516168
fam1415	1516900
fam1416	1520067
fam1417	1521308
fam1418	1522560
fam1419	1523429
fam1423	1531227
fam1424	1532382
fam1426	1532800
fam1427	1533353
fam1428	1534042
fam1429	1534474
fam1430	1535753
fam1431	1537146
fam1432	1537702
fam1433	1538500
fam1434	1540417
fam1435	1541159
