fam	loc
fam21	2291731
fam29	2281819
fam36	2274967
fam98	2203558
fam99	2201067
fam101	2198590
fam104	2196034
fam109	2192493
fam111	2189563
fam114	2185518
fam115	2183819
fam125	2167100
fam136	2153109
fam138	2151105
fam139	2149928
fam141	2148362
fam143	2146421
fam146	2142113
fam147	2139404
fam150	2136928
fam151	2135871
fam152	2135645
fam153	2133911
fam157	2127847
fam159	2123985
fam160	2121117
fam163	2117245
fam164	2116281
fam165	2115327
fam167	2113901
fam168	2113198
fam170	2110500
fam171	2109579
fam176	2104715
fam183	2097808
fam184	2097054
fam190	2092276
fam195	2087103
fam196	2085672
fam198	2083046
fam208	2070684
fam210	2068652
fam212	2066731
fam213	2065679
fam214	2064282
fam215	2063483
fam216	2062858
fam217	2061843
fam219	2060492
fam232	2049534
fam234	2048070
fam235	2046812
fam240	2041674
fam241	2041030
fam243	2037811
fam250	2028316
fam254	2024838
fam255	2023998
fam256	2022378
fam257	2020969
fam265	2015086
fam270	2010070
fam277	2002053
fam283	1992466
fam286	1988817
fam301	1974010
fam308	1966919
fam336	1936257
fam338	1933737
fam340	1930933
fam345	1925571
fam349	1921926
fam356	1915642
fam373	1903782
fam374	1902943
fam377	1899891
fam378	1899562
fam379	1899324
fam383	1896374
fam385	1893391
fam388	1889589
fam413	1849719
fam417	1845969
fam421	1842809
fam423	1841214
fam424	1839960
fam427	1837802
fam429	1834903
fam437	1821884
fam542	1669624
fam543	1668504
fam544	1667723
fam547	1664691
fam682	1495236
fam686	1491516
fam690	1487141
fam694	1483982
fam697	1479875
fam698	1479069
fam699	1478614
fam700	1477283
fam705	1468551
fam707	1466458
fam708	1465442
fam710	1459580
fam720	1447212
fam724	1443220
fam725	1442027
fam729	1436937
fam736	1424723
fam737	1421893
fam738	1420278
fam742	1417149
fam747	1409463
fam749	1406634
fam754	1402264
fam755	1400052
fam756	1399544
fam757	1398455
fam758	1397300
fam768	1387079
fam784	1369296
fam786	1366932
fam799	1348174
fam804	1344680
fam805	1343974
fam806	1343176
fam809	1338301
fam823	1325641
fam824	1324258
fam827	1322914
fam828	1320937
fam835	1315069
fam839	1308732
fam841	1306816
fam842	1305638
fam845	1299252
fam849	1296245
fam851	1293849
fam855	1290985
fam858	1288787
fam859	1288227
fam865	1280248
fam866	1278161
fam876	1272714
fam884	1266873
fam888	1262019
fam899	1252745
fam905	1248431
fam906	1247889
fam909	1244831
fam911	1243799
fam915	1241091
fam916	1239153
fam919	1236975
fam923	1231982
fam925	1230038
fam928	1221818
fam929	1220294
fam937	1211726
fam938	1209541
fam939	1207691
fam943	1201167
fam957	1185609
fam966	1176759
fam970	1171246
fam972	1170176
fam973	1168795
fam975	1165573
fam976	1164061
fam981	1154623
fam983	1153457
fam987	1148208
fam989	1146436
fam998	1136620
fam999	1135190
fam1019	1117917
fam1021	1114927
fam1027	1101507
fam1029	1098644
fam1031	1097340
fam1065	1067294
fam1066	1066964
fam1067	1066243
fam1080	1055284
fam1091	1046457
fam1092	1045955
fam1094	1044189
fam1095	1042409
fam1098	1039132
fam1103	1033294
fam1104	1031504
fam1113	1020703
fam1129	1004751
fam1148	987243
fam1149	986423
fam1151	985142
fam1174	970138
fam1188	959230
fam1189	957612
fam1191	956237
fam1206	939286
fam1211	930787
fam1213	929004
fam1222	899259
fam1227	893509
fam1231	888698
fam1250	857757
fam1252	855286
fam1253	854382
fam1255	853102
fam1260	846054
fam1262	843767
fam1263	839464
fam1264	835581
fam1265	835079
fam1267	833784
fam1268	833328
fam1269	832706
fam1271	831168
fam1272	830340
fam1274	829140
fam1282	820254
fam1289	808792
fam1290	806939
fam1298	800329
fam1332	772199
fam1333	770764
fam1340	762327
fam1342	758571
fam1348	753007
fam1350	750089
fam1356	744012
fam1361	739273
fam1362	737820
fam1364	734011
fam1365	732320
fam1366	730984
fam1370	728533
fam1371	726859
fam1377	719519
fam1379	716684
fam1380	714212
fam1387	707987
fam1397	694680
fam1410	680550
fam1411	679207
fam1414	677282
fam1418	671814
fam1419	670489
fam1421	668433
fam1422	667255
fam1431	657204
fam1439	647861
fam1444	642338
fam1445	641317
fam1446	640245
fam1447	639529
fam1449	638072
fam1454	635408
fam1458	630260
fam1459	629369
fam1462	623980
fam1463	622891
fam1470	614051
fam1472	612283
fam1479	602424
fam1480	600909
fam1500	580213
fam1504	577469
fam1509	574099
fam1511	566139
fam1512	563790
fam1518	557518
fam1519	556427
fam1523	551229
fam1527	547348
fam1528	545919
fam1529	542809
fam1532	537406
fam1533	536106
fam1539	526400
fam1542	521632
fam1554	511634
fam1560	506266
fam1564	503833
fam1566	502115
fam1575	489780
fam1576	489111
fam1578	487641
fam1579	487094
fam1580	486272
fam1582	484139
fam1583	483098
fam1588	476986
fam1589	475832
fam1590	475488
fam1591	474355
fam1595	471802
fam1598	468945
fam1602	463168
fam1606	458687
fam1607	457954
fam1609	456409
fam1612	452585
fam1613	451999
fam1622	441895
fam1624	440288
fam1633	434830
fam1634	434247
fam1637	429594
fam1638	427677
fam1703	331778
fam1710	324832
fam1711	321983
fam1715	319529
fam1726	304008
fam1729	302177
fam1730	301517
fam1731	300902
fam1733	299103
fam1734	298574
fam1735	297184
fam1736	296074
fam1737	295031
fam1738	294444
fam1739	293936
fam1740	293614
fam1741	291727
fam1742	290280
fam1785	212579
fam1786	211938
fam1787	211164
fam1810	177337
fam1812	174560
fam1814	172099
fam1816	170781
fam1819	167090
fam1825	159043
fam1826	157032
fam1828	155104
fam1831	151860
fam1835	147604
fam1867	115181
fam1869	110886
fam1877	103353
fam1883	99326
fam1885	96931
fam1892	88714
fam1896	84262
fam1898	82393
fam1899	81548
fam1906	75628
fam1910	71193
fam1912	69797
fam1913	68312
fam1916	65596
fam1919	63720
fam1922	61062
fam1931	54164
fam1934	51230
fam1936	50113
fam1940	43931
fam1942	41729
fam1947	36948
fam1948	35731
fam1950	34125
fam1954	29655
fam1956	28265
fam1959	25339
fam1960	23682
fam1962	22602
fam1963	22310
fam1977	9565
fam1980	7016
fam1982	4641
fam1991	6309
fam1992	7889
fam1997	12237
fam1999	13958
fam2000	14543
fam2002	17810
fam2007	22777
fam2013	28015
fam2014	29606
fam2017	35572
fam2025	43987
fam2031	52204
fam2032	52693
fam2033	54286
fam2035	55517
fam2036	56835
fam2051	74326
fam2053	75229
fam2054	75563
fam2058	80293
fam2067	99193
fam2069	101964
fam2074	109102
fam2078	114404
fam2079	115363
fam2081	118017
fam2087	124173
fam2088	124782
fam2090	125946
fam2091	127423
fam2092	128698
fam2098	135436
fam2103	140304
fam2104	141733
fam2105	143071
fam2157	194425
fam2158	194813
fam2160	196762
fam2163	200625
fam2167	206132
fam2168	207428
fam2170	209432
fam2172	212347
fam2182	221815
fam2183	222115
fam2194	237627
fam2196	238985
fam2197	240251
fam2198	240694
fam2201	242423
fam2204	244747
fam2205	246716
fam2206	247909
fam2208	252428
fam2212	259336
fam2217	266045
fam2218	266819
fam2229	285217
fam2233	290677
fam2237	294607
fam2238	296689
fam2244	302320
fam2245	302893
fam2263	325850
fam2264	326952
fam2266	327838
fam2267	328996
fam2268	329504
fam2269	330936
fam2273	334419
fam2275	336474
fam2276	338462
fam2279	341783
fam2280	342675
fam2288	352077
fam2293	356320
fam2295	358611
fam2297	360837
fam2299	362048
fam2302	365914
fam2323	392792
fam2325	394400
fam2326	394979
fam2328	396243
fam2332	399373
fam2333	400243
fam2334	401466
fam2335	403976
fam2340	407431
fam2342	410310
fam2344	411437
fam2358	429371
fam2359	430064
fam2361	431728
fam2368	438704
fam2372	441792
fam2375	444058
fam2376	444539
fam2385	455617
fam2389	459337
fam2390	460255
fam2391	460819
fam2392	461278
fam2410	485661
fam2411	486656
fam2422	506773
fam2427	512777
fam2431	515986
fam2438	524332
fam2439	525637
fam2445	531979
fam2446	532817
fam2453	543007
fam2454	545847
fam2464	558377
fam2467	560693
fam2468	561917
fam2472	564975
fam2479	572732
fam2480	574166
fam2481	575294
fam2482	576034
fam2483	577753
fam2484	578251
fam2486	580527
fam2488	581842
fam2489	583243
fam2490	584890
fam2506	598889
fam2508	601810
fam2509	602851
fam2511	605754
fam2518	612565
fam2524	617823
fam2525	618827
fam2526	619707
fam2527	620590
fam2530	624393
fam2531	625632
fam2532	626967
fam2534	629600
fam2535	631040
fam2537	633161
fam2546	647550
fam2554	654827
fam2556	656017
fam2557	656551
fam2561	659989
fam2567	672889
fam2573	679439
fam2602	710454
fam2605	716983
fam2608	720667
fam2609	721283
fam2610	722433
fam2612	727610
fam2613	728350
fam2614	729282
fam2617	732888
fam2619	736381
fam2627	744903
fam2630	746078
fam2631	747302
fam2639	758463
fam2640	759053
fam2641	760346
fam2642	761456
fam2646	767910
fam2647	769388
fam2649	770810
fam2660	780254
fam2662	781964
fam2669	794894
fam2670	795397
fam2671	797540
fam2672	797857
fam2673	798729
fam2674	799358
fam2675	799656
fam2676	800487
fam2677	800776
fam2678	801199
fam2679	801960
fam2680	802400
fam2681	802604
fam2682	802879
fam2683	803250
fam2684	803576
fam2685	804130
fam2686	804403
fam2687	804872
fam2688	805432
fam2689	805794
fam2690	806325
fam2691	806521
fam2692	806986
fam2693	808344
fam2694	808568
fam2695	808695
fam2696	809072
fam2697	809464
fam2698	810155
fam2699	811169
fam2700	811714
fam2701	812995
fam2702	814451
fam2707	823345
fam2708	824417
fam2709	825367
fam2719	834166
fam2720	834899
fam2721	835999
fam2722	837292
fam2723	838830
