fam	loc
fam1	863692
fam2	863155
fam3	862682
fam4	862055
fam5	860630
fam6	859309
fam7	858187
fam8	857167
fam9	855519
fam10	854567
fam11	853576
fam12	851721
fam13	851095
fam14	850687
fam15	850348
fam16	849535
fam17	849229
fam18	848142
fam19	846970
fam20	846727
fam21	846171
fam22	845840
fam23	844582
fam24	844092
fam26	842280
fam28	838592
fam29	838018
fam30	837752
fam31	837553
fam32	837215
fam33	836420
fam34	835428
fam35	835265
fam37	834233
fam38	832898
fam39	832395
fam40	831508
fam41	828844
fam42	828196
fam43	827894
fam44	827354
fam45	826333
fam46	825746
fam47	824888
fam48	824325
fam49	823644
fam50	821678
fam51	820733
fam52	819023
fam53	817907
fam54	817124
fam57	815211
fam58	814786
fam59	814471
fam60	813618
fam62	812314
fam63	806149
fam64	803923
fam65	803586
fam74	793036
fam75	791523
fam76	790557
fam78	788520
fam80	787167
fam81	786873
fam82	785604
fam83	784760
fam84	784258
fam85	783406
fam86	783076
fam87	782249
fam88	781114
fam89	780671
fam90	779414
fam91	778388
fam93	777546
fam94	777354
fam95	776016
fam96	775725
fam97	775099
fam98	770563
fam99	769914
fam100	769133
fam101	767413
fam102	765964
fam103	765415
fam104	763609
fam105	761919
fam106	759358
fam107	758669
fam108	758123
fam109	757170
fam110	755787
fam111	754847
fam112	754151
fam113	753459
fam114	753064
fam115	752624
fam116	751417
fam117	750755
fam118	750156
fam119	748452
fam120	746972
fam121	745803
fam122	745102
fam123	743503
fam126	739025
fam127	736986
fam128	736178
fam129	735420
fam130	734246
fam131	732758
fam132	732158
fam133	731032
fam134	729852
fam135	728146
fam136	726909
fam137	726426
fam138	725386
fam139	723465
fam140	722258
fam141	720688
fam143	720155
fam144	719610
fam145	719402
fam146	718906
fam147	717544
fam148	715272
fam149	713888
fam150	712924
fam151	711733
fam152	710825
fam153	709841
fam154	709072
fam157	707446
fam158	706166
fam159	704903
fam160	703891
fam161	703379
fam162	702030
fam163	701285
fam164	699752
fam165	699072
fam166	698758
fam167	697833
fam168	697331
fam169	696778
fam171	694790
fam175	689635
fam176	688665
fam177	687530
fam178	684272
fam179	683295
fam180	681684
fam181	680213
fam182	679908
fam183	678038
fam184	677176
fam185	676124
fam186	674772
fam187	672750
fam188	670483
fam189	669733
fam190	669076
fam191	668825
fam192	667097
fam194	666094
fam195	663820
fam196	663473
fam197	661980
fam198	661300
fam199	660638
fam200	659261
fam201	657411
fam202	656571
fam203	656361
fam205	654131
fam206	652580
fam207	651995
fam208	650958
