fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.06878059289838359	0.07434795049157432	0.03826385794228867	0.02002666666666667	0.0186	0.014596230868123302	0.22263999999999998	0.2527	0.14089067061614358	1270365	0.06375036453776611
fam966	0.17231515295443772	0.18196037539103233	0.013677996239891967	0.033859999999999994	0.0349	0.023037673493649484	0.20090000000000002	0.1918	0.1438155763469312	2203953	0.08769689229459346
fam1571	0.12191760214241193	0.08424908424908424	0.0785528941431164	0.014106666666666667	0.0138	0.009671571169612973	0.1548	0.1638	0.10087343885615611	1559059	0.049966329966329964
fam1720	0.047842700600460156	0.03950777202072539	0.0417424390165028	0.007113333333333335	0.0055	0.005502346973994118	0.1743333333333333	0.1544	0.13077237560823854	1355536	0.04473531122745782
fam1499	0.1375423711274913	0.11020992366412213	0.03857041391158303	0.022766666666666664	0.0231	0.0159682880178879	0.16438666666666665	0.2096	0.10049764751254407	2880604	0.0503831417624521
fam2659	0.1181194362386687	0.1458520515124289	0.052006446717151704	0.029413333333333336	0.0374	0.018094008830426594	0.21618666666666667	0.2488	0.1291297170376448	92555	0.07144866385372713
fam1031	0.4757697147818	0.539754363283775	0.07615269892366673	0.05452666666666668	0.0671	0.034026841692339826	0.11518666666666669	0.1547	0.06971884361889227	2295597	0.06565656565656566
fam3345	0.19058885369904832	0.24171382376717865	0.06228778796935138	0.023666666666666662	0.0299	0.01492589100262434	0.14356666666666665	0.1237	0.11154670571359583	706142	0.05434173669467787
fam680	0.11817635604757983	0.13493530499075784	0.05134382410034562	0.020479999999999998	0.0073	0.02295907082904997	0.14056	0.0541	0.15246467918832876	1836240	0.04698412698412699
fam875	0.1428723650514074	0.14389610389610388	0.0051193623809517785	0.028846666666666666	0.0277	0.020544321735106168	0.20265999999999995	0.1925	0.14553268498863065	2086959	0.06454223571067275
fam1781	0.17864809431206716	0.22548546677168474	0.09372521561909186	0.03162	0.0345	0.021089150449144858	0.14192	0.1446	0.09283662495660498	1276369	0.05647636586863106
fam3379	0.15357787303816478	0.1233140655105973	0.05309877794692551	0.02476	0.029	0.011786987175129472	0.18374666666666667	0.1438	0.1197217878620633	752245	0.05739184562713975
fam3111	0.10362429573260479	0.1127946127946128	0.013548632872349638	0.019606666666666668	0.0208	0.013210978599466261	0.19741333333333336	0.1782	0.14649249294379862	440962	0.057593688362919136
fam98	0.12634082314192097	0.10286062081558124	0.025721279356780587	0.02768666666666667	0.0169	0.02573596359614736	0.20115333333333335	0.1643	0.15936962013577813	1073625	0.06417729204614449
fam657	0.12658894836822593	0.12358703843255463	0.003342530155836927	0.01910666666666667	0.0164	0.014673671054723227	0.14943333333333333	0.1327	0.11218517826443128	1807094	0.04806201550387598
fam1988	0.12837184986748296	0.10395010395010396	0.027545493977766417	0.018453333333333335	0.01	0.01809739821693224	0.13023333333333334	0.0962	0.10956009411378864	972858	0.04532292175044736
