fam	loc
fam1	10220
fam2	10490
fam3	11610
fam4	11890
fam5	13799
fam6	16289
fam7	16741
fam8	17772
fam9	20178
fam10	20741
fam11	22301
fam12	23277
fam13	23800
fam14	24405
fam15	24986
fam16	25989
fam18	29165
fam19	30867
fam20	32899
fam21	34353
fam24	39984
fam25	41623
fam26	42592
fam27	43401
fam28	44114
fam32	47790
fam34	49612
fam37	52171
fam40	54795
fam41	56012
fam42	56791
fam43	57819
fam44	58829
fam45	59515
fam46	60594
fam47	61585
fam48	62105
fam49	63125
fam50	63790
fam51	65091
fam52	65817
fam53	66420
fam54	68996
fam55	70091
fam56	70770
fam57	72052
fam58	73137
fam59	74455
fam60	75536
fam61	76887
fam62	77738
fam63	78618
fam64	79318
fam65	80567
fam66	81672
fam67	82051
fam68	82303
fam70	84988
fam71	85405
fam72	87923
fam73	88597
fam74	90079
fam75	90453
fam76	91478
fam77	92350
fam78	93530
fam79	94383
fam83	99083
fam84	100914
fam85	102397
fam86	103878
fam87	104974
fam88	106043
fam89	107528
fam90	108080
fam91	109378
fam92	110184
fam93	110564
fam94	110879
fam95	111467
fam96	111929
fam97	112695
fam98	113375
fam99	113780
fam100	117514
fam101	121519
fam102	122458
fam103	123034
fam104	123231
fam105	124210
fam106	126311
fam107	127753
fam108	129415
fam109	130452
fam110	131533
fam111	131872
fam114	133963
fam115	134322
fam116	135404
fam117	137965
fam118	140351
fam119	141095
fam120	143714
fam121	144145
fam122	145394
fam123	146337
fam124	147467
fam125	148663
fam126	149226
fam127	150289
fam128	151377
fam129	152640
fam130	153077
fam131	154193
fam132	155067
fam133	156383
fam134	157365
fam135	157856
fam136	159274
fam137	160495
fam138	161234
fam139	162232
fam140	164401
fam141	165114
fam142	166765
fam143	167713
fam144	168704
fam145	169390
fam146	170466
fam147	171123
fam148	171901
fam152	176958
fam153	177657
fam154	178648
fam155	179346
fam156	179870
fam157	180941
fam158	181352
fam159	182798
fam160	183343
fam161	184698
fam162	185444
fam163	185698
fam164	186047
fam165	186857
fam166	187160
fam167	187704
fam168	188234
fam169	189758
fam170	190618
fam171	192038
fam172	192316
fam173	192906
fam174	193799
fam175	194786
fam176	195031
fam177	196247
fam178	197194
fam179	198651
fam180	199965
fam182	205067
fam184	205879
fam185	206112
fam186	207888
fam189	211963
fam190	213186
fam191	215213
fam192	215612
fam193	216572
fam194	217122
fam195	218093
fam196	219488
fam197	219714
fam198	221001
fam199	221843
fam200	222789
fam201	224420
fam202	225897
fam203	226843
fam204	227838
fam206	229164
fam207	230517
fam209	231510
fam210	232818
fam211	233455
fam212	234008
fam213	235423
fam214	236163
fam215	236909
fam218	239548
fam219	240284
fam220	241067
fam222	244491
fam223	246500
fam225	249049
fam226	250187
fam227	251397
fam228	252696
fam229	253741
fam230	254549
fam231	255702
fam232	257949
fam233	259362
fam241	266546
fam242	267037
fam243	269145
fam244	270364
fam317	320492
fam318	321392
fam319	322817
fam320	324251
fam329	335268
fam330	335836
fam331	337233
fam332	338173
fam333	338784
fam334	339227
fam335	344431
fam336	345553
fam337	346706
fam338	347866
fam339	349463
fam340	350502
fam341	350732
fam342	351905
fam343	352679
fam344	353522
fam345	355248
fam346	356545
fam347	357143
fam348	357532
fam349	357716
fam350	358347
fam351	359246
fam352	360781
fam353	362490
fam354	362928
fam355	364313
fam356	365472
fam357	365734
fam358	366877
fam359	367860
fam360	368791
fam361	369052
fam362	370375
fam363	371083
fam364	372126
fam365	373378
fam366	373882
fam367	375268
fam368	376314
fam369	376781
fam370	378238
fam371	379496
fam372	380639
fam373	381739
fam374	382248
fam375	382568
fam376	382984
fam377	383324
fam378	384003
fam379	384342
fam380	386582
fam381	388112
fam382	388790
fam383	389469
fam384	390945
fam385	393082
fam389	400595
fam390	400954
fam391	401224
fam392	402785
fam398	408667
fam399	410512
fam400	411592
fam403	414458
fam408	419592
fam411	422467
fam417	426484
fam418	426851
fam420	427653
fam421	428348
fam423	429540
fam424	430338
fam425	430595
fam426	430963
fam427	431718
fam428	432637
fam429	434569
fam430	436314
fam431	437540
fam432	438329
fam433	439330
fam434	440871
fam435	441641
fam436	442420
fam437	443232
fam438	444187
fam439	445745
fam440	446285
fam441	447983
fam442	448907
fam443	449283
fam444	450420
fam445	451561
fam447	453536
fam448	454479
fam449	455716
fam450	456367
fam451	456852
fam452	457886
fam453	458937
fam454	460582
fam455	461105
fam456	461796
fam457	462103
fam458	463575
fam459	465033
fam460	466822
fam461	467756
fam462	468547
fam463	469272
fam464	470067
fam465	472045
fam467	482184
fam468	483899
fam469	484855
fam470	486279
fam471	488494
fam472	489712
fam473	494086
fam474	497066
fam475	498115
fam476	498882
fam477	500028
fam478	501043
fam479	503895
fam480	504953
fam483	510018
fam484	511108
fam490	518573
fam491	519877
fam492	520795
fam493	521217
fam494	521617
fam495	521972
fam496	523562
fam497	524895
fam498	525805
fam499	526720
fam500	527128
fam501	527901
fam502	528226
fam503	529997
fam504	531406
fam505	531997
fam506	532688
fam507	533765
fam508	534181
fam509	535507
fam510	538249
fam512	543315
fam513	543950
fam514	544482
fam515	545585
fam516	546361
fam517	546599
fam518	547233
fam519	550924
fam520	551950
fam521	552507
fam522	553127
fam523	553817
fam524	554987
fam525	556095
fam526	556640
fam527	557189
fam528	557391
fam529	558250
fam530	559281
fam531	561280
fam532	562233
fam533	562915
fam534	563141
fam535	564177
fam536	564754
fam538	566813
fam540	567557
fam541	568917
fam542	569220
fam543	570206
fam544	570912
fam545	571571
fam668	662916
fam669	664071
fam670	665271
fam671	666081
fam672	667011
fam673	667732
fam674	668943
fam675	669559
fam679	673185
fam681	674430
fam682	675963
fam683	676737
fam685	678730
fam686	679812
fam687	681781
fam688	682442
fam689	682896
fam690	684658
fam691	686442
fam692	687746
fam693	688176
fam694	688879
fam695	689637
fam696	690478
fam697	691302
fam698	692170
fam700	695962
fam701	696676
fam702	697629
fam703	698419
fam704	700061
fam705	700714
fam706	702511
fam707	704231
fam708	705163
fam709	706446
