fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.2515700291890081	0.07935288544144173	0.3595507024539399	0.01706	0.024	0.010006018189070015	0.20638	0.32315000000000005	0.15138455535489742	507280	0.07263294422827497
fam4124	0.10409403585966467	0.087394440433984	0.04527370934487334	0.021579999999999995	0.033	0.015027028981139284	0.24561000000000002	0.3891	0.17835754231318618	234284	0.06320191158900837
fam966	0.16626874670253672	0.13749700599908143	0.09215981691067773	0.04443	0.06835	0.030833684502504722	0.31726	0.5016	0.23778506765564572	2150334	0.09174406604747162
fam393	0.19708766792604587	0.1286512534544642	0.12267264841649274	0.01431	0.01865	0.007929369457907736	0.11174999999999999	0.1678	0.07607729293291132	1578074	0.03946488294314381
fam3872	0.4128872740841377	0.21688741721854304	0.34910473822672927	0.015970000000000005	0.0234	0.010934354119014071	0.07311	0.1172	0.05701449727920084	58699	0.030355427473583097
fam158	0.13886995423472726	0.11471497809127194	0.0703998954471175	0.029849999999999998	0.0448	0.019410731567872447	0.26203	0.3891	0.18469842473610867	1330705	0.15700090334236677
fam4609	0.2012113412113412	0.18073593073593075	0.028956603189481626	0.012259999999999998	0.0167	0.008224986322177077	0.055459999999999995	0.0924	0.04528291510051004	769173	0.02301587301587301
fam3479	0.07596272367612132	0.033445972189854734	0.09753473593556891	0.009019999999999999	0.0138	0.0064956600896290745	0.26411999999999997	0.42969999999999997	0.20564072456592833	484668	0.059249329758713144
fam4712	0.08909934086634003	0.10586122246355077	0.04640858904886854	0.0235	0.03825	0.018416894417897935	0.22227999999999995	0.3458	0.1666266773358936	885689	0.06639376218323587
fam3276	0.0689855476932667	0.05117247321445973	0.03789745198454048	0.01333	0.02035	0.009895458554306617	0.26651	0.4241	0.20543565148240456	680790	0.05959595959595959
fam2659	0.17184819151627093	0.09496797621849824	0.1285823015760115	0.024119999999999996	0.0338	0.015028692557904032	0.25773999999999997	0.40605	0.19261821928363887	1412256	0.0707810320781032
fam1031	0.35235995068653236	0.1527665325960335	0.3032669151413251	0.04811	0.07415	0.03495332459151776	0.31518999999999997	0.5044	0.24957291700022258	2220404	0.08927536231884058
fam4095	0.09089387598644845	0.043805680347216935	0.13799646551201217	0.00772	0.0109	0.0050338454485611694	0.175	0.27455	0.13028277706588848	198993	0.04448441247002398
fam4775	0.07332475392225041	0.10652065704330513	0.05188713422840118	0.012839999999999999	0.0214	0.010483816099112002	0.11901000000000002	0.1913	0.09275634156218107	959968	0.07247706422018349
fam4190	0.019074305459790792	0.029991118676682825	0.015616116390641867	0.00162	0.0027	0.0013227244611029162	0.054869999999999995	0.08105000000000001	0.03719758191065651	309590	0.014844267726971502
fam1781	0.08517510065431314	0.12272619288363408	0.05819471384022597	0.016989999999999998	0.026	0.013317315795609864	0.14023999999999998	0.19595	0.09320519513417694	2330504	0.04513888888888889
fam425	0.012614319708902715	0.0	0.019944993428261525	0.002	0.0	0.0024494897427831783	0.06910999999999999	0.1129	0.053892345467607926	1609349	0.01899641577060932
fam1195	0.21646374680260577	0.17433094672022453	0.05509028048058816	0.04776	0.0758	0.03470248406094296	0.27211	0.43710000000000004	0.20717096056156134	2398644	0.08456393793472446
fam3726	0.0	0.0	0.0	0.0	0.0	0.0	0.07926	0.1321	0.06471551900433156	195738	0.016216216216216217
fam4141	0.06437000365500371	0.08875954892688251	0.045837887185581995	0.02923	0.04845	0.02386667341713126	0.31031	0.4703	0.24242556981473715	256732	0.06757990867579908
fam1928	0.09700395652507789	0.11808776311095255	0.04231598522553555	0.021640000000000003	0.0331	0.01658880345293174	0.17487000000000003	0.28025	0.13325209229126575	2201871	0.05324947589098532
fam98	0.09475403253559984	0.08196212037816183	0.09232299208626038	0.028169999999999994	0.04405	0.02084101964875999	0.33564	0.5257499999999999	0.2496372496243299	1255257	0.07619047619047618
fam657	0.04596830626311399	0.02711969662087589	0.054712668395650976	0.007540000000000001	0.0111	0.005296451642373411	0.27921999999999997	0.44145	0.2130345080028116	1851587	0.062470862470862476
fam4153	0.04575949256913173	0.03183023872679045	0.03331589370767286	0.007889999999999998	0.011	0.005532169556331404	0.26108	0.4135	0.19692160267477002	272232	0.05947368421052631
fam3894	0.12232072827346742	0.11426662211827597	0.030058387878409528	0.0211	0.033	0.015533576536007412	0.18158	0.279	0.13621907208610695	38259	0.05272625070264193
fam2317	0.23212072073728107	0.15913083533445094	0.12123809770311719	0.03162	0.045450000000000004	0.021046795480547626	0.20190000000000002	0.31515000000000004	0.15085089326881695	1782334	0.07552213868003341
fam4239	0.2541454329885561	0.27994908706465116	0.0927489990507528	0.033449999999999994	0.051750000000000004	0.024098973007163606	0.11214000000000002	0.15910000000000002	0.07794561180720824	367557	0.049702380952380956
fam4592	0.02735989844936466	0.018600510459952643	0.023168274877360152	0.005979999999999999	0.0084	0.0039620196869778425	0.31077000000000005	0.47665	0.23380023973469316	752080	0.05870910698496905
fam1988	0.11713301318254939	0.0895442901937671	0.08273057118470517	0.02012	0.029650000000000003	0.01343426961170573	0.21842	0.3338	0.15429745169639064	2141662	0.062149954832881674
fam265	0.14433831830367042	0.14850136239782014	0.05856651976424808	0.01358	0.0194	0.009728391439492964	0.09164000000000001	0.1466	0.06797529257016846	1441801	0.03367003367003367
fam2943	0.04306540791656658	0.06771644656655099	0.035293047263303554	0.016130000000000002	0.02685	0.013170121487670492	0.23325999999999997	0.35414999999999996	0.17525882117599673	1034071	0.05113378684807257
fam1040	0.07923919196974405	0.05555001703161119	0.0386915513438985	0.015239999999999998	0.0222	0.009504125420047865	0.27727999999999997	0.42555	0.20139094219949416	2233119	0.06318638824439289
fam3456	0.09744945472959629	0.056767318064556566	0.06900454415484913	0.013980000000000001	0.021199999999999997	0.009919556441696372	0.24181	0.3896	0.18715919667491632	510554	0.05853451927149513
fam3641	0.1628525251427746	0.1440893874832349	0.04732391270771486	0.040999999999999995	0.06265	0.02831533153611308	0.29609	0.45265	0.21545058574995798	295809	0.09349240780911061
fam443	0.17146251321275274	0.16732974490989935	0.08518778636653171	0.046200000000000005	0.0676	0.032215275879619594	0.27984	0.42895	0.20956145733411952	1627742	0.08438818565400844
fam3198	0.08904047578326077	0.11966920443814921	0.049466985821230096	0.02626	0.0422	0.020801884530013137	0.21988000000000002	0.3483	0.16558414658414616	759679	0.07475409836065575
fam3286	0.05280371850801391	0.052974345702334294	0.034658992682033624	0.01356	0.0215	0.010449229636676572	0.25348000000000004	0.40025	0.1935440663001581	670261	0.06245614035087719
fam4262	0.09060785570740514	0.07072772368162689	0.08373791779790547	0.021150000000000002	0.03325	0.016192482823829086	0.29319999999999996	0.45725	0.22403857703529542	387280	0.0701058201058201
fam3216	0.16822560998187075	0.11570247933884298	0.1073632851615374	0.025509999999999998	0.038650000000000004	0.017495339379389015	0.21972	0.3509	0.16560990791616303	741562	0.06191806331471136
fam355	0.0898495164870178	0.09524972666154884	0.06312022606658366	0.02498	0.03845	0.019280601650363507	0.25966999999999996	0.4026	0.19119004707358592	1538683	0.07066666666666667
fam4434	0.06069900096756722	0.03963658541763009	0.04079830898663003	0.007950000000000002	0.0114	0.005009041824540898	0.19716000000000003	0.30205000000000004	0.1449915666513056	603488	0.049459684123025774
fam1784	0.2540451534234738	0.08247422680412371	0.3513161690104431	0.03478	0.0543	0.024082059712574422	0.39901	0.6414	0.3208718854932604	2327552	0.09194630872483221
