fam	loc
fam1	8338
fam2	6617
fam3	5338
fam4	4793
fam5	3814
fam7	1817
fam8	380
fam9	3733
fam10	4146
fam11	4534
fam12	5102
fam13	5938
fam14	6911
fam15	10847
fam16	12014
fam18	13327
fam19	13935
fam20	14627
fam21	15216
fam22	16393
fam23	17500
fam24	18691
fam25	19577
fam26	21050
fam28	24367
fam29	24993
fam30	25932
fam31	26369
fam32	26699
fam33	27554
fam34	28231
fam35	30173
fam36	31675
fam37	33183
fam38	34631
fam40	36525
fam41	38083
fam42	38640
fam43	40770
fam44	41937
fam45	42544
fam46	47460
fam47	48904
fam48	49836
fam49	50842
fam50	51309
fam51	52365
fam52	52766
fam53	53346
fam54	53769
fam55	54419
fam56	55201
fam57	58570
fam59	61930
fam60	62597
fam61	64693
fam62	66390
fam63	66496
fam64	68138
fam65	68561
fam66	70761
fam67	71255
fam68	72036
fam69	72601
fam70	73396
fam71	74221
fam72	74826
fam73	76913
fam74	78549
fam75	79910
fam76	81513
fam77	81808
fam78	82079
fam79	82630
fam80	83252
fam81	83759
fam82	84658
fam83	85159
fam84	87017
fam85	88641
fam124	135766
fam125	136541
fam126	139079
fam127	140468
fam128	141622
fam129	141959
fam130	143565
fam131	144251
fam132	144567
fam133	145422
fam134	148642
fam135	149325
fam136	150955
fam137	151455
fam138	152606
fam139	153550
fam140	154099
fam141	155058
fam142	155650
fam143	156167
fam144	156853
fam145	158552
fam146	159489
fam147	160322
fam148	161671
fam149	163097
fam150	163513
fam151	164344
fam152	165126
fam153	165929
fam154	167308
fam155	167986
fam156	168722
fam157	169662
fam158	170514
fam159	171500
fam160	172270
fam161	173194
fam162	174172
fam163	175420
fam164	175959
fam165	179071
fam166	179943
fam167	180724
fam168	181724
fam169	182383
fam170	183148
fam171	183940
fam172	184941
fam173	185930
fam174	187202
fam175	187990
fam176	188654
fam177	189873
fam178	190660
fam179	190994
fam180	192425
fam181	193492
fam182	194790
fam183	195660
fam184	196182
fam185	197121
fam186	197468
fam187	198829
fam189	199881
fam190	200451
fam191	201883
fam193	202895
fam195	206396
fam196	207361
fam197	208221
fam198	208540
fam200	210638
fam201	211993
fam202	213615
fam203	214483
fam204	215115
fam205	215451
fam207	217863
fam208	220290
fam209	220802
fam210	221393
fam211	222567
fam212	222997
fam213	224614
fam214	225421
fam215	227176
fam216	229725
fam217	231080
fam218	231681
fam219	232771
fam220	233209
fam221	234514
fam222	235529
fam223	236804
fam224	237790
fam225	239370
fam226	240306
fam227	241190
fam228	245127
fam229	246324
fam230	247057
fam231	248298
fam232	249337
fam233	250747
fam234	251222
fam235	252107
fam236	253401
fam237	255314
fam238	255834
fam239	256736
fam240	258669
fam241	259987
fam242	262105
fam243	262809
fam244	263783
fam245	264930
fam246	266989
fam247	272034
fam248	273586
fam249	274626
fam250	275228
fam251	278749
fam252	282062
fam253	282440
fam254	283246
fam255	286092
fam256	286675
fam257	288643
fam258	289480
fam259	290904
fam260	291535
fam261	292087
fam262	292671
fam263	293546
fam264	294627
fam267	297557
fam268	299845
fam269	301926
fam271	304182
