fam	loc
fam1	11321
fam2	12620
fam3	16025
fam4	19629
fam5	19866
fam6	20433
fam7	21830
fam8	22265
fam11	26230
fam12	29716
fam14	30734
fam15	31137
fam16	31460
fam17	32947
fam18	34215
fam19	34747
fam20	37040
fam22	41927
fam23	42407
fam24	43702
fam26	45088
fam27	46791
fam28	47522
fam29	49162
fam30	50016
fam34	55580
fam35	57372
fam36	58345
fam37	59472
fam38	60562
fam39	61606
fam41	63479
fam42	64417
fam43	65891
fam45	67355
fam46	68270
fam47	70033
fam51	73614
fam52	74673
fam56	77737
fam57	78338
fam58	78566
fam59	78769
fam60	80914
fam61	81752
fam62	83066
fam63	83598
fam64	84217
fam65	85800
fam66	86215
fam67	86741
fam68	87712
fam69	88564
fam70	89549
fam71	91972
fam72	92923
fam73	93569
fam75	95183
fam76	96732
fam77	97522
fam78	98052
fam79	98731
fam80	101502
fam81	102668
fam82	103185
fam83	104915
fam85	105727
fam86	107051
fam87	107613
fam88	108898
fam89	110529
fam90	111939
fam91	113151
fam92	113922
fam93	114427
fam94	115233
fam95	116236
fam96	116502
fam98	118207
fam99	118638
fam100	119114
fam102	120575
fam104	121701
fam105	122358
fam106	124385
fam109	132839
fam110	133723
fam111	134965
fam112	135583
fam113	136509
fam114	136883
fam115	137134
fam116	138914
fam117	140197
fam118	141138
fam119	142009
fam120	143469
fam122	145548
fam123	147267
fam124	148689
fam125	149068
fam126	149719
fam127	150401
fam128	150932
fam129	152375
fam130	153802
fam131	155384
fam132	155715
fam133	155906
fam134	157473
fam135	157989
fam136	159584
fam137	160357
fam138	161648
fam139	162505
fam140	163635
fam141	164763
fam143	166414
fam144	168530
fam145	169108
fam146	169855
fam147	171649
fam148	172017
fam149	172484
fam150	173279
fam151	174339
fam154	175585
fam155	176679
fam156	177664
fam157	179006
fam159	180744
fam180	205969
fam181	207320
fam182	209220
fam183	209580
fam184	210226
fam185	210809
fam187	211805
fam188	212640
fam189	213860
fam191	215227
fam192	215934
fam193	216590
fam195	218229
fam198	220614
fam203	226438
fam204	227823
fam207	231892
fam210	234689
fam211	235956
fam213	240529
fam214	241091
fam217	245721
fam218	246786
fam219	247601
fam221	249189
fam222	249867
fam223	250534
fam224	250815
fam225	252173
fam226	254760
fam227	255362
fam228	255977
fam229	257536
fam270	291586
fam271	292638
fam272	293438
fam273	294073
fam274	295053
fam275	296344
fam276	297585
fam277	299380
fam278	301645
fam279	302228
fam280	303561
fam282	306148
fam283	306551
fam284	307586
fam285	308109
fam286	308576
fam287	309619
fam288	309819
fam289	311039
fam291	313246
fam292	314059
fam293	314883
fam294	316448
fam295	317257
fam296	319970
fam297	321202
fam298	322008
fam299	323282
fam300	323907
fam301	325938
fam302	327936
fam303	329378
fam304	329642
fam305	330007
fam306	330597
fam307	331184
fam308	331852
fam309	333413
fam310	334417
fam311	335394
fam312	336273
fam313	337483
fam314	338178
fam315	338774
fam318	341851
fam319	342554
fam320	343497
fam321	344437
fam322	345463
fam323	346430
fam324	347669
fam325	348500
fam326	348989
fam327	349407
fam328	350285
fam329	351022
fam330	352618
fam331	354949
fam332	355684
fam333	356850
fam334	358247
fam336	362015
fam337	363004
fam338	364051
fam339	365103
fam340	366041
fam341	367841
fam342	369747
fam343	371022
fam344	372711
fam345	373724
fam346	375041
fam347	376427
fam348	377875
fam349	378402
fam350	378703
fam351	379452
fam352	380110
fam354	381980
fam355	382779
fam356	383660
fam357	384532
fam358	386276
fam359	387203
fam360	388180
fam363	391936
fam364	393093
fam365	394209
fam366	395337
fam367	396847
fam369	399230
fam370	399760
fam371	401838
fam372	402399
fam373	403781
fam374	406331
fam375	407456
fam376	407843
fam377	408202
fam378	408914
fam379	410417
fam380	410896
fam381	411300
fam382	413016
fam383	413875
fam384	415486
fam385	416180
fam386	416993
fam387	417986
fam388	418820
fam389	419139
fam390	420014
fam391	420282
fam392	421277
fam393	422539
fam394	423515
fam395	424612
fam396	425390
fam398	429634
fam399	430222
fam401	431692
fam402	432127
fam403	432949
fam405	436108
fam407	439001
fam408	440183
fam409	441536
fam411	446601
fam413	448954
fam414	449747
fam415	450343
fam416	452045
fam417	454422
fam418	455233
fam419	456098
fam422	457520
fam423	458035
fam424	459525
fam425	460587
fam426	461408
fam427	461948
fam428	462471
fam430	465451
fam432	467409
fam433	467957
fam436	469725
fam437	473387
fam438	474070
fam439	475108
fam440	475961
fam441	477169
fam442	477835
fam443	478215
fam445	479460
fam446	480034
fam447	480937
fam448	481659
fam449	482180
fam451	483813
fam452	484798
fam453	486503
fam454	487646
fam455	488949
fam456	489620
fam457	491615
fam458	492324
fam459	492929
fam460	493475
fam461	493848
fam462	494593
fam463	495973
fam464	496164
fam465	497604
fam466	506377
fam467	507797
fam469	510185
fam470	510807
fam471	513104
fam472	513994
fam474	515958
fam475	516567
fam476	518656
fam477	519661
fam479	521317
fam480	522345
fam481	523679
fam482	524613
fam483	525296
fam484	525849
fam485	526537
fam486	526868
fam490	532404
fam504	543939
fam505	544438
fam506	545529
fam507	546056
fam508	546874
fam509	547792
fam510	548290
fam511	549207
fam512	550684
fam513	551447
fam514	552671
fam515	553864
fam516	554538
fam517	554936
fam518	556017
fam519	556605
fam521	559099
fam522	560237
fam523	561162
fam524	561699
fam526	562875
fam527	563157
fam528	564190
fam529	565039
fam530	565626
fam531	566219
fam532	567770
fam534	572203
fam535	572439
fam536	573300
fam537	574324
fam538	575075
fam539	576141
fam541	578054
fam542	578748
fam543	581142
fam544	581777
fam545	582557
fam546	584364
fam547	584897
fam548	585529
fam549	587969
fam550	588661
fam551	590147
fam552	590933
fam553	592009
fam554	592590
fam555	594298
fam556	595407
fam557	598032
fam558	598823
fam559	600043
fam561	601789
fam562	605308
fam565	610559
fam566	611222
fam567	611949
fam568	612507
fam575	623987
fam576	624541
fam619	673981
fam620	674552
fam621	675150
fam622	676145
fam623	677304
fam624	677993
