fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.1005434782608696	0.10054347826086957	2.7755575615628914e-17	0.0019821428571428572	0.0037	0.0018452745772123246	0.019714285714285715	0.0368	0.018353001200382038	1027078	0.004937458854509545
fam966	0.11370262390670557	0.11370262390670555	2.7755575615628914e-17	0.002089285714285714	0.0039	0.001945019148953531	0.018375	0.0343	0.01710619405361695	980361	0.005053908355795148
fam393	0.0850515463917526	0.08505154639175258	1.3877787807814457e-17	0.000825	0.0	0.0014289419162443237	0.0097	0.0	0.016800892833418107	404146	0.001819505094614265
fam5072	0.0891594359742428	0.08955223880597014	0.01337001973006665	0.010632142857142856	0.0186	0.00959237247472582	0.11488928571428571	0.2077	0.10092426205287988	293653	0.05194805194805195
fam1571	0.02640017159802909	0.0	0.03219434931886651	0.0011	0.0	0.001905255888325765	0.03484642857142857	0.0485	0.02961111618177559	1668014	0.006962351727694688
fam3872	0.42654028436018965	0.42654028436018954	1.1102230246251565e-16	0.00225	0.0	0.003897114317029973	0.005275000000000001	0.0	0.009136568009925827	1540126	0.002946127946127946
fam158	0.15090786760336933	0.11096256684491979	0.052957129773260433	0.004839285714285714	0.0083	0.003955677591017958	0.03573571428571428	0.036	0.03235330866592555	158520	0.008758503401360545
fam4609	0.130612642547087	0.13728129205921938	0.010544060687854498	0.0030357142857142853	0.0017	0.003944092715307131	0.018596428571428573	0.0	0.032210030404727495	779552	0.010262725779967159
fam1037	0.1156742602775596	0.14666666666666667	0.052225615795532934	0.0012571428571428573	0.0022	0.0010887176504718657	0.010907142857142857	0.015	0.007699718388701376	1061371	0.0029761904761904756
fam3479	0.062215099416109504	0.061571125265392775	0.005641511341237563	0.007124999999999999	0.0029	0.00953181233704123	0.11928571428571429	0.0471	0.1634191799249615	1920793	0.019570860712257648
fam4712	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	667075	0.0
fam1720	0.061655411754018855	0.04318766066838046	0.03433899702074507	0.0062107142857142856	0.0084	0.004295125084301495	0.12616785714285714	0.1779	0.0946230682141797	1877482	0.026869382291069038
fam1499	0.09389304032000786	0.10588235294117648	0.022585572765902444	0.003389285714285714	0.0053	0.002867843800004542	0.03703571428571428	0.0564	0.030296902414576433	1583004	0.00873015873015873
fam2659	0.0	0.0	0.0	0.0	0.0	0.0	0.010225	0.0	0.01771021950739177	2939763	0.0018656716417910447
fam3994	0.14258774065400698	0.22093023255813954	0.0986723432878144	0.0016285714285714284	0.0	0.0018805123053604956	0.011885714285714282	0.0172	0.010571447876430249	1419009	0.003449043168669337
fam5170	0.08014025657653084	0.047021276595744683	0.05756284326201322	0.010810714285714286	0.0095	0.00902656156991743	0.20851071428571427	0.0531	0.22255035760680855	191035	0.03184051398337112
fam1031	0.04334213831927771	0.025974025974025976	0.0257287471804656	0.0010357142857142854	0.0008	0.0008311843038332567	0.026092857142857143	0.0349	0.01705467947036047	1054201	0.00544008587041374
fam5256	0.20839981654672635	0.27397260273972607	0.07837543593813825	0.006571428571428573	0.01	0.005378718457485758	0.03917142857142857	0.0365	0.04124807231117298	95296	0.012703566274994846
fam4095	0.0	0.0	0.0	0.0	0.0	0.0	0.017989285714285715	0.0249	0.014665516874767203	1325935	0.00215959399632869
fam680	0.09031849768317127	0.11466666666666667	0.030689428528826525	0.0027285714285714283	0.0043	0.0022576626887838075	0.035446428571428566	0.0375	0.034768864172076815	693764	0.006736027744431106
fam1483	0.0	0.0	0.0	0.0	0.0	0.0	0.012728571428571428	0.0	0.01469768828137019	1564645	0.002197802197802198
fam425	0.057142857142857155	0.05714285714285715	6.938893903907228e-18	0.0011785714285714283	0.0022	0.001097190289153274	0.020624999999999998	0.0385	0.019200830060182292	435597	0.005551443375277573
fam1195	0.015063085376652649	0.0	0.01800863492774354	0.003025	0.0	0.005239453692895853	0.08561071428571429	0.0081	0.1416760498443184	1226775	0.012583740720622849
fam5082	0.0	0.0	0.0	0.0	0.0	0.0	0.0030535714285714285	0.0057	0.0028427202946243917	279480	0.0004699248120300751
fam4141	0.06397337078594177	0.07865168539325844	0.018536935661743806	0.00245	0.0035	0.0021811694111187234	0.042885714285714284	0.0445	0.04304775350273987	1281064	0.009030032467532466
fam3379	0.058824375703164615	0.04635761589403973	0.03416732396412077	0.0020749999999999996	0.0021	0.00207168409753997	0.035810714285714286	0.0453	0.02877293295648477	2025651	0.006710543295909148
fam3111	0.0	0.0	0.0	0.0	0.0	0.0	0.012774999999999998	0.0	0.022126949066692405	2382206	0.001215277777777778
fam98	0.020116931153800262	0.0	0.0317641706477214	0.00035	0.0	0.0006062177826491069	0.02976785714285714	0.0493	0.02603640382194883	103789	0.005357142857142857
fam657	0.06725627313862606	0.06818181818181818	0.026781520078532225	0.0009642857142857143	0.0018	0.0008977011456708607	0.015267857142857142	0.0195	0.01270804170514056	671822	0.00407000407000407
fam4153	0.02994323630912202	0.03278688524590164	0.0038638955640284242	0.0016107142857142852	0.0027	0.001318640881934958	0.05393214285714286	0.0854	0.04360246596541652	1266796	0.009037789427697684
fam3894	0.07831325301204818	0.0783132530120482	1.3877787807814457e-17	0.000975	0.0	0.0016887495373796553	0.01245	0.0	0.021564032554232518	1514978	0.0025252525252525255
fam1496	0.0	0.0	0.0	0.0	0.0	0.0	0.009746428571428573	0.0089	0.008913331994540424	1578711	0.001716500553709856
fam2317	0.06410835214446953	0.06772009029345373	0.007223476297968399	0.0016214285714285716	0.0022	0.0013478440835161122	0.02373214285714285	0.0443	0.022093422640677287	2567173	0.005541125541125541
fam4239	0.01639344262295082	0.01639344262295082	0.0	0.000375	0.0	0.0006495190528383291	0.022875	0.0	0.03962066222313806	1154778	0.009398496240601503
fam4592	0.0	0.0	0.0	0.0	0.0	0.0	0.00804642857142857	0.0083	0.007224980580441383	801988	0.0008116883116883116
fam1988	0.048551959114139696	0.048551959114139696	0.0	0.002442857142857143	0.0	0.002820768458040743	0.05031428571428571	0.0	0.058097932802453206	2186665	0.008342022940563087
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.018524999999999996	0.0	0.03208624121021345	278220	0.001633986928104575
fam5264	0.23669259789741715	0.23636363636363636	0.0017827363956559189	0.0024357142857142854	0.0	0.0031392918088678046	0.010275000000000001	0.0	0.013214673256865426	87421	0.003918022905364677
fam1040	0.11041804383742378	0.09703504043126684	0.036654539655840715	0.004542857142857143	0.006	0.002997550020007836	0.04342857142857143	0.05235	0.03209824046293389	1063574	0.011527377521613832
fam3641	0.0	0.0	0.0	0.0	0.0	0.0	0.014628571428571425	0.0219	0.012044585539416727	1773597	0.002063983488132095
fam3986	nan	nan	nan	0.00025	0.0	0.0004330127018922193	0.0	0.0	0.0	1425018	0.00021872265966754154
fam443	0.008449684684139216	0.010796221322537113	0.0034850871188218725	0.0004285714285714286	0.0008	0.00039897828696482693	0.04904642857142857	0.0741	0.04349150559216672	455603	0.010174568742898462
fam4262	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1135728	0.0
fam355	0.04197711770854055	0.04289544235924933	0.029659009768455064	0.0016285714285714287	0.0	0.001842718710193707	0.03159285714285714	0.0162	0.03004899485568086	371019	0.008865914786967419
fam4434	0.04017881694832694	0.055137844611528826	0.026150528176416433	0.0009357142857142857	0.0	0.0010807452077532579	0.017939285714285717	0.0079	0.018182081824967018	951351	0.00450937950937951
