fam	loc
fam1	218671
fam2	217294
fam3	214438
fam4	211879
fam5	210975
fam6	210106
fam7	208636
fam8	207811
fam9	206963
fam10	206494
fam11	206080
fam12	204852
fam13	201785
fam14	201504
fam15	199969
fam17	194558
fam18	194133
fam20	191331
fam21	189991
fam22	187739
fam23	186975
fam24	186588
fam25	184551
fam26	183368
fam27	182525
fam28	182205
fam29	180104
fam30	178643
fam32	177624
fam33	176606
fam34	173914
fam35	172167
fam36	171245
fam37	170406
fam38	169447
fam39	168764
fam40	166976
fam41	166436
fam42	164378
fam43	161005
fam44	159141
fam45	158446
fam46	157890
fam47	156971
fam49	155035
fam50	151707
fam51	148415
fam52	146630
fam53	146089
fam54	145524
fam55	143908
fam56	143635
fam57	143130
fam58	139984
fam59	138804
fam60	136715
fam61	135525
fam63	133519
fam64	132517
fam66	130410
fam68	124926
fam69	122257
fam70	120797
fam71	120362
fam72	118560
fam75	108405
fam77	106795
fam78	106138
fam79	104123
fam80	103439
fam81	102052
fam82	100345
fam83	99965
fam84	98893
fam86	97461
fam87	96056
fam88	94344
fam89	93742
fam91	92277
fam92	91039
fam93	89402
fam94	87524
fam95	86471
fam96	85777
fam97	84965
fam98	83946
fam99	83077
fam100	82801
fam101	81178
fam102	80400
fam103	79210
fam104	78115
fam105	73405
fam106	72463
fam108	71483
fam111	68719
fam113	67378
fam114	67090
fam116	65420
fam118	61796
fam120	56362
fam121	54837
fam123	50800
fam126	49142
fam128	45333
fam131	41285
fam132	41122
fam133	40083
fam134	38299
fam137	35537
fam138	34974
fam139	34765
fam140	34404
fam141	34136
fam142	33027
fam143	32611
fam144	32165
fam145	31913
fam146	30143
fam147	29602
fam148	28393
fam150	27522
fam151	27166
fam152	25988
fam153	25448
fam154	25100
fam155	24978
fam159	14274
fam160	12133
fam161	11587
fam162	10572
fam163	9984
fam164	9686
fam165	8617
fam166	7770
fam167	6271
fam168	5142
fam169	4314
fam170	2927
fam171	1042
fam172	318
fam173	1241
fam174	2129
fam175	3397
fam176	4608
fam177	5125
fam179	10616
fam180	11188
fam181	12010
fam182	13090
fam183	16159
fam184	18127
fam185	21981
fam186	27198
fam187	29235
fam188	30379
fam189	31919
fam190	37024
fam191	37715
fam192	38894
fam193	40372
fam194	40746
fam195	42347
fam196	43271
fam197	44208
fam198	45077
fam199	46192
fam200	46992
fam201	49172
fam202	50794
fam203	51197
fam204	52921
fam205	54024
fam206	54458
fam207	54763
fam208	55486
fam209	56177
fam210	56993
fam211	58010
fam212	58448
fam213	58629
fam214	60740
fam215	62530
fam216	64840
fam217	65699
fam218	68118
fam219	69212
fam220	69937
fam221	70813
fam222	71513
fam223	74333
fam224	74651
fam226	78286
fam228	80237
fam229	81709
fam230	82172
fam231	82404
fam232	83436
fam233	89249
fam234	90204
fam235	92412
fam236	93506
fam237	95311
fam238	96093
fam239	97347
fam240	97906
fam241	98385
fam242	98751
fam243	100303
fam244	101367
fam245	102155
fam246	102523
fam247	103808
fam248	104470
fam250	108207
fam251	108996
fam252	109310
fam253	109670
fam256	112745
fam257	114715
fam258	115182
fam259	115858
fam260	117028
fam261	118162
fam262	119930
fam263	121350
fam264	123242
fam265	123536
fam266	124064
fam267	126640
fam268	127916
fam269	129115
fam270	131238
fam274	134013
fam275	136898
fam276	138227
fam277	139156
fam278	139869
fam279	142558
fam280	144651
fam281	145727
fam282	147082
fam283	147623
fam284	148344
fam285	149146
fam286	149445
fam287	150416
fam288	150987
fam289	153536
fam290	153960
fam291	155718
fam292	157539
fam293	158357
fam294	159127
fam295	160323
fam296	160800
fam297	164113
fam298	164469
fam299	166332
fam300	168155
fam301	170247
fam302	172215
fam303	175088
fam304	176238
fam305	179439
fam306	180649
fam308	181443
fam309	181741
fam310	182965
fam312	187163
fam313	189630
fam314	192969
fam315	193768
fam316	194809
fam317	198274
fam318	200578
fam320	202219
fam321	203377
fam322	204403
fam323	205093
fam324	205558
