fam	loc
fam1	825150
fam2	826994
fam3	828945
fam4	830940
fam5	831797
fam6	833441
fam7	834995
fam8	836703
fam9	838117
fam10	839017
fam11	840737
fam12	842453
fam13	843847
fam14	845423
fam15	846658
fam17	848882
fam19	851284
fam20	851806
fam21	852842
fam23	854718
fam25	857576
fam26	859081
fam27	860678
fam29	862210
fam31	865410
fam32	867306
fam33	868862
fam34	869572
fam35	869840
fam36	870670
fam37	871030
fam38	871368
fam39	871839
fam42	875983
fam43	876960
fam44	877863
fam45	879009
fam46	879785
fam47	881684
fam48	882581
fam49	883260
fam50	883745
fam51	885045
fam52	885467
fam53	887214
fam54	888011
fam55	889499
fam56	891263
fam57	892177
fam58	893071
fam59	896492
fam60	897536
fam68	904008
fam69	905004
fam70	906844
fam71	908087
fam73	911087
fam74	912204
fam75	913885
fam77	915798
fam78	916940
fam79	919755
fam80	922681
fam81	923799
fam82	924802
fam84	926146
fam85	927451
fam86	927940
fam87	929200
fam88	929861
fam89	931201
fam90	932101
fam91	932780
fam92	933340
fam94	936476
fam96	937771
fam97	939370
fam98	940620
fam99	941426
fam101	943090
fam102	944051
fam103	944993
fam104	945849
fam105	946948
fam106	948208
fam107	949288
fam109	952140
fam110	953419
fam111	954636
fam113	957281
fam115	958137
fam121	962056
fam125	968529
fam126	970345
fam127	970704
fam128	971631
fam129	972247
fam130	973032
fam131	973939
fam132	975424
fam133	976919
fam134	979657
fam135	980183
fam136	981345
fam137	981990
fam138	982995
fam139	984250
fam140	985380
fam141	985969
fam142	986663
fam143	987787
fam144	989501
fam145	990106
fam146	992576
fam147	993067
fam148	994140
fam150	995252
fam151	996469
fam152	997491
fam153	998334
fam154	999547
fam155	1000493
fam156	1001130
fam157	1002729
fam158	1004085
fam163	1007184
fam164	1008740
fam166	1010852
fam167	1012408
fam168	1013093
fam169	1013870
fam170	1015004
fam171	1016398
fam172	1016938
fam173	1020074
fam174	1020454
fam176	1020789
fam177	1021969
fam178	1023662
fam179	1025163
fam180	1026641
fam182	1027885
fam184	1029509
fam185	1030704
fam186	1032027
fam187	1033024
fam188	1034737
fam189	1037956
fam190	1039264
fam191	1039969
fam192	1042157
fam193	1043064
fam194	1043583
fam195	1045547
fam196	1046938
fam198	1048857
fam199	1049437
fam200	1050685
fam201	1051431
fam202	1052848
fam203	1053324
fam204	1053981
fam205	1055176
fam206	1057566
fam207	1059222
fam208	1060866
fam209	1061591
fam211	1063951
fam214	1066629
fam215	1067674
fam216	1068216
fam217	1069266
fam218	1070690
fam219	1071771
fam220	1072358
fam221	1073679
fam222	1074237
fam223	1075901
fam226	1078309
fam227	1080317
fam228	1080816
fam229	1081672
fam230	1084940
fam231	1085376
fam232	1086487
fam233	1087345
fam234	1088559
fam235	1089040
fam236	1089469
fam237	1090152
fam238	1092281
fam239	1092656
fam240	1094656
fam241	1096547
fam242	1097478
fam243	1098610
fam244	1099304
fam245	1101101
fam246	1102065
fam247	1103588
fam248	1103774
fam250	1104695
fam251	1105749
fam252	1107306
fam253	1108446
fam254	1109365
fam255	1111600
fam258	1113976
fam259	1115664
fam260	1116118
fam262	1117855
fam263	1118261
fam264	1119661
fam265	1120262
fam266	1120475
fam267	1121812
fam269	1122891
fam270	1123912
fam271	1124971
fam272	1128412
fam273	1129280
fam274	1132374
fam275	1134549
fam276	1137036
fam277	1138405
fam278	1140185
fam279	1140832
fam280	1141734
fam281	1143061
fam282	1143748
fam283	1144234
fam284	1146061
fam285	1147164
fam286	1147980
fam287	1149039
fam288	1150036
fam289	1152151
fam290	1152998
fam291	1153848
fam292	1279513
fam293	1277254
fam294	1276084
fam295	1274776
fam300	1269929
fam301	1268863
fam302	1266701
fam305	1260993
fam309	1257001
fam310	1255383
fam311	1254414
fam312	1253745
fam313	1252776
fam314	1250831
fam315	1249075
fam316	1247628
fam317	1246944
fam318	1246306
fam319	1244242
fam320	1239593
fam321	1235062
fam322	1234475
fam323	1233777
fam324	1232787
fam325	1232020
fam327	1229198
fam328	1228459
fam329	1227664
fam330	1225951
fam331	1224427
fam332	1223515
fam333	1222618
fam334	1221728
fam335	1220337
fam336	1218489
fam337	1218271
fam338	1216157
fam340	1214160
fam341	1212976
fam342	1211529
fam343	1210582
fam344	1209724
fam345	1208365
fam347	1207003
fam348	1206067
fam349	1205065
fam350	1204648
fam351	1203988
fam352	1202787
fam353	1200458
fam357	1197082
fam358	1195911
fam360	1194098
fam361	1192930
fam362	1192020
fam363	1190836
fam364	1189490
fam365	1188585
fam366	1187262
fam367	1185657
fam368	1184165
fam369	1183548
fam370	1182628
fam371	1181674
fam372	1180150
fam391	1160700
fam392	1160168
fam393	1159033
fam394	1157430
fam395	1156970
fam396	1155559
fam397	1154538
fam399	1151222
fam400	1150797
fam403	1146868
fam405	1143905
fam406	1143413
fam407	1142327
fam408	1141081
fam409	1140446
fam410	1140143
fam411	1138862
fam417	1133621
fam418	1130367
fam419	1128904
fam420	1127906
fam422	1126040
fam423	1125388
fam424	1125069
fam426	1123534
fam427	1122932
fam428	1119257
fam429	1118514
fam430	1117758
fam431	1117138
fam432	1116315
fam433	1114774
fam434	1114199
fam435	1113627
fam436	1111556
fam437	1110179
fam438	1107705
fam439	1107031
fam441	1104864
fam442	1104132
fam443	1099234
fam444	1095786
fam445	1094334
fam446	1093238
fam447	1092098
fam448	1091385
fam449	1087515
fam451	1086998
fam452	1086137
fam453	1085089
fam454	1083511
fam455	1081865
fam456	1079839
fam457	1078398
fam458	1077547
fam459	1077110
fam460	1076505
fam461	1075638
fam462	1074606
fam463	1073379
fam464	1071466
fam465	1070228
fam466	1069179
fam467	1068655
fam468	1067860
fam469	1066107
fam470	1065232
fam471	1064201
fam472	1062815
fam474	1061296
fam475	1058526
fam477	1055967
fam478	1054364
fam479	1053948
fam480	1053480
fam481	1052225
fam482	1050976
fam483	1048271
fam487	1043953
fam488	1042973
fam489	1042117
fam490	1040651
fam491	1040371
fam493	1038197
fam494	1037625
fam496	1033947
fam497	1032596
fam498	1032036
fam499	1030442
fam500	1029578
fam501	1027869
fam502	1026436
fam503	1025118
fam504	1022649
fam506	1020930
fam507	1020338
fam508	1019501
fam509	1017383
fam510	1014407
fam511	1013552
fam512	1012040
fam513	1011281
fam515	1010183
fam516	1009449
fam517	1008842
fam518	1006017
fam519	1003650
fam520	1002888
fam521	1001500
fam522	999129
fam523	997684
fam524	996535
fam525	994464
fam526	993606
fam528	989939
fam529	988048
fam530	987053
fam531	985452
fam532	982885
fam533	982069
fam534	981103
fam535	979733
fam536	978602
fam537	977352
fam538	975716
fam539	974186
fam544	970352
fam545	969527
fam546	968790
fam547	967517
fam548	966945
fam549	966550
fam550	965977
fam551	964854
fam552	963509
fam553	961627
fam554	960436
fam555	959133
fam556	958181
fam557	957134
fam558	954708
fam560	952684
fam563	951012
fam564	950605
fam565	949581
fam566	948532
fam567	947684
fam568	945803
fam569	944512
fam570	943484
fam571	942305
fam572	941066
fam573	939256
fam575	937670
fam577	935236
fam578	934993
fam579	934519
fam580	932823
fam581	931710
fam582	930663
fam583	929753
fam584	927885
fam585	927423
fam586	926322
fam588	924432
fam589	922766
fam590	922106
fam591	921165
fam592	919949
fam597	915052
fam598	913658
fam599	912216
fam600	911210
fam601	910440
fam602	909594
fam603	908588
fam604	907941
fam605	906501
fam606	905701
fam607	904575
fam611	899226
fam612	898670
fam613	896668
fam614	896167
fam615	895509
fam616	894642
fam617	891666
fam619	888818
fam620	888127
fam621	887630
fam622	886630
fam623	885276
fam624	883407
fam625	881785
fam626	880684
fam627	879919
fam628	879062
fam629	877881
fam630	874940
fam631	874013
fam632	873339
fam633	872094
fam634	870637
fam636	869640
fam637	867644
fam638	867016
fam639	866843
fam640	865668
fam641	865246
fam642	862490
fam643	861787
fam644	860737
fam645	859116
fam646	857055
fam647	856034
fam648	853803
fam649	852664
fam650	848858
fam652	847114
fam653	846552
fam654	845663
fam661	838006
fam662	836634
fam663	835345
fam664	833784
fam665	833092
fam666	832491
fam667	831377
fam668	830736
fam669	830226
fam670	829290
fam671	826466
fam673	823971
fam675	815440
fam676	814747
fam677	813729
fam678	812961
fam679	812646
fam680	812152
fam681	810841
fam683	808030
fam684	807219
fam685	806398
fam686	805392
fam687	804139
fam688	803087
fam689	801319
fam690	800648
fam691	799455
fam692	798388
fam693	797083
fam694	795284
fam704	783329
fam705	782019
fam709	777785
fam710	777121
fam711	775789
fam712	774865
fam713	773664
fam714	772577
fam716	769189
fam717	768501
fam718	766880
fam719	765365
fam720	765108
fam721	763609
fam722	762286
fam723	761053
fam724	760345
fam725	759738
fam726	757317
fam727	755939
fam728	755098
fam729	753907
fam730	752299
fam731	751648
fam733	750018
fam734	749770
fam735	748475
fam736	746343
fam737	745049
fam738	744573
fam739	743420
fam740	742463
fam741	741019
fam742	740631
fam743	739104
fam745	735746
fam746	735205
fam747	733264
fam748	731843
fam749	730861
fam750	729903
fam751	728972
fam752	728004
fam753	726707
fam754	725961
fam755	724880
fam757	723451
fam758	722720
fam760	720539
fam761	719501
fam762	717947
fam763	717142
fam764	715723
fam765	714379
fam766	713517
fam767	712366
fam768	711044
fam769	709803
fam770	709195
fam771	708044
fam772	704434
fam773	703893
fam774	703375
fam775	702579
fam776	701815
fam777	700086
fam778	698941
fam779	697155
fam780	695619
fam781	694530
fam782	694175
fam783	692954
fam784	691935
fam785	689644
fam787	687070
fam789	686540
fam791	684727
fam792	683708
fam793	682322
fam794	681431
fam795	680733
fam796	679990
fam798	677477
fam800	674199
fam801	673651
fam802	672887
fam803	671987
fam804	670513
fam805	668998
fam806	667636
fam807	666781
fam808	665816
fam809	664868
fam810	662761
fam811	661954
fam812	661454
fam813	658528
fam815	655261
fam816	654865
fam817	653768
fam818	651582
fam819	650419
fam820	649565
fam822	646970
fam823	646197
fam824	645679
fam825	644040
fam826	642688
fam827	641565
fam828	640195
fam829	639575
fam830	638896
fam831	637602
fam832	637324
fam833	636827
fam835	635350
fam836	633821
fam837	633056
fam838	632535
fam839	631507
fam840	630836
fam841	630436
fam842	630059
fam843	629787
fam844	628430
fam845	627983
fam846	627804
fam847	627292
fam848	626939
fam849	626394
fam850	625922
fam851	625605
fam852	625047
fam853	624710
fam854	624334
fam855	623933
fam856	623724
fam857	623311
fam858	622553
fam859	622222
fam860	621936
fam861	621094
fam862	620760
fam863	620161
fam864	619508
fam865	619128
fam866	617227
fam867	616509
fam869	610755
fam872	608751
fam873	607492
fam874	605981
fam875	604588
fam876	603860
fam877	602546
fam878	601821
fam879	600788
fam880	599329
fam881	597943
fam882	595756
fam883	595078
fam884	594596
fam886	593844
fam887	593091
fam888	592514
fam889	591824
fam890	591320
fam891	590481
fam892	589284
fam893	588347
fam894	586793
fam895	585267
fam896	584692
fam897	584096
fam898	583285
fam899	581460
fam900	579651
fam901	578470
fam902	575487
fam903	574570
fam911	565422
fam912	564305
fam913	563499
fam914	561999
fam916	560106
fam917	559483
fam918	559031
fam919	558362
fam920	556396
fam921	554907
fam922	553555
fam924	548455
fam925	547049
fam926	545385
fam927	544601
fam944	525899
fam945	524581
fam946	524247
fam976	473090
fam982	457307
fam983	455126
fam984	454113
fam985	453057
fam986	452532
fam987	450300
fam988	448330
fam989	447177
fam990	446450
fam991	444919
fam992	443509
fam994	441738
fam995	439477
fam996	438470
fam998	437189
fam1000	435490
fam1001	433827
fam1002	433145
fam1003	432188
fam1004	430506
fam1005	429531
fam1006	427877
fam1007	427059
fam1008	425207
fam1009	424199
fam1010	423301
fam1011	422627
fam1012	422333
fam1013	421425
fam1014	420651
fam1015	420001
fam1016	418910
fam1017	416737
fam1018	415595
fam1019	413659
fam1020	412306
fam1021	411564
fam1022	410467
fam1023	408821
fam1024	407858
fam1025	407532
fam1026	406620
fam1027	405655
fam1028	404973
fam1029	404094
fam1030	403161
fam1031	402544
fam1032	401890
fam1033	401106
fam1034	399219
fam1035	397390
fam1036	394587
fam1040	392083
fam1041	390679
fam1042	389174
fam1043	388308
fam1045	386923
fam1046	385743
fam1047	385032
fam1050	379758
fam1051	378833
fam1052	378325
fam1054	377284
fam1055	370223
fam1056	369592
fam1057	368547
fam1058	367440
fam1061	361864
fam1062	360872
fam1063	359664
fam1064	358648
fam1065	357855
fam1066	355718
fam1067	354494
fam1068	353959
fam1069	353204
fam1070	351575
fam1071	350878
fam1072	350026
fam1073	349626
fam1074	347345
fam1075	346679
fam1076	346201
fam1077	345752
fam1078	345487
fam1079	344507
fam1082	341644
fam1083	339941
fam1084	338173
fam1085	336153
fam1086	335523
fam1087	334422
fam1089	331974
fam1090	330703
fam1091	329028
fam1092	328123
fam1093	327007
fam1094	325744
fam1095	324074
fam1096	322751
fam1097	319669
fam1098	318531
fam1099	316600
fam1100	316159
fam1101	315770
fam1102	313703
fam1103	312952
fam1104	311551
fam1105	310076
fam1106	309410
fam1107	308490
fam1108	307261
fam1109	305498
fam1110	304210
fam1111	303799
fam1112	302726
fam1113	301127
fam1114	298384
fam1115	297889
fam1116	296794
fam1117	295826
fam1119	293398
fam1120	292774
fam1121	292059
fam1122	290907
fam1123	290003
fam1124	289024
fam1125	287288
fam1126	283657
fam1127	282898
fam1128	281298
fam1129	280730
fam1130	280025
fam1131	279663
fam1132	278575
fam1133	277689
fam1134	276861
fam1135	276093
fam1136	274674
fam1137	273476
fam1139	271765
fam1140	269561
fam1141	268733
fam1142	267792
fam1145	265214
fam1147	262998
fam1148	262475
fam1149	259959
fam1150	258035
fam1151	257047
fam1155	250500
fam1156	249645
fam1157	248407
fam1158	247425
fam1160	245311
fam1161	243770
fam1162	242574
fam1163	241370
fam1164	240302
fam1165	240023
fam1166	239362
fam1167	238694
fam1168	237680
fam1169	231004
fam1172	228399
fam1173	227740
fam1174	227372
fam1175	226750
fam1176	225012
fam1177	220754
fam1178	218963
fam1179	218056
fam1180	217299
fam1181	216159
fam1182	215724
fam1183	213186
fam1184	212106
fam1185	211632
fam1186	211372
fam1187	210439
fam1188	209511
fam1189	209064
fam1190	208273
fam1191	207431
fam1192	205869
fam1193	204863
fam1194	204436
fam1195	203978
fam1196	203114
fam1197	202710
fam1198	200744
fam1199	199824
fam1200	199188
fam1201	198760
fam1202	197587
fam1204	195713
fam1205	195083
fam1206	194142
fam1213	188751
fam1214	187299
fam1215	186301
fam1216	185676
fam1217	185081
fam1218	184354
fam1219	183174
