fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.10896746288731189	0.07151787946986747	0.062388601481222786	0.013443589743589746	0.0015	0.013900669507429008	0.18781923076923077	0.016849999999999997	0.19853290243213145	740253	0.03987761088352805
fam393	0.06722422513016613	0.04621217928118892	0.07799500878498412	0.008665384615384618	0.0016	0.008839753258580458	0.18720000000000003	0.02095	0.19446460425407067	379701	0.031542134081196584
fam1571	0.19816677675632494	0.237439428717164	0.07427743544344757	0.043987179487179486	0.0027	0.046444036792500816	0.1853692307692308	0.0167	0.19431863029286578	123151	0.10224011848560585
fam158	0.007236934324878638	0.008223684210526315	0.002697152703221251	0.0011538461538461542	0.0	0.0012462962881553577	0.14135641025641027	0.0212	0.15003990374336712	147926	0.023569023569023573
fam1037	0.08463857107504369	0.06029684601113172	0.07862392673042427	0.009342307692307693	0.0018	0.009092932155656762	0.1647833333333333	0.0246	0.1658407843320311	672389	0.0532967032967033
fam1499	0.04164877629884071	0.04164877629884071	0.0	0.009406060606060607	0.0	0.009695545349937287	0.2258424242424242	0.0	0.23279304247426746	205901	0.10017316017316018
fam1031	0.10311131801188664	0.1294964028776978	0.04941187749385947	0.004153846153846154	0.0	0.004486666637359287	0.03536410256410257	0.021	0.03473524395930677	677141	0.009116809116809116
fam680	0.1530387074441609	0.0581891709728151	0.1547404405026444	0.011673076923076925	0.0045	0.010515771708966894	0.1952833333333333	0.018299999999999997	0.20492631347143161	725153	0.04185086943707633
fam875	0.058750547374819266	0.06678539626001781	0.024140198134037925	0.00691153846153846	0.0	0.007465372726182424	0.10233974358974358	0.01895	0.10816220291023937	837236	0.028597619232060317
fam1483	0.08069428471831108	0.07566462167689161	0.04982210234792869	0.010738461538461539	0.0016	0.011406984261443882	0.1379051282051282	0.0043	0.14835629833530087	220667	0.04643104643104643
fam425	0.1773292452507343	0.037247654250781914	0.2842341447903188	0.006438461538461538	0.0022	0.006049883041235034	0.16773333333333335	0.0249	0.1765178698491129	416023	0.03347814975721952
fam1195	0.1384276954731815	0.12742298779495995	0.07080164982459827	0.022707692307692307	0.0013	0.023947393034234325	0.18111794871794873	0.0121	0.1908924235535586	510828	0.04548590080086144
fam98	0.1875647668393782	0.18756476683937826	5.551115123125783e-17	0.008353846153846154	0.0	0.009023185126244792	0.04453846153846153	0.0	0.048107036722796814	79948	0.013777267508610795
fam657	0.2536677139967469	0.10615020697811946	0.36192934504315155	0.017471794871794868	0.003	0.01756894767535782	0.16205641025641027	0.014	0.1696736593111518	702629	0.04068637814220854
fam1040	0.030991099762645538	0.034482758620689655	0.0330895035634176	0.005861538461538463	0.0018	0.005995708524441393	0.16168846153846153	0.020999999999999998	0.17065846908955942	668869	0.028690919716560747
fam443	0.051722179139309786	0.07292859870179456	0.048895158258950334	0.018107692307692307	0.0013	0.019382418475427866	0.23825256410256415	0.0092	0.25221940322905423	434383	0.048331298331298324
fam355	0.04438989757761336	0.04641509433962264	0.04048187168387462	0.006303846153846153	0.002	0.0060639845220798235	0.12629230769230768	0.0096	0.13370493419469562	333994	0.022720439805866938
fam519	0.014602241805412365	0.022757697456492636	0.011155747506542999	0.003138461538461538	0.0	0.0033899259037825733	0.1377320512820513	0.01235	0.14490945492465795	542188	0.027651696129957
fam1093	0.100980582425018	0.06598870056497175	0.10653866574422827	0.014725757575757576	0.004	0.013872867683338305	0.21624393939393938	0.0095	0.22188133473930002	620511	0.042202326293235386
fam814	0.030375938716755275	0.044550898203592815	0.025509524304039098	0.008619230769230771	0.0	0.009309879749317152	0.1743794871794872	0.0225	0.177857289635989	859560	0.029817404817404823
fam321	0.1338436982118271	0.08011760382212421	0.16166580355372578	0.010778787878787879	0.0036	0.010251881056539274	0.13072575757575755	0.0162	0.13022010773209877	300122	0.03125396221630532
fam594	0.03505008660788677	0.023150062009094665	0.041053954762062396	0.0028435897435897437	0.0009	0.00273550209817605	0.11610384615384617	0.0193	0.11789652834355858	632855	0.02064577397910731
fam346	0.0	0.0	0.0	0.0	0.0	0.0	0.08349230769230771	0.0	0.09018199941092167	327377	0.0198019801980198
fam643	0.1659604096149118	0.03682852451325357	0.2519700247786259	0.009144871794871797	0.0123	0.00828922141399481	0.20366025641025645	0.025849999999999998	0.21249480134801946	687392	0.0415277030661646
