fam	loc
fam1	52334
fam2	54655
fam3	66842
fam4	74346
fam5	75234
fam6	77947
fam7	82220
fam8	90920
fam9	108812
fam10	110452
fam11	118223
fam12	118660
fam13	128856
fam14	141560
fam16	152461
fam17	152896
fam19	158088
fam20	162834
fam21	171302
fam22	173754
fam23	174326
fam24	176601
fam25	186574
fam26	189605
fam27	192252
fam28	200628
fam30	609707
fam31	577733
fam33	509534
fam34	506621
fam35	506020
fam36	503085
fam37	501664
fam38	501353
fam39	497350
fam40	496684
fam41	486677
fam42	480060
fam43	477500
fam44	451518
fam45	441573
fam46	438510
fam47	418817
fam49	400966
fam50	391097
fam51	388132
fam52	373370
fam53	372841
fam54	372084
fam55	357101
fam64	342803
fam65	319489
fam66	303058
fam67	302251
fam68	302113
fam69	301871
fam70	297511
fam71	296959
fam72	296561
fam73	296374
fam74	295486
fam75	295042
fam76	294740
fam77	294531
fam78	293016
fam79	291385
fam80	289810
fam81	289488
fam82	279779
fam83	275232
fam84	274631
fam85	270251
fam86	266791
fam87	262634
fam88	258953
fam89	232161
fam90	226840
fam91	210311
fam92	202733
fam93	202466
fam94	200170
fam95	185620
fam96	183539
fam97	180280
fam98	171776
fam99	165050
fam100	153445
fam102	147444
fam104	145703
fam105	141558
fam106	137378
fam109	121330
fam110	107426
fam111	105842
fam113	103491
fam114	96104
fam115	93363
fam116	85425
fam117	81040
fam118	80677
fam119	80203
fam120	55731
fam121	47143
fam122	43143
fam123	32413
fam124	31060
fam126	27452
fam129	13466
fam130	1819
fam131	18972
fam132	33150
fam136	43235
fam137	49258
