fam	loc
fam1	50259
fam2	52692
fam5	55552
fam6	56154
fam7	57592
fam8	57966
fam9	58680
fam10	59212
fam12	61683
fam13	63036
fam14	64182
fam17	67736
fam18	70047
fam20	74655
fam21	75692
fam22	81458
fam24	83313
fam26	84513
fam28	87278
fam29	91700
fam30	92332
fam31	93261
fam32	94019
fam33	94660
fam38	101670
fam39	102011
fam40	103102
fam41	104526
fam44	115379
fam45	118679
fam46	119655
fam47	120000
fam48	121301
fam49	121917
fam54	130607
fam73	169775
fam88	195190
fam89	195948
fam91	198745
fam93	207096
fam95	209203
fam96	213138
fam97	213338
fam98	215281
fam100	220948
fam104	229349
fam106	233004
fam107	236722
fam108	238591
fam109	240391
fam110	242854
fam114	247265
fam117	251727
fam118	257655
fam119	258419
fam121	259598
fam122	262227
fam123	262573
fam124	262904
fam125	263801
fam126	264502
fam127	265410
fam128	266126
fam131	269114
fam132	273976
fam134	276526
fam135	281020
fam137	285484
fam138	287379
fam139	287900
fam142	293721
fam143	295831
fam144	296303
fam145	296961
fam146	297513
fam147	297796
fam149	301042
fam150	303236
fam151	306564
fam152	306953
fam153	308470
fam154	309506
fam155	315848
fam156	316844
fam157	319244
fam158	320163
fam159	322217
fam161	325377
fam162	325999
fam163	327627
fam164	328024
fam165	328564
fam166	329338
fam167	330180
fam168	331217
fam170	332965
fam171	335294
fam172	336609
fam175	350222
fam176	351181
fam177	352174
fam178	352943
fam179	355163
fam181	356351
fam182	356942
fam183	357650
fam187	367605
fam188	369042
fam189	369821
fam190	370023
fam192	371412
fam194	374116
fam196	376130
fam197	376870
fam198	377500
fam199	377962
fam202	394937
fam203	396742
fam204	398859
fam209	404917
fam211	406972
fam214	410915
fam215	411429
fam216	413118
fam218	416701
fam219	417309
fam220	417510
fam221	417746
fam222	418277
fam223	418686
fam224	419841
fam225	421630
fam226	423001
fam227	428468
fam228	429186
fam230	433162
fam232	438203
fam234	440942
fam235	441965
fam236	442211
fam237	443608
fam238	444344
fam239	447667
fam240	449424
fam242	453330
fam243	454168
fam246	455218
fam249	457208
fam252	460798
fam253	461332
fam254	462766
fam255	470814
fam256	475940
fam257	476403
fam258	476794
fam259	477670
fam260	479075
fam261	479400
fam262	479934
fam265	482161
fam266	482436
fam267	485829
fam268	486488
fam269	489088
fam270	489859
fam271	492851
fam274	495731
fam275	497259
fam276	500448
fam277	501819
fam278	505395
fam279	508583
fam280	508822
fam281	509711
fam283	513514
fam284	514650
fam286	517322
fam287	518329
fam288	519102
fam289	519599
fam290	519879
fam292	520922
fam294	523418
fam295	525848
fam296	528211
fam297	530316
fam301	533389
fam302	535552
fam303	546469
fam304	547067
fam305	550015
fam307	553171
fam308	556829
fam309	558506
fam311	561361
fam312	561735
fam313	562467
fam314	563043
fam315	563574
fam316	564532
fam319	569483
fam320	571466
fam321	571764
fam322	572066
fam323	573897
fam324	577359
fam357	621981
fam359	624474
fam360	625373
fam363	627731
fam369	637957
fam370	640302
