fam	loc
fam1	1608
fam2	2840
fam3	5488
fam4	6156
fam5	7573
fam6	8183
fam7	10873
fam8	12366
fam9	13588
fam10	14029
fam11	14659
fam12	15331
fam13	15771
fam14	16444
fam15	17575
fam16	19006
fam17	19509
fam18	20329
fam19	21958
fam20	22438
fam21	23091
fam22	24814
fam23	25829
fam24	26415
fam25	27163
fam26	27775
fam27	28796
fam28	29268
fam29	29840
fam30	30643
fam31	30932
fam32	31738
fam34	33890
fam35	34795
fam36	35669
fam37	37122
fam38	37813
fam41	42382
fam42	45408
fam43	45992
fam44	46453
fam45	46799
fam46	48057
fam47	49255
fam48	50355
fam49	51224
fam55	60997
fam56	62067
fam58	65393
fam59	66549
fam60	67064
fam61	68311
fam62	68841
fam64	73191
fam66	74489
fam68	76511
fam69	76785
fam70	77262
fam71	77605
fam72	79275
fam73	79812
fam74	81541
fam75	82226
fam76	83165
fam77	83966
fam78	84711
fam79	85149
fam80	85590
fam81	86625
fam82	87593
fam83	87902
fam84	89500
fam85	89908
fam86	91926
fam87	92788
fam88	94302
fam89	95502
fam90	97276
fam91	98364
fam92	99511
fam93	100959
fam94	102438
fam95	103370
fam96	104363
fam97	105238
fam98	106271
fam99	107744
fam100	110481
fam101	111065
fam102	112380
fam103	113115
fam104	114133
fam105	114896
fam106	115853
fam107	117434
fam108	118021
fam109	120464
fam110	121166
fam111	122364
fam112	123071
fam113	123543
fam114	124550
fam115	125320
fam116	126509
fam117	128848
fam118	129463
fam119	130563
fam120	131732
fam121	132396
fam122	133966
fam123	135446
fam124	136401
fam125	137209
fam126	138363
fam127	139480
fam128	140543
fam129	141954
fam130	142707
fam131	143849
fam132	147141
fam133	148397
fam134	149155
fam135	150051
fam137	150570
fam138	152072
fam139	152629
fam141	154584
fam142	155131
fam143	155782
fam144	156088
fam145	157337
fam146	158824
fam147	159821
fam148	160563
fam149	161472
fam150	161710
fam151	162778
fam152	164231
fam153	164669
fam154	165795
fam155	166143
fam156	167365
fam157	167638
fam158	168813
fam159	169673
fam160	170754
fam161	172341
fam162	172751
fam163	174608
fam164	175982
fam165	176473
fam166	178089
fam167	178760
fam168	179748
fam169	181501
fam170	181753
fam171	182094
fam172	182732
fam173	183061
fam174	184498
fam175	184812
fam176	185809
fam177	186902
fam178	188460
fam179	189336
fam180	190168
fam181	191353
fam182	192422
fam183	192916
fam184	193880
fam188	198195
fam189	198675
fam190	200172
fam191	202142
fam192	203265
fam193	204186
fam194	205186
fam195	206199
fam196	207340
fam197	208856
fam198	209984
fam199	210637
fam200	211298
fam201	211963
fam202	213924
fam203	214942
fam204	215649
fam205	216887
fam206	217939
fam207	220270
fam208	220778
fam209	221162
fam210	222429
fam211	223119
fam212	223585
fam213	224384
fam214	225656
fam215	226435
fam216	227261
fam217	227969
fam218	229147
fam219	230107
fam220	231077
fam221	233238
fam222	234491
fam223	234812
fam224	236156
fam226	237882
fam227	238406
fam228	238758
fam230	239688
fam231	241091
fam232	241644
fam233	243238
fam237	247004
fam238	248331
fam239	250057
fam240	250998
fam241	251981
fam242	253146
fam243	254450
fam244	255939
fam245	257305
fam246	258119
fam247	258585
fam248	259592
fam249	261166
fam250	261412
fam251	262091
fam252	262934
fam253	263268
fam254	263732
fam255	264113
fam256	264465
fam257	266425
fam258	267840
fam259	268972
fam260	269373
fam261	270193
fam262	271397
fam263	271602
fam264	271890
fam265	272890
fam266	274167
fam267	275183
fam269	277807
fam270	279343
fam271	280173
fam272	281595
fam273	282720
fam274	283803
fam275	284963
fam276	285500
fam277	286520
fam278	286935
fam279	287438
fam280	288405
fam281	289377
fam282	289819
fam283	290682
fam286	293781
fam287	294104
fam288	295389
fam289	296406
fam290	298625
fam291	299554
fam292	300304
fam293	302637
fam294	303900
fam295	305032
fam296	305987
fam297	307445
fam300	309629
fam302	313581
fam304	315128
fam305	316471
fam306	317185
fam307	318193
fam308	318744
fam309	320250
fam310	320825
fam311	321373
fam312	323287
fam313	324351
fam314	327065
fam315	328225
fam316	330855
fam317	331895
fam326	344951
fam327	346077
fam328	347071
fam329	352160
fam330	353256
fam331	354498
fam332	356796
fam333	357158
fam334	357937
fam335	359180
fam336	360160
fam337	360783
fam338	361459
fam339	362955
fam340	363707
fam341	365105
fam342	365420
fam343	367441
fam344	368388
fam345	369203
fam346	369528
fam347	370438
fam348	371531
fam349	372912
fam350	373700
fam351	374123
fam352	375956
fam353	376566
fam354	377186
fam355	378927
fam356	379419
fam360	384125
fam365	389639
fam366	391182
fam367	392001
fam368	393907
fam369	394662
fam370	395700
fam371	396340
fam372	397125
fam373	398185
fam374	398785
fam375	400292
fam376	401422
fam377	402113
fam378	402673
fam379	404017
fam380	405523
fam381	406020
fam382	406813
fam383	408063
fam384	409856
fam385	410761
fam386	418884
fam387	420695
fam388	422157
fam389	423064
fam390	423878
fam391	424843
fam392	425181
fam393	427028
fam394	428566
fam395	429969
fam396	431155
fam397	432695
fam398	433975
fam399	435075
fam400	436469
fam401	437412
fam402	438183
fam403	439442
fam404	440783
fam405	441477
fam406	442635
fam407	443194
fam408	446249
fam409	447634
fam410	448523
fam411	448981
fam412	449240
fam413	450023
fam414	450738
fam415	451653
fam416	452910
fam417	454178
fam418	455822
fam434	468723
fam435	469244
fam436	469532
fam437	470828
fam438	472039
fam439	472757
fam440	473418
fam441	473582
fam442	475373
fam443	476003
fam444	476649
fam445	478111
fam446	479097
fam447	479419
fam448	480006
fam449	483443
fam450	483743
fam451	485018
fam452	485427
fam453	486070
fam454	486758
fam455	487716
fam456	488287
fam457	489800
fam458	490748
fam459	492118
fam460	492685
fam461	493203
fam462	493946
fam463	494598
fam464	496198
fam465	496764
fam466	498918
fam467	499781
fam468	500535
fam469	502590
fam470	503085
fam471	504352
fam472	505374
fam473	506080
fam474	506859
fam475	507962
fam476	509550
fam477	510641
fam478	511458
fam479	512590
fam480	513458
fam481	514736
fam482	515271
fam483	515850
fam484	516838
fam485	519317
fam486	520121
fam487	520704
fam488	521572
fam489	521985
fam490	522955
fam491	525243
fam492	526347
fam496	529795
fam497	530988
fam498	531687
fam499	533246
fam500	534442
fam501	534980
fam502	535500
fam503	536425
fam504	537288
fam505	537974
fam506	538460
fam507	541329
fam508	541919
fam509	543032
fam511	544457
fam512	544901
fam514	547241
fam515	547517
fam516	549389
fam517	550041
fam518	550276
fam519	551623
fam520	552140
fam521	553016
fam522	554712
fam523	556229
fam524	557345
fam525	558880
fam526	560016
fam527	560918
fam528	561595
fam529	562317
fam530	567642
fam531	569195
fam532	570392
fam533	571270
fam534	572223
fam535	572948
fam536	573688
fam537	574092
fam538	574685
fam539	575946
fam540	577309
fam541	577764
fam542	578450
fam543	579711
fam544	580804
fam545	581482
fam546	582214
fam547	583997
fam548	584275
fam549	585336
fam551	586671
fam552	588102
fam553	588899
fam554	590623
fam555	591884
fam556	592390
fam557	593808
fam558	594146
fam559	595597
fam562	598355
fam563	598869
fam564	600416
fam565	602665
fam566	603735
fam567	605351
fam568	605973
fam569	606635
fam570	607452
fam571	608021
fam572	608667
fam573	608851
fam574	610123
fam575	611291
fam576	613331
fam577	613761
fam578	615190
fam579	616438
fam580	618981
fam581	620066
fam582	622857
fam583	623751
fam584	624885
fam585	625851
fam586	626593
fam588	628021
fam589	629117
fam590	630873
fam591	632378
fam592	633184
fam593	634488
fam594	634956
fam595	635222
fam596	636411
fam597	638273
fam598	639186
fam599	643437
fam600	646467
fam601	648255
fam602	649177
fam603	650331
fam604	651673
fam605	652077
fam606	652546
fam607	653107
fam608	653537
fam609	655631
fam610	657026
fam611	658892
fam612	659812
fam613	660545
fam614	661081
fam615	662655
fam616	663338
fam617	664297
fam618	665378
fam619	665874
fam620	666945
fam621	668930
fam622	669786
fam623	670794
fam643	704019
fam644	704579
fam645	705457
fam646	706530
fam647	707565
fam648	707992
fam649	709068
fam652	711121
fam653	712290
fam654	712819
fam655	714132
fam656	715294
fam657	715740
fam658	716428
fam659	717075
fam660	717923
fam661	718356
fam662	719586
fam663	720072
fam664	720786
fam665	721199
fam666	722025
fam667	722597
fam668	723041
fam669	723550
fam670	723983
fam671	724404
fam672	725359
fam673	726665
fam674	727533
fam675	728087
fam676	729035
fam677	731075
fam678	731333
fam679	732682
fam680	734037
fam681	735338
fam682	736592
fam683	737875
fam684	738917
fam685	740080
fam686	741097
fam688	743046
fam689	744003
fam690	745028
fam691	746358
fam692	748290
fam693	750663
fam694	751300
fam695	751882
fam696	752852
fam697	753560
fam698	755072
fam699	755850
fam700	758093
fam701	759124
fam702	760821
fam703	761767
fam704	762665
fam705	763633
fam706	764786
fam707	766098
fam710	773416
fam712	774638
fam713	775267
fam714	775816
fam715	776484
fam716	778170
fam717	779196
fam718	779618
fam719	781030
fam720	781789
fam721	782235
fam722	782734
fam723	783839
fam724	785185
fam725	786062
fam726	786944
fam741	807330
fam742	808380
fam743	809532
fam744	810397
fam745	811650
fam746	813293
fam747	814466
fam748	815376
fam749	816754
fam750	817514
fam751	818210
fam753	820550
fam754	820891
fam755	821204
fam756	822298
fam757	823128
fam758	823990
fam759	825174
fam760	826798
fam761	828288
fam764	830306
fam765	830974
fam766	831334
fam767	832808
fam768	833303
fam769	834054
fam770	834961
fam771	835832
fam791	856459
fam792	857064
fam793	858112
fam794	858658
fam795	859038
fam796	859611
fam797	860617
fam798	861088
fam799	861427
fam800	862287
fam801	863869
fam802	865592
fam803	866885
fam804	867430
fam805	867945
fam806	869139
fam807	869767
fam808	870744
fam809	871880
fam810	873176
