fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.09048392707871777	0.06526315789473684	0.10484149122773946	0.0017476190476190478	0.0015	0.0014513110813589494	0.025771428571428574	0.0231	0.015343531066160463	510948	0.009197448449784897
fam1785	0.04138148297192672	0.046788990825688076	0.023577570670298365	0.0041904761904761915	0.0051	0.00218564685029284	0.0952047619047619	0.102	0.037272707699186884	1994363	0.024227234753550545
fam966	0.0348967688125351	0.038461538461538464	0.02162608356243373	0.0033714285714285717	0.0037	0.002123595974743213	0.08428095238095237	0.0889	0.04148711353624353	1690563	0.02198313076974165
fam1571	0.025163291728424766	0.021666666666666667	0.014120757881714158	0.0034809523809523815	0.0039	0.0016927349095244956	0.16145714285714285	0.1774	0.0646502868658503	2230795	0.03397212543554007
fam3872	0.20059057435978928	0.1811965811965812	0.07753727079821779	0.00979047619047619	0.0106	0.0039863940934735395	0.05221904761904762	0.0535	0.02091929205411482	265306	0.022153209109730846
fam3479	0.006041761381556871	0.0	0.015494167136715855	0.00019999999999999998	0.0	0.00031622776601683794	0.052314285714285716	0.0611	0.0208389353012527	168710	0.013748281464816896
fam1499	0.1773705884360019	0.17293906810035842	0.11070860587108569	0.01541904761904762	0.0154	0.007831232892513163	0.0973095238095238	0.127	0.053567464403594695	2299262	0.03613369467028004
fam2659	0.07039461035682314	0.07209062821833162	0.03470469547696406	0.006633333333333332	0.007	0.003699206264068954	0.09206666666666667	0.0971	0.024405587442483296	1067272	0.029322073657049023
fam3994	0.0	0.0	0.0	0.0	0.0	0.0	0.00937142857142857	0.0109	0.007015027601150117	388994	0.0027739251040221923
fam1031	0.01863857017437302	0.015552099533437015	0.01713463102984259	0.0013333333333333335	0.001	0.0010837911120705754	0.06576666666666668	0.0643	0.03047617857142625	1751103	0.019690576652601967
fam3345	0.011453363643830174	0.013968775677896466	0.007868917341308143	0.0010238095238095238	0.0006	0.0007527124043875064	0.07932857142857141	0.0886	0.03155892663479124	325470	0.019476938831777542
fam4095	0.0	0.0	0.0	0.0	0.0	0.0	0.06985238095238096	0.0709	0.02046785212281792	487985	0.016977500078891726
fam680	0.1884927717402778	0.18788501026694046	0.08131336093209741	0.013014285714285714	0.0141	0.005652583540317835	0.07921428571428571	0.0882	0.03006692987501124	1354860	0.029120420097863704
fam875	0.0	0.0	0.0	0.0	0.0	0.0	0.03826190476190477	0.0404	0.018323689485796307	1583991	0.009130125225112034
fam4190	0.019780255047284916	0.02182952182952183	0.016270440833139353	0.0016047619047619044	0.0021	0.0012904322607177542	0.08017619047619047	0.085	0.024146239079368127	579017	0.022438672438672442
fam1483	0.05921831907435941	0.048239895697522815	0.03840434760109608	0.0073666666666666655	0.0074	0.002478542838680543	0.14255238095238093	0.1598	0.045748834167270304	2244498	0.035780423280423274
fam1781	0.037948953226565565	0.03329752953813104	0.029838860362313854	0.003957142857142857	0.0031	0.0033425925821236467	0.09175714285714284	0.0978	0.03838724455099228	1999383	0.02645502645502645
fam3726	0.057108106939833224	0.03366696997270246	0.07129262868993198	0.0024380952380952383	0.0018	0.0013253844690993273	0.06629047619047619	0.0698	0.03311680489479487	86420	0.018369175627240143
fam4141	0.07348018396100911	0.07467532467532467	0.028350799119172407	0.004057142857142858	0.0046	0.0015954015552358534	0.054599999999999996	0.0616	0.016181147172234848	530431	0.01858549326903757
fam3379	0.08965515536346519	0.11135051646903646	0.045691794696776304	0.06125714285714286	0.0548	0.03846092106254856	0.5430047619047619	0.5679	0.31694640597905277	290843	0.13472619931417262
fam1928	0.0	0.0	0.0	0.0	0.0	0.0	0.021657142857142857	0.0198	0.010520210545990644	1849857	0.006404901141743247
