fam	loc
fam1	1309211
fam5	1306679
fam7	1303801
fam8	1303472
fam9	1301488
fam10	1300808
fam11	1300278
fam12	1299681
fam13	1299503
fam14	1296105
fam15	1295332
fam16	1293995
fam17	1290823
fam18	1289946
fam19	1289701
fam21	1287045
fam22	1286650
fam23	1285960
fam24	1285357
fam25	1284279
fam26	1282943
fam27	1282575
fam28	1280613
fam29	1278848
fam30	1278360
fam31	1277389
fam33	1274829
fam34	1274379
fam35	1273912
fam36	1271427
fam37	1268863
fam38	1267402
fam39	1266653
fam40	1265110
fam41	1264452
fam42	1263571
fam44	1260462
fam45	1258449
fam46	1257845
fam47	1257516
fam48	1256614
fam50	1254826
fam51	1254009
fam52	1253036
fam53	1251363
fam54	1251029
fam55	1249315
fam56	1248429
fam57	1247054
fam58	1245537
fam59	1244918
fam60	1243839
fam61	1243286
fam62	1241784
fam63	1241336
fam64	1240437
fam65	1238550
fam66	1237396
fam67	1236824
fam68	1235869
fam69	1235372
fam70	1234882
fam71	1233691
fam72	1233238
fam73	1232545
fam74	1231363
fam75	1230978
fam76	1229878
fam77	1228020
fam78	1227660
fam79	1226510
fam80	1225385
fam81	1224711
fam82	1222892
fam83	1221360
fam84	1219964
fam86	1218264
fam87	1217516
fam88	1216126
fam89	1212986
fam90	1211955
fam91	1210919
fam92	1210596
fam93	1209848
fam94	1209410
fam95	1208837
fam96	1208197
fam97	1207246
fam98	1206115
fam99	1205690
fam100	1204132
fam101	1203773
fam102	1202215
fam103	1201979
fam104	1201420
fam105	1200324
fam106	1199092
fam107	1197426
fam108	1196802
fam110	1192226
fam111	1191335
fam112	1190511
fam113	1189747
fam114	1188773
fam115	1187441
fam116	1183948
fam117	1182025
fam118	1180534
fam119	1179331
fam120	1178396
fam121	1176571
fam122	1176198
fam123	1175380
fam124	1173855
fam126	1172005
fam127	1170744
fam130	1166800
fam132	1163024
fam133	1162096
fam134	1161462
fam182	1124598
fam183	1124275
fam184	1123781
fam204	1109716
fam206	1106160
fam269	1066492
fam270	1065377
fam271	1064034
fam272	1063594
fam273	1062292
fam274	1061742
fam275	1060024
fam278	1058525
fam279	1057377
fam280	1056747
fam281	1055695
fam282	1054701
fam333	1004151
fam334	1000603
fam335	997722
fam336	994177
fam337	993841
fam338	993452
fam340	992431
fam341	991463
fam342	990581
fam343	988171
fam344	987628
fam345	986250
fam346	985473
fam347	985122
fam348	983974
fam349	982161
fam350	980929
fam351	978777
fam353	977154
fam354	975877
fam355	974832
fam356	973646
fam357	972173
fam358	971002
fam359	969837
fam360	969362
fam361	966831
fam362	963872
fam363	962979
fam364	961447
fam365	960174
fam371	953356
fam372	951973
fam373	951524
fam375	949685
fam376	948090
fam377	946945
fam378	945255
fam379	943060
fam380	942115
fam381	941555
fam382	940919
fam383	939359
fam386	936427
fam387	935711
fam388	934790
fam389	934157
fam390	933710
fam391	933463
fam392	932231
fam393	931495
fam394	931020
fam395	929542
fam396	928601
fam398	925272
fam399	924764
fam400	923646
fam402	921997
fam403	920796
fam404	919474
fam405	918870
fam406	918373
fam407	917525
fam409	915906
fam410	915004
fam411	913951
fam412	913176
fam413	912260
fam414	911261
fam415	909825
fam416	908447
fam417	907378
fam418	906380
fam419	905874
fam420	904887
fam421	903613
fam423	901739
fam424	900454
fam425	898417
fam426	897381
fam427	896319
fam429	893330
fam430	893190
fam431	891381
fam432	889551
fam433	888977
fam434	888175
fam435	887364
fam436	886401
fam437	885729
fam438	885313
fam439	884326
fam440	883604
fam441	883020
fam442	882733
fam443	882132
fam444	881003
fam448	876746
fam449	875583
fam450	874678
fam451	874299
fam452	873580
fam453	872367
fam454	872064
fam455	870920
fam456	869436
fam457	867250
fam458	866136
fam474	847248
fam478	841570
fam479	840634
fam480	840316
fam481	839962
fam482	839481
fam483	838994
fam484	837291
fam485	836116
fam486	835140
fam487	834019
fam488	833543
fam489	832542
fam490	831346
fam491	830812
fam492	829737
fam493	829273
fam494	828532
fam495	827093
fam496	826294
fam497	825357
fam498	824001
fam499	823070
fam500	821432
fam502	818792
fam503	817790
fam504	815993
fam505	814980
fam506	813959
fam507	812903
fam508	812379
fam509	811064
fam510	809438
fam511	808632
fam512	806121
fam513	805609
fam514	804799
fam515	803447
fam516	802763
fam517	802418
fam518	800478
fam519	799868
fam520	799041
fam521	798594
fam522	797965
fam523	796284
fam524	795468
fam525	794302
fam526	791984
fam527	791300
fam528	790614
fam529	789751
fam530	788864
fam532	784133
fam534	782386
fam536	781338
fam537	780458
fam538	778766
fam542	776164
fam543	773276
fam544	771952
fam547	769249
fam548	767947
fam549	767045
fam550	766586
fam551	765863
fam552	764804
fam553	764351
