fam	loc
fam2	3401
fam3	4499
fam4	7023
fam5	8839
fam6	11419
fam7	13918
fam8	15151
fam9	15605
fam10	16028
fam11	17066
fam12	17974
fam13	20031
fam14	20699
fam15	21849
fam16	22534
fam17	23807
fam18	24523
fam21	26758
fam22	34324
fam25	38455
fam26	38608
fam29	42825
fam30	43784
fam31	46085
fam32	48207
fam33	49577
fam34	51813
fam35	52712
fam36	53614
fam37	55076
fam38	58062
fam39	58888
fam40	61429
fam41	64569
fam42	65078
fam43	66301
fam44	66604
fam45	67623
fam46	68330
fam47	68781
fam48	71383
fam49	71974
fam50	72239
fam51	72809
fam52	73916
fam53	74387
fam54	75202
fam55	75528
fam56	76183
fam57	77560
fam61	81327
fam62	82049
fam63	82735
fam64	83605
fam66	85669
fam67	86314
fam68	87227
fam71	89512
fam72	91721
fam73	93030
fam74	94328
fam75	95073
fam76	95703
fam77	96249
fam78	97762
fam79	98774
fam80	99622
fam81	101076
fam82	101796
fam83	102709
fam84	103752
fam85	105218
fam86	106500
fam87	107920
fam88	108506
fam90	110887
fam91	111422
fam92	112809
fam93	113625
fam94	115520
fam96	117679
fam97	119407
fam98	120485
fam99	121300
fam100	122009
fam102	123610
fam103	124105
fam104	124937
fam105	126002
fam106	126684
fam107	127469
fam108	129315
fam111	133303
fam112	134286
fam113	134879
fam114	135280
fam115	136551
fam116	137241
fam118	140562
fam119	140956
fam120	141409
fam121	142073
fam122	143233
fam123	144811
fam124	146272
fam125	147258
fam126	148113
fam127	149442
fam128	150802
fam129	151828
fam130	152366
fam131	153158
fam132	156139
fam133	158112
fam134	159052
fam135	160033
fam136	160493
fam137	162182
fam138	163636
fam139	164307
fam140	166014
fam142	167849
fam143	168403
fam144	169427
fam145	169867
fam146	170962
fam147	172342
fam148	173266
fam149	174223
fam150	176620
fam151	177354
fam154	179890
fam155	180646
fam156	181674
fam157	182501
fam158	186401
fam159	186920
fam160	188635
fam161	189577
fam163	192638
fam167	200310
fam168	201004
fam169	201841
fam170	203132
fam171	204656
fam172	205292
fam173	206821
fam177	210465
fam178	212014
fam179	213436
fam180	214519
fam181	215095
fam182	215937
fam185	217607
fam186	220632
fam187	221466
fam188	222015
fam199	235028
fam200	236218
fam209	249993
fam224	261848
fam283	324195
fam288	328417
fam289	329481
fam290	330124
fam291	330545
fam292	331649
fam293	332288
fam294	333092
fam295	333840
fam296	334397
fam297	335303
fam298	335896
fam299	336366
fam300	337736
fam301	338166
fam302	339812
fam303	341479
fam304	342546
fam305	345234
fam306	345608
fam307	346027
fam308	347046
fam309	348632
fam310	350589
fam312	351948
fam313	353777
fam314	354210
fam315	355597
fam318	359265
fam319	359597
fam320	361433
fam321	362937
fam322	364356
fam323	365475
fam324	366352
fam329	372038
fam331	374707
fam332	375823
fam333	376670
fam334	381593
fam335	383087
fam337	384930
fam338	386038
fam339	386592
fam358	403284
fam359	403733
fam360	404271
fam361	406440
fam362	406945
fam363	407646
fam364	408731
fam372	416432
fam373	417006
fam374	417774
fam375	418289
fam377	420458
fam378	421544
fam379	422604
fam380	423406
fam381	424023
fam382	424938
fam383	425992
fam384	427363
fam385	429137
fam386	429649
fam390	434467
fam391	434884
fam392	437149
fam393	437917
fam394	439193
fam395	439966
fam396	440563
fam397	441270
fam398	442006
fam399	442557
fam400	443323
fam401	443699
fam402	445127
fam403	445530
fam404	446887
fam405	447450
fam406	448729
fam411	454231
fam412	456880
fam413	457712
fam414	458018
fam415	459245
fam416	460878
fam417	461541
fam418	463748
fam419	464695
fam420	467353
fam421	468573
fam422	469349
fam423	470023
fam424	470679
fam425	470978
fam426	472074
fam427	472826
fam428	473227
fam429	473875
fam430	475907
fam431	476756
fam434	481798
fam435	482962
fam436	484452
fam438	486456
fam439	487009
fam440	488307
fam441	490040
fam442	491257
fam443	492156
fam444	492733
fam445	493432
fam446	494046
fam447	494363
fam448	495199
fam449	495494
fam450	495833
fam451	496587
fam452	497004
fam453	497201
fam454	497455
fam455	497916
fam456	498243
fam457	498795
fam458	499110
fam459	499518
fam460	500065
fam461	500430
fam462	500930
fam463	501113
fam464	501557
fam465	502922
fam466	503058
fam467	503522
fam468	503928
fam469	504567
fam470	505591
fam471	505975
fam472	507660
fam473	508591
fam474	509798
fam475	510248
fam476	510640
fam478	512842
fam479	515301
fam480	516142
fam481	516373
fam482	518447
fam484	521888
fam486	524296
fam487	524983
fam490	528220
fam491	528929
fam492	529347
fam495	532261
fam496	533062
fam497	533895
fam498	535014
fam500	538079
fam501	538660
fam502	539794
fam503	541290
fam504	543567
fam505	544248
fam506	545404
fam507	545838
fam508	546201
fam509	546814
fam510	547489
fam511	548465
fam512	549339
fam513	550440
fam514	557991
fam516	558928
fam517	559949
fam518	560381
fam519	560821
fam521	562030
fam522	562547
fam523	562953
fam524	564962
fam525	565502
fam526	565809
fam527	566453
fam528	567349
fam529	568328
fam530	569096
fam531	570482
fam532	570950
fam533	571460
fam534	571742
fam535	572169
fam536	573325
fam537	574004
fam538	574897
fam539	575845
fam542	579699
fam544	583037
fam545	584142
fam546	584664
fam547	587500
fam548	588000
fam549	590497
fam550	590985
fam551	592107
fam553	596143
fam554	596920
fam555	599244
fam556	599674
fam557	601095
fam558	601839
fam559	602130
fam560	602672
fam561	604030
fam562	604847
fam563	605614
fam564	606748
fam565	608040
fam566	608766
fam567	609908
fam568	611487
fam569	612252
fam570	613256
fam571	615169
fam572	615554
fam573	616789
fam576	619778
fam578	622456
fam579	625282
fam580	626242
fam582	628408
fam584	630188
fam590	635186
fam591	636222
fam592	638324
fam593	639241
fam594	641413
fam595	643040
fam596	643586
fam597	644234
fam598	644802
fam605	651531
fam606	653531
fam607	654454
fam608	656244
fam609	656950
fam610	658516
fam611	659866
fam612	661380
fam613	663060
fam614	664059
fam615	664943
fam617	667924
fam618	669137
fam619	670191
fam620	671345
fam622	674214
fam623	675372
fam624	676757
fam625	677933
fam626	678826
fam627	680106
fam628	681110
fam629	681712
fam630	682533
fam631	683485
fam632	684268
fam633	687207
fam634	687748
fam635	689126
fam636	690340
fam638	693237
fam640	703488
fam645	707476
fam646	707980
fam647	708369
fam648	709635
fam649	710333
fam650	710752
fam651	712230
fam652	713496
fam653	714917
fam654	716139
fam655	717155
fam656	718361
fam659	722603
fam660	724542
fam661	725147
fam662	725873
fam663	726427
fam664	727222
fam665	728059
fam666	728871
fam667	730371
fam669	732467
fam670	733533
fam671	733826
fam672	734691
fam673	735592
fam676	739135
fam677	740042
fam678	740593
fam679	740993
fam680	741512
fam681	742287
fam682	743084
fam683	743822
fam684	744662
fam685	745197
fam686	746594
fam687	747728
fam688	748125
fam689	749710
fam690	751853
fam691	753106
fam692	754842
fam693	755371
fam694	756019
fam695	758285
fam697	760744
fam698	761307
fam699	762152
fam700	762905
fam701	763945
fam702	767333
fam703	768296
fam704	768648
fam705	769042
fam706	769857
fam707	770658
fam708	771828
fam709	772774
fam710	773682
fam711	775848
fam712	776344
fam713	777968
fam714	778881
fam715	779898
fam716	780628
fam717	781853
fam718	782176
fam719	782621
fam720	783171
fam721	784352
fam722	785416
fam723	786228
fam724	787146
fam725	790858
fam726	792121
fam727	793495
fam728	794276
fam729	795256
fam730	796373
fam731	797413
fam732	798019
fam733	799418
fam734	800954
fam735	802535
fam763	838696
fam773	847971
fam774	849105
fam775	850164
fam776	850802
fam787	860980
fam788	862702
fam790	863823
fam792	866308
fam793	866510
fam794	867529
fam800	879804
fam822	906663
fam823	907148
fam824	908050
fam825	908757
fam826	909875
fam827	911875
fam828	912698
fam829	914639
fam830	916282
fam832	918401
fam833	919780
fam834	920478
fam837	926675
fam838	928153
fam839	928521
fam841	930574
fam842	931052
fam843	931606
fam844	933099
fam845	934847
fam846	935743
fam847	936563
fam851	941382
fam852	942981
fam853	944814
fam855	945729
fam856	946107
fam857	946587
fam858	947638
fam859	948348
fam860	949567
fam861	950417
fam862	951077
fam863	952382
fam864	953389
fam865	954870
fam866	956300
fam867	957529
fam870	960793
fam871	962315
fam872	963543
fam873	964540
fam874	965029
fam875	966044
fam877	968132
fam878	969422
fam879	971501
fam880	972185
fam881	973504
fam882	974204
fam883	975061
fam884	976318
fam885	977765
fam886	978571
fam887	979251
fam888	979994
fam889	981007
fam890	981999
fam891	982565
fam892	984435
fam893	984690
fam894	986232
fam895	987166
fam896	988390
fam897	990072
fam898	990633
fam899	991381
fam900	992043
fam901	993809
fam902	994879
fam903	995661
fam904	996052
fam905	996729
fam906	997811
fam908	1001190
fam909	1002341
fam910	1002955
fam911	1003328
fam912	1004923
fam913	1006987
fam914	1007457
fam915	1008464
fam916	1009419
fam917	1010103
fam918	1011783
fam919	1012476
fam920	1014788
fam921	1016165
fam922	1017942
fam923	1021142
fam924	1022291
fam926	1023651
fam927	1024047
fam928	1024589
fam929	1026712
fam930	1031356
fam931	1031816
fam932	1033016
fam933	1033279
fam934	1034314
fam935	1034804
fam936	1035307
fam938	1038173
fam939	1038970
fam940	1041749
fam941	1042481
fam942	1044741
fam943	1046082
fam944	1048474
fam945	1050223
fam946	1051773
fam947	1053014
fam948	1054151
fam949	1055797
fam950	1056246
fam951	1057726
fam952	1058325
fam953	1058713
fam955	1061192
fam958	1063912
fam959	1064827
fam960	1065678
fam961	1066451
fam962	1066729
fam963	1067373
fam964	1068721
fam965	1069420
fam966	1070217
fam969	1075571
fam970	1077618
fam971	1079250
fam972	1080309
fam973	1081108
fam975	1084396
fam976	1085443
fam977	1086368
fam978	1087040
fam979	1087780
fam980	1090271
fam981	1091117
fam982	1091869
fam983	1094063
fam984	1095053
fam985	1096005
fam986	1097241
fam987	1097474
fam988	1098532
fam989	1099074
fam990	1100878
fam991	1102463
fam992	1103848
fam993	1105604
fam996	1108130
fam997	1108563
fam998	1109616
fam999	1110925
fam1000	1111883
fam1001	1112337
fam1002	1113828
fam1003	1115884
fam1005	1118262
fam1006	1119601
fam1007	1120374
fam1008	1120860
fam1009	1122562
fam1016	1133506
fam1021	1135268
fam1022	1135666
fam1023	1137337
fam1024	1139385
fam1025	1140145
fam1026	1141525
fam1027	1142262
fam1028	1142542
fam1029	1143264
fam1030	1144062
fam1031	1145753
fam1032	1146613
fam1033	1147531
fam1034	1148122
fam1035	1149210
fam1036	1149835
fam1037	1152395
fam1038	1153134
fam1039	1153600
fam1040	1156643
fam1041	1157894
fam1042	1159494
fam1043	1160312
fam1044	1161111
fam1045	1162728
