fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	315301	0.0
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	405611	0.0
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	163173	0.0
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	235693	0.0
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	682291	0.0
fam875	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	395005	0.0
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	431164	0.0
fam1195	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	63640	0.0
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	92400	0.0
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	659046	0.0
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	279105	0.0
fam1040	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	234435	0.0
fam443	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	446484	0.0
fam355	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	372256	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	524176	0.0
fam1093	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	185282	0.0
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	455338	0.0
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	338445	0.0
fam594	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	596524	0.0
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	363573	0.0
fam643	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	640397	0.0
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	62399	0.0
fam922	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	344076	0.0
fam494	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	500774	0.0
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	651880	0.0
fam870	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	398121	0.0
fam910	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	354947	0.0
fam150	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	152253	0.0
fam508	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	513036	0.0
fam155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	160519	0.036075036075036065
fam179	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	181350	0.0
fam885	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	384969	0.0
fam119	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	119056	0.0
fam1001	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	275788	0.0
fam174	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	175599	0.0
fam1143	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	126017	0.0
fam933	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	337649	0.0
fam839	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	431935	0.0
fam317	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	335307	0.0
fam568	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	571742	0.0
fam645	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	645291	0.0
fam124	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	124209	0.0
fam732	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	548489	0.0
fam989	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	290194	0.0
fam1082	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	198049	0.0
fam622	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	623559	0.0
fam1197	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	59585	0.0
fam531	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	536384	0.0
fam507	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	512434	0.0
fam157	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	161752	0.0
fam646	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	645987	0.0
fam504	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	509087	0.0
fam363	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	378449	0.0
fam233	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	246455	0.0
fam530	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	534970	0.0
fam1145	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	124018	0.0
fam229	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	240100	0.0
fam488	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	491772	0.0
fam116	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	110486	0.0
fam69	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	69045	0.0
fam1009	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	267364	0.0
fam222	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	232755	0.0
fam942	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	334064	0.0
fam1050	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	222692	0.0
fam949	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	330577	0.0
fam1221	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	32352	0.0
fam74	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	74847	0.0
fam983	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	297545	0.0
fam868	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	399140	0.0
fam835	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	435728	0.0
fam93	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	90146	0.0
fam176	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	178179	0.0
fam1242	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	13038	0.0
fam817	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	453892	0.0
fam287	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	305380	0.0
fam225	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	237807	0.0
fam262	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	276074	0.0
fam1046	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	227463	0.0
fam271	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	286363	0.0
