fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.052368688883642295	0.07063060068854371	0.04547100942380257	0.006719047619047619	0.0088	0.006725758519631752	0.0913047619047619	0.1322	0.06642746474585914	3820197	0.013691416535018434
fam966	0.030198247671186198	0.03906600808262236	0.018570956285102632	0.004914285714285715	0.0037	0.0049386026281092255	0.11908095238095241	0.12	0.11356710463966152	1154119	0.01750625223294034
fam7213	0.03099487783158934	0.03264665370280344	0.023676306185091294	0.004971428571428572	0.003	0.004557478715792095	0.11452857142857145	0.1089	0.07488887095688704	259802	0.023376623376623377
fam5072	0.08156732626480813	0.08941050112842265	0.04964269290656633	0.005204761904761905	0.0084	0.004243143061287087	0.05913809523809524	0.0917	0.041605419475174335	2838774	0.013273602123776339
fam6424	0.012637046058540304	0.017590814107968505	0.010718769217215608	0.0035285714285714287	0.0025	0.0035144792823191234	0.1805952380952381	0.2326	0.157739545653709	1190624	0.013351134846461946
fam3872	0.025679740794716004	0.036381829660857554	0.023741848942345743	0.0055047619047619055	0.0041	0.00548899125006687	0.13566190476190473	0.1467	0.09680648087410793	4483500	0.021530321530321528
fam4609	0.13909636399529565	0.07425742574257425	0.1121553608036131	0.009623809523809524	0.0074	0.008246378989587449	0.12601428571428572	0.1229	0.11734666301061947	3426887	0.025825433148087613
fam1037	0.06491595279834353	0.08401503186100975	0.03767198844871953	0.0044666666666666665	0.0055	0.003262241901242491	0.05618095238095238	0.0588	0.03380569998497181	1253927	0.012265512265512262
fam4712	0.010607593510796777	0.01004566210045662	0.02168423948803915	0.0017285714285714285	0.0033	0.001648128189981667	0.15792857142857142	0.0418	0.1382280901190463	3303779	0.02012833502195204
fam3276	0.007104613172528638	0.00795593635250918	0.004996958485750469	0.0026476190476190475	0.0035	0.0025494386025571624	0.29710476190476187	0.1857	0.29346920577673735	3969023	0.022443706164636403
fam1720	0.0	0.0	0.0	0.0	0.0	0.0	0.020780952380952383	0.0243	0.01538126934657924	2107838	0.003913894324853229
fam1499	0.052619110810248365	0.06159420289855072	0.02408595725414651	0.006985714285714284	0.0067	0.006383183689477019	0.1032904761904762	0.0995	0.08879774184581553	1812760	0.021164021164021163
fam2659	0.03915173246819511	0.03626062322946176	0.020343932624109766	0.003557142857142858	0.0036	0.002777901131047963	0.1025095238095238	0.1366	0.07297184652650314	3205214	0.012322073507541957
fam5170	0.0	0.0	0.0	0.0	0.0	0.0	0.010771428571428572	0.0	0.017031123969763983	2723410	0.001488095238095238
fam1031	0.08050145812292867	0.08190605054481753	0.02099800034692241	0.007776190476190475	0.012	0.006471836771876595	0.08896666666666667	0.1198	0.0710706176870069	1246626	0.021136173767752717
fam4952	0.07933867764400865	0.030993618960802185	0.08065961741808841	0.0035714285714285718	0.0034	0.0020994654324472256	0.11536190476190475	0.0971	0.09994368641147244	2994837	0.020436507936507933
fam3345	0.21615114969089472	0.22208767088925122	0.05893004596488749	0.021480952380952382	0.0268	0.018547920408334806	0.09745714285714284	0.093	0.08355636575691526	4048898	0.05319742380445255
fam4095	0.03850150010408894	0.04793863854266539	0.023681922132774078	0.005142857142857143	0.005	0.004312613993366704	0.11217619047619046	0.128	0.08028637377574702	4151058	0.019741564967695618
fam680	0.02809501454205844	0.028636021100226075	0.008996338809310316	0.005742857142857142	0.0038	0.0046241160214241855	0.2256428571428572	0.1707	0.18238649326408488	807444	0.038185085354896675
fam875	0.1627338696796634	0.15719791154977794	0.02856281830753691	0.018261904761904764	0.0236	0.011452779915830633	0.11257619047619048	0.1413	0.06730426933859258	1033912	0.05802005012531328
fam4775	0.024503283493304467	0.0337573385518591	0.01958774325816607	0.0035333333333333336	0.0055	0.00338108651645385	0.1004761904761905	0.0824	0.09388369149295671	3237854	0.013718820861678006
fam4190	0.00992671122155397	0.00891946992864424	0.009992328468334971	0.0016666666666666668	0.0	0.0017480147469502527	0.10295238095238095	0.0772	0.07460275508156275	4047262	0.020114942528735632
fam425	0.028447160140094137	0.015078821110349555	0.033658459120524745	0.0019285714285714286	0.0022	0.0014379690893898992	0.11500476190476192	0.1459	0.09972602696144442	516525	0.011420828493999226
fam1195	0.07901714354571503	0.08047088251995918	0.018184791223421096	0.010023809523809527	0.0107	0.0067388641661212546	0.12880952380952385	0.1181	0.08564598177971537	1442142	0.02207044836526908
fam5082	0.0055091799053916994	0.006787330316742081	0.004830947224381825	0.0012857142857142854	0.001	0.001316302799975936	0.15352857142857143	0.1803	0.12907065301371862	2828574	0.010731052984574111
fam5927	0.06486805284747486	0.055503292568203196	0.0483327788140891	0.009847619047619046	0.0118	0.008492272063897638	0.16832380952380954	0.2126	0.15233326218012896	1817754	0.026852846401718578
fam3726	0.03321795714365814	0.03193033381712627	0.005246598225526775	0.003366666666666666	0.0033	0.0029991003942187685	0.11066190476190477	0.1	0.10144196781641768	4580444	0.022680412371134023
fam6515	0.06032959010739421	0.036221270508345796	0.038336137261421814	0.00361904761904762	0.004	0.001677475157042372	0.09434761904761904	0.0969	0.06548225945899298	1081687	0.012764846845564332
fam6788	0.24836343509735628	0.24687270051508467	0.0351902896824638	0.03041904761904762	0.0331	0.026470120064628108	0.1148142857142857	0.1733	0.11477613525681109	769012	0.09343434343434345
fam7380	0.015205583951793774	0.0	0.019589911561930694	0.0023333333333333335	0.0	0.003689668114295755	0.16001904761904762	0.2266	0.12056673954622499	52025	0.01518288474810214
fam6787	0.06084637622325765	0.04313858695652174	0.05203183362147038	0.004995238095238096	0.0061	0.005009750130683375	0.07371904761904761	0.1091	0.06811854945640983	769482	0.012721251570172433
fam5807	0.03227980270584791	0.03156674672422704	0.006777803963562919	0.005461904761904762	0.0041	0.0034365647563028754	0.16459047619047618	0.1354	0.09737254382139471	1951868	0.019491129785247432
fam3379	0.09150567147584293	0.0918918918918919	0.03568880059455727	0.007976190476190479	0.0115	0.006639844000025241	0.07922380952380953	0.1139	0.06082320911000922	4088780	0.04168253968253969
fam1928	0.02117351620033746	0.02368212925094059	0.00876817345184759	0.004061904761904763	0.0044	0.0036201126252509235	0.15991428571428573	0.2435	0.12348199130590155	2329985	0.014842828677158313
fam6460	0.035299007443388444	0.02198401682740463	0.03310217472009573	0.002352380952380952	0.0022	0.0017042297653105702	0.11724285714285716	0.1217	0.09977207153559257	1141441	0.012143813348632626
fam98	0.063291279096841	0.03968253968253968	0.1038502764411742	0.00551904761904762	0.0054	0.004493552952908151	0.16496666666666668	0.2281	0.1398567203327113	122161	0.020173726056078995
fam5535	0.07584128057409062	0.09244126659856998	0.059521102144773685	0.009138095238095239	0.0119	0.008805056782514845	0.08500476190476192	0.067	0.0802420889213829	2280232	0.01981172948914885
fam7121	0.01566387339380075	0.020768090141365665	0.01465036423820362	0.0019809523809523806	0.0016	0.002030158109634168	0.0866857142857143	0.105	0.05078968104527013	378341	0.01161359022994243
fam657	0.29232114179398627	0.2016865776528461	0.1517428413899113	0.023652380952380953	0.0287	0.02358543979919692	0.07564285714285715	0.1109	0.06759043727395432	784495	0.029100529100529102
fam3894	0.06735216888729115	0.0928509154315606	0.05355058925952459	0.011538095238095236	0.0083	0.011532375800760974	0.11893809523809522	0.1898	0.10011810395342605	4461660	0.023041474654377878
fam5833	0.04692965417394854	0.06037251123956326	0.04057994260647641	0.005195238095238096	0.0056	0.005093457632845921	0.08786666666666668	0.1112	0.052301191221372806	1918186	0.03076274757690687
fam5163	0.044175102656383095	0.060613635080632514	0.036516645144488526	0.004595238095238095	0.0046	0.004603774454621441	0.06799999999999999	0.0818	0.05608843357549202	2730924	0.00893690809657196
fam2317	0.1084269719348196	0.11146245059288537	0.010233056400131406	0.008247619047619049	0.0117	0.008043490065034199	0.07618095238095239	0.1265	0.07372660319138939	2793258	0.014310387367382185
fam5895	0.05375081364876189	0.046167675968022966	0.020070520134032814	0.011642857142857144	0.0096	0.0074199583767650045	0.22414285714285714	0.2116	0.14181066039392295	1853121	0.029949086552860143
fam4239	0.052541829169491586	0.08289832489287105	0.043740377409397437	0.005638095238095238	0.0018	0.005790343043581983	0.07084761904761905	0.0473	0.05810192701539678	3987612	0.01530612244897959
fam4592	0.05888373244082421	0.05944798301486199	0.025176380183223948	0.007919047619047617	0.0112	0.0058810121454453135	0.11246666666666667	0.1608	0.0709844539206487	3455285	0.021586223623575068
fam6569	0.043342891486460554	0.04094554664415365	0.014217857403289291	0.0064238095238095235	0.0066	0.0031575917227419288	0.15265238095238093	0.126	0.08037891585097852	1007096	0.03307381254149316
fam1988	0.05417137874804459	0.03557013645631829	0.05426598848236015	0.0020952380952380953	0.0022	0.001436422868655457	0.043280952380952385	0.0244	0.03274998537328091	2391106	0.008246874168661879
fam265	0.08066129530357949	0.11060765432266324	0.051263067337245186	0.00858095238095238	0.0046	0.008281454843870476	0.0780095238095238	0.0281	0.06801377244816217	328790	0.018801750009039303
fam2943	0.042281937669808964	0.03569465873074779	0.03104337315603737	0.002828571428571428	0.0023	0.0023252532595587163	0.08039523809523809	0.0595	0.07218574240039159	3592372	0.008186083657781772
fam1040	0.13584088532221958	0.13593539703903093	0.04131505549367469	0.011323809523809522	0.0156	0.008630284703238759	0.08319047619047619	0.1228	0.06299858580999225	1256371	0.021836358852933436
fam7201	0.13119259491590476	0.1482758620689655	0.04024503644189041	0.030080952380952382	0.0148	0.036737441897718034	0.19491428571428568	0.1106	0.22233660085922122	278514	0.04644721423244913
fam7120	0.016240060936395455	0.0163056206088993	0.008522961341984648	0.0022	0.0018	0.0016987390281365427	0.11778571428571429	0.1465	0.06013241171594161	379771	0.01818117254358865
fam3641	0.07742153814215	0.06518542793923504	0.023263067963588336	0.009223809523809523	0.0118	0.005217635366798036	0.14695714285714287	0.168	0.10499102715143292	4484614	0.026048870447210697
fam6179	0.0839338107835877	0.0926565035318351	0.0863123696188574	0.009547619047619046	0.0094	0.010975670889468348	0.07277619047619047	0.0808	0.048056929580713156	1488432	0.021223470661672912
fam6028	0.04209205089709036	0.055431131019036954	0.03803361676069536	0.008352380952380953	0.0099	0.008934610021474226	0.12524761904761905	0.1751	0.09693247339820113	1691758	0.024924570379115833
fam3986	0.037103624373198786	0.04398148148148148	0.02481559710148032	0.0036523809523809525	0.0057	0.0031440978791893396	0.07984285714285715	0.072	0.046413017174767965	4340269	0.013949883750968742
fam443	0.01065699941595458	0.016184706725002374	0.010081138565809717	0.0014714285714285714	0.0022	0.001459661688507977	0.08906666666666668	0.109	0.06338470848589012	534054	0.010394718359320128
fam5983	0.0	0.0	0.0	0.0	0.0	0.0	0.056557142857142854	0.0237	0.057827317415351215	1751728	0.005704365079365079
fam6351	0.009286749760259094	0.0067237163814180935	0.010768678986779943	0.0008380952380952382	0.0011	0.0008920154763104307	0.08381904761904761	0.0796	0.051282092103594426	1287836	0.008833678398895789
fam3286	0.043356171071595964	0.05013289560810184	0.020452633541200083	0.002976190476190476	0.0042	0.0021540448688576927	0.06764285714285714	0.0756	0.04176827882073019	3976204	0.0094997594997595
fam4262	0.022112942002419377	0.03147792706333973	0.015684942770761424	0.0039	0.0	0.0040904068955824645	0.13174761904761903	0.0982	0.1130196258517272	3963432	0.01887001887001887
fam3216	0.16418911900114222	0.16312285223367695	0.050960496699850054	0.013742857142857143	0.0221	0.01173369472232573	0.08548095238095238	0.1103	0.07385934263403017	3917827	0.025449298176570895
fam355	0.0048426201995907595	0.007439553626782392	0.004695004368685442	0.0005714285714285714	0.0	0.0005993193418115151	0.09036666666666668	0.0986	0.047392769524207	437671	0.009281231872594
fam3280	0.14878454624724866	0.11232235142118863	0.15221323549409324	0.0032285714285714287	0.0026	0.0033123352224450867	0.02714761904761905	0.0194	0.017037035821091676	3970730	0.0060882800608828
fam4434	0.05867933592163253	0.057807824254119344	0.025694614963263883	0.00846190476190476	0.0114	0.007189839139234796	0.14935714285714288	0.1535	0.13251707732331303	3735743	0.026588169914209304
fam3247	0.014028616712882731	0.016916250693288965	0.012216334895128007	0.0037619047619047614	0.003	0.0038539375276618304	0.1727142857142857	0.1634	0.15616490455594043	3949598	0.015285126396237506
fam5447	0.06057642204297828	0.061199510403916774	0.02237268063197172	0.00823809523809524	0.0067	0.0046598054517407225	0.09547619047619049	0.1634	0.09224150447272796	2377875	0.02055685662243039
fam2761	0.3980101588999213	0.2772020725388601	0.13333414973815844	0.0064333333333333334	0.0106	0.006263525048384977	0.017261904761904766	0.0261	0.017070455574317262	3342508	0.008658008658008658
fam3314	0.031068741983402873	0.0	0.04011447121064157	0.0022523809523809528	0.0	0.0035613826966528245	0.06646190476190476	0.0648	0.04982694314363012	4011646	0.014537902388369677
fam2375	0.0	0.0	0.0	0.0	0.0	0.0	0.06270476190476189	0.0616	0.051114879728951866	2866682	0.008027732165663201
fam4546	0.021648584375193573	0.022894521668029435	0.004523755703892447	0.0031190476190476194	0.0024	0.002632329956090693	0.13154285714285713	0.161	0.10072174102767614	3520810	0.01528057232282584
fam5827	0.07668857915069191	0.09006211180124223	0.033790223499868814	0.004680952380952381	0.0044	0.00386086827732769	0.050052380952380945	0.0639	0.04055994527853474	1923389	0.01330933289696176
fam2139	0.013144746107706447	0.014104372355430182	0.011697988898398655	0.0017857142857142859	0.002	0.0019455163873906183	0.08317619047619047	0.136	0.07561069403301489	2562556	0.010919540229885059
fam2305	0.07860067909415361	0.08223495209519086	0.024971474200956127	0.009442857142857143	0.0115	0.005294163131724042	0.11402857142857141	0.1278	0.04488717223542286	2774789	0.02408844261879406
fam7336	0.12150137584473696	0.12278106508875741	0.02221760726534857	0.008542857142857144	0.0049	0.00857369017782344	0.06911904761904762	0.092	0.06653583079849044	108090	0.015873015873015876
fam519	0.020963220419871524	0.027476781753752483	0.014859467848204426	0.004404761904761904	0.005	0.0040195328075448905	0.14056190476190475	0.1988	0.10799771812488172	623214	0.02888691708567485
fam1093	0.13745419805098869	0.14842752234993614	0.07070705715923171	0.005257142857142856	0.0023	0.004207767356027301	0.03672380952380953	0.03	0.02399499758901951	1316949	0.012299509681708634
fam4968	0.04789384297842792	0.05094905094905096	0.009735948466669114	0.00978095238095238	0.0117	0.0078912017943807	0.19257619047619046	0.2256	0.14809036142636797	2968888	0.03462015807694821
fam2823	0.03165571315746827	0.02973040360509625	0.01743942433532982	0.0038476190476190476	0.005	0.003034189159376073	0.13009047619047617	0.1126	0.09053641153734202	3424376	0.014605990215746314
fam2025	0.07245525383719743	0.110888710968775	0.057982257157899175	0.0071047619047619045	0.011	0.006799543135246114	0.06432380952380952	0.0887	0.05364038017657527	2431572	0.01713444759802376
fam814	0.12590153482190766	0.09519725557461407	0.12739051532250242	0.006995238095238095	0.009	0.005171025153080078	0.06944285714285714	0.0508	0.053656744762456486	965743	0.020282186948853614
fam321	0.026023104750571978	0.03532506576475009	0.025108162618013546	0.006242857142857143	0.0093	0.006286763981615996	0.16054285714285715	0.2142	0.10008457647899396	398251	0.01827801827801828
fam594	0.13390311508752945	0.09753813956050009	0.08023574558052114	0.010176190476190476	0.0113	0.007468212303579611	0.11262380952380953	0.1582	0.09489088924484797	721205	0.023501037635313256
fam5771	0.048937748383514626	0.07154471544715447	0.042657918602505104	0.004919047619047619	0.0087	0.0047124575579868795	0.06175714285714286	0.0977	0.05343758772917173	2004661	0.011514933429291113
fam346	0.08182646307836945	0.0927766732935719	0.07135539413643865	0.01040952380952381	0.014	0.010775055176608468	0.08337142857142857	0.1205	0.06878597685753178	430907	0.019801186467853133
fam643	0.019257823228553857	0.021074770101827463	0.012850763070631464	0.002457142857142857	0.0012	0.0021230192849698145	0.09721904761904764	0.1383	0.07017118265558481	772928	0.01235716870896024
fam62	0.17196870816281512	0.10250201775625505	0.2111168382788489	0.00629047619047619	0.0051	0.006202680277943196	0.044066666666666664	0.0196	0.043366295155979784	72883	0.01037037037037037
fam1679	0.23381534811590385	0.2814814814814815	0.15979928696020967	0.013604761904761908	0.0222	0.013291690070992125	0.047990476190476195	0.0386	0.04489281313530946	2051818	0.020350020350020353
fam922	0.1048805691088091	0.0890924229808493	0.09182471250596373	0.006904761904761906	0.0054	0.005337957179303012	0.07464285714285714	0.08	0.06235600991716127	1089738	0.01443001443001443
fam5638	0.07897494841257945	0.07871720116618076	0.0314082848585787	0.004838095238095239	0.0043	0.003827404465602069	0.06790476190476188	0.0905	0.05062265139704873	2166058	0.01713141713141713
fam2999	0.0	0.0	0.0	0.0	0.0	0.0	0.0422095238095238	0.0607	0.03488365567291617	3647179	0.005724694249284412
fam2732	0.04524728377492186	0.047132979309612924	0.031833100391964624	0.0027285714285714283	0.0029	0.0019299994712910346	0.0699	0.0804	0.04293538888897618	3302708	0.009443439823186659
fam1358	0.03349210435684571	0.050055992125786916	0.031048796394216753	0.006057142857142857	0.0066	0.005940143611264712	0.1132047619047619	0.1384	0.09167069675742041	1636013	0.016694033935413247
fam4782	0.03547535243630739	0.03630573248407643	0.0018405481323474843	0.0028238095238095236	0.0023	0.0027837803624883853	0.08031904761904762	0.0577	0.07975180319828941	3229397	0.010661694396634154
fam4961	0.10641493036585356	0.09760522496371553	0.06937662698310294	0.012766666666666667	0.0067	0.012310944930400958	0.11915714285714285	0.0654	0.12163791142813427	2977506	0.028673835125448025
fam2664	0.018930510110225666	0.02911729426370719	0.01620719009751198	0.002457142857142857	0.0014	0.0025106575554113744	0.08606190476190477	0.1369	0.06909243964009014	3212217	0.01295518207282913
fam6294	0.11270380985485837	0.05791505791505792	0.15016627955015016	0.008623809523809525	0.0099	0.006082285344452188	0.15159999999999998	0.2126	0.12581721814184407	1347069	0.02027156244023714
fam5468	0.17421956412814235	0.2018813314037627	0.07253127645642256	0.015671428571428572	0.0139	0.013500199041112687	0.07755238095238097	0.0719	0.06060440514436632	2350783	0.02654176424668228
fam651	0.024531040601543173	0.03605165109581063	0.02295390579472225	0.00340952380952381	0.0065	0.003250919981424271	0.09566190476190477	0.0987	0.0604293249230669	781432	0.01832151300236406
fam3550	0.04627721993072724	0.04428904428904429	0.05113622351132696	0.0032761904761904755	0.0057	0.003338506190314231	0.05386666666666667	0.0315	0.05542387600796277	4273519	0.010884353741496598
