fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	153207	0.0
fam966	0.07955155931086223	0.06179775280898876	0.023523860084831334	0.003293333333333333	0.0055	0.002436244833527388	0.048226666666666654	0.0716	0.03966814787150461	1064427	0.015688802922845472
fam393	0.08636363636363636	0.11875	0.05288671035554589	0.002026666666666667	0.0038	0.0018957730759654636	0.018866666666666667	0.032	0.01436600926570153	442147	0.006905710491367862
fam158	0.6209415584415585	0.3154761904761905	0.48383012503366124	0.004753333333333333	0.0053	0.0030732971798307362	0.010826666666666668	0.0168	0.008297748021133337	168176	0.006654783125371361
fam1037	0.21363636363636365	0.22499999999999998	0.022173385271227464	0.006986666666666667	0.0045	0.006323908777190118	0.034440000000000005	0.02	0.03335707421222671	993133	0.013512004466778336
fam1720	0.6309407153356198	0.7435897435897436	0.19511384035940438	0.006653333333333333	0.007	0.004709404302976002	0.008333333333333333	0.0156	0.007795183698213203	224489	0.007123870281765019
fam1499	0.12790697674418605	0.12790697674418605	0.0	0.0005866666666666667	0.0011	0.0005487764167268448	0.004586666666666666	0.0086	0.004290433803500786	465714	0.0016422889402104182
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	998185	0.0
fam680	0.19497344392302376	0.18622448979591838	0.010890052527424882	0.004713333333333333	0.0073	0.003607190350150962	0.0242	0.0392	0.01843399034392717	752411	0.010087719298245614
fam1483	0.14965734921943868	0.1366906474820144	0.13716124704247307	0.0010133333333333335	0.0019	0.0009478865379827317	0.009893333333333334	0.0139	0.007170724432641997	481439	0.0036429872495446266
fam1781	nan	nan	nan	0.002800000000000001	0.003	0.0020396078054371143	0.0	0.0	0.0	158022	0.001981599433828733
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.03761333333333332	0.049	0.02771112572395587	471073	0.01156773211567732
fam1195	0.0	0.0	0.0	0.0	0.0	0.0	0.0014333333333333331	0.0	0.002027039439401436	806011	0.00039123630672926443
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	103377	0.0
fam657	nan	nan	nan	0.004740000000000002	0.0079	0.003870193793597422	0.0	0.0	0.0	724448	0.0036036036036036037
fam1496	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	468310	0.0
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.015146666666666668	0.0206	0.01187904971882104	294849	0.004313725490196078
fam1040	0.08059701492537313	0.10074626865671642	0.024677695169830524	0.00252	0.0027	0.0018356470248934028	0.017866666666666666	0.0	0.025267282314399304	991167	0.014001284521515733
fam1786	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	152368	0.0
fam355	0.0	0.0	0.0	0.0	0.0	0.0	0.017173333333333336	0.0152	0.01225373231124116	392342	0.003597883597883598
fam1784	0.25974025974025977	0.35714285714285715	0.13254814625450098	0.0012000000000000001	0.002	0.0009797958971132714	0.004293333333333333	0.0056	0.0030444412003226835	153825	0.0020292006928977974
fam519	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0	0.009475230867899738	573760	0.0018441678192715539
fam814	0.23077818847954742	0.23780487804878045	0.015949612107560095	0.003033333333333333	0.0039	0.0018788885603521625	0.01334	0.0164	0.008700252869888323	908664	0.005925925925925926
fam321	0.10618500273672687	0.10618500273672687	0.0	0.010346666666666667	0.0194	0.009678420440455261	0.09744000000000001	0.1827	0.09114677394181321	361497	0.03017630176301763
fam594	0.0	0.0	0.0	0.0	0.0	0.0	0.005653333333333333	0.0106	0.005288209106640504	652093	0.0016718913270637405
