fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.059762032232078925	0.05443037974683545	0.020818731847514333	0.005566666666666666	0.0064	0.005544051581335436	0.10102380952380953	0.051	0.10372721507585313	2343437	0.02246376811594203
fam4124	0.0	0.0	0.0	0.0	0.0	0.0	0.0734	0.0564	0.075106527520519	2606805	0.006603174603174603
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1075224	0.0
fam393	0.11927911789024838	0.10282074613284804	0.019006798969667518	0.007938095238095237	0.0064	0.009527427884070695	0.07378571428571429	0.0457	0.09435386425939467	482570	0.027075506819643283
fam5072	0.05633802816901407	0.05633802816901408	6.938893903907228e-18	0.003771428571428572	0.0	0.005963152159174658	0.06694285714285714	0.0	0.1058459508253502	1596062	0.020026702269692925
fam6424	0.1981157101894896	0.1912313432835821	0.028813907219495644	0.0093	0.0063	0.009312306245986954	0.048609523809523804	0.0218	0.049371110742657175	229781	0.01713825626869105
fam3872	nan	nan	nan	0.0002285714285714286	0.0	0.00036140316116210053	0.0	0.0	0.0	2890485	0.0001741098633237573
fam158	nan	nan	nan	0.0012000000000000001	0.0021	0.001224744871391589	0.0	0.0	0.0	188932	0.000911369332421964
fam4609	0.039473684210526314	0.0	0.08826584121709696	0.0010285714285714286	0.0	0.001626314225229452	0.004366666666666666	0.0	0.006904334962169873	2067542	0.001656314699792961
fam1037	nan	nan	nan	0.0005428571428571429	0.0	0.0008583325077599886	0.0	0.0	0.0	1138899	0.0004329004329004329
fam3479	0.21873911529083942	0.2222222222222222	0.2082303751673302	0.0021714285714285715	0.0	0.0034333300310399545	0.017890476190476193	0.0174	0.02060517514194882	3315928	0.03987611304684476
fam4712	nan	nan	nan	0.0012285714285714285	0.0	0.0019425419912462902	0.0	0.0	0.0	1970846	0.0009920634920634922
fam1720	0.0751841620626151	0.12707182320441987	0.07089884721331995	0.0006571428571428571	0.0	0.001039034088341039	0.00630952380952381	0.006	0.0073226266925198735	1872575	0.0015826467439370665
fam5537	nan	nan	nan	0.00025714285714285715	0.0	0.00040657855630736296	0.0	0.0	0.0	1124338	0.00020569782988789464
fam1499	0.15680473372781067	0.15680473372781067	0.0	0.002776190476190476	0.0053	0.0026469937596675253	0.009657142857142855	0.0	0.015269283559098741	1647291	0.0036713097937587733
fam2659	0.0	0.0	0.0	0.0	0.0	0.0	0.012571428571428572	0.0	0.013185025519853334	2833522	0.0017067759003242873
fam5256	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1410100	0.0
fam4952	0.0	0.0	0.0	0.0	0.0	0.0	0.01500952380952381	0.0181	0.016358685031619098	1707178	0.0029154518950437313
fam3345	0.030224690640090045	0.05530973451327434	0.027591262076499385	0.0007142857142857144	0.0	0.001129384878631564	0.015485714285714288	0.0109	0.01923685168069437	3439828	0.0033366700033366694
fam680	0.06387357500441639	0.08139534883720931	0.02903597554508696	0.002485714285714285	0.0031	0.0026166655834306	0.041780952380952384	0.0424	0.04096092934036414	785009	0.008575551432694287
fam6141	0.0	0.0	0.0	0.0	0.0	0.0	0.0014857142857142857	0.0	0.0023491205475536536	507457	0.0002334267040149393
fam875	0.006755931883253443	0.0072127769191138585	0.0021465698793094543	0.0006666666666666666	0.0	0.000699205898780101	0.09022380952380951	0.0092	0.09384806314951895	988403	0.010954616588419404
fam4775	0.0	0.0	0.0	0.0	0.0	0.0	0.017371428571428572	0.0238	0.017745345274509727	1894824	0.0024920093179478845
fam4190	0.02728234545996315	0.017399868680236377	0.018088341194666728	0.0015380952380952381	0.0027	0.001563109291635224	0.09526666666666667	0.0575	0.12257094479499009	2534412	0.012720156555772995
fam1483	0.07573415765069554	0.07573415765069552	1.3877787807814457e-17	0.0023333333333333335	0.0	0.0024472206457303537	0.030809523809523804	0.0	0.032313301179337534	1635884	0.006224712107065047
fam1781	0.10233160621761657	0.10233160621761657	0.0	0.02257142857142857	0.0	0.023673114001554852	0.22057142857142856	0.0	0.23133726593924486	1932447	0.05609261248358993
fam1195	0.10361145690165023	0.10410380205190105	0.004323815725801631	0.014319047619047617	0.0187	0.014463834012151334	0.1384	0.1609	0.13968319597609166	1300564	0.025424919230228965
fam5082	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1584766	0.0
fam5927	0.04340174089617214	0.042416452442159386	0.003228472440723761	0.0025666666666666663	0.0033	0.0026847600466217664	0.059423809523809525	0.0778	0.06259257452356094	729557	0.008983451536643025
fam3726	0.0	0.0	0.0	0.0	0.0	0.0	0.010371428571428571	0.0	0.01639866843773031	3040884	0.0014765596160945
fam6515	0.0	0.0	0.0	0.0	0.0	0.0	0.008142857142857143	0.0	0.00854030062081409	138868	0.001434308663224326
fam4141	0.06051873198847263	0.06051873198847263	0.0	0.006	0.0	0.009486832980505138	0.09914285714285713	0.0	0.15675862115406108	2583909	0.025012025012025013
fam3379	0.19980559322252114	0.13535353535353536	0.07538232131826947	0.002333333333333333	0.0022	0.002712990501331964	0.015576190476190476	0.0078	0.020826766311920288	3409704	0.005125661375661376
fam1928	0.09845068565400844	0.10126582278481013	0.0062948379904562935	0.006033333333333332	0.0029	0.008116023735169906	0.054285714285714284	0.0	0.08583458225100231	2080553	0.0154095701540957
fam6460	0.0	0.0	0.0	0.0	0.0	0.0	0.00658095238095238	0.0086	0.007011732959331133	196306	0.0011237533361427166
fam3111	0.04630269523151348	0.04630269523151348	0.0	0.0019142857142857143	0.0	0.0030267514747325916	0.041342857142857146	0.0	0.06536879677519493	3300237	0.009783688756401437
fam98	0.15	0.15	0.0	0.0012857142857142856	0.0	0.002032892781536815	0.008571428571428572	0.0	0.013552618543578768	131327	0.0026260504201680674
fam657	0.042216468105509025	0.05866486850977748	0.024249652747598414	0.002485714285714286	0.0007	0.0035749506442528042	0.04677619047619047	0.0445	0.05377746832803905	761024	0.0125157372435755
fam4153	0.06409287567049814	0.06467817896389325	0.013503447853260598	0.007190476190476192	0.0051	0.008923852721346886	0.1079952380952381	0.092	0.12928484784415448	2574556	0.020360324157792514
fam3894	0.10299242987830995	0.05222437137330754	0.06671536404050527	0.0014523809523809524	0.0	0.0015422985467334902	0.018623809523809525	0.0195	0.020946573870590388	2866547	0.0045745149911816585
fam5833	0.06501547987616098	0.06501547987616098	0.0	0.0012	0.0	0.0018973665961010276	0.01845714285714286	0.0	0.02918330526383962	831838	0.0035842293906810044
fam1496	0.0	0.0	0.0	0.0	0.0	0.0	0.003942857142857144	0.0	0.006234204530046234	1645993	0.0007499062617172854
fam2317	0.02906897723411485	0.05321100917431192	0.02653657076294794	0.0008285714285714285	0.0	0.0013100864592126141	0.017595238095238094	0.0086	0.023538832681144782	2489665	0.003717333928106762
fam5895	0.14484933675321943	0.19242902208201895	0.1048802621891857	0.0021238095238095243	0.002	0.0024701850252474844	0.018090476190476195	0.0104	0.018470359904759242	767035	0.004673273708806705
fam4592	0.0	0.0	0.0	0.0	0.0	0.0	0.006571428571428572	0.0	0.006892172430832423	2085406	0.0011419435879867533
fam6569	0.19513288731637662	0.058127018299246505	0.17412531634512324	0.0015428571428571427	0.0027	0.001574671977503472	0.026209523809523814	0.007	0.03789141006766705	80155	0.005148005148005147
fam1988	nan	nan	nan	0.0014761904761904758	0.0	0.0015482416330130809	0.0	0.0	0.0	2148813	0.0012597631645250692
fam265	0.08149014711902415	0.07318992654774398	0.04378677825824025	0.012690476190476191	0.003	0.013082591295738695	0.18620476190476193	0.0137	0.19409571638802697	310341	0.03479177648919346
fam5264	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1403503	0.0
fam2943	0.0663574520717378	0.06666666666666667	0.06323994120922091	0.00037142857142857143	0.0	0.0005872801368884133	0.005595238095238096	0.0098	0.005703839658341788	3121072	0.0009555661729574774
fam1040	0.045871559633027525	0.045871559633027525	0.0	0.0018571428571428571	0.0	0.002936400684442067	0.04048571428571428	0.0	0.06401353492083706	1141888	0.01367053998632946
fam3456	0.0	0.0	0.0	0.0	0.0	0.0	0.017619047619047614	0.0	0.018479013039188384	3337137	0.0028471777350701118
fam6368	0.1575316927665921	0.15604026845637586	0.0033349261409392717	0.008404761904761906	0.0015	0.01251686390779127	0.05108571428571428	0.0	0.08077360651972945	280640	0.021164021164021163
fam3641	0.26804123711340205	0.26804123711340205	0.0	0.0007428571428571429	0.0	0.0011745602737768266	0.0027714285714285714	0.0	0.004382013329090469	3136734	0.001221001221001221
fam6179	0.0	0.0	0.0	0.0	0.0	0.0	0.0063999999999999994	0.0112	0.0065319726474218085	463822	0.0013413816230717639
fam6028	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	628225	0.0
fam3986	0.4588765381338073	0.5121951219512194	0.12814597348804727	0.003066666666666667	0.0041	0.003155997062786571	0.006709523809523809	0.0121	0.006454375021340159	2762338	0.011535344868678203
fam5983	0.01427065058984378	0.016719385449615907	0.013395454338652912	0.0010571428571428574	0.0	0.001671489620374715	0.057942857142857136	0.0672	0.06474715343203144	677798	0.01484420928865373
fam3198	0.018304478982228343	0.03152173913043478	0.01704471250940704	0.0008285714285714285	0.0	0.0013100864592126141	0.03368095238095238	0.0362	0.03744542211256549	3397604	0.005264812195505265
fam6351	nan	nan	nan	0.0022095238095238092	0.0029	0.002351677164818407	0.0	0.0	0.0	296831	0.0019386889615897254
fam5211	0.1682718850968662	0.1502145922746781	0.03365275735770413	0.002119047619047619	0.0023	0.002374992540864286	0.012014285714285713	0.017	0.0121574701987154	1456424	0.0037727168161950765
fam3286	0.2033681858089233	0.22388059701492538	0.30819160918675587	0.00044761904761904766	0.0	0.0007122192329807335	0.0025571428571428572	0.0017	0.0027470454134217296	3496798	0.0009646584232219592
fam3216	0.023482877162493646	0.02302158273381295	0.0011415839841626067	0.0030380952380952386	0.0032	0.003427546142994763	0.1278857142857143	0.139	0.1414802502983713	3415866	0.01780874951606659
fam355	0.01213182431271856	0.012181281682681396	0.0015683718779662958	0.021395238095238096	0.0309	0.021432629245425817	1.7430285714285714	2.9479	1.682491203442046	414498	0.10426179604261795
fam3280	0.0	0.0	0.0	0.0	0.0	0.0	0.0009142857142857144	0.0	0.0014456126446484021	3480711	0.0002560163850486431
fam4434	0.027957992653157963	0.02370689655172414	0.01110446933615065	0.0005238095238095238	0.0	0.0005493760633272222	0.019928571428571427	0.0291	0.01992813619596419	2271486	0.0035178035178035174
fam1784	0.017894045614096948	0.015433123133089944	0.006960076769158037	0.012976190476190474	0.0	0.013616932902750331	0.6990142857142857	0.0833	0.7641569424228645	1935042	0.057465698143664236
fam3247	0.10492988874090531	0.12121212121212122	0.04128010904875668	0.0014904761904761905	0.0014	0.0017380626220031704	0.013623809523809522	0.0231	0.013181585451353638	3446317	0.003833279343483425
fam5447	0.09313725490196077	0.09313725490196077	0.0	0.0005428571428571429	0.0	0.0008583325077599886	0.005828571428571429	0.0	0.009215780609633564	1203819	0.0013413816230717639
fam2761	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2927522	0.0
fam3314	nan	nan	nan	0.001761904761904762	0.0	0.0018479013039188385	0.0	0.0	0.0	3473784	0.001417233560090703
fam2375	0.0	0.0	0.0	0.0	0.0	0.0	0.006680952380952383	0.0088	0.007099806774541662	2551252	0.0013024013024013025
fam5036	0.10268948655256725	0.10268948655256724	1.3877787807814457e-17	0.0012	0.0	0.0018973665961010276	0.011685714285714285	0.0	0.018476736614412386	1632372	0.00272108843537415
fam4546	0.12941176470588237	0.12941176470588237	0.0	0.000942857142857143	0.0	0.0014907880397936645	0.007285714285714286	0.0	0.011519725762041952	2136123	0.002232142857142857
fam5827	0.05317954361578681	0.03546099290780142	0.019580293216562943	0.0030476190476190477	0.001	0.004314716681933065	0.08274285714285715	0.0134	0.12395394141307783	836761	0.0246830972826289
fam2305	0.07575757575757576	0.09090909090909091	0.03387981784090591	0.0019523809523809528	0.0	0.00204767441785601	0.012833333333333332	0.0	0.02029246478336545	2479063	0.003600065455735559
fam1093	0.08283941345978071	0.07075471698113207	0.015816632480934248	0.0015476190476190477	0.0015	0.0017828866501424694	0.01798571428571429	0.0212	0.019271846866158238	1195683	0.0043025757311471605
fam4968	0.08080808080808079	0.0808080808080808	1.3877787807814457e-17	0.0004571428571428572	0.0	0.0007228063223242012	0.005657142857142857	0.0	0.008944728238761988	1692898	0.0011904761904761906
fam2823	0.136023185151975	0.1470988831381095	0.023148925058854783	0.019161904761904762	0.0128	0.024267369355154694	0.13125238095238093	0.1121	0.15502522872729496	2994081	0.05479779851639148
fam2025	0.047318301831809025	0.04911742133537989	0.004110349789954328	0.0027476190476190482	0.0032	0.0030201890586705627	0.05659523809523809	0.0735	0.05910785522037519	2184107	0.013100261201527024
fam4230	0.18140884834649043	0.18022598870056497	0.002644954576130651	0.009457142857142858	0.0012	0.014330572428289423	0.05055714285714286	0.0	0.07993788404831874	2488195	0.016853932584269666
fam321	0.10657737683080436	0.10574712643678162	0.001856496319380791	0.00549047619047619	0.0008	0.008267659584872727	0.04972857142857143	0.0	0.07862779796131199	366573	0.01747487986020096
fam5771	0.037654629782875565	0.03995157384987893	0.015033865592467643	0.0038857142857142853	0.0052	0.00403488192006204	0.1088666666666667	0.1652	0.1060082132187939	892963	0.017836257309941518
fam346	0.039470460742457275	0.03304078471863707	0.007204990755502665	0.0036857142857142857	0.0064	0.003550222758173501	0.09480476190476192	0.1647	0.09103722669321014	401471	0.01633236359924463
fam643	0.19915262042921614	0.2571428571428571	0.06531654552594768	0.0007761904761904761	0.0009	0.0008574073665943451	0.004690476190476191	0.0035	0.00578807516009916	745480	0.0015907597606944015
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	91050	0.0
fam1679	0.0	0.0	0.0	0.0	0.0	0.0	0.028857142857142862	0.0	0.045627149096715204	1832479	0.003598416696653473
fam494	0.0223162637174663	0.021247113163972285	0.01936745329565206	0.004271428571428571	0.0046	0.004727542687691522	0.12356666666666664	0.2165	0.12128420119833193	590731	0.02150047010674188
fam2999	0.027729285374635367	0.025787965616045846	0.007505506044646667	0.0013714285714285716	0.0018	0.0013209458577790663	0.05238095238095238	0.035	0.052126609775737555	3184101	0.009652509652509652
fam2732	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2899920	0.0
fam1358	0.0852236382454721	0.09009009009009009	0.023020497380155533	0.003642857142857143	0.0045	0.003833259389999639	0.042114285714285715	0.0742	0.04050795672239134	1502489	0.010658414990544953
fam4782	0.006352097669126996	0.006874669487043892	0.002011578583046416	0.0012380952380952378	0.0	0.001298525240591616	0.1795571428571429	0.0487	0.1840036194556757	1889453	0.023809523809523808
fam4961	0.04886669355426631	0.08928094092488639	0.04460909994296243	0.019061904761904763	0.0	0.030139524377554728	0.2138428571428571	0.0045	0.33574936594831256	1697182	0.045512010113780026
fam2664	0.0	0.0	0.0	0.0	0.0	0.0	0.004514285714285715	0.0	0.007137712432951487	2838437	0.0005952380952380953
fam6294	0.1721413679602604	0.2984293193717278	0.15967862081654188	0.0016285714285714287	0.0	0.002574997523279966	0.006342857142857142	0.0047	0.007841499578923567	356925	0.002522287453794303
fam5468	0.0	0.0	0.0	0.0	0.0	0.0	0.004828571428571428	0.0	0.0076346417795493705	1186360	0.025567273889421545
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	753955	0.0
fam3550	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	3237933	0.0
fam870	0.0928134874860735	0.10588235294117646	0.0275931637895737	0.0025714285714285717	0.001	0.0035666634878236203	0.02369047619047619	0.0159	0.029984788282472016	982866	0.005743000717875089
fam5552	0.07290056855515328	0.07730673316708228	0.014350352379091066	0.005357142857142857	0.007	0.0052325511786063495	0.0777904761904762	0.0631	0.08078653179101614	1111278	0.015594541910331383
fam910	0.09320843091334895	0.09320843091334895	0.0	0.005685714285714286	0.0	0.00898990363390725	0.061	0.0	0.09644946863513557	1026776	0.010874938210578349
fam150	0.02486996592726319	0.045146726862302484	0.022715132118389117	0.0005761904761904761	0.0	0.0009112548971217356	0.020709523809523806	0.0339	0.0200939911596881	181537	0.0044004400440044
fam5793	0.0	0.0	0.0	0.0	0.0	0.0	0.08181904761904761	0.0072	0.08518175312682662	868279	0.011198086540552293
fam508	0.2544289547642713	0.25089031339031337	0.02514444286233072	0.04009047619047619	0.0535	0.04253644828975	0.1559333333333333	0.2342	0.16250659571473908	601090	0.06170857856251114
fam155	0.09829151184677958	0.11119081779053085	0.018544035949154106	0.006338095238095238	0.0078	0.006681208629644375	0.06277619047619047	0.0989	0.061484894813681135	186413	0.04086349206349207
fam4627	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2052253	0.0
fam179	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	213138	0.0
fam2642	0.03262855179930906	0.023919043238270467	0.01157997506775295	0.0014857142857142855	0.0013	0.0017618404106652399	0.059971428571428564	0.0287	0.08086250613207076	2818366	0.009337068160597572
fam885	0.05864811133200796	0.05864811133200795	6.938893903907228e-18	0.005619047619047619	0.0	0.0058933068611465664	0.09580952380952379	0.0	0.10048587631039738	1002068	0.01769450949778819
fam2735	0.0	0.0	0.0	0.0	0.0	0.0	0.0027714285714285714	0.0	0.004382013329090469	2901378	0.0006184291898577613
fam2021	0.13230639251790532	0.10584958217270195	0.04666206464593504	0.0010857142857142856	0.0013	0.0011829284542571273	0.010257142857142857	0.0071	0.012870548566714756	2180737	0.002426448286320898
fam5706	0.14031652020503732	0.14123768816205165	0.0034315688304528144	0.05701904761904762	0.076	0.05853942602292041	0.40739047619047614	0.5381	0.4199387108396629	962315	0.09919316563834837
fam3801	0.0	0.0	0.0	0.0	0.0	0.0	0.0022857142857142855	0.0	0.0023972773672460606	2959846	0.0005136898340781836
fam1934	0.025087514585764293	0.025087514585764293	0.0	0.0012285714285714285	0.0	0.00194254199124629	0.04897142857142857	0.0	0.07743062727898002	2085639	0.009718172983479106
