fam	loc
fam1	822
fam2	1245
fam3	2005
fam4	2782
fam6	6123
fam7	7219
fam8	7664
fam9	8894
fam11	9553
fam12	12453
fam13	12787
fam14	13942
fam15	15017
fam16	15657
fam17	16598
fam18	17905
fam19	22668
fam21	28825
fam22	29351
fam23	29742
fam24	30138
fam25	30905
fam26	31378
fam27	31621
fam28	31825
fam29	32545
fam30	32813
fam31	33759
fam32	34444
fam33	36293
fam34	37669
fam35	37995
fam36	38238
fam37	38814
fam38	40104
fam39	40460
fam40	41236
fam41	41991
fam42	42685
fam45	44598
fam46	45178
fam47	45920
fam48	47330
fam49	50859
fam50	52008
fam51	52303
fam52	52823
fam53	53574
fam54	53776
fam55	54346
fam56	57523
fam57	58236
fam58	59397
fam59	60771
fam60	61290
fam61	62087
fam62	62399
fam63	62926
fam64	64839
fam65	66858
fam66	67151
fam67	67366
fam68	68154
fam69	69045
fam70	70816
fam71	71574
fam72	71815
fam73	72982
fam74	74847
fam75	75400
fam76	75971
fam77	76129
fam78	76523
fam79	76994
fam80	77368
fam81	77856
fam82	78251
fam83	79409
fam84	81107
fam85	82642
fam86	83089
fam87	84961
fam88	85520
fam89	86284
fam90	87131
fam91	88966
fam92	89286
fam93	90146
fam94	91191
fam95	91372
fam96	91648
fam97	92264
fam98	92400
fam99	93650
fam100	93755
fam101	95530
fam102	96377
fam103	98781
fam104	101303
fam105	102155
fam106	102656
fam108	104419
fam109	105298
fam110	106750
fam111	106878
fam112	107622
fam113	108661
fam114	109904
fam115	110076
fam116	110486
fam117	111039
fam119	119056
fam120	120189
fam121	121306
fam122	122165
fam123	122513
fam124	124209
fam125	124862
fam126	126218
fam127	126541
fam128	126785
fam129	127929
fam130	128689
fam131	129308
fam132	129555
fam133	129820
fam134	131608
fam135	132544
fam136	133452
fam137	133702
fam138	134625
fam139	135239
fam140	135948
fam141	136323
fam142	136556
fam143	137573
fam144	138444
fam145	138744
fam146	141377
fam147	144497
fam148	146499
fam149	149406
fam150	152253
fam151	155867
fam153	159912
fam154	160346
fam155	160519
fam156	160752
fam157	161752
fam158	163173
fam159	164165
fam160	164848
fam161	165875
fam162	166465
fam163	167159
fam164	167529
