fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.1580166523825316	0.16310679611650486	0.02231539351699415	0.0051600000000000005	0.006	0.003580651709768302	0.031766666666666665	0.0501	0.024751170567155898	402757	0.009724929607970544
fam966	0.09961588777647917	0.08797653958944282	0.10255161171186221	0.0027822222222222224	0.003	0.0015058831131987917	0.03042444444444445	0.0341	0.012372121987320355	549924	0.009396433470507544
fam393	0.10491233145072554	0.09473684210526316	0.04122315246073313	0.0019955555555555564	0.0027	0.0015577698525713764	0.01904888888888889	0.0284	0.014178882924534439	1186375	0.007407407407407407
fam1571	0.010156790717520845	0.0	0.024724194445473004	0.00016	0.0	0.0003200000000000001	0.01817777777777778	0.018	0.011077121344643228	136130	0.00402986156410814
fam158	0.36354009608904253	0.3925619834710744	0.22659670911385046	0.007080000000000002	0.0071	0.004324534657046929	0.015886666666666667	0.0121	0.013280789802484557	1435492	0.009475465313028765
fam1037	0.14953434868159837	0.14352941176470588	0.0582691343683125	0.004546666666666667	0.0045	0.0018803782125472051	0.034557777777777784	0.0325	0.018137431998664334	463095	0.011715797430083144
fam1720	0.13790711720302506	0.14754098360655737	0.049475458136981745	0.002635555555555555	0.0018	0.0013569828551370138	0.019360000000000002	0.0201	0.008016604989367728	318167	0.005703048180924287
fam1499	0.2142597414941209	0.1735112936344969	0.2010017945772886	0.013682222222222226	0.0121	0.009132318408058976	0.07740444444444444	0.0854	0.04792056369338071	47488	0.02881192881192881
fam1031	0.05605579214240976	0.0	0.08337506735852915	0.001242222222222222	0.0	0.0016600520592759047	0.015393333333333335	0.0127	0.013695180011798149	469111	0.004035378662244334
fam680	0.20570429218985523	0.22039036544850496	0.12458751822831496	0.004173333333333333	0.0048	0.002981379248304754	0.020684444444444443	0.0206	0.014622934126540263	860757	0.008313632781717888
fam875	0.1303961401064573	0.08557046979865772	0.12139818846841957	0.004626666666666667	0.0051	0.003081875330956065	0.048555555555555546	0.0588	0.029047237815175438	638468	0.014178240740740741
fam1781	0.25604492394308764	0.23510971786833856	0.09976893758861988	0.011146666666666666	0.0136	0.005439673192797931	0.04880222222222221	0.0539	0.02825886282912074	398258	0.01841202224588806
fam425	0.009293797617821039	0.0	0.0161413190006604	0.0004000000000000001	0.0	0.0007999999999999998	0.040364444444444446	0.047	0.02263723732217001	1148729	0.010311633219122209
fam1928	0.18712265280632098	0.1708522727272727	0.08767731112405078	0.0028666666666666662	0.0025	0.0021218440617119397	0.014199999999999997	0.0162	0.008299879517197826	563715	0.006452844597174495
fam98	0.1704275516835908	0.11538461538461539	0.1438011378818398	0.0013200000000000002	0.0018	0.0010998181667894015	0.009142222222222223	0.0104	0.0070533046278208845	1503140	0.0033318459021270267
fam1988	0.02878353867044633	0.04507042253521128	0.027672595897137085	0.000568888888888889	0.0	0.0007658901059035739	0.024493333333333336	0.0355	0.020299396816435483	626146	0.006322072988739655
fam1040	0.014579841259957302	0.0	0.02572599221286819	0.0011644444444444445	0.0	0.0015559428089397624	0.13508222222222221	0.1386	0.07367776775750196	461288	0.016182336182336183
