fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.020788400813870313	0.0	0.03456664395111759	0.005998095238095237	0.0	0.012761064151419503	0.0896252380952381	0.0288	0.15773525251778078	794112	0.014564800279085997
fam4124	nan	nan	nan	0.0037052631578947367	0.0048	0.0031169272460331364	0.0	0.0	0.0	554738	0.002708525700215451
fam1785	0.09944555975370638	0.0588235294117647	0.1259422996252135	0.0012771929824561402	0.0013	0.0011802493854607926	0.014793567251461989	0.0146	0.011733403838498448	1831091	0.0033028307202113815
fam966	0.05188970411684818	0.048747276688453155	0.049474005976402155	0.003924761904761905	0.0016	0.0068516773191801585	0.07160285714285715	0.0129	0.14129374498819514	961447	0.00979170852588574
fam393	0.190302249413847	0.16568047337278108	0.12237618521667226	0.0027961904761904764	0.0018	0.003796136477287798	0.05619238095238095	0.0057	0.10904790270705465	326680	0.008735787459191714
fam5072	0.02336377210890346	0.02023121387283237	0.01886488518508582	0.003325714285714286	0.0007	0.006357403311946497	0.07291047619047619	0.0273	0.11701162492009036	1275657	0.008595848595848594
fam1571	0.02200257396805927	0.02222222222222222	0.011048954939894693	0.0029666666666666665	0.0012	0.005099760342952947	0.09878857142857145	0.054	0.1515407952707538	1593279	0.010524166794263257
fam3872	0.07935725530386453	0.06882591093117409	0.029799279338170583	0.005987619047619048	0.0009	0.010447904280518427	0.0573447619047619	0.0247	0.09550195907335132	261553	0.010769175395025733
fam158	0.009166243364254796	0.0	0.014421308254115903	0.0022619047619047623	0.0	0.004812234031287556	0.07847047619047619	0.013	0.14798438780191164	94208	0.009663046505151767
fam1037	0.13768481192094273	0.13129279097865484	0.10002386549483633	0.007776190476190474	0.0021	0.012720635831738868	0.05675047619047619	0.0244	0.08466628285305902	1037803	0.01391677391677392
fam3479	0.03247296672247411	0.02707240293809024	0.012038172766187466	0.007981052631578948	0.0007	0.014881141684673768	0.2908168421052632	0.0345	0.5661456435550338	246016	0.022693219535324792
fam4712	0.02487587444368821	0.0	0.03699138096448295	0.0038904761904761903	0.0	0.008277042533814595	0.051764761904761904	0.0076	0.1023063792461991	1182650	0.010206648697214736
fam3276	0.20226968085980118	0.2210144927536232	0.029510117080568277	0.012031428571428573	0.0107	0.014518082742931737	0.06856190476190475	0.0483	0.09447129206771393	456981	0.028081314397103874
fam1499	0.02472496006306816	0.04473582722715002	0.02447136289921661	0.0023838095238095233	0.0	0.004441473882556679	0.05825428571428571	0.0304	0.0934036748829116	1503816	0.008974616569553279
fam2659	0.010061518342914664	0.0	0.016187888888749644	0.0023	0.0	0.004757088893098604	0.0811342105263158	0.0279	0.12518154201486273	1119552	0.009845251950515109
fam3994	0.036877392192970364	0.041237113402061855	0.01272399050418009	0.0007859649122807018	0.0	0.0007998768757207022	0.019940350877192984	0.0153	0.01882813180443844	416167	0.004135394717112169
fam1031	0.07469154421098666	0.07759014148790508	0.028355363946247387	0.003935238095238095	0.0012	0.006642446206780852	0.048625714285714286	0.0231	0.07696773105977463	1033773	0.009473578460920232
fam5256	0.009443735990383922	0.0	0.01445932998242759	0.0027076190476190477	0.0	0.00576053395736219	0.13735619047619047	0.1113	0.18807692090196423	1070924	0.01796262808921037
fam4952	0.7052631578947368	0.7052631578947369	1.1102230246251565e-16	0.0032912280701754386	0.0	0.00334948441708044	0.004666666666666667	0.0	0.004749268949591669	1427415	0.023670286828181564
fam3345	0.00493122153563428	0.0	0.007331662542969902	0.0004704761904761905	0.0	0.0010009446785078117	0.03399714285714286	0.0107	0.061403003582720536	385424	0.004563055991627421
fam4095	0.2302190210649688	0.29651162790697677	0.09863519234950327	0.0039038095238095242	0.0051	0.0037896582031961873	0.029294285714285714	0.0172	0.045313100867233544	528518	0.006895826763376432
fam680	0.056404390718658624	0.0	0.08006087793010713	0.006301904761904761	0.0	0.013407403647327034	0.04788	0.0267	0.07629444266099845	641099	0.010403897532610404
fam6141	0.06541512804871424	0.0	0.08937593659324115	0.0019	0.0	0.004042276586281547	0.01448571428571429	0.0125	0.020904665364784133	7571	0.004501691386937289
fam875	0.04582252014357655	0.04018912529550828	0.025966899243815383	0.0025666666666666663	0.0009	0.0035476529240952063	0.06433714285714286	0.0366	0.09573892800054676	859726	0.008694727891156462
fam4775	0.07766382740885447	0.07828282828282827	0.041760192111296716	0.006394285714285714	0.0025	0.010337143646845109	0.08724666666666668	0.0308	0.15056870228548996	1251779	0.018264774391854574
fam4190	0.22747249327432234	0.2521246458923513	0.0966917367671151	0.010094761904761907	0.0025	0.01711803619106318	0.03837666666666667	0.0139	0.06288750105457275	622610	0.01362559838750315
fam1483	0.039852095316351685	0.039852095316351685	0.0	0.001755238095238095	0.0	0.003734293608279144	0.04404380952380953	0.0	0.0937038210572313	1488991	0.006701940035273368
fam1781	0.014775346505119871	0.0	0.01917906097576293	0.0019904761904761905	0.0	0.00423476594753305	0.054022857142857136	0.0	0.1051825617061822	1827158	0.007899247335867053
fam425	0.2232640659632377	0.2266553480475382	0.011755289714918248	0.008000952380952381	0.0044	0.009303675620170314	0.021256190476190477	0.0	0.04522329345814846	363493	0.00945247012662743
fam1195	0.17075795623430529	0.21518987341772147	0.08818720631574274	0.0008350877192982455	0.0	0.0008498691804532459	0.0037649122807017544	0.0	0.004439594229445962	1194596	0.001371130273895662
fam5927	0.17848327863516783	0.17826086956521742	0.00035165961666142146	0.0021309941520467834	0.002	0.001987542681867865	0.011284210526315787	0.0	0.011483990220923874	232962	0.0031945692323050814
fam3726	0.2950220628792058	0.29464285714285715	0.0009288605615904056	0.002291228070175439	0.0033	0.0023470235500470003	0.004578947368421052	0.0	0.005500230835414451	88824	0.0028190133453291346
fam4141	0.04937826504767636	0.048484848484848485	0.02615543073962977	0.004231428571428572	0.0008	0.008181120126890463	0.05547047619047618	0.0163	0.09542739141937484	569871	0.009904208597019055
fam3379	0.06525935502456079	0.05530776092774308	0.02425921064128763	0.007499999999999999	0.0062	0.010019780436716166	0.09761333333333334	0.0806	0.10864268306760004	355361	0.022222222222222223
fam3111	0.004071249979302238	0.0	0.004773966963126251	0.0011523809523809523	0.0019	0.0011145014036262166	0.03562	0.0	0.07578216827573243	640761	0.005510631925726265
fam98	0.04725001317595601	0.040697674418604654	0.03531503950142983	0.002676190476190476	0.0007	0.004978477943145424	0.06565761904761903	0.0113	0.12276544598405692	27454	0.008467691538557682
fam5535	0.2344742775158844	0.2341463414634146	0.0005185124263444819	0.0029134502923976605	0.0048	0.0028473636768681075	0.010056140350877195	0.0	0.010234187932951413	711372	0.004212318791871121
fam657	0.03923984660965713	0.041811846689895474	0.01655968122519537	0.0026047619047619044	0.0013	0.004240403865590005	0.07150190476190477	0.0243	0.11102118629295801	618206	0.00808390022675737
fam4153	0.061457965022692934	0.05460450081685575	0.02398536892512246	0.0034742857142857145	0.0008	0.005954014709123802	0.05533714285714286	0.0168	0.10341285842232013	580857	0.008979591836734692
fam3894	0.051514383682059295	0.05439330543933054	0.021590771487623162	0.0033304761904761906	0.0013	0.005250798103681342	0.05276952380952381	0.0239	0.0815052053538499	294647	0.009598131337261773
fam5833	0.0280078169570776	0.02303455182774161	0.009502596851935309	0.002356190476190476	0.0	0.0026636860893818623	0.03616285714285714	0.0	0.07693708036242264	358110	0.007312288211164616
fam5163	0.16667942842855568	0.2	0.04155237417324593	0.005257142857142858	0.0013	0.008183861670185703	0.03717904761904762	0.0133	0.06295802183501864	1173524	0.010476190476190477
fam1496	0.8209457277877251	0.8789808917197452	0.09904614719285931	0.006725146198830412	0.0068	0.006227500728984549	0.007656140350877192	0.0	0.007791966568065181	1500496	0.006847183317771552
fam2317	0.12629398524714575	0.03748370273794002	0.12579270062866035	0.003123333333333333	0.0017	0.003429227086778946	0.06004857142857143	0.0096	0.11803183276378551	1491266	0.008905030938929243
fam5895	0.03255365361209261	0.0311284046692607	0.029127151753711757	0.0026161904761904755	0.0008	0.004810665211095305	0.07356619047619048	0.0256	0.12049343214569595	269054	0.009647158113415783
fam4239	0.04692582764998899	0.0	0.06396383013049406	0.002556190476190476	0.0	0.005438363265849191	0.025288571428571428	0.018	0.039233836985768426	675901	0.005927798848152831
fam265	0.04785409191334859	0.0	0.0755321657077405	0.006672380952380952	0.0	0.014195596200016501	0.05280857142857142	0.0261	0.08134866769686165	199184	0.02204286611066272
fam5264	0.13043478260869562	0.13043478260869565	2.7755575615628914e-17	0.0011789473684210526	0.0	0.0011998153135810532	0.00903859649122807	0.0	0.009198584070788076	1061830	0.0024585989498270198
fam1040	0.033486928639811966	0.0	0.049980939946210994	0.0039019047619047627	0.0	0.008301382339877766	0.04688666666666667	0.026	0.0739442570829916	1041633	0.008366711170449487
fam3456	0.10049275950623393	0.09693877551020408	0.014127467689497632	0.007201904761904763	0.0015	0.012895827903793655	0.07449619047619048	0.0167	0.13945675822296658	271827	0.014606321669518696
fam6028	0.07095913606486333	0.04910714285714286	0.04313953409485238	0.00286	0.0011	0.004538210261871125	0.06663999999999999	0.015	0.12332961842539034	121612	0.010027429290885381
fam3986	0.1533443420324478	0.17763157894736842	0.08448283053299144	0.010197894736842107	0.0081	0.01225474755648317	0.08774578947368422	0.04015	0.1336413466517868	408963	0.02258447386966359
fam443	0.15221842572743177	0.1890909090909091	0.05486445249305759	0.006	0.0052	0.00772890677909884	0.06660380952380952	0.0275	0.1140320296890805	376118	0.01393527107812822
fam5983	1.055	1.055	0.0	0.003818095238095238	0.0	0.008123051044813395	0.003619047619047619	0.0	0.007699574450060091	168360	0.003723300019596316
fam3198	0.010353298938753896	0.0	0.015401046131008008	0.0017914285714285714	0.0	0.0038112893527797453	0.05901333333333334	0.0127	0.11255512940579633	539820	0.006349206349206349
fam3286	0.036302575375343135	0.028669724770642203	0.035768269798314004	0.002373333333333333	0.0025	0.002383765195638301	0.1150647619047619	0.0872	0.1559748935724699	448361	0.013964235483222825
fam4262	0.14368845742891542	0.0	0.1806994121169267	0.0010105263157894737	0.0	0.0011970261704809344	0.006783625730994151	0.0065	0.00529945056847962	695175	0.0024366471734892786
fam3216	0.0	0.0	0.0	0.0	0.0	0.0	0.01183859649122807	0.017	0.012123483871728366	515960	0.003150951961334081
fam355	0.0	0.0	0.0	0.0	0.0	0.0	0.03286571428571428	0.0347	0.03232838595995028	300123	0.0061026352288488205
fam3280	0.09756427933034198	0.1322314049586777	0.05155744926268204	0.0016733333333333335	0.0016	0.002057333765392048	0.05404380952380952	0.0121	0.10261659656336998	453557	0.006678522031219126
fam4434	0.03149831254520537	0.0	0.05114890221130934	0.007579999999999999	0.0	0.016126561349288974	0.08214857142857143	0.0298	0.1349022256968327	873423	0.014528478057889822
fam1784	0.0	0.0	0.0	0.0	0.0	0.0	0.01535906432748538	0.0197	0.014964908944237259	1829999	0.002745813158942757
fam3247	0.06547350975940852	0.10128388017118403	0.06777239179719348	0.004265714285714285	0.0	0.008156047462103296	0.04247523809523809	0.0139	0.07626489772459745	484334	0.00886634732788579
fam2761	0.005880966950548208	0.0	0.01121028857938133	0.000940952380952381	0.0	0.0020018893570156234	0.04981523809523809	0.0306	0.06793453540824274	1005148	0.006620403605328229
fam3314	0.053595903171529395	0.034013605442176874	0.04480105233654288	0.002650952380952381	0.0011	0.0034190675486884337	0.06946714285714287	0.0252	0.11113335754175432	417442	0.008143547273982057
fam2375	0.059623514968760775	0.05025125628140703	0.08044979806152205	0.0037857142857142855	0.001	0.006291663850970223	0.06949619047619048	0.0265	0.11447728235752158	1428608	0.009938581797878281
fam4546	0.04124410962256822	0.0	0.06488045137656998	0.005372380952380953	0.0	0.011429823106060203	0.04453523809523809	0.0124	0.07688903442897109	1001802	0.0152014652014652
fam2090	0.01846415156252238	0.0	0.019844557243647917	0.002316190476190476	0.0	0.004484982854127099	0.06709285714285715	0.0255	0.11539452283952017	1728544	0.00961922109463093
fam5827	0.04157102626637228	0.04166666666666667	0.0241365672828673	0.003589523809523809	0.0008	0.006465938944956818	0.08949619047619049	0.0192	0.1681648787995817	366468	0.009757653061224489
fam2139	0.047576429285653345	0.03512014787430684	0.020563273240315212	0.0035466666666666663	0.0019	0.004929427024883398	0.09063809523809524	0.0465	0.13803830757538518	1673450	0.011264201111916849
fam519	0.022018742072942618	0.0	0.02990315919212823	0.002786666666666667	0.0	0.0059286723265462695	0.04903333333333334	0.0134	0.09295810286838307	458224	0.008706396730348826
fam1093	0.0	0.0	0.0	0.0	0.0	0.0	0.0036009523809523813	0.0	0.007661076577809791	1092019	0.0009002606017531389
fam4968	0.18451026631005668	0.17223650385604114	0.1326303267576428	0.0034046783625730995	0.0029	0.0029592320179930884	0.018647953216374268	0.0048	0.017502442065803765	1405642	0.019339758862176013
fam2823	0.09086023037633097	0.13013698630136988	0.04522071569472101	0.003951428571428571	0.0038	0.003417130912544819	0.07523523809523809	0.0438	0.1162523826532702	948524	0.010660980810234541
fam4230	0.23921807519796898	0.23145843703334992	0.008196549375561073	0.010365714285714285	0.003	0.017781766094574995	0.036314285714285716	0.0	0.07725932759660979	665242	0.014484126984126983
