fam	loc
fam1	719
fam2	1276
fam3	2420
fam4	3873
fam5	5369
fam6	7455
fam7	8059
fam8	9575
fam9	10546
fam10	11464
fam11	12497
fam12	13493
fam13	14887
fam14	15601
fam19	22769
fam20	23831
fam21	24482
fam22	25430
fam23	28620
fam24	29600
fam26	30877
fam27	32253
fam28	33923
fam29	34981
fam30	36579
fam31	38781
fam32	39515
fam33	40369
fam34	40803
fam35	41789
fam36	42721
fam37	43168
fam38	43551
fam39	44654
fam40	45286
fam41	46185
fam45	50241
fam47	51956
fam48	52282
fam49	53642
fam50	54471
fam52	55246
fam53	55836
fam54	56156
fam55	56815
fam56	57464
fam57	58547
fam58	60786
fam59	62093
fam60	62445
fam61	63590
fam62	64684
fam63	65685
fam64	67196
fam65	68329
fam66	69241
fam67	70677
fam68	72140
fam70	73287
fam71	74206
fam72	75273
fam73	76183
fam74	76929
fam75	78366
fam76	79061
fam77	79714
fam78	80775
fam79	81934
fam80	82481
fam82	84898
fam83	85438
fam85	87614
fam86	89960
fam87	90425
fam88	90845
fam89	92273
fam90	94708
fam91	95118
fam92	96118
fam95	99972
fam96	101165
fam97	101882
fam98	102951
fam99	103749
fam100	106449
fam101	107859
fam102	108977
fam103	109760
fam104	111232
fam105	112409
fam106	113792
fam107	114624
fam108	114999
fam109	116154
fam111	119173
fam112	125845
fam113	126302
fam114	127847
fam115	128300
fam116	130087
fam118	131290
fam119	133201
fam121	135635
fam122	137265
fam123	137750
fam125	140217
fam126	140944
fam127	142005
fam128	143062
fam129	144581
fam131	145974
fam132	146645
fam133	148237
fam134	149582
fam135	150642
fam136	151829
fam137	153088
fam138	154152
fam139	155052
fam140	155704
fam141	156839
fam142	158091
fam143	159164
fam144	160507
fam145	161259
fam146	162850
fam147	165047
fam148	166232
fam149	166994
fam150	167932
fam151	170842
fam152	171296
fam154	172498
fam155	173202
fam156	174098
fam157	174814
fam158	177040
fam159	178346
fam160	179283
fam161	179796
fam162	180809
fam163	182703
fam164	183385
fam165	184338
fam166	185121
fam167	186223
fam168	187068
fam169	188056
fam170	188897
fam171	191409
fam172	192281
fam173	193315
fam174	194899
fam175	195725
fam177	197981
fam179	198902
fam180	199684
fam182	201005
fam183	202653
fam184	203410
fam185	204680
fam186	206879
fam188	208402
fam189	209016
fam190	210507
fam191	211052
fam194	217854
fam195	218813
fam196	219790
fam198	221950
fam200	222672
fam201	223219
fam202	223804
fam203	224512
fam205	225423
fam206	225855
fam207	230208
fam208	234508
fam209	236249
fam210	236610
fam211	236919
fam212	238560
fam213	240072
fam214	240839
fam217	242408
fam218	244303
fam219	245065
fam220	245932
fam221	247037
fam222	247721
fam223	248354
fam224	248813
fam225	249521
fam226	249962
fam227	251616
fam228	252934
fam229	254219
fam230	255824
fam231	262227
fam232	263313
fam233	265175
fam234	266559
fam235	268446
fam236	269327
fam237	273205
fam238	274967
fam239	275864
fam240	277089
fam241	277986
fam242	278798
fam243	279358
fam244	279765
fam245	280578
fam246	281602
fam247	282821
fam248	283090
fam249	283646
fam250	283981
fam251	284947
fam252	286436
fam253	288850
fam254	289353
fam256	290426
fam257	291509
fam258	293068
fam259	295855
fam260	297230
fam262	298956
fam263	299835
fam264	302316
fam265	302813
fam266	303544
fam267	304930
fam268	305375
fam269	305986
fam270	306724
fam271	307823
fam273	309370
fam274	310955
fam275	312066
fam276	313436
fam278	314890
fam279	315250
fam280	318076
fam281	318855
fam282	320586
fam283	323433
fam284	324065
fam285	325859
fam286	328909
fam287	330115
fam288	331192
fam289	331816
fam290	332616
fam291	333640
fam292	334407
fam293	335601
fam294	336770
fam295	337664
fam296	338518
fam298	340959
fam299	341273
fam300	341816
fam301	342744
fam302	344484
fam303	346278
fam304	347322
fam305	347838
fam306	348520
fam307	349588
fam309	352871
fam312	356283
fam313	356594
fam315	358736
fam316	360462
fam317	361183
fam320	365125
fam321	366175
fam322	367191
fam323	368220
fam324	369737
fam325	372202
fam326	372626
fam328	373986
fam329	375122
fam330	375799
fam331	376665
fam332	377510
fam333	378567
fam334	379152
fam337	380917
fam338	381481
fam339	383528
fam340	384519
fam341	386108
fam343	388849
fam344	389230
fam345	389928
fam346	390845
fam347	391674
fam348	392684
fam349	393180
fam350	394508
fam351	396516
fam352	398993
fam353	400171
fam354	400773
fam357	403767
fam358	404410
fam360	406541
fam361	407968
fam362	409521
fam364	410335
fam365	411637
fam366	412163
fam367	413847
fam368	414461
fam370	417517
fam378	426803
fam379	427411
fam380	427616
fam381	427921
fam382	428381
fam383	428911
fam384	429384
fam385	429790
fam386	430535
fam387	432318
fam388	433571
fam389	435262
fam390	438629
fam391	439616
fam392	440838
fam394	441478
fam395	442250
fam397	444322
fam398	445847
fam399	446301
fam401	449549
fam402	450492
fam403	450893
fam405	453577
fam406	454584
fam407	454957
fam409	455378
fam410	456779
fam411	457355
fam412	459830
fam413	460644
fam414	462407
fam415	462685
fam416	463119
fam417	464045
fam418	464797
fam419	465969
fam420	467734
fam421	468052
fam423	469193
fam424	470057
fam426	472002
fam428	473164
fam429	473484
fam430	473716
fam431	474207
fam433	475826
fam434	477535
fam435	478265
fam436	479337
fam437	480219
fam438	481146
fam439	481608
fam441	484961
fam443	486038
fam445	487637
fam446	488912
fam447	490040
fam448	491264
fam449	492683
fam451	494120
fam452	496062
fam453	499835
fam454	500182
fam456	502118
fam457	503478
fam458	505104
fam459	506140
fam460	507125
fam461	508166
fam462	509715
fam464	511567
fam465	512752
fam466	514200
fam468	515251
fam469	515624
fam470	515926
