fam	loc
fam1	1317
fam2	2525
fam3	4842
fam4	6218
fam5	6659
fam6	7880
fam7	8439
fam9	11688
fam10	12425
fam11	13040
fam12	13962
fam13	14968
fam14	15333
fam15	15792
fam16	16644
fam17	17903
fam18	18655
fam19	19574
fam20	20144
fam21	22016
fam22	22585
fam23	23613
fam24	23904
fam25	24625
fam26	26074
fam27	26811
fam34	34353
fam35	35867
fam36	36757
fam37	37719
fam38	38149
fam39	39024
fam41	41639
fam42	42306
fam43	43096
fam44	46210
fam45	46496
fam46	46868
fam47	47271
fam48	47920
fam49	48943
fam50	49303
fam51	51332
fam60	63511
fam61	64473
fam62	65325
fam64	66990
fam65	67376
fam66	67848
fam69	69286
fam70	70188
fam71	71679
fam72	72187
fam73	73155
fam74	75275
fam75	75762
fam76	76370
fam77	78155
fam78	79114
fam79	79908
fam80	80657
fam81	81416
fam82	82138
fam83	82515
fam84	83183
fam85	84857
fam86	85982
fam87	86398
fam88	87239
fam89	89211
fam90	90183
fam91	90956
fam94	92989
fam95	93759
fam96	94823
fam97	96423
fam98	97976
fam100	99620
fam101	100291
fam102	100818
fam103	102830
fam104	103462
fam105	104021
fam106	104448
fam107	107267
fam108	109564
fam109	110087
fam110	110688
fam112	111012
fam113	111884
fam114	112111
fam115	112786
fam116	114263
fam117	115071
fam118	116285
fam119	116949
fam120	118064
fam121	118615
fam122	119228
fam123	120199
fam124	120748
fam125	121182
fam126	122429
fam127	123300
fam128	125861
fam129	126718
fam130	127800
fam131	128260
fam132	129909
fam133	131246
fam134	133498
fam135	134289
fam136	134689
fam137	135518
fam138	136272
fam139	136763
fam140	138001
fam141	138712
fam142	139497
fam143	140282
fam144	141244
fam145	143246
fam146	143737
fam147	144284
fam148	144921
fam149	146524
fam150	147970
fam151	148876
fam152	149086
fam153	149582
fam159	157314
fam160	157871
fam161	158103
fam162	159934
fam163	160689
fam164	161224
fam165	162233
fam166	163073
fam167	164281
fam168	164548
fam169	164999
fam170	165461
fam171	166169
fam172	166790
fam173	167135
fam174	168452
fam175	170783
fam176	172424
fam177	173125
fam178	174733
fam179	176675
fam182	179688
fam184	181092
fam185	181484
fam186	181933
fam187	183266
fam188	183716
fam189	184791
fam191	188342
fam192	192961
fam193	194927
fam194	196047
fam195	196304
fam196	196564
fam197	196863
fam198	197278
fam199	198417
fam200	199862
fam201	200638
fam202	201432
fam203	203682
fam204	204595
fam205	206049
fam206	206968
fam207	207411
fam208	208300
fam209	208604
fam210	211188
fam211	211550
fam212	211962
fam213	213357
fam216	215563
fam217	217018
fam218	218077
fam219	219669
fam220	220904
fam221	222546
fam222	223092
fam223	224370
fam224	225065
fam225	226237
fam226	227228
fam228	229935
fam229	231322
fam230	232088
fam231	233776
fam233	237199
fam234	238375
fam235	239625
fam236	239894
fam237	240656
fam238	241601
fam239	242683
fam240	243357
fam241	243786
fam242	244786
fam251	253607
fam252	254587
fam253	255474
fam254	257611
fam255	259772
fam256	260281
fam261	268559
fam262	269186
fam263	269497
fam264	270243
fam265	271514
fam266	271846
fam267	273297
fam268	274133
fam269	274456
fam270	274872
fam271	275687
fam272	276861
fam273	277358
fam274	278014
fam275	279602
fam276	280846
fam277	281701
fam278	282270
fam279	282976
fam280	283341
fam281	286289
fam283	289225
fam284	290062
fam285	290781
fam286	291860
fam287	293056
fam288	293530
fam289	293797
fam290	294793
fam291	295253
fam292	297333
fam293	298050
fam294	298586
fam295	299332
fam296	300418
fam297	301353
fam298	302524
fam299	303171
fam300	303672
fam301	305137
fam302	305718
fam303	307181
fam304	307771
fam305	308833
fam306	309349
fam307	310863
fam308	312236
fam309	312802
fam310	315117
fam312	317021
fam313	317503
fam314	318634
fam315	320961
fam316	322232
fam317	323046
fam318	324827
fam319	325316
fam320	326893
fam321	328306
fam322	328616
fam323	328861
fam324	329384
fam325	330088
fam326	330441
fam327	331990
fam328	332280
fam329	333892
fam330	334292
fam331	334702
fam332	336673
fam333	340643
fam334	341347
fam336	343069
fam337	344023
fam338	344767
fam343	348419
fam344	350233
fam345	351098
fam346	351768
fam347	353108
fam348	353683
fam349	355063
fam350	356174
fam351	357818
fam352	358585
fam354	361823
fam355	363388
fam356	364140
fam357	364441
fam358	364971
fam364	373301
fam365	374214
fam366	377044
fam367	378502
fam368	379958
fam369	381076
fam370	381257
fam371	382048
fam372	382707
fam373	384016
fam374	384793
fam375	386063
fam376	387086
fam377	390587
fam378	391259
fam379	391725
fam393	408236
fam394	409367
fam395	409872
fam396	410672
fam397	411900
fam398	412947
fam399	413689
fam400	416955
fam401	418088
fam402	418782
fam403	422458
fam405	424813
fam406	426032
fam407	426865
fam408	427415
fam409	429149
fam410	429598
fam411	430248
fam412	431006
fam413	432163
fam414	432708
fam415	433594
fam416	435513
fam417	436498
fam418	437023
fam419	437611
fam420	437886
fam421	438944
fam422	439510
fam423	440709
fam424	441261
fam425	441873
fam426	443021
fam427	444970
fam428	445661
fam429	446475
fam430	447198
fam431	449041
fam432	449260
fam433	449548
fam434	450097
fam435	450535
fam436	451299
fam437	451887
fam438	452278
fam439	456508
fam440	461021
fam441	461661
fam442	461886
fam443	462584
fam444	462960
fam453	470169
fam455	471034
fam458	474826
fam459	475508
fam460	477856
fam461	478433
fam462	479397
fam464	481181
fam465	482037
fam466	482401
fam467	485392
fam468	486371
fam469	487429
fam470	488076
fam471	488840
fam472	490311
fam473	490925
fam474	491142
fam475	492756
fam477	494774
fam479	495641
fam480	495876
fam481	498266
fam482	499031
fam483	500236
fam484	501246
fam485	501847
fam486	502179
fam498	515404
fam502	519109
fam503	519557
fam504	520522
fam505	521701
fam506	523107
fam507	524161
fam508	524879
fam509	525544
fam510	526703
fam511	526964
fam512	527401
fam513	530344
fam514	531099
fam517	532850
fam518	533779
fam519	534102
fam520	535474
fam521	536349
fam522	536923
fam523	537283
fam524	539230
fam525	539687
fam526	539958
fam527	541238
fam528	541611
fam529	542547
fam530	543394
fam531	544480
fam533	547527
fam534	548125
fam535	549412
fam536	550278
fam537	550559
fam538	551657
fam539	552651
fam540	552992
fam541	553774
fam542	554269
fam543	555424
fam544	556067
fam545	556749
fam546	558494
fam548	559901
fam549	560549
fam550	561388
fam551	562494
fam552	563202
fam553	563530
fam554	564413
fam555	565710
fam556	566222
fam557	567225
fam558	567694
fam559	568403
fam560	568594
fam561	570761
fam562	571942
fam563	572548
fam564	573371
fam565	574574
fam567	577451
fam568	578163
fam569	580343
fam570	582139
fam571	585687
fam572	587463
fam573	588229
fam574	588882
fam575	589994
fam576	592030
fam577	592804
fam578	593957
fam579	594717
fam580	595955
fam581	597993
fam582	598585
fam583	599713
fam584	600518
fam585	601768
fam586	602324
fam587	603760
fam588	604173
fam589	605092
fam591	609084
fam592	610290
fam593	611592
fam594	612043
fam595	613283
fam596	614014
fam598	624444
fam607	628506
fam608	628953
fam609	629568
fam610	630323
fam611	631045
fam612	631332
fam613	632038
fam614	632996
fam615	634203
fam616	634917
fam617	635329
fam618	638587
fam620	639847
fam621	640452
fam622	641213
fam623	641955
fam624	642622
fam625	644335
fam626	645329
fam627	645895
fam628	646465
fam629	647403
fam630	648129
fam631	653132
fam632	654003
fam633	655388
fam634	656184
fam635	657020
fam636	658821
fam637	660341
fam638	660802
fam639	661398
fam640	662480
fam641	662782
fam642	663463
fam643	664464
fam644	664802
fam645	665409
fam646	666023
fam647	667982
fam648	668906
fam649	671483
fam650	672983
fam651	673714
fam652	673959
fam653	674621
fam654	675913
fam655	676568
fam656	676930
fam657	677729
fam659	681828
fam660	682654
fam661	683904
fam662	685326
fam663	685985
fam664	688028
fam665	688828
fam667	690046
fam668	690935
fam669	693192
fam670	695406
fam673	699324
fam674	700772
fam675	701902
fam676	702817
fam677	703913
fam678	704394
fam679	704915
fam680	705250
fam681	705809
fam682	706423
fam683	707858
fam684	708961
fam685	710277
fam686	710917
fam687	711856
fam688	712932
fam689	714280
fam690	715305
fam691	716152
fam692	717468
fam693	718277
fam694	719523
fam695	721504
fam697	723587
fam698	724271
fam699	725280
fam700	726317
fam701	726756
fam703	729655
fam704	729963
fam705	730894
fam706	731530
fam707	733116
fam708	734595
fam709	735730
fam711	738241
fam712	738808
fam713	740112
fam714	740354
fam715	742011
fam716	742969
fam717	743317
fam718	745782
fam719	746325
fam720	747877
fam721	749015
fam722	749895
fam723	750245
fam724	753230
fam725	754003
fam726	754807
fam727	755462
fam729	756714
fam731	758112
fam732	759173
fam733	759478
fam734	760670
fam735	761678
fam736	762052
fam737	763749
fam738	765046
fam739	765939
fam740	766394
fam741	766657
fam742	767381
