fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.3403842191351824	0.2795698924731183	0.2657166030967308	0.0025999999999999994	0.0	0.003036145882229939	0.0058969696969696965	0.0	0.007358235330627847	1867711	0.0037503750375037508
fam966	0.001971639709401102	0.0	0.003996415336312944	0.0002	0.0	0.00044721359549995785	0.041299999999999996	0.03295	0.038053793662671954	1068521	0.012227538543328014
fam393	0.07759270703655176	0.06842105263157894	0.05718717086253645	0.003907575757575758	0.0	0.00651393170399113	0.03689242424242424	0.0	0.04723502587996141	418776	0.013081636032455702
fam158	0.0	0.0	0.0	0.0	0.0	0.0	0.03859545454545455	0.0367	0.028326668191899915	165865	0.010563259715802088
fam1037	0.021806293722332056	0.015989283403123826	0.02497900374739228	0.0022939393939393946	0.002	0.0025203943166652357	0.08631363636363636	0.10865	0.06489678958853105	1148515	0.023605621431708385
fam3479	0.022055862648882835	0.0	0.055325903566559524	0.00025	0.0	0.0005590169943749475	0.03314090909090908	0.0242	0.027196601711024473	133101	0.00896756342300897
fam1720	0.0020893726681323454	0.0	0.003839692579809004	0.00021666666666666666	0.0	0.00048448139512495444	0.050475757575757584	0.0374	0.05022053503874281	1796669	0.012782694198623401
fam1499	0.018232605082157405	0.020942408376963352	0.008753045622659283	0.000981818181818182	0.0008	0.0007342093440440148	0.05462727272727273	0.0604	0.029047028458328628	1561803	0.015531569879395968
fam2659	0.006572724605076539	0.0	0.008667707923165843	0.00015000000000000001	0.0	0.0003354101966249685	0.012492424242424242	0.0	0.01880610241550446	1094798	0.003914141414141413
fam1031	0.3436499927401023	0.14328358208955222	0.33812862626592344	0.006015151515151515	0.0048	0.003977940780835109	0.04130454545454545	0.0335	0.04218635580021672	1144052	0.015955575657068195
fam3345	0.07660381207403953	0.0692167577413479	0.021135485179006906	0.004596969696969697	0.0038	0.003507782244069463	0.058203030303030305	0.0575	0.0412441950725299	285278	0.020741768833371886
