fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.01671101967372763	0.013966480446927375	0.016100153135739516	0.0018428019323671497	0.0015	0.0011661298451894956	0.12495980676328501	0.1455	0.0507011205124571	420593	0.02424803413378469
fam4124	0.17375155392026642	0.16913414087034545	0.0811026875521796	0.026504057971014492	0.0308	0.011201069779677286	0.1612342995169082	0.1841	0.07256664551248351	688946	0.05248292698000679
fam1785	0.09066923566212007	0.07906360424028269	0.074067778066667	0.0173769696969697	0.019	0.008834521069895938	0.23757989898989898	0.2109	0.14823402358252488	1947085	0.060050555006044615
fam966	0.022796968833649383	0.02844141069397042	0.019325232879706417	0.0019458937198067634	0.0024	0.0017713582900144938	0.0721815458937198	0.0865	0.03254416957698603	1074210	0.019491591102844298
fam1571	0.04926988067597277	0.04293843766166581	0.042441139226587925	0.0072684057971014494	0.0075	0.0029008006340354555	0.17241033816425122	0.1979	0.07517757862491295	1724079	0.03617985878855444
fam3872	0.04495182513216906	0.043478260869565216	0.03473552999687614	0.011694975845410627	0.0121	0.009053863182420342	0.236543961352657	0.2783	0.14535735704168343	964034	0.051945786366076226
fam158	0.017517622544369563	0.01676467045541649	0.011536254848100199	0.002727373737373737	0.0034	0.0017794472447038186	0.14766	0.1687	0.06134494435550331	201154	0.036178366580376625
fam4609	0.007224375695336173	0.006734006734006734	0.014112426933596826	0.0010776811594202897	0.0014	0.0009746419804872578	0.15121169082125605	0.1768	0.06843800247059581	150146	0.026080428254341297
fam1037	0.03147219795661583	0.029440154440154444	0.018954771381018514	0.007024444444444443	0.0076	0.004137923065990192	0.21950521739130435	0.2387	0.10044951168572001	1142363	0.04649885583524027
fam3479	0.033656859763694875	0.033554266777133385	0.013459869812005634	0.006468405797101448	0.0072	0.003282292834405189	0.1947664734299517	0.2222	0.09228259384725176	1394319	0.035703382341126376
fam4712	0.007271643543296199	0.008426966292134831	0.006608044319467115	0.0006251207729468599	0.0006	0.0005612846375512993	0.07090550724637681	0.0787	0.028341480134959178	39312	0.015850633241937587
fam1720	0.04051613976541045	0.031088082901554407	0.049041053806669566	0.006763574879227054	0.0055	0.004690650251364408	0.18997101449275364	0.2059	0.09123405431683253	1879041	0.0433907180518912
fam1499	0.024766107481362713	0.022437841115827778	0.028957900667666386	0.004157070707070708	0.0037	0.002910351692630719	0.17878454545454545	0.1687	0.0992324378454595	1636434	0.033754940711462456
fam2659	0.07378773076574463	0.06395348837209303	0.05834706088188489	0.0049404830917874395	0.0055	0.0036868317386392594	0.07415256038647343	0.0842	0.04567665352255242	2259509	0.025553766326713186
fam3994	0.01786437895673277	0.013090909090909089	0.023239116646839128	0.0016143961352657003	0.0018	0.0017387472578416134	0.09394734299516909	0.1037	0.03920336252207129	836688	0.021124828532235938
fam3345	0.015729368199939444	0.014210526315789474	0.016976832770649826	0.0027632323232323233	0.0027	0.0015385358567123327	0.1888219191919192	0.20625	0.0782182049797622	1527912	0.036165223665223664
fam680	0.05963328864892849	0.048939641109298535	0.05275943047730288	0.007800676328502414	0.0091	0.0040686464088872075	0.17199043478260873	0.1539	0.12157788698673287	779897	0.040551033463481344
fam4190	0.03038264506445185	0.02818068794032325	0.024560222209737106	0.005539323671497585	0.0059	0.0022640243607048006	0.19792086956521737	0.216	0.06907847871418478	614715	0.04308691161280802
fam1483	0.05733809453242726	0.047239915074309975	0.06324149271249947	0.008173429951690821	0.0082	0.003885998565850081	0.1767663768115942	0.198	0.07197553455720361	1619648	0.0346719001610306
fam1781	0.18084806625523867	0.14410069416668891	0.20859848141625886	0.02732203765227021	0.0259	0.015229096250012975	0.1875450719822813	0.181	0.10927953263084474	1943495	0.0590210467763353
fam425	0.1297516709524207	0.09602649006622516	0.13616655825792634	0.0041704347826086955	0.0029	0.0035246866176999437	0.03759864734299517	0.0369	0.020248393223216747	499822	0.014654715031694172
fam1195	0.0	0.0	0.0	0.0	0.0	0.0	0.029534202898550726	0.0276	0.01672050288224492	1329834	0.009334173492963664
fam4141	0.04444984645512102	0.040271966527196654	0.029837254387376753	0.006054782608695652	0.0062	0.00290009558831085	0.14869719806763285	0.1684	0.0694789452129058	669542	0.03127532692750084
fam3379	0.037743714118110186	0.03319502074688797	0.030563360865191104	0.005533526570048309	0.0042	0.0045316691988223174	0.1398719806763285	0.1588	0.06747743589537261	1496770	0.031458440126132005
fam1928	0.03756809425415921	0.03488372093023256	0.03748585012383519	0.0025896969696969693	0.0027	0.0015621582160623229	0.07258999999999999	0.07835	0.0323469470090777	2086854	0.0193632228719948
fam657	0.019422074760728866	0.01786777843954735	0.010337585403339351	0.0023556565656565657	0.0022	0.0013167465734219732	0.12502737373737371	0.1422	0.04900054677258036	752554	0.024337382085315967
fam4153	0.04079282506147462	0.033873343151693665	0.04915708349624796	0.004057391304347827	0.0046	0.0032766471252047864	0.10885294685990339	0.1185	0.050966571771857684	656999	0.03251131048232498
fam1496	0.04615047492445433	0.04647749510763209	0.03305618750320977	0.009588689217758985	0.0096	0.005599070159762507	0.21954873150105708	0.2364	0.08765931617302046	1633107	0.041260078892214204
fam4592	0.033862751792537664	0.027316550615961437	0.034505444572066585	0.00404	0.0051	0.0031281430956804296	0.1335806763285024	0.1332	0.07051643309712033	176640	0.02665841875810062
fam1988	0.06244461938749013	0.05793178126691932	0.040694442915528005	0.00766840579710145	0.0082	0.003597102547034131	0.1314391304347826	0.1474	0.055640447224656615	2148258	0.03182155552951287
fam265	0.021947889070139757	0.0	0.036484961708244695	0.0027392270531400964	0.0	0.00409151677834525	0.1332913043478261	0.1249	0.08609534026419136	320645	0.027043380666569073
fam2943	0.0073363999529091365	0.0	0.016593604415871738	0.00093	0.0	0.0011533346470477717	0.15249414141414142	0.16845	0.06421455455098962	1969842	0.03569023569023569
fam1040	0.011872894351841348	0.0	0.019836909717960708	0.001598840579710145	0.0	0.0024650520780567764	0.11234666666666666	0.1276	0.058454060545037406	1143780	0.021493750479257726
fam3456	0.08257072203889877	0.08163987222689162	0.02742237298307484	0.024289371980676325	0.0169	0.018589017148380647	0.28956396135265705	0.249	0.18054389316235742	1422115	0.06938764851808331
fam1786	0.029719437565643433	0.028649939158695688	0.022108081927690787	0.004686666666666666	0.0049	0.0024172320178293444	0.16538792270531402	0.1766	0.08067215659264376	1948669	0.032261135373878425
fam3641	1.5376894123498672	0.25475285171102663	11.912637130906283	0.024101545893719812	0.0268	0.012174846070372542	0.08799362318840578	0.0745	0.06996613782700929	1224655	0.034879668232854655
fam3986	0.056957831863104	0.05225220284977907	0.036266888032177265	0.011357584541062803	0.0122	0.005931619029445979	0.2174168115942029	0.2521	0.11249818981894502	844287	0.048950836373196624
fam443	0.033555268239521124	0.02591463414634146	0.03199281820158169	0.002731980676328503	0.0018	0.0023251640510641167	0.09213391304347826	0.0932	0.03172990085644121	514983	0.02068777365220053
fam355	0.012096863233628912	0.01037344398340249	0.00859460024963791	0.0013724242424242427	0.0015	0.0007037397804616589	0.1278320202020202	0.1436	0.04926874144726625	431490	0.025718348533882517
fam4434	0.05461357818623612	0.055248618784530384	0.027131202149373212	0.0016975845410628018	0.0013	0.0011004276557145883	0.02847082125603865	0.031	0.011728998655915432	351051	0.009422119748206705
fam3247	0.009450601227558102	0.0	0.021880448241745905	0.0005497584541062802	0.0	0.0009972558675320387	0.08587681159420289	0.0876	0.04193632421165204	1638724	0.016870921264513943
fam2761	0.024523807324315645	0.02394822006472492	0.01385443759174985	0.004484040404040404	0.0049	0.002405433209977039	0.18079525252525253	0.2059	0.07288737241984762	2160748	0.03259560781948841
