fam	loc
fam1	711
fam3	2427
fam5	5549
fam7	8315
fam9	10936
fam11	12259
fam13	19702
fam15	20712
fam16	21778
fam17	22429
fam18	25719
fam19	26586
fam21	28799
fam23	31821
fam24	32878
fam25	34540
fam26	36925
fam28	38818
fam29	39262
fam30	40118
fam33	44174
fam36	49606
fam37	50299
fam38	52413
fam42	56126
fam43	57392
fam44	58235
fam45	59049
fam46	59780
fam47	60357
fam48	61552
fam49	62417
fam50	62916
fam51	63095
fam52	63987
fam53	64472
fam54	65251
fam56	67914
fam57	68978
fam58	69941
fam59	71398
fam60	72433
fam61	74881
fam62	76456
fam63	77287
fam64	77654
fam65	78218
fam66	79237
fam67	79437
fam68	80324
fam69	80935
fam70	82188
fam72	84308
fam73	84970
fam74	86607
fam75	88071
fam76	89272
fam80	93832
fam81	94566
fam82	95938
fam83	96937
fam85	98283
fam87	102380
fam88	103247
fam92	109593
fam94	110426
fam95	111316
fam97	112977
fam98	114544
fam99	115139
fam100	116084
fam103	120187
fam104	121203
fam105	121869
fam106	125844
fam110	129444
fam111	130315
fam112	130662
fam115	139483
fam116	140244
fam117	141107
fam118	141546
fam119	141941
fam121	144611
fam122	147510
fam123	148559
fam124	149414
fam127	153595
fam130	157165
fam131	158297
fam132	160988
fam133	162004
fam134	162609
fam135	163183
fam136	163577
fam137	165128
fam138	165998
fam141	169285
fam142	170265
fam143	170956
fam144	171998
fam145	173565
fam146	174459
fam147	174988
fam148	177531
fam150	180420
fam154	186700
fam155	188567
fam156	189385
fam159	195040
fam160	195758
fam161	196501
fam162	197004
fam163	198051
fam164	198436
fam166	200117
fam168	202157
fam169	203008
fam170	203853
fam172	205928
fam173	208780
fam174	210592
fam175	210829
fam177	211950
fam178	213065
fam179	214041
fam180	214436
fam181	214801
fam182	215108
fam183	215620
fam184	216187
fam186	219646
fam188	220689
fam189	221241
fam190	221966
fam191	222628
fam192	223250
fam193	223549
fam194	224390
fam196	225030
fam198	226169
fam199	226360
fam200	226614
fam201	227166
fam202	227491
fam203	228045
fam204	228364
fam205	228790
fam206	229338
fam207	229701
fam208	230219
fam209	230401
fam211	232178
fam212	232328
fam213	232832
fam214	233238
fam215	233889
fam216	234904
fam217	235334
fam218	236206
fam219	236494
fam220	237017
fam221	238532
fam223	240918
fam224	241455
fam225	242711
fam226	243156
fam227	243736
fam228	244310
fam229	245140
fam230	245776
fam233	248638
fam234	250367
fam235	250675
fam237	254861
fam238	255671
fam239	258503
fam240	260246
fam242	261702
fam244	262966
fam245	263315
fam246	264043
fam247	264811
fam250	268820
fam253	271314
fam254	271604
fam255	272400
fam256	273457
fam258	275320
fam259	276384
fam260	277837
fam261	279064
fam262	280005
fam263	281002
fam264	281838
fam265	282872
fam266	285021
fam267	286086
fam268	286665
fam269	287975
fam270	289116
fam271	289919
fam272	291275
fam273	292354
fam274	293159
fam275	294288
fam277	296230
fam278	297414
fam279	297902
fam280	298961
fam281	299603
fam282	300362
fam284	302424
fam286	305868
fam287	306133
fam289	311711
fam291	317220
fam292	318252
fam294	321409
fam296	322811
fam297	324103
fam298	324837
fam299	326165
fam300	327903
fam302	330458
fam303	331344
fam304	334280
fam305	335286
fam306	335847
fam307	337009
fam308	337900
fam309	339169
fam311	340828
fam312	341871
fam313	342876
fam315	345340
fam316	345737
fam317	348322
fam318	349551
fam319	351986
fam320	352566
fam321	354736
fam323	356920
fam325	359962
fam326	360988
fam327	361536
fam329	364251
fam331	366166
fam332	366727
fam334	367958
fam336	369118
fam338	372369
fam339	375849
fam340	376754
fam341	378131
fam343	381056
fam345	383050
fam346	384971
fam348	387828
fam350	389634
fam351	391134
fam352	392142
fam353	392514
fam354	393912
fam355	394706
fam357	398340
fam358	400391
fam359	400774
fam362	405112
fam363	406425
fam366	409546
fam368	411522
fam370	413551
fam372	415894
fam374	418343
fam376	419557
fam377	419970
fam380	424869
fam382	426399
fam383	427474
fam384	428541
fam385	429593
fam386	431170
fam389	437054
fam390	438097
fam392	442317
fam393	443010
fam394	444898
fam395	446611
fam398	449298
fam400	451454
fam401	452395
fam402	452723
fam404	454893
fam406	458072
fam409	462523
fam410	463735
fam411	465205
fam412	466635
fam414	470420
fam415	471703
fam416	472347
fam419	478565
fam421	479845
fam422	480708
fam423	481401
fam424	482291
fam426	486786
fam427	488079
fam429	491157
fam430	492032
fam432	496065
fam433	496965
fam434	499249
fam435	500500
fam437	502956
fam438	503350
fam439	504703
fam440	507551
fam441	508060
fam442	508586
fam443	509520
fam445	511634
fam446	513282
fam447	516531
fam448	517373
fam449	518497
fam451	519581
fam454	521598
fam455	522557
fam456	522951
fam457	523783
fam458	524771
fam460	528469
fam461	529487
fam462	530405
fam463	532371
fam465	534285
fam466	535796
fam467	536477
fam468	536994
fam469	538871
fam470	539847
fam471	542453
fam473	548266
fam474	548876
fam475	549247
fam476	549731
fam477	551206
fam478	552813
fam480	556690
fam481	559852
fam482	562682
fam483	563645
fam484	564397
fam486	566986
fam492	575679
fam493	576772
fam496	581220
fam497	581755
fam498	583557
fam499	583698
fam500	585744
fam501	586241
fam502	586898
fam503	587336
fam506	590544
fam507	591509
fam508	591823
fam509	593652
fam510	595126
fam511	596499
fam513	598894
fam515	601163
fam516	602776
fam517	603689
fam519	605801
fam521	608045
fam522	608742
fam523	609298
fam525	612771
fam528	615481
fam530	616488
fam531	616796
fam532	616947
fam533	617331
fam534	617946
fam535	618641
fam537	620495
fam541	627367
fam542	628050
fam546	632325
fam549	639341
fam550	640123
fam552	643778
fam555	646200
fam557	649274
fam561	660441
fam563	661457
fam564	664010
fam567	667987
fam568	671423
fam570	673839
fam572	675592
fam573	676104
fam577	682867
fam578	683203
fam579	683409
fam580	683689
fam581	685407
fam583	687301
fam585	688457
fam586	689146
fam587	689663
fam589	691733
fam590	692850
fam591	693636
fam594	697589
fam595	698071
fam597	701050
fam598	702956
fam599	703307
fam600	704726
fam601	705622
fam603	707181
fam604	708655
fam605	709438
fam606	711049
fam608	715640
fam609	716927
fam610	717533
fam611	718755
fam612	719996
fam615	722495
fam617	724985
fam618	725444
fam620	726934
fam622	729846
fam623	730488
fam624	733065
fam628	739551
fam629	740771
fam632	744220
fam634	746171
