fam	loc
fam6	162544
fam7	161503
fam8	160858
fam9	160529
fam10	159722
fam11	159011
fam12	155575
fam13	154865
fam14	154158
fam16	151921
fam17	147746
fam18	146384
fam19	144895
fam20	143424
fam21	141808
fam23	139532
fam24	139050
fam25	137921
fam26	137393
fam27	136447
fam28	135086
fam29	133729
fam30	132295
fam45	113668
fam46	112045
fam48	107381
fam49	105711
fam52	103765
fam53	103311
fam55	102561
fam56	101895
fam57	98713
fam60	96854
fam61	96252
fam62	95418
fam64	94204
fam65	93089
fam67	87786
fam68	85030
fam69	84089
fam72	80388
fam73	78925
fam74	75886
fam75	75016
fam76	73691
fam77	72906
fam78	72388
fam79	70934
fam80	69195
fam81	68787
fam85	64133
fam86	63389
fam89	59090
fam109	30995
fam110	28980
fam111	27742
fam112	26248
fam114	22538
fam115	19340
fam117	15347
fam118	14442
fam119	13476
fam121	11253
fam122	10144
fam123	9220
fam124	8293
fam125	6490
fam126	6152
fam127	5579
fam128	4197
fam130	1388
fam131	2862
fam132	3671
fam133	5941
fam135	8527
fam136	10024
fam137	11200
fam142	14838
fam143	17630
fam144	19927
fam145	20649
fam146	21959
fam147	23171
fam148	25361
fam149	25848
fam150	26242
fam152	27561
fam153	28173
fam154	28868
fam155	30313
fam156	31681
fam157	33258
fam158	37938
fam159	40214
fam160	40837
fam161	42368
fam162	43086
fam163	43994
fam164	45106
fam165	46623
fam166	48215
fam167	50837
fam168	52299
fam169	53882
fam172	64617
fam174	66525
fam175	67931
fam176	69042
fam178	75069
fam179	75742
fam181	78923
fam182	79578
fam183	81100
fam184	82015
fam186	95318
fam188	96905
fam189	97679
fam191	99418
fam192	101883
fam193	104144
fam195	106318
fam196	106924
fam199	116463
fam200	117655
fam203	120300
fam204	122312
fam205	123085
fam208	126901
fam209	129527
fam210	131611
fam211	132561
fam212	133958
fam213	135388
fam214	137999
fam217	140260
fam218	141284
fam219	141601
fam221	145213
fam223	147049
fam224	148136
fam227	152882
fam228	153874
fam231	155678
fam234	157952
fam235	161001
fam236	161612
fam237	162565
fam238	163202
fam239	164702
fam240	165491
fam241	167631
fam243	169690
fam245	172137
fam246	174805
fam247	176429
fam248	177547
fam249	182136
fam251	186980
fam252	187795
fam253	188976
fam254	190093
fam255	190491
fam256	192506
fam258	194554
fam261	196943
fam262	197661
fam263	199053
fam264	200375
fam265	201703
fam266	202532
fam267	203103
fam268	204039
fam271	206367
fam272	206797
fam273	207262
fam274	208757
fam275	209053
fam276	209654
fam277	210944
fam284	219711
fam285	221572
fam286	223446
fam289	227136
fam290	229195
fam291	230296
fam294	232947
fam295	234540
fam296	234880
fam298	238780
fam299	240615
fam300	242201
fam301	242994
fam302	243489
fam303	245302
fam305	248413
fam306	249788
fam307	250593
fam308	251480
fam309	252921
fam310	254462
fam311	255986
fam312	257245
fam313	257556
fam314	259409
fam315	261674
fam316	263001
fam317	263713
fam318	264254
fam319	266556
fam320	269408
fam321	271047
fam322	271757
fam323	272567
fam324	273472
fam325	274432
fam326	275459
fam327	277941
fam328	280438
fam355	300540
fam356	301882
fam357	302224
fam358	302805
fam359	303662
fam361	306312
