fam	loc
fam1	1365
fam2	2820
fam3	3395
fam4	4507
fam5	6451
fam6	9166
fam7	10090
fam8	11923
fam9	13591
fam10	14613
fam11	14939
fam12	16178
fam14	17673
fam15	19655
fam16	20098
fam17	21530
fam18	23099
fam19	24645
fam20	26484
fam21	27814
fam22	28606
fam23	29880
fam24	30725
fam30	39728
fam32	43674
fam33	43946
fam34	45551
fam36	47178
fam37	48548
fam38	49059
fam39	50687
fam40	51275
fam41	53603
fam42	54102
fam43	54367
fam44	56130
fam45	56861
fam46	58578
fam47	59841
fam48	61057
fam52	65528
fam54	67909
fam55	68436
fam56	69166
fam57	69778
fam58	71376
fam60	74425
fam61	74691
fam63	76564
fam64	77127
fam66	78650
fam67	79602
fam69	82116
fam70	83175
fam71	83598
fam72	84533
fam73	85683
fam74	86121
fam75	87563
fam76	88485
fam77	89088
fam78	90285
fam79	91010
fam80	91711
fam81	92854
fam82	93669
fam83	94960
fam84	96620
fam85	97568
fam86	98431
fam87	99243
fam89	101175
fam91	102716
fam99	112391
fam103	116275
fam104	117278
fam105	118239
fam106	119686
fam107	120804
fam108	122094
fam109	123007
fam110	124846
fam117	132515
fam118	134025
fam119	136430
fam120	137083
fam121	138653
fam122	140205
fam123	141427
fam125	150032
fam126	151582
fam127	152543
fam128	153306
fam129	154058
fam130	154659
fam131	155207
fam133	156740
fam134	157644
fam135	158066
fam136	159701
fam160	185654
fam161	187492
fam162	187827
fam163	188255
fam171	195685
fam172	196749
fam173	197988
fam174	198908
fam176	200442
fam177	201538
fam178	203024
fam179	203714
fam180	204238
fam182	205609
fam183	206300
fam184	207374
fam185	208679
fam186	209254
fam187	210010
fam188	210872
fam189	212497
fam190	215002
fam191	217626
fam192	218255
fam193	220451
fam194	222038
fam195	223214
fam196	224135
fam197	224937
fam198	225749
fam199	226755
fam200	227228
fam201	227610
fam202	228837
fam203	229876
fam205	231848
fam206	232239
fam207	233306
fam208	234726
fam209	235574
fam210	236893
fam211	237542
fam212	238236
fam213	239375
fam214	242089
fam215	243222
fam216	245448
fam217	247563
fam218	250683
fam219	251615
fam221	253620
fam222	254344
fam224	256257
fam225	257644
fam226	258896
fam227	259133
fam228	261009
fam229	261622
fam230	263323
fam231	263605
fam232	266243
fam233	267145
fam234	267995
fam235	270007
fam236	271161
fam237	272678
fam238	273793
fam239	274832
fam240	275743
fam241	277876
fam242	279613
fam243	280411
fam244	281090
fam245	282005
fam246	283204
fam247	283820
fam248	285215
fam249	286323
fam250	288489
fam251	289055
fam252	290799
fam253	292795
fam254	293389
fam255	295353
fam256	297198
fam257	298520
fam258	299926
fam260	300785
fam261	302532
fam262	305400
fam263	306226
fam264	307998
