fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.014101221220405871	0.018443279967423218	0.009339100754192873	0.004540000000000001	0.0053	0.0031372599509763297	0.23525999999999997	0.2458	0.15398843592945544	15500	0.04824902723735409
fam1785	0.010334404834671984	0.008629177208668674	0.008471816491298278	0.00236	0.0026	0.0016517869111964776	0.18514999999999998	0.1944	0.11260581912139354	1969051	0.04370370370370371
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.02448	0.016399999999999998	0.018072288178313224	445459	0.007119741100323625
fam1037	0.08487052046383832	0.0997643362136685	0.04724560683925013	0.041210000000000004	0.0381	0.031076532946903844	0.37917	0.3819	0.2728373546639096	1123921	0.08801169590643275
fam3276	0.13171320929060912	0.13201160541586074	0.08091707957297523	0.02275	0.0273	0.015533850134464412	0.14099	0.1934	0.08583100197481094	1234766	0.04857142857142857
fam680	0.07413695996778279	0.08520752316111303	0.032429167461191385	0.03123	0.03515	0.020295420665756105	0.3431	0.4155	0.19188265685048245	725500	0.09957264957264958
fam875	0.06961994444044012	0.06584197407389245	0.016317671674769434	0.02006	0.02205	0.009637966590521053	0.31679	0.39954999999999996	0.16665087728541964	945532	0.07648401826484018
fam425	0.004275835899168035	0.006162569760965176	0.0028205923276878953	0.0024300000000000003	0.003	0.0016547205202087755	0.40278	0.48615	0.2621943889559805	461912	0.07496360989810771
fam3379	0.0	0.0	0.0	0.0	0.0	0.0	0.30935	0.2831	0.22732795802540434	1112036	0.05694444444444444
fam1928	0.042775087127094	0.038242670065056744	0.011546351082538856	0.027740000000000004	0.02475	0.019420926857387628	0.7560199999999999	0.70975	0.5356993369419081	2132991	0.15600000000000003
fam1496	0.028001985269467494	0.023743470816445955	0.023742580905150464	0.007639999999999999	0.007949999999999999	0.005103175481991581	0.32921	0.404	0.20295991944223862	1677037	0.057543103448275866
fam1988	0.027000579874513146	0.015083497934997307	0.01877566452577121	0.005039999999999999	0.0084	0.004115142767875739	0.27219	0.1753	0.2361502125766564	2207026	0.06666666666666667
fam265	0.0406513887106905	0.03381430385753363	0.02699069537106121	0.01097	0.010849999999999999	0.004937215814606447	0.31734999999999997	0.34485	0.16396354015451117	309245	0.07313432835820896
fam1040	0.10739120290769877	0.1246962864632912	0.03837942588545638	0.05108	0.044	0.035531782955545585	0.43206999999999995	0.44865	0.2782128539446012	1126029	0.11016771488469601
fam1786	0.05952274670729474	0.06603257096642878	0.03004399099088486	0.034929999999999996	0.037599999999999995	0.023803363207748608	0.46203000000000005	0.5802	0.27485365578794835	1969881	0.10469314079422383
fam3641	0.026815985002398433	0.027240278038699984	0.011098070999877675	0.0093	0.01115	0.005688760849253552	0.31275000000000003	0.3176	0.19704915249754312	814278	0.06455399061032863
fam355	0.011275113949413232	0.0130647795318454	0.007528579498084653	0.0019099999999999998	0.0024	0.001420176045425355	0.14065	0.1835	0.07900587636372373	413466	0.033508771929824564
fam3280	0.14273332722107343	0.1291214757269671	0.04368209267449032	0.09201999999999999	0.10985	0.05288332062191254	0.64796	0.5421499999999999	0.42355143772628134	1229855	0.15669781931464172
fam2761	0.11037732143365077	0.09508196721311475	0.1016959106493368	0.0022600000000000003	0.0028	0.0017036431551237484	0.023329999999999997	0.0182	0.019499130749856517	1803043	0.008863198458574183
fam2375	0.017859227734985137	0.022398373353255563	0.012488151794310919	0.00558	0.0085	0.0038201570648338534	0.23283	0.27625	0.1364774563801656	2191349	0.04769119769119769
fam2305	0.03360823300713104	0.044417541497350305	0.022262348976145326	0.02027	0.0224	0.014155073295465483	0.43252999999999997	0.5156499999999999	0.26023112054479575	2264205	0.08152454780361758
fam519	0.01971771278465989	0.024352272560494995	0.014842917856379466	0.005399999999999999	0.0034	0.004824106134819175	0.26471	0.28635	0.14100332230128482	564571	0.05790123456790123
fam1093	0.017501996110735794	0.016882630410654825	0.007984881519796982	0.003979999999999999	0.0043	0.002191255347968374	0.23759999999999998	0.25470000000000004	0.13756760519831696	1201757	0.05511247443762781
fam814	0.21089263391655297	0.0921096730064829	0.23660827910622487	0.0514	0.057300000000000004	0.031292555025117394	0.36393000000000003	0.33030000000000004	0.2428371390459046	875280	0.11666666666666667
fam494	0.04682581754536887	0.05008185573705415	0.017243526433206577	0.024170000000000004	0.0352	0.015606860670871641	0.49371	0.625	0.3239761671790072	539021	0.1084592145015106
fam2732	0.011621715185442395	0.008824895494658615	0.008057096112939767	0.0034500000000000004	0.0038	0.0024021865040000537	0.25967	0.2859	0.1652947431106023	1833119	0.05178826895565093
fam1358	0.08443489252901586	0.07738569808206289	0.028264106837438727	0.03569	0.048049999999999995	0.022622619211753528	0.41186000000000006	0.4329	0.27489032431135146	1514075	0.09256120527306969
fam870	0.01933095182768797	0.015866033600128747	0.01717470115875561	0.00496	0.00345	0.0038160712781603015	0.35289000000000004	0.45345	0.22238655737251747	940903	0.06072234762979685
fam910	0.015213270504495516	0.007104024560971954	0.014751569749906396	0.0033	0.0015	0.003203123475609393	0.16293000000000002	0.2127	0.0816005030621748	988368	0.03852097130242826
fam508	0.0	0.0	0.0	0.0	0.0	0.0	0.14926999999999999	0.1436	0.08127846024624237	555861	0.03666666666666667
fam155	0.046849334727528745	0.049070278301163305	0.02195547933425597	0.01616	0.011	0.013351419400198617	0.30772	0.2813	0.21576935741666378	185873	0.07577597840755736
fam2642	0.015563021823385337	0.02090202188141627	0.01026779846239077	0.007029999999999999	0.0083	0.004908981564438799	0.32908	0.39535	0.19044196911395347	1926460	0.0617601246105919
fam885	0.13044594000488002	0.05803276945605687	0.13948631281630047	0.017099999999999997	0.019799999999999998	0.009065208216031224	0.38076	0.3752	0.2697914387077544	956500	0.07059523809523809
fam3801	0.08449353614259929	0.08189100564602962	0.014262058012487418	0.025339999999999994	0.0322	0.01262459504301029	0.329	0.3932	0.18367608989740608	639206	0.07024087024087024
fam3438	0.029071000668724454	0.034427542033626905	0.02617947712547302	0.00172	0.0	0.002106561178793533	0.06241000000000001	0.0763	0.042975608198139566	1050878	0.01818181818181818
fam119	0.02545809780029769	0.025530406824973748	0.012650281761101926	0.01057	0.008150000000000001	0.008420813499894176	0.31609999999999994	0.31984999999999997	0.20730782426141084	137387	0.06809589672660211
fam43	0.01613945187358161	0.015089825727885704	0.01255328552067352	0.00668	0.0047	0.005627752659810131	0.28796999999999995	0.32794999999999996	0.17913900217428924	55325	0.06507394766780432
fam3658	0.08250767606601099	0.08386903242498911	0.057018870548445864	0.016859999999999997	0.0104	0.013233684294254566	0.23173	0.26685000000000003	0.14357652349879488	797409	0.06840958605664489
fam1364	0.12322880540483501	0.12160733168840325	0.08094573692519424	0.03532	0.02465	0.029017470599623254	0.29546	0.27095	0.22158284319865562	1521703	0.07676767676767678
