fam	loc
fam95	100617
fam170	198188
fam208	236557
fam209	237570
fam224	258466
fam225	259137
fam292	328302
fam302	337800
fam303	339064
fam355	389533
fam382	419357
fam383	420779
fam413	456682
fam416	459389
fam417	460446
fam418	461409
fam419	462324
fam420	464148
fam432	474139
fam435	477010
fam436	479552
fam437	481134
fam438	482243
fam442	487052
fam564	634862
fam597	670660
fam651	727794
fam660	740151
fam666	747068
fam668	748782
fam700	823456
fam706	830695
fam708	833629
fam709	834438
fam712	837294
fam731	860510
fam739	873417
fam760	900674
fam779	926610
fam785	937159
fam804	956804
fam805	957220
fam814	967174
fam818	970700
fam847	997079
fam852	1003016
fam858	1010363
fam859	1011787
fam935	1164129
fam936	1165411
fam937	1166493
fam948	1180549
fam956	1191517
fam958	1193502
fam961	1195785
fam963	1198780
fam964	1199439
fam965	1201457
fam966	1202725
fam967	1204146
fam968	1205206
fam970	1207233
fam971	1208170
fam972	1209139
fam973	1209945
fam974	1210990
fam975	1211715
fam980	1218162
fam981	1218686
fam983	1220218
fam985	1221862
fam988	1225669
fam989	1227445
fam991	1230386
fam994	1235475
fam1001	1242690
fam1003	1245719
fam1004	1247190
fam1005	1248407
fam1007	1250640
fam1009	1253581
fam1010	1254329
fam1012	1256526
fam1018	1261779
fam1021	1266083
fam1036	1285311
fam1038	1287607
fam1040	1289245
fam1064	1317117
fam1077	1334615
fam1078	1335128
fam1079	1336220
fam1096	1360315
fam1099	1363128
fam1100	1364175
fam1101	1364925
fam1130	1401799
fam1136	1410165
fam1141	1416119
fam1142	1417206
fam1152	1429706
fam1153	1431104
fam1154	1433879
fam1155	1434690
fam1172	1455776
fam1174	1457342
fam1187	1469837
fam1222	1502018
fam1223	1502844
fam1244	1526377
fam1256	1537542
fam1259	1540815
fam1262	1545246
fam1263	1546165
fam1264	1547969
fam1265	1550019
fam1266	1550990
fam1267	1551520
fam1268	1552728
fam1269	1553554
fam1270	1554395
fam1272	1556802
fam1273	1557796
fam1274	1558611
fam1275	1559399
fam1279	1563685
fam1280	1565478
fam1286	1573892
fam1287	1575436
fam1288	1576033
fam1289	1577442
fam1297	1586546
fam1314	1607269
fam1315	1608617
fam1316	1609456
fam1319	1612074
fam1321	1615877
fam1324	1619780
fam1325	1620685
fam1326	1621326
fam1327	1622241
fam1328	1623013
fam1343	1636195
fam1344	1636858
fam1370	1664485
fam1371	1665678
fam1372	1666742
fam1373	1667728
fam1377	1671906
fam1380	1674405
fam1388	1682115
fam1389	1683514
fam1390	1684717
fam1394	1688556
fam1395	1690401
fam1417	1719917
fam1449	1752689
fam1451	1755184
fam1452	1755597
fam1453	1756109
fam1454	1756667
fam1455	1756942
fam1456	1757896
fam1457	1758840
fam1458	1760482
fam1459	1763282
fam1464	1769689
fam1469	1776302
fam1521	1829087
fam1522	1830580
fam1543	1859025
fam1544	1860528
fam1545	1863145
fam1546	1863741
fam1547	1864631
fam1548	1866649
fam1552	1870632
fam1555	1876146
fam1558	1883289
fam1562	1886967
fam1580	1908093
fam1583	1912310
fam1584	1912486
fam1585	1913196
fam1586	1913756
fam1588	1916061
fam1590	1918273
fam1591	1919171
fam1592	1919942
fam1597	1923634
fam1599	1926460
fam1609	1938368
fam1614	1942783
fam1617	1947319
fam1623	1956453
fam1625	1958683
fam1628	1961887
fam1653	2002556
fam1654	2003017
fam1655	2004452
fam1656	2005019
fam1658	2007128
fam1661	2010244
fam1689	2040076
fam1692	2044081
fam1693	2045238
fam1694	2046019
fam1695	2047028
fam1696	2048372
fam1697	2050470
fam1698	2052599
fam1702	2057242
fam1703	2059300
fam1705	2061602
fam1707	2064215
fam1735	2099571
fam1740	2106909
fam1743	2108560
fam1744	2109783
fam1745	2111548
fam1746	2112365
fam1748	2115245
fam1749	2116075
fam1752	2119300
fam1753	2120667
fam1754	2123380
fam1755	2124903
fam1774	2152271
fam1776	2154869
fam1777	2156101
fam1780	2157748
fam1784	2162458
fam1785	2163214
fam1789	2167053
fam1790	2167724
fam1792	2172905
fam1863	2271362
fam1864	2273532
fam1868	2277545
fam1871	2279625
fam1872	2280431
fam1873	2283031
fam1874	2283841
fam1879	2293392
fam1880	2293933
fam1881	2294517
fam1884	2296302
fam1885	2297944
fam1886	2298604
fam1887	2300017
fam1888	2301173
fam1889	2302585
fam1890	2303864
fam1892	2306763
fam1895	2309534
fam1896	2310781
fam1897	2311368
fam1899	2314786
fam1900	2315615
fam1902	2318375
fam1903	2319718
fam1904	2322399
fam1911	2330337
fam1912	2331011
fam1913	2332661
fam1918	2338056
fam1919	2338728
fam1921	2341414
fam1922	2342825
fam1932	2357808
fam1933	2359393
fam1943	2381068
fam1944	2382321
fam1945	2384586
fam1948	2387101
fam1950	2389484
fam1951	2390851
fam1952	2391853
fam1955	2395141
fam1958	2399792
fam1959	2400475
fam1960	2401756
fam1961	2403887
fam1965	2410481
fam1966	2412153
fam1968	2415224
fam1971	2420232
fam1973	2421809
fam1977	2424954
fam1979	2427543
fam1980	2428249
fam1981	2429342
fam1986	2434781
fam1987	2435197
fam1991	2440697
fam1992	2442258
fam1993	2442568
fam1998	2450380
fam2003	2454016
fam2005	2455435
fam2006	2456904
fam2008	2461007
fam2009	2461837
fam2010	2467589
fam2011	2470559
fam2014	2479921
fam2015	2480969
fam2016	2481900
fam2017	2482340
fam2020	2484306
fam2021	2485734
fam2022	2487947
fam2023	2488624
fam2047	2525101
fam2050	2530421
fam2051	2530879
fam2052	2531223
fam2053	2534487
fam2054	2534924
fam2055	2536046
fam2060	2540543
fam2061	2541209
fam2062	2542087
fam2063	2543789
fam2065	2546547
fam2069	2552223
fam2071	2554780
fam2073	2556882
fam2075	2560877
fam2078	2563717
fam2079	2565243
fam2080	2566087
fam2081	2567022
fam2082	2568179
fam2083	2569589
fam2084	2571161
fam2085	2571917
fam2089	2576643
fam2091	2578740
fam2093	2583094
fam2095	2585169
fam2096	2586045
fam2100	2591364
fam2101	2593055
fam2103	2595503
fam2133	2623935
fam2134	2624530
fam2135	2625448
fam2136	2626471
fam2137	2627478
fam2139	2628969
fam2140	2629918
fam2142	2633140
fam2144	2633955
fam2150	2638389
fam2151	2639342
fam2152	2639884
fam2153	2640235
fam2154	2640675
fam2155	2641462
fam2158	2646211
fam2159	2647879
fam2160	2650530
fam2161	2650934
fam2162	2652301
fam2163	2654041
fam2164	2655124
fam2165	2656481
fam2166	2658140
fam2167	2659239
fam2168	2660716
fam2169	2664510
fam2170	2664949
fam2171	2665633
fam2173	2667110
fam2174	2667943
fam2175	2668820
fam2176	2669013
fam2179	2671530
fam2180	2672120
fam2181	2674375
fam2183	2676538
fam2184	2677416
fam2185	2678381
fam2186	2678827
fam2188	2680526
fam2189	2681588
fam2190	2682376
fam2192	2684583
fam2193	2685414
fam2194	2686844
fam2195	2687744
fam2199	2692176
fam2200	2692957
fam2203	2698197
fam2204	2698739
fam2209	2704419
fam2213	2707815
fam2223	2720129
fam2225	2722455
fam2227	2725096
fam2228	2726373
fam2229	2727670
fam2231	2730690
fam2241	2740029
fam2242	2741013
fam2247	2746776
fam2248	2748002
fam2249	2748623
fam2250	2750506
fam2252	2755109
fam2253	2756261
fam2260	2765115
fam2263	2770475
fam2264	2770731
fam2265	2772221
fam2266	2772523
fam2267	2775047
fam2268	2777545
fam2269	2778601
fam2270	2779296
fam2275	2783466
fam2277	2785407
fam2281	2788584
fam2282	2789306
fam2285	2792350
fam2286	2793471
fam2290	2798613
fam2293	2801819
fam2294	2802255
fam2295	2803541
fam2296	2805096
fam2312	2828213
fam2314	2829876
fam2315	2830917
fam2318	2836113
fam2333	2855552
fam2336	2859067
fam2340	2867083
fam2342	2867997
fam2351	2876603
fam2363	2894294
fam2364	2896676
fam2365	2897922
fam2366	2899426
fam2371	2903865
fam2372	2904790
fam2378	2912349
fam2379	2912766
fam2380	2913356
fam2385	2920641
fam2387	2922229
fam2389	2923485
fam2391	2924638
fam2392	2925290
fam2393	2926108
fam2394	2926703
fam2398	2930686
fam2399	2931942
fam2400	2932521
fam2402	2937882
fam2403	2938943
fam2406	2941876
fam2408	2943183
fam2409	2944427
fam2410	2944912
fam2411	2945839
fam2413	2948840
fam2414	2949894
fam2418	2952938
fam2421	2955503
fam2422	2957553
fam2423	2958080
fam2424	2958599
fam2425	2960174
fam2426	2961094
fam2427	2962705
fam2428	2963642
fam2429	2964193
fam2430	2964480
fam2431	2965323
fam2433	2967624
fam2434	2969014
fam2435	2969714
fam2436	2970358
fam2437	2971262
fam2438	2972377
fam2439	2972715
fam2442	2977692
fam2443	2978998
fam2444	2980294
fam2445	2981794
fam2483	3022342
fam2485	3024925
fam2486	3025989
fam2487	3026801
fam2490	3029911
fam2491	3030556
fam2493	3031453
fam2498	3039622
fam2502	3042826
fam2503	3043925
fam2504	3048037
fam2505	3048352
fam2509	3052480
fam2510	3053828
fam2513	3057084
fam2514	3057996
fam2515	3058738
fam2517	3059595
fam2530	3074234
fam2533	3078105
fam2535	3080658
fam2536	3080965
fam2537	3081626
fam2540	3084192
fam2541	3084766
fam2542	3086409
fam2545	3089185
fam2550	3095165
fam2555	3102395
fam2556	3103417
fam2559	3106925
fam2560	3107969
fam2563	3111200
fam2564	3112045
fam2565	3112765
fam2566	3113594
fam2567	3114378
fam2568	3115757
fam2569	3116785
fam2570	3117220
fam2572	3118782
fam2573	3119400
fam2574	3120939
fam2575	3121505
fam2580	3129840
fam2581	3130528
fam2582	3131648
fam2583	3132507
fam2584	3133749
fam2585	3135416
fam2586	3135937
fam2587	3136810
fam2588	3137507
fam2590	3139939
fam2592	3142781
fam2595	3143809
fam2597	3146824
fam2598	3147082
fam2599	3148070
fam2600	3149576
fam2606	3161497
fam2616	3176250
fam2618	3178019
fam2621	3183142
fam2626	3189552
fam2628	3190813
fam2631	3192663
fam2648	3230518
fam2649	3231511
