fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.0671059539367709	0.06790123456790123	0.08860970395430647	0.0034268774703557314	0.0026	0.003982747990289675	0.04825138339920949	0.0211	0.046136369953362816	1229539	0.0499149099692578
fam966	0.006239459344272276	0.0	0.027863601152052137	0.0002434782608695652	0.0	0.0007889597371974787	0.0504802371541502	0.0	0.06108075459391395	170617	0.010106788710907703
fam393	0.028973776725815033	0.03696098562628337	0.015101403276923012	0.0007363636363636362	0.0009	0.0006107072950572373	0.02516277056277057	0.0226	0.017680318970654023	557336	0.006999125109361328
fam1571	0.004492151030927306	0.0	0.018238299255580535	0.00024387351778656127	0.0	0.0007902643875210799	0.03146837944664031	0.0298	0.024213997114625407	934854	0.007055682684973302
fam1720	0.021555756655970815	0.015753938484621154	0.019900909388946845	0.0010790513833992097	0.0021	0.00104959802644755	0.0615600790513834	0.0678	0.04353282831950765	1149032	0.015163944614313772
fam1499	0.06851952747065965	0.03291814946619217	0.13091654222858876	0.0015960474308300398	0.0	0.002218299786416243	0.024523320158102765	0.0277	0.020377389276343354	834276	0.007232822047636862
fam1031	0.2954632954341579	0.26900584795321636	0.18656381022203197	0.0033343873517786555	0.0031	0.005409445271231489	0.022389328063241107	0.0042	0.0513822357910248	255786	0.00774597448072791
fam1483	0.07024789467038678	0.07203389830508475	0.05762963485096768	0.0020695652173913044	0.0017	0.0017530725733202605	0.03285335968379447	0.0426	0.025957973760600096	818715	0.010003415800517248
fam1781	0.14212424422778425	0.13680297397769517	0.042301431472479105	0.012207509881422924	0.015	0.008477642237673244	0.0875893280632411	0.0853	0.05851784029802654	1223346	0.030128893839183327
fam425	0.13889770471013124	0.0599250936329588	0.18587571732065922	0.0013268774703557313	0.0016	0.001530967857867836	0.01872094861660079	0.0	0.0445853730500174	507442	0.019088661810779013
fam1928	0.13445116240009058	0.13155770782889425	0.08117413792848444	0.015857312252964426	0.0103	0.014176618696896718	0.12139841897233203	0.1302	0.09585185578991111	1322379	0.034815744006059024
fam1496	0.10996438461320246	0.08333333333333333	0.07070672639079018	0.0019351778656126483	0.0018	0.002193105363262725	0.01832529644268775	0.0216	0.016020184662223047	831361	0.023729840454689708
fam1988	0.04161352864600889	0.036723163841807904	0.023150949243509324	0.001643809523809524	0.0017	0.0010140840398651864	0.048567142857142864	0.0593	0.03305996019397499	1242329	0.01277839301095115
fam265	0.238057482444394	0.17310740011291142	0.11699660916359819	0.013471936758893278	0.0092	0.011526805115465152	0.07461660079051384	0.0226	0.07485816391450506	695970	0.02720096593044845
fam1040	0.011982048726291536	0.0	0.0281682220117079	0.0004000000000000001	0.0	0.0012961481396815717	0.03155968379446641	0.0119	0.03195849264395815	265977	0.012454321724215078
fam1786	0.26870491692936455	0.2886928628708901	0.15766852431758335	0.018526877470355734	0.017	0.01740731948557082	0.06267588932806324	0.0386	0.057568338593351975	1230008	0.04151000996175969
fam355	0.049192510833054766	0.051847766133480425	0.030089529115498295	0.0041193675889328076	0.0035	0.00384581035772256	0.07991620553359685	0.0607	0.07126700403316316	602549	0.018154959585070976
fam1784	0.3590053187427754	0.28538283062645015	0.31945626060432414	0.005342687747035573	0.0037	0.005248805236659054	0.01796166007905138	0.0159	0.014334838033052933	1228774	0.025308390000099563
fam2090	0.12714977572091238	0.11740890688259109	0.056920231175715666	0.002467193675889328	0.0029	0.0014093949413949134	0.019519367588932805	0.0198	0.014254889612372514	1113368	0.0062801932367149765
fam2139	0.1739565954725721	0.12307692307692308	0.07415710928908087	0.005736796536796536	0.0049	0.004854665818984246	0.04057316017316018	0.0207	0.04335947264864143	1049111	0.013623868372471723
fam519	0.16379267892425728	0.18393782383419688	0.06414430048039688	0.00351952380952381	0.0027	0.0035870467706941586	0.019106190476190478	0.0151	0.018197135037768073	397942	0.024759781281520416
fam1093	0.06526194330486713	0.047287899860917935	0.06417523067481729	0.0018147186147186149	0.0017	0.0012840512806679856	0.04002987012987013	0.0506	0.02859020235230776	338020	0.00938389985043129
fam814	0.044656004299637966	0.04761904761904762	0.034908536497908316	0.0013043478260869566	0.0025	0.0012488179666387017	0.030811067193675892	0.0346	0.019104444468914576	35843	0.007905138339920948
fam321	0.35994438436399134	0.33665835411471323	0.09993973348140005	0.009943873517786559	0.0112	0.006996578216170416	0.02919802371541502	0.0287	0.021887322752681973	636413	0.015082502039023778
fam594	0.07794133812788617	0.05520995334370141	0.042764371857563245	0.003945887445887446	0.0035	0.0029554363973903898	0.0677008658008658	0.0243	0.062092016615575604	309373	0.018800789853421426
fam346	0.0018361161135972027	0.0	0.005381285358828817	5.217391304347826e-05	0.0	0.00016906280082803113	0.039798814229249024	0.0344	0.02977925304028672	615289	0.010462791490459476
fam643	0.16717673916069142	0.16623711340206185	0.0700497573454249	0.008128138528138524	0.0071	0.005651352019809563	0.04900562770562772	0.037	0.03450540598112132	234784	0.06026849471579548
fam1679	0.14002997648002719	0.11565696302124312	0.03763785077223281	0.01208498023715415	0.0147	0.01026708600524682	0.08472411067193675	0.1333	0.06603220147862884	1083686	0.06738151013365748
fam922	0.05855511747793088	0.046413502109704644	0.05376264670595303	0.0029792207792207794	0.0	0.0037086305448717997	0.04006883116883117	0.0236	0.04137242926107721	112188	0.0104394919209734
fam2091	0.13156262508092575	0.0	0.19048275822865257	0.0009593073593073591	0.0	0.0017269665234342915	0.009120346320346322	0.0078	0.008415398782981054	1112678	0.002810055441634389
fam1358	0.2628396518453359	0.2702205882352941	0.09979533147268344	0.007795238095238096	0.0058	0.005591251965023957	0.03129350649350649	0.0353	0.02639727293567337	674407	0.013326542738307445
fam651	0.2071236040388993	0.22684563758389262	0.14817178471193548	0.009256277056277054	0.0075	0.008573852427412624	0.03779090909090909	0.0357	0.029361818929723435	225493	0.016430272527833502
fam910	nan	nan	nan	0.001169169960474308	0.0	0.0014225450744704009	0.0	0.0	0.0	99505	0.000884127314333264
fam508	0.07324034809568862	0.0	0.1274013390671206	0.0010604743083003952	0.0	0.0019874753515591965	0.017419367588932807	0.0233	0.012608441099193624	413789	0.005765268677436754
fam155	0.14132173902271555	0.13253012048192772	0.08533859651036164	0.006445238095238095	0.0084	0.004184427046229318	0.05066619047619048	0.0676	0.03614514720456827	836232	0.01756953545944372
fam179	0.04997300811488766	0.06787330316742081	0.031294470339072775	0.00395494071146245	0.006	0.0038678498097308627	0.06252055335968379	0.1006	0.058408608153363496	809294	0.021076077300408134
