fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.22808126225276962	0.2484472049689441	0.16522903720053783	0.003057178526841449	0.004	0.002819227106405488	0.007956429463171037	0.0	0.008539278812173824	1317095	0.003994213582228564
fam1571	0.15090672849197334	0.12556053811659193	0.10041853220586493	0.005365792759051187	0.007	0.0038001088626232497	0.038687066167290896	0.0558	0.02965898755989521	2025152	0.011875969120008132
fam3872	0.2795081234736193	0.2424242424242424	0.14904501346500926	0.005143220973782771	0.0072	0.0036578978719078417	0.019077602996254682	0.0212	0.014328730913280824	136527	0.008603629751557899
fam3276	0.0	0.0	0.0	0.0	0.0	0.0	0.023787041198501873	0.0333	0.018823417809659446	844119	0.004475575402541694
fam1720	0.20813567202749433	0.19711538461538464	0.09696723354311881	0.0035999500624219723	0.0041	0.0030761187987337576	0.019843620474406992	0.0207	0.017669924577726755	2222890	0.007200320294734268
fam1499	0.29366887436312294	0.28061224489795916	0.09497528069298014	0.006816079900124844	0.0088	0.004750590066626626	0.02364534332084894	0.031	0.01770734039976619	1957377	0.01183099438954319
fam2659	0.04289495523100421	0.037422037422037424	0.02975626362125979	0.001295880149812734	0.0018	0.0009635636652275729	0.02868337078651685	0.034	0.020998780967497715	1587027	0.00605757061293835
fam3994	0.23579168981613646	0.273224043715847	0.12588276974132256	0.004949787765293384	0.0074	0.004238072263336663	0.020652858926342072	0.0265	0.015181212186022136	2306	0.009965710143992824
fam680	0.13135653670989134	0.07058823529411765	0.12577433424284445	0.0032906616729088635	0.0036	0.003030470754750399	0.02550611735330836	0.013	0.025561625127957593	1004552	0.015452906089610209
fam1483	0.05889164361038536	0.08437067773167359	0.03841712068327757	0.0032123340143003064	0.0061	0.003092389677753753	0.0649053115423902	0.0723	0.05786583305119581	1942633	0.011463532101594627
fam1195	0.03232689853445935	0.026	0.048284826989158494	0.0007968289637952557	0.0	0.0009529361588304548	0.028557303370786515	0.0319	0.020922762060822272	1596888	0.006746196883525223
fam3726	0.22345572972165878	0.1501272264631043	0.14863512956022615	0.00416179775280899	0.003	0.003740561323555042	0.022765967540574278	0.0234	0.019344936924507627	326163	0.009153632269641715
fam3379	0.1160048283003289	0.1267123287671233	0.051898447941725226	0.0021788815117466803	0.0025	0.001653326691053437	0.01688143513789581	0.0162	0.012819597049931249	712639	0.006226113808881338
fam1928	0.37716931261518355	0.3548387096774194	0.3519631928605105	0.00495312679288583	0.0066	0.003928025030722739	0.01500780263912794	0.0186	0.01083198430765896	2489352	0.007502288888704114
fam98	0.029346018030963775	0.03324099722991689	0.014612987505946437	0.000855131086142322	0.0012	0.0006846756809321249	0.02647877652933833	0.0337	0.020293351838476515	271628	0.00576940860960836
fam3894	0.08111772521807867	0.07096774193548387	0.06017931576665491	0.002021198501872659	0.0024	0.0013271100314229314	0.027435580524344565	0.0317	0.022016279754446203	114973	0.006692817410189925
fam1496	0.22784456185860383	0.1976470588235294	0.19048010689596148	0.0044620973782771535	0.006	0.0029390821425582404	0.023878177278401993	0.0286	0.016005704294440832	1954109	0.012414609942699831
fam2317	0.2497222404556559	0.2531645569620253	0.11630792042285855	0.003852808988764045	0.004	0.0031739640302211485	0.015408813982521847	0.0158	0.011410876372659293	2010276	0.0061297323493312685
fam265	0.49469865633041177	0.3480565371024735	0.33798399824972003	0.01139802065404475	0.0112	0.007942323939798164	0.0311354561101549	0.0187	0.026550050471543987	486503	0.017988772449653946
fam3456	0.14269541444804684	0.15625	0.077378802803402	0.0033810486891385763	0.005	0.002498278638119515	0.020871610486891387	0.0289	0.013856485225322847	614154	0.008221626452189454
fam3986	0.017922049213024444	0.015797032072762087	0.0062139336141554535	0.0020882646691635456	0.0017	0.0016746645882112963	0.10961081148564296	0.1172	0.09136419326356628	5056	0.018224541946395653
fam443	0.3210138124395762	0.30303030303030304	0.08969692701878626	0.0038031960049937576	0.005	0.0034265898318065037	0.011408614232209738	0.0164	0.010542718911632097	727277	0.005519615631975182
fam3286	0.07611940218218521	0.08208955223880596	0.04434604540123221	0.0035353308364544315	0.0055	0.0028045687127577564	0.04092122347066167	0.0454	0.02739338801367337	832004	0.010899403402224657
fam3216	0.29557357792435346	0.29394812680115273	0.0866511595619238	0.006753957553058677	0.0102	0.005149394344537188	0.022421697877652934	0.0301	0.01676212680404442	915250	0.010180908461119421
fam355	0.3741745463809559	0.28502415458937197	0.19085843754279758	0.004018054136874363	0.0059	0.0029468232914205733	0.011973365679264556	0.0153	0.009577756246595013	609396	0.0057376696752391805
fam3280	0.024890409551091064	0.019161676646706587	0.025653437936032336	0.0010730586766541826	0.0016	0.001049328068841044	0.04531670411985019	0.0529	0.03485670137986008	838655	0.008746642454507623
fam3247	0.5497943552768886	0.35007704160246533	0.4454699236994459	0.05271912609238452	0.0162	0.05267683558715336	0.1482430212234707	0.0192	0.15770689622829862	878585	0.09220947360772579
fam2761	0.29519579417548414	0.2668918918918919	0.09518445155034602	0.005933857677902623	0.0078	0.0040697688449904046	0.02173917602996255	0.0244	0.01591970773764894	1455561	0.02135227790658502
fam2375	0.05286886498164573	0.0477326968973747	0.03665898291961878	0.0012490137328339578	0.001	0.0009763531989499491	0.02640901373283396	0.0291	0.017949378844403955	1938764	0.007050763383187496
fam2090	0.10764421931716889	0.0871559633027523	0.043250274276350864	0.0044433605720122565	0.0057	0.003906906922285915	0.04064256894790603	0.0653	0.03143841871072306	2283744	0.01174668028600613
fam2305	0.38095716068761365	0.3484419263456091	0.22433708255507692	0.0063424412665985695	0.0074	0.004493853089813028	0.018386133810010214	0.0187	0.01504679640283019	2021648	0.011208261621914075
fam321	0.2689051142157198	0.23789020452099033	0.10740338762742728	0.01420252935862692	0.0185	0.009729977065991663	0.058002920806985846	0.0723	0.04265800831605214	567155	0.020546861253886387
fam594	0.37408127776818595	0.4074074074074074	0.10374388029413584	0.007514172625127681	0.0095	0.0054861010056277025	0.01982326353421859	0.0295	0.01531388851612078	896945	0.010346171926673642
fam643	0.29166217152521173	0.22589531680440775	0.18836573612315696	0.00472307116104869	0.0054	0.0035013729507871834	0.018864119850187266	0.0239	0.015855005739414663	956938	0.007256933248450475
fam62	0.20036512217680816	0.23076923076923078	0.09159258498107899	0.011012359550561799	0.0171	0.008106521136984799	0.04734968789013733	0.0702	0.03398452997586351	227779	0.021254148126807305
fam922	0.8398166181577912	0.9279999999999999	0.35269077628256745	0.008751251276813072	0.0116	0.0059127924341155005	0.011233886618998979	0.0124	0.010985303968498143	1273483	0.009369217332089829
fam494	0.17123050274870655	0.17349397590361446	0.10928171190759066	0.004545593008739077	0.0054	0.0033041378634033405	0.02529785268414482	0.035	0.017292408627432393	787894	0.008944873139524636
fam2091	0.15285472058966107	0.16935483870967744	0.09617429280275715	0.004166164453524005	0.0063	0.0031941247292536345	0.024794075587334017	0.0331	0.017376550588533962	2282346	0.008275311736710795
fam2732	0.09023658465558293	0.09371554575523705	0.03261507253828579	0.004299975031210986	0.0056	0.0030161169237537177	0.04803605493133582	0.0649	0.03588431062081401	1490224	0.010862086109177688
fam1358	0.037136030858360355	0.034394904458598725	0.02526937535099641	0.0019999001248439453	0.0027	0.0016679156339006545	0.04824439450686642	0.0651	0.03488510582474511	1778814	0.011509651397291844
fam2664	0.26541602065344855	0.21219512195121948	0.14096107418199197	0.005238302122347066	0.0086	0.004019414944117085	0.021409088639200997	0.0235	0.017208407412839674	1583604	0.008341234396294436
fam651	0.10181049253249193	0.1033434650455927	0.04334685604281914	0.0023165792759051182	0.0034	0.0017731229026734141	0.022558227215980022	0.0281	0.017890307612509645	967613	0.006133685939171018
fam3550	0.17279191921481993	0.14759535655058043	0.10481959040832044	0.0067482379979571	0.0089	0.005598885364459429	0.04398043922369765	0.06025	0.0462253646440691	508059	0.05348891084021946
fam870	0.16875227248724312	0.1559633027522936	0.07890659278081376	0.0034164964249233914	0.0038	0.002355050986901669	0.022190015321756896	0.0287	0.014840510286255514	1227630	0.00777470001638638
fam910	0.5447388387999124	0.5589123867069486	0.07950229309607347	0.009239325842696629	0.0068	0.008018503199039241	0.01702324594257178	0.017	0.014880772819348473	1263073	0.01806882366205239
fam150	0.1312634995822315	0.09360730593607307	0.11666014174703236	0.0023209737827715356	0.0029	0.001645190334434333	0.023051460674157302	0.0196	0.017898250941232218	333653	0.006652734059500361
fam508	0.0	0.0	0.0	0.0	0.0	0.0	0.00978342072409488	0.0	0.014625197751566623	802350	0.0022143681899972453
fam885	0.8341727804895414	0.8662420382165605	0.2778748105787107	0.014415398178078166	0.0172	0.010711394307430164	0.01829650308551278	0.021	0.014252749227111203	1240253	0.015105350799861835
fam2735	0.01959641560746328	0.021201413427561835	0.012018905300984869	0.0008744569288389513	0.0012	0.0007244054678512168	0.03799995006242197	0.0536	0.02717434486283152	1486910	0.006702082856889348
fam3801	0.1450540919287937	0.12368972746331237	0.09576460670067882	0.004381198501872659	0.0059	0.0033730774520348583	0.02875028714107366	0.0331	0.021036589443708977	219385	0.010165012567182267
fam1001	0.37412393733388066	0.22745901639344263	0.33609482502743954	0.006946142322097378	0.0111	0.0062318006266973485	0.02319505617977528	0.0158	0.019791816756299714	1353001	0.010959715488563632
fam2143	0.03921258016393406	0.0	0.05340250513330354	0.0009012257405515833	0.0	0.0019491580459158424	0.027489862104187947	0.0253	0.023389183698389326	2216680	0.006476087936762094
fam43	0.3317967475850878	0.0	0.4754065202570282	0.004035355805243446	0.0	0.00731609744346271	0.010061847690387015	0.0	0.015982484563288435	207085	0.0055414602714348995
fam3658	0.04264375385285234	0.053742802303262956	0.03504447100000355	0.0014720099875156053	0.0014	0.0014703148634401606	0.03153832709113608	0.0387	0.021615202646888258	396475	0.0110856954533902
fam1364	0.1891673528291651	0.18448637316561847	0.10159399568703034	0.00586916354556804	0.0077	0.00406029161077302	0.031549313358302127	0.0367	0.02187607618532974	1785552	0.011653144513385002
fam1587	0.15444974368288125	0.14929577464788735	0.10339424482910006	0.0039016479400749066	0.0053	0.0035161652419060728	0.01971865168539326	0.0179	0.017491370847138744	2043980	0.0075292063782061045
fam2161	0.18319695137037503	0.16517857142857142	0.12275302240709117	0.004287257405515834	0.0049	0.00317764528492832	0.026364530132788562	0.0228	0.021654371114500554	2199217	0.017803071623841777
fam2772	0.2805139952440193	0.3006993006993007	0.11107889988608748	0.0051372534332084895	0.007	0.0036986896416987074	0.017708389513108613	0.0255	0.012793693028264476	1441952	0.007523804431301345
fam1143	0.22722644958543373	0.24033149171270715	0.0576231514933765	0.004806991260923846	0.0062	0.00380549718173241	0.02110157303370787	0.0313	0.01628443448555488	1536824	0.008577059574408392
fam3496	0.018388025735282535	0.02517162471395881	0.015241154284447092	0.0006025967540574283	0.0011	0.0005925321767329356	0.031200774032459428	0.0432	0.022394966370854082	561640	0.006311929907435525
fam2627	0.1814961896198736	0.2	0.11745015703997025	0.001725717852684145	0.0012	0.0013430554782923783	0.011453782771535583	0.011	0.009651072986229092	1640302	0.005057170600241761
fam933	0.27052598361911284	0.2931034482758621	0.11059664852642655	0.004807141073657928	0.0062	0.00363307444238945	0.01855860174781523	0.0209	0.015162266688346313	1285244	0.007865316634159852
fam3718	0.2386694179719301	0.284375	0.11056569061222171	0.004926292134831461	0.0061	0.003849131148233999	0.019082322097378278	0.0255	0.013621777823114564	335716	0.007588750072142182
fam839	0.2652712245583452	0.26434426229508196	0.1679141196252573	0.007564569288389514	0.0043	0.006510559604408244	0.03218209737827715	0.0344	0.024554260057814248	1195267	0.013419153730792483
fam1534	0.14510300725969624	0.10998552821997107	0.08375545736860432	0.006175605493133583	0.0071	0.004339113018456205	0.044361822721598	0.0606	0.03402876257404363	1991735	0.014800048326688414
fam2304	0.3394812895635405	0.327683615819209	0.10073276717056391	0.007947129629629629	0.0108	0.005559387936644621	0.02346515432098765	0.0304	0.017911421936257717	2023381	0.012010812555474863
fam1447	0.17143829515792416	0.14204545454545453	0.12117463084183638	0.0031596504369538073	0.003	0.002158343535938851	0.022377503121098624	0.0159	0.01774172060273104	1891081	0.007597432048890198
fam1804	0.3917770227704202	0.4328767123287672	0.1370137584548337	0.009747840199750312	0.0145	0.0071886714494350116	0.02274883895131086	0.0328	0.016493871347722972	2329370	0.013037099514793283
fam1584	0.1397079337141729	0.1348314606741573	0.12737707007452548	0.003971475995914198	0.0043	0.003441353981937167	0.028904851889683347	0.0272	0.02183809298831321	2042363	0.009118216323555287
fam2116	0.039084843534335875	0.026239067055393587	0.04523403643029811	0.000795097037793667	0.0009	0.000704274462602155	0.024125459652706845	0.0309	0.014984155674068368	2253882	0.005464233438286491
fam2799	0.1526092408452308	0.12987012987012986	0.05717077240793353	0.004775730337078652	0.007	0.0036404696089205536	0.03194878901373284	0.0494	0.024073822100334027	1405843	0.013492833087698178
fam317	0.05269510720116254	0.056338028169014086	0.019784956353972614	0.0017663670411985017	0.002	0.0011393604488141394	0.03289627965043695	0.0417	0.01960721703714657	559017	0.007591917388033171
fam3675	0.13670090735166224	0.1529745042492918	0.044759571642120514	0.008185143570536827	0.012	0.006986356706865694	0.058649612983770284	0.0682	0.04562892087207513	378618	0.017265277377636924
fam3712	0.186760624480857	0.1905697445972495	0.0643710353963392	0.0047996004993757805	0.0028	0.004367992747178102	0.026015680399500626	0.0165	0.024917891407129657	341983	0.008855432901855137
fam3025	0.2366344342750608	0.28095238095238095	0.12478246253084098	0.0034031210986267173	0.0039	0.003267251762409515	0.014019825218476905	0.0159	0.012292384962217018	1136355	0.006223858594835552
fam3660	0.3442601225144038	0.40119760479041916	0.21332288375390684	0.006238077403245943	0.0067	0.0049677763935317264	0.02196219725343321	0.0246	0.019732197663596632	394723	0.009438899455959285
fam3831	0.1267369877010077	0.1213235294117647	0.033767093798850525	0.002756154806491885	0.0033	0.0023322737446492036	0.021664394506866417	0.0272	0.017037921006504576	190326	0.0073272836814678175
fam732	0.3224410569157713	0.39596700274977087	0.1515833687940092	0.02071403556771546	0.0132	0.020272447388321867	0.05126711354309166	0.0353	0.047757691717746936	1069598	0.02994978118097133
fam3155	0.21360493876655937	0.15873015873015872	0.1093049596978677	0.003732099080694587	0.004	0.0030766383539788723	0.017784576098059245	0.0231	0.013321601767266544	987149	0.01068309499489275
fam2075	0.3940937145322093	0.3509234828496042	0.37563051395444813	0.01034476506639428	0.0133	0.008619745111812186	0.02505737997957099	0.0195	0.02437490544607831	2298726	0.012929317077057932
fam2128	0.17255761045633808	0.1371841155234657	0.06431160287646141	0.004494918283963228	0.0038	0.004299570282642885	0.025049668028600616	0.0277	0.019646617743417947	2239374	0.008759163676136928
fam1699	0.07948155663389075	0.09558823529411765	0.0322014805354135	0.0027762796504369534	0.0031	0.002196019925298378	0.035903995006242195	0.0544	0.02666175271241283	2199525	0.008782147315855181
fam2544	0.3767914970817648	0.36272545090180364	0.28539384294551273	0.006274929971988796	0.0071	0.0055482761910862965	0.018250588235294116	0.0124	0.014364489398387545	1747418	0.009094152566175523
fam622	0.09408235828622263	0.08284023668639054	0.06258464094283436	0.001934756554307116	0.0028	0.0014258730936906599	0.025447915106117353	0.0338	0.02194678750797901	931877	0.007634537824603981
fam2980	0.32343380586986614	0.33116883116883117	0.1513066752586344	0.0063489637952559306	0.0082	0.004610954989754362	0.01845812734082397	0.0245	0.012885642097832078	1188930	0.009492219692704381
fam1736	0.19565298271992093	0.19614147909967847	0.06930333109887402	0.003509338327091136	0.0049	0.0023009529994677206	0.018283445692883895	0.0193	0.011493274725137096	2242625	0.006994700150982072
fam531	0.4248528429798704	0.4329896907216495	0.14433376494724412	0.007943283963227783	0.0116	0.005888396281517593	0.018957814096016344	0.0264	0.014514636609864198	826144	0.01588916900296293
fam507	0.27539381991964873	0.24842767295597484	0.13036962671579505	0.00665972534332085	0.0079	0.005297243381247382	0.025674631710362047	0.0321	0.017638325954221365	801827	0.009271068821630618
fam3356	0.062108680527858354	0.03808593749999999	0.041514588706351975	0.005664843945068665	0.0078	0.004606858319657191	0.12035193508114857	0.203	0.11198793616754862	747367	0.021571923983909003
fam2916	0.37630915162684136	0.3197278911564626	0.24089050884085675	0.004515980024968789	0.0047	0.003840991772622509	0.016031960049937576	0.0149	0.014785440497834626	1267745	0.012174062154300424
fam3077	0.1606612986734805	0.13238289205702647	0.12435890515926981	0.004325468164794007	0.0044	0.0030577652217932366	0.03308796504369538	0.0382	0.02301218425527069	1083759	0.009531944718225025
fam4025	0.14598848537254766	0.1405895691609977	0.10388339699590693	0.0029854182272159796	0.0036	0.0023821311718642602	0.01933620474406991	0.0191	0.014585872034241845	50092	0.006813711751866789
fam4077	0.26401881709771025	0.2706270627062706	0.1174587404609897	0.004881423220973783	0.0068	0.003895590448280491	0.018972684144818973	0.0243	0.014287491815689049	109883	0.007402990595641573
fam1250	0.16298370004594143	0.14190093708165996	0.06356445855041537	0.006581273408239699	0.0105	0.005361209813379406	0.040653033707865174	0.0448	0.03239683264538828	1660812	0.01281684542314637
fam1334	0.08320877887030745	0.09686609686609686	0.09947965421530684	0.0017152808988764045	0.0	0.0018067307097144854	0.021042147315855183	0.025	0.015154229378236645	1753167	0.006579212852621092
fam3506	0.024244620920163277	0.026162790697674417	0.026541722080405394	0.0007425967540574283	0.0	0.0009520453038661992	0.027819975031210985	0.0379	0.020877090179941243	551236	0.006052144640627787
fam646	0.055981976837805154	0.02847380410022779	0.048904325207982366	0.0022749489274770172	0.0025	0.0018214708338079554	0.05544964249233913	0.0451	0.04908707364629891	961074	0.008662558898151504
fam2817	0.11402067769876144	0.07516339869281045	0.08763103039081861	0.003783146067415731	0.0069	0.003725490436324955	0.0026853932584269664	0.0	0.014113970867878758	1383583	0.003537245110278818
fam504	0.28011008610482035	0.19424460431654678	0.17111423469951123	0.002783121098626717	0.0027	0.002308905788277829	0.010835031210986265	0.0139	0.008298503018005709	799087	0.004577871410736579
fam1564	0.19302511344919937	0.24528301886792453	0.09872215066507342	0.0014583520599250933	0.0	0.0017680909475760152	0.007797977528089887	0.0106	0.007674380643196787	2020272	0.002700790678318768
fam363	0.20245693116502997	0.23809523809523808	0.08652248809697242	0.0034725842696629212	0.0049	0.003167777441803834	0.017507915106117353	0.0223	0.013583683932803396	615693	0.015371254159725093
fam3277	0.09646976556426239	0.09735973597359736	0.056616709848717965	0.0036748978549540354	0.005	0.0027203984143830905	0.03846003575076609	0.0562	0.027752297181947414	842734	0.010764820929440734
fam233	0.11362872609386072	0.10582010582010583	0.06398566511165849	0.002923245942571785	0.003	0.0024889842601706863	0.027350886392009985	0.0339	0.020896268800341053	442532	0.007908541553105566
fam3682	0.7918051210419719	0.9575471698113207	0.2903508284341763	0.023891573033707866	0.0302	0.018173779377769407	0.03203033707865168	0.0424	0.02456942050375759	372931	0.036104345093109134
fam565	0.8253891053738792	0.5093457943925234	0.5459012654537799	0.00838848938826467	0.0073	0.005628912773922617	0.014098551810237205	0.0105	0.014980931296884461	857092	0.009697555475011072
fam3547	0.2734989171886395	0.247148288973384	0.13674235798867754	0.00457980024968789	0.0058	0.0028185924467407325	0.01863538077403246	0.0243	0.012633510088832166	511692	0.007705872110899951
fam3306	0.12220427376523714	0.10743801652892562	0.036730000177483	0.00290789013732834	0.0039	0.002261447542323667	0.024874257178526843	0.0322	0.02075922114147772	803749	0.008117275885762951
fam3214	0.08804093066191354	0.09629629629629628	0.04385364846669646	0.004138426966292134	0.0056	0.003024683972096603	0.04184504369538078	0.0587	0.03035882048191303	917374	0.010830730064041366
fam231	0.41114678568415697	0.43354430379746833	0.1353039646466627	0.009002477017364658	0.0137	0.006776698909011997	0.022826404494382026	0.0316	0.017496658733816017	439800	0.011951866387111805
fam2587	0.2613122140012808	0.2386934673366834	0.0866527796591983	0.006923895131086141	0.0095	0.005047381077283012	0.026731210986267163	0.0319	0.020118694597718905	1687497	0.01060681723603072
fam2771	0.03841181004991474	0.045941807044410414	0.024896834011359118	0.0015144069912609236	0.002	0.001344284494869716	0.035353258426966294	0.0412	0.025216835477612984	1443799	0.00640651627624852
fam1318	0.0	0.0	0.0	0.0	0.0	0.0	0.030873583021223474	0.0313	0.025887504758910388	1734552	0.005114120170299945
fam530	0.3633822357555657	0.3867924528301887	0.19243481587560735	0.0045245443196005	0.0059	0.003600882028630718	0.012498601747815231	0.0128	0.010249007042672282	824735	0.008577606783527855
fam3462	0.10817539733638804	0.04564315352697096	0.17463619135513758	0.0011153058676654183	0.0	0.0013920706202679737	0.01542883895131086	0.0208	0.010888786098409214	609829	0.004512877421741343
fam1145	0.33947574521307655	0.375	0.1378084108770012	0.00671994382022472	0.0067	0.005042767360548673	0.019665781409601634	0.0261	0.01488931751198312	1542967	0.009338879882098498
fam3377	0.04790263650499089	0.027491408934707903	0.059307077718936424	0.0007275905118601749	0.0008	0.0006552812908569713	0.01814601747815231	0.0212	0.01351933048910345	714080	0.004530694979152732
fam3187	0.1703336963422077	0.21120689655172414	0.05861682281226923	0.003045917602996255	0.0029	0.0024797811989586624	0.018663196004993755	0.0266	0.015370257894326672	947368	0.006505321263219182
fam2649	0.645964897770596	0.546242774566474	0.266028922417813	0.014584959141981615	0.0196	0.009702935489992065	0.02405875893769152	0.0292	0.01748532895586177	1607794	0.018108461351496595
fam2866	0.176424741144826	0.16666666666666669	0.06223852633794152	0.0053195755305867655	0.0067	0.0033170751551810066	0.030575730337078656	0.0397	0.018707642432718587	1328007	0.017504896349553826
fam1713	0.2784391399493508	0.24764150943396226	0.1481179230473584	0.005800848938826466	0.0052	0.0045097203135858145	0.022256504369538077	0.0186	0.018252836853453625	2213877	0.009306963856155415
fam3573	0.10684516567547617	0.11853448275862069	0.03669444568564794	0.0032052434456928836	0.0028	0.002814927654449645	0.029421448189762795	0.0382	0.023643916942622637	488824	0.007110449916698204
fam2792	0.7663573138861967	0.8714285714285714	0.24897345805171417	0.012686695607763025	0.0183	0.009149916927808295	0.0175261746680286	0.021	0.015122595766980388	1415725	0.018777908649420933
fam229	0.04532589541056072	0.042194092827004225	0.031913878119552305	0.0011401498127340823	0.002	0.0012043371382631362	0.024341972534332085	0.0313	0.019352610655419836	438732	0.0057891920813269125
fam69	0.25730050344008765	0.27038626609442057	0.070833487922279	0.00844394506866417	0.0126	0.006096984491706833	0.032865018726591755	0.0466	0.023352947075465917	234193	0.016919658226659577
fam2014	0.406860967569761	0.24637681159420288	0.3524685672962538	0.007893857677902622	0.0068	0.006779992393332904	0.023860349563046192	0.0279	0.018577564520094663	2597592	0.01948887596881756
fam1797	0.2407741466715611	0.20940170940170938	0.1323333362186316	0.0037580274656679154	0.0049	0.0027210803472929946	0.01676883895131086	0.0234	0.0126979317582278	2322260	0.006196330522079115
fam2482	0.08286362039371399	0.04435009797517962	0.08369817977713714	0.03639438202247191	0.0679	0.03432633150521069	0.8231687390761548	1.531	0.8152009402658158	1817563	0.12496686240964226
fam3165	0.07086666728995356	0.0673758865248227	0.03586419116450555	0.0033872409488139824	0.0038	0.002633152604260612	0.04530826466916355	0.0469	0.03520497651108335	974729	0.011582053353368623
fam3944	0.06556723258087481	0.04904051172707889	0.06535411962246868	0.0014592759051186017	0.0015	0.0012033980083800183	0.028900898876404492	0.0356	0.022116801600812426	56393	0.006986031075757339
fam3176	0.039136132620053714	0.043701799485861184	0.027725546807351436	0.0010353807740324592	0.0017	0.000789461888559568	0.024743945068664168	0.0344	0.016645372206625698	960190	0.005518689466659069
fam1009	0.8185242901787743	0.59765625	0.5907454344221399	0.012908114856429464	0.0153	0.00968074251270505	0.0172007240948814	0.0254	0.01290337613109668	1360450	0.03491903776995174
fam1669	0.08643679599772226	0.061930783242258654	0.05685845114944574	0.0022438701622971282	0.002	0.001887606071792593	0.03347093632958801	0.0351	0.025961956403011143	2149653	0.006846614146110467
fam1899	0.1654882241391634	0.15191986644407346	0.05108123064746072	0.00574314606741573	0.0046	0.004829626742492415	0.031541098626716606	0.0574	0.030084314373562702	2443559	0.010425612672803685
fam2834	0.253060031556178	0.2271844660194175	0.1603724349104321	0.005991760299625467	0.005	0.004440322223179848	0.027571086142322097	0.0318	0.019394922896240948	1362789	0.01028061328568048
fam3608	1.1029396800449895	1.2323943661971832	0.23619284080646477	0.008632429990966577	0.0149	0.007933588339178775	0.00855149051490515	0.0142	0.011060108894989724	452829	0.00851704766756496
fam1501	0.37104962589844875	0.3991769547325103	0.1786745688917302	0.0073736329588015	0.0084	0.005855233062597994	0.019745717852684145	0.0243	0.013687498319725114	1959324	0.010411188142481471
fam222	0.23797709153857707	0.1780821917808219	0.21140322374067266	0.0034751560549313356	0.0042	0.002679129026650194	0.016914481897627967	0.0226	0.013083309168134724	428966	0.008704154771570504
