fam	loc
fam3	14622
fam5	17112
fam6	24237
fam7	26068
fam8	27572
fam9	27999
fam10	28645
fam12	31157
fam13	32042
fam14	33624
fam16	34368
fam17	35771
fam19	37863
fam20	38888
fam21	40252
fam22	43204
fam24	45888
fam25	46824
fam26	49474
fam27	50638
fam29	51561
fam30	53956
fam31	55265
fam32	56390
fam33	57023
fam34	58370
fam35	59385
fam36	59975
fam37	60269
fam40	64320
fam42	66469
fam43	67220
fam44	67641
fam45	68424
fam46	69319
fam47	70374
fam48	71516
fam49	72652
fam50	73481
fam51	74329
fam52	75696
fam53	76227
fam62	85178
fam63	86783
fam65	89181
fam66	90299
fam67	90769
fam68	91101
fam69	91562
fam70	93410
fam72	95707
fam73	96924
fam74	98130
fam75	99303
fam76	100374
fam77	101342
fam82	106821
fam83	108116
fam84	109240
fam86	111387
fam87	112788
fam88	113562
fam89	114051
fam90	114861
fam91	115108
fam92	115356
fam93	116305
fam94	117706
fam95	118142
fam96	118996
fam97	119686
fam98	120485
fam99	121475
fam100	122374
fam101	123039
fam102	123740
fam103	124318
fam104	124768
fam106	125918
fam107	126349
fam108	130768
fam109	131396
fam110	132327
fam111	133515
fam113	135373
fam114	136222
fam115	137943
fam116	138851
fam117	139181
fam118	141314
fam119	142018
fam120	144096
fam122	146435
fam123	148070
fam124	149876
fam133	166081
fam134	167774
fam135	169077
fam136	169536
fam137	170426
fam138	171067
fam139	173056
fam140	174836
fam141	176076
fam142	177499
fam144	179326
fam145	179500
fam146	180061
fam147	181455
fam148	184805
fam149	186198
fam150	186867
fam151	187883
fam152	188246
fam153	188988
fam154	189506
fam155	196160
fam158	199545
fam159	200495
fam160	201489
fam161	203001
fam162	203428
fam163	205463
fam165	208747
fam166	209743
fam167	210360
fam173	218314
fam174	220585
fam175	221345
fam176	222363
fam177	223165
fam178	223454
fam179	223981
fam180	224529
fam181	226083
fam182	227004
fam183	228419
fam184	228859
fam185	230524
fam186	232543
fam187	233781
fam188	234862
fam189	236230
fam190	237277
fam191	238169
fam192	238993
fam193	239737
fam194	240744
fam196	242282
fam197	243057
fam198	243770
fam203	249614
fam205	251628
fam206	251951
fam207	252110
fam209	254189
fam210	255295
fam211	256413
fam212	258846
fam213	259787
fam215	262213
fam216	262573
fam217	263291
fam218	263790
fam220	266927
fam224	271027
fam226	273444
fam227	274202
fam228	275393
fam230	278944
fam231	280081
fam232	280859
fam233	282574
fam234	284109
fam235	285017
fam236	285540
fam237	286109
fam238	288291
fam239	289848
fam240	291040
fam241	293118
fam242	294036
fam245	297349
fam246	298560
fam247	299282
fam248	299887
fam249	301493
fam250	301923
fam251	303022
fam252	303743
fam253	305766
fam254	306636
fam255	307592
fam256	311737
fam257	312372
fam258	313298
fam259	314141
fam260	315604
fam261	317442
fam262	319192
fam263	320482
fam264	321829
fam265	322743
fam266	323297
fam267	324906
fam268	326277
fam273	333124
fam275	335652
fam314	386656
fam315	388422
fam317	391208
fam318	392762
fam319	393047
fam322	398154
fam323	398950
fam324	399666
fam325	400252
fam327	401527
fam328	402559
fam329	403208
fam332	407492
fam333	408226
fam335	409526
fam337	411922
fam338	412881
fam339	413960
fam340	414735
fam341	415858
