fam	loc
fam2	1137233
fam3	1136796
fam4	1135702
fam5	1135266
fam6	1132508
fam7	1130985
fam8	1130512
fam9	1129758
fam10	1128993
fam11	1127527
fam12	1126665
fam13	1124653
fam14	1123978
fam15	1123584
fam17	1122361
fam18	1121310
fam19	1120543
fam21	1119181
fam22	1117294
fam23	1116274
fam24	1115295
fam25	1113639
fam26	1111844
fam27	1110839
fam28	1109883
fam29	1109271
fam31	1107545
fam32	1106750
fam33	1105586
fam34	1105040
fam37	1102697
fam45	1092250
fam46	1091874
fam47	1090562
fam49	1087399
fam51	1084948
fam52	1084233
fam53	1083738
fam54	1082382
fam55	1082024
fam56	1080556
fam57	1079051
fam58	1078200
fam59	1077059
fam60	1075654
fam62	1073753
fam63	1072820
fam65	1068504
fam66	1066349
fam67	1065731
fam68	1064924
fam69	1063296
fam70	1062962
fam71	1061576
fam72	1059863
fam73	1057806
fam74	1054893
fam75	1053954
fam76	1051965
fam77	1050253
fam78	1049457
fam79	1048363
fam80	1047212
fam81	1046019
fam84	1042721
fam85	1042229
fam86	1041313
fam87	1040737
fam88	1039808
fam90	1038047
fam91	1037325
fam92	1036854
fam93	1035677
fam94	1035123
fam95	1032114
fam96	1031692
fam97	1030005
fam98	1028315
fam101	1025973
fam102	1025756
fam103	1025465
fam104	1024710
fam105	1024015
fam106	1023375
fam107	1022281
fam108	1022021
fam109	1021218
fam110	1019998
fam111	1018823
fam112	1017840
fam113	1016755
fam114	1016066
fam117	1014502
fam118	1013803
fam119	1012396
fam120	1011200
fam121	1010646
fam122	1009316
fam123	1008727
fam125	1008177
fam126	1006356
fam127	1005895
fam128	1004669
fam129	1003614
fam130	1001771
fam131	1000651
fam132	999617
fam134	995449
fam135	994079
fam136	993541
fam137	993066
fam139	991167
fam140	987751
fam141	985076
fam143	982485
fam145	979354
fam146	978872
fam147	977016
fam148	975890
fam149	974991
fam150	974731
fam152	974375
fam153	973378
fam154	971197
fam156	968084
fam158	966063
fam159	962404
fam160	962139
fam162	959427
fam163	958466
fam164	958022
fam165	957294
fam166	955878
fam167	954502
fam168	952904
fam169	951752
fam170	949211
fam171	948489
fam172	947891
fam173	946861
fam180	915865
fam181	915111
fam182	913387
fam183	912719
fam184	912398
fam185	911528
fam186	911050
fam187	910044
fam188	908433
fam189	907380
fam190	906347
fam191	905424
fam193	903396
fam194	902263
fam195	901259
fam196	899827
fam197	898523
fam198	898201
fam200	891173
fam201	890387
fam202	888906
fam203	887395
fam204	886379
fam205	885416
fam206	884436
fam207	883696
fam208	882050
fam209	881057
fam211	880194
fam212	879706
fam213	877342
fam214	874625
fam215	873942
fam216	873156
fam217	872587
fam218	871556
fam219	869851
fam221	868539
fam222	867497
fam224	866463
fam225	866158
fam226	865379
fam227	864293
fam228	863212
fam229	862298
fam230	861656
fam231	860841
fam232	860156
fam233	858789
fam234	858079
fam236	856688
fam237	855887
fam238	855552
fam240	854226
fam241	852985
fam242	852475
fam243	851468
fam250	844057
fam251	842194
fam252	840747
fam253	839814
fam254	838292
fam255	837184
fam256	836732
fam257	836241
fam258	834171
fam259	833717
fam260	832869
fam262	832019
fam267	826155
fam268	824941
fam269	823513
fam270	822190
fam271	821545
fam272	820129
fam273	818282
fam274	817334
fam275	816575
fam277	813854
fam278	811700
fam279	810945
fam281	807910
fam282	806759
fam283	805440
fam284	804387
fam285	803614
fam286	802733
fam287	801294
fam288	800517
fam289	799733
fam290	799313
fam291	798940
fam292	798413
fam293	797273
fam294	796700
fam295	795121
fam296	794654
fam297	792456
fam298	790279
fam299	787920
fam300	786664
fam301	785682
fam302	784577
fam303	782292
fam304	779898
fam305	779224
fam306	777849
fam308	776145
fam309	775456
fam310	775059
fam311	774642
fam312	774539
fam313	773388
fam314	771819
fam315	769872
fam316	769249
fam317	767002
fam318	765142
fam319	764368
fam320	763673
fam321	763139
fam322	762300
fam323	761868
fam324	760918
fam325	760169
fam326	758396
fam327	757482
fam328	757164
fam329	756613
fam330	755748
fam331	754986
fam332	753912
fam333	752774
fam334	751969
fam335	750569
fam337	748231
fam338	746560
fam340	745802
fam341	745354
fam342	744229
fam343	744077
fam344	743576
fam345	743202
fam346	742375
fam347	741893
fam348	740450
fam349	737971
fam350	736950
fam351	735890
fam352	735161
fam353	732854
