fam	loc
fam1	91931
fam2	93036
fam3	94171
fam5	97914
fam6	100144
fam7	101471
fam8	101990
fam9	103320
fam10	103642
fam11	105100
fam12	106071
fam13	107349
fam14	108487
fam15	110180
fam16	111133
fam17	112190
fam18	113181
fam19	114158
fam20	115063
fam21	116908
fam22	117971
fam23	118864
fam24	119465
fam25	120610
fam26	122437
fam27	122802
fam28	123775
fam29	124566
fam30	125719
fam31	126800
fam32	127522
fam33	128835
fam34	130258
fam35	130785
fam36	132308
fam37	132747
fam38	133550
fam39	134145
fam41	136769
fam42	138707
fam43	140529
fam44	141244
fam45	142519
fam46	144001
fam47	147208
fam48	148462
fam49	149377
fam50	150371
fam51	151378
fam52	152049
fam53	152672
fam54	153310
fam56	154451
fam58	155751
fam60	158098
fam61	159699
fam62	161252
fam63	162288
fam64	163343
fam65	164906
fam67	170491
fam68	171588
fam69	173952
fam70	176726
fam71	177460
fam72	177672
fam73	179961
fam74	180164
fam75	181824
fam76	183440
fam77	185051
fam78	186910
fam79	187910
fam80	189093
fam81	190425
fam82	191027
fam83	191891
fam84	192353
fam85	194767
fam86	195491
fam87	195993
fam88	196353
fam89	196955
fam90	198709
fam91	199386
fam92	200344
fam93	201523
fam94	202058
fam95	203576
fam96	204660
fam97	205931
fam98	206698
fam99	207405
fam100	208660
fam101	210405
fam102	212672
fam103	215088
fam104	217036
fam105	218694
fam106	219667
fam107	220342
fam108	221613
fam109	222527
fam111	224118
fam112	224487
fam113	224722
fam114	226253
fam115	227213
fam116	228085
fam117	229184
fam118	229933
fam119	231083
fam120	231393
fam121	232188
fam122	233029
fam123	235173
fam124	236708
fam125	237403
fam126	238081
fam127	238385
fam128	242494
fam129	243673
fam130	246416
fam131	247555
fam132	249624
fam133	251105
fam134	252051
fam135	253221
fam136	255848
fam137	256740
fam138	257161
fam139	259845
fam140	261296
fam141	262039
fam142	262682
fam145	263570
fam146	264025
fam148	265257
fam150	266217
fam154	267976
fam155	268386
fam156	269449
fam158	271275
fam159	272382
fam162	274051
fam163	274789
