fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	0.2961748041262756	0.3243243243243243	0.21228682652822392	0.0035399999999999997	0.0036	0.003151571036800535	0.012156666666666668	0.0111	0.009478763398015351	432991	0.005600722673893406
fam158	0.5223818711277817	0.3740458015267175	0.33844716293690413	0.0038116666666666668	0.0049	0.00237747006056625	0.0073791666666666676	0.0065	0.004529457212391888	183780	0.0047619047619047615
fam1037	0.2208458156097748	0.2	0.15424110011240033	0.0032691666666666676	0.0035	0.0018632317727241797	0.016714999999999997	0.0167	0.010808419943112253	996331	0.006171993911719938
fam1720	0.2752640958831482	0.30357142857142855	0.175898598426663	0.0025641666666666664	0.0017	0.0017963757881418415	0.009716666666666667	0.0056	0.008998780781614561	209185	0.005747863247863248
fam1499	0.40786724367096805	0.391304347826087	0.10961412935141747	0.0037899999999999995	0.0048	0.002218084759426474	0.009364166666666666	0.0092	0.007590990227821987	451022	0.004900568181818181
fam1031	0.4176998036986412	0.2938388625592417	0.14659066053786662	0.00603142857142857	0.0062	0.004244690000138869	0.007231428571428573	0.0	0.010011529679854733	1003000	0.006258503401360544
fam875	0.34644441747781474	0.44135802469135804	0.2752469241937646	0.006039166666666667	0.0024	0.006172766746407607	0.0144725	0.0106	0.01157895333856505	1170311	0.013264221158958001
fam1483	0.3984527348722593	0.4030612244897959	0.27073641736655385	0.0037341666666666673	0.0039	0.0028652950933930384	0.009065833333333335	0.0098	0.0046423861650616224	474097	0.005240429505135387
fam1781	0.1834057688195136	0.2064516129032258	0.1452802679395677	0.00144	0.0	0.0017453939383417143	0.0090575	0.0077	0.008781397596624356	139005	0.003641141141141141
fam1195	nan	nan	nan	0.0026675	0.0037	0.0028846479421239606	0.0	0.0	0.0	812929	0.002071150097465887
fam265	0.056852887203337144	0.0	0.11722846355207034	0.000525	0.0	0.000948880919820817	0.01442583333333333	0.0124	0.007958218978235995	317038	0.00404874213836478
fam1040	0.3362046281723392	0.42968749999999994	0.23754397951231937	0.0060675	0.0055	0.005671789289986009	0.012507500000000001	0.0128	0.012709964348887845	994181	0.007121551081282627
fam443	nan	nan	nan	0.004011428571428572	0.0	0.006992394702351219	0.0	0.0	0.0	505359	0.003057025279247501
fam1093	0.3913595282905391	0.2972972972972973	0.32570616433272537	0.0029075	0.0029	0.0017347027843408794	0.009539166666666666	0.0099	0.005794599437311339	930431	0.00437962962962963
fam814	0.39521047078285754	0.27626459143968873	0.27753314335967455	0.0039175	0.0043	0.0027079408689999127	0.0103825	0.005	0.012012907381229575	917021	0.005287929125138428
fam594	0.34028583509686844	0.3177570093457944	0.20876562316672442	0.0022558333333333336	0.0023	0.0018899645425833316	0.00718	0.0071	0.00448156594655633	681989	0.003436426116838488
fam346	0.11728104790626105	0.0863509749303621	0.14715846680063974	0.0030158333333333335	0.0031	0.0033195380158824645	0.022830833333333335	0.0103	0.021640039263031745	382634	0.007417153996101365
fam1679	1.3735345322455388	0.947075208913649	0.943491920653169	0.02611833333333334	0.0291	0.015109924902379746	0.005953333333333334	0.0	0.012221026507167429	253679	0.019809203142536477
fam922	0.0889894419306184	0.0	0.16247174908398593	0.0019174999999999997	0.0	0.0027634116142912914	0.0049725	0.0	0.007166135203162161	1117718	0.0027426160337552736
fam494	0.07311142690028305	0.0	0.1694496902623386	0.000675	0.0	0.0012951351280850968	0.012114999999999999	0.0111	0.008153134877661066	558446	0.0034862798020692757
fam1358	0.36587658305838255	0.2380952380952381	0.33951081365276936	0.0017625000000000002	0.001	0.0015107427808862765	0.004785	0.0042	0.0050377351061761865	627303	0.002312599681020733
fam910	0.06315789473684211	0.0	0.12631578947368421	0.0010049999999999998	0.0	0.0014484388147243223	0.0011875000000000002	0.0	0.003141829681889202	1136594	0.0010344827586206897
fam508	0.17966422062913562	0.04347671649239995	0.21908254564564203	0.052034166666666666	0.00695	0.05295441199093382	1.3183033333333332	0.097	1.4267662102889254	574856	0.13488917306052853
fam1587	0.09394221808014912	0.0	0.14040615693685796	0.0015583333333333337	0.0027	0.0016362855971851474	0.0026824999999999996	0.0	0.005100092523670527	352290	0.001862940785096474
fam1446	1.0484906100101963	0.8983050847457628	0.41209135374810074	0.007525000000000001	0.0089	0.004631886764591725	0.007309166666666668	0.0059	0.0046437412329811065	530873	0.007407407407407407
fam1143	nan	nan	nan	0.003208333333333333	0.005	0.002071214753606095	0.0	0.0	0.0	873124	0.0024870801033591732
fam933	0.8434980965211321	1.2478632478632479	0.6994375333881426	0.0098975	0.012750000000000001	0.007467858489330569	0.002918333333333333	0.0	0.005275698742557446	1104069	0.008149678604224058
fam839	0.48709819784555586	0.47692307692307695	0.12916597170985716	0.0036325	0.0035	0.0021064251905380674	0.00728	0.0076	0.003987472047968905	944704	0.004580938697318008
fam317	0.05901920634522698	0.0	0.10875767148268287	0.00075	0.0	0.001355544171172596	0.0122875	0.0099	0.008465760081055925	359026	0.006764928193499623
fam568	0.5124222019117565	0.5536480686695279	0.36571319204525005	0.006342500000000001	0.0064	0.004636192088700956	0.013955833333333334	0.0175	0.008395304201688518	645838	0.014306784660766961
