fam	loc
fam1	1217
fam2	1750
fam3	3397
fam4	6853
fam7	10478
fam10	13496
fam12	14817
fam14	16258
fam15	17277
fam17	19789
fam18	20769
fam19	22265
fam20	24558
fam24	30317
fam25	33089
fam26	34257
fam29	36897
fam30	37959
fam31	38147
fam34	41495
fam36	42024
fam37	42650
fam38	42858
fam39	43923
fam40	45932
fam41	47190
fam44	51313
fam45	52240
fam46	52895
fam47	53646
fam54	64636
fam55	65527
fam56	66023
fam57	66835
fam60	69450
fam61	69754
fam62	70418
fam64	72311
fam65	73272
fam66	73955
fam67	74416
fam68	75309
fam69	75501
fam70	76540
fam71	77474
fam72	78585
fam73	79509
fam74	79698
fam75	80194
fam79	85967
fam80	86737
fam81	87230
fam82	88108
fam83	89108
fam88	91885
fam89	92967
fam92	95408
fam93	96881
fam94	97577
fam95	99040
fam98	102808
fam99	103943
fam100	104707
fam101	106142
fam104	108719
fam105	109383
fam106	110605
fam108	114431
fam109	115886
fam110	116092
fam112	119721
fam114	122396
fam115	123245
fam116	123658
fam118	124631
fam119	125460
fam120	126146
fam122	128848
fam124	129993
fam125	130655
fam126	131938
fam129	134642
fam130	135548
fam131	138838
fam132	140126
fam133	140549
fam137	144619
fam139	146413
fam140	147144
fam142	148338
fam146	151691
fam147	153311
fam148	154026
fam149	154329
fam150	154769
fam152	157027
fam153	157822
fam156	159892
fam157	161014
fam160	165201
fam161	166744
fam162	167729
fam163	168431
fam165	169162
fam166	170144
fam167	171220
fam168	172283
fam169	173014
fam170	174473
fam171	176057
fam173	178216
fam175	180219
fam176	180569
fam177	181434
fam178	181865
fam179	182786
fam180	183538
fam181	185027
fam182	187625
fam183	188901
fam185	190249
fam188	195711
fam189	197734
fam191	205547
fam192	207162
fam195	209232
fam196	209527
fam197	210908
fam199	213242
fam200	214406
fam202	216373
fam203	216907
fam205	218467
fam207	221247
fam208	222001
fam209	222371
fam210	223083
fam212	224281
fam213	225929
fam214	226490
fam217	229094
fam218	229405
fam219	231100
fam222	232784
fam224	234286
fam225	239353
fam227	242606
fam228	244455
fam230	246966
fam231	247316
fam232	249427
fam233	250055
fam234	250656
fam235	251349
fam236	254105
fam237	254673
fam238	255469
fam239	257813
fam240	258293
fam241	259135
fam243	261564
fam244	263257
fam245	263789
fam248	265632
fam250	267886
fam251	269088
fam253	271810
fam254	272556
fam255	272910
fam256	274177
fam257	275913
fam259	280910
fam260	281719
fam261	283149
fam262	284071
fam263	284992
fam264	285332
fam268	291873
fam269	292966
fam270	293147
fam274	296570
fam276	299190
fam277	300191
fam278	301154
fam279	301572
fam280	301711
fam281	303537
fam282	303889
fam283	304880
fam284	305582
fam287	308119
fam289	309948
fam290	310249
fam291	310584
fam292	310822
fam293	312203
fam294	312492
fam295	313689
fam296	314506
fam297	314992
fam298	316289
fam301	319021
fam302	320502
fam303	321577
fam304	323709
fam305	324398
fam306	324773
fam308	326690
fam309	327644
fam310	328085
fam312	329525
fam313	330492
fam315	333056
fam316	334121
fam317	335177
fam318	336223
fam319	336969
fam320	338286
fam322	340414
fam324	342031
fam325	342653
fam326	343734
fam327	344180
fam328	345265
fam330	346842
fam332	348468
fam335	352248
fam336	354318
fam337	355978
fam338	356987
fam340	359450
fam341	361206
fam342	361720
fam343	363327
fam345	366599
fam346	367777
fam347	368544
fam348	368923
fam349	369539
fam350	370234
fam351	371695
fam356	377072
fam358	379333
fam361	381608
fam362	381807
fam363	382848
fam364	383163
fam365	383351
fam367	385027
fam368	385882
fam369	386942
fam370	388284
fam372	391328
fam373	392346
fam374	393066
fam375	393912
fam376	394447
fam377	395150
fam378	396718
fam381	406693
fam383	409566
fam384	410731
fam389	416789
fam390	418892
fam391	419629
fam392	420467
fam393	422243
fam394	423044
fam395	424024
fam397	426400
fam400	428279
fam401	429386
fam402	430773
fam403	431700
fam405	434468
fam407	434857
fam408	438316
fam410	439842
fam411	440272
fam413	442914
fam415	444620
fam416	445362
fam417	446370
fam418	447535
fam419	448353
fam421	450906
fam422	451283
fam426	455090
fam428	456860
fam429	457705
fam430	459025
fam431	460031
fam432	461088
fam433	462720
fam434	463691
fam435	464978
fam437	466085
fam438	466765
fam439	468959
fam440	470336
fam442	473471
fam443	474035
fam444	474752
fam446	476693
fam447	478830
fam448	481743
fam449	482672
fam450	483679
fam451	484464
fam452	485084
fam453	486352
fam455	487297
fam456	487879
fam457	488824
fam459	490527
