fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	82745	0.0
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2212943	0.0
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	487750	0.0
fam1571	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004898979485566357	1921473	0.0005486968449931412
fam3872	0.4878048780487805	0.4878048780487805	0.0	0.0008	0.0	0.0009797958971132714	0.0016400000000000002	0.0	0.0020085815890822064	456259	0.0009211283822682787
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	203522	0.0
fam1037	0.08617234468937876	0.08617234468937876	0.0	0.00172	0.0	0.002106561178793533	0.01996	0.0	0.024445907632976115	1284316	0.004324324324324324
fam3479	nan	nan	nan	0.00011999999999999999	0.0	0.0001469693845669907	0.0	0.0	0.0	948538	9.220839096357768e-05
fam3276	0.1094147582697201	0.1094147582697201	0.0	0.00172	0.0	0.002106561178793533	0.01572	0.0	0.01925298937827578	1199960	0.004210526315789474
fam1720	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2119053	0.0
fam1499	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1834679	0.0
fam2659	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1864129	0.0
fam3994	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	266532	0.0
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.00464	0.0	0.005682816203256972	1277468	0.0007729468599033816
fam3345	0.0	0.0	0.0	0.0	0.0	0.0	0.0034799999999999996	0.0	0.00426211215244273	1131543	0.0006116207951070336
fam4095	0.25806451612903225	0.25806451612903225	0.0	0.0019199999999999998	0.0	0.002351510153071851	0.0074399999999999996	0.0	0.009112101843153423	117822	0.0030303030303030303
fam680	0.08064516129032258	0.08064516129032258	0.0	0.0004	0.0	0.0004898979485566357	0.00496	0.0	0.006074734562102281	844308	0.0010554089709762533
