fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.116726166024552	0.07987220447284346	0.11274513069651083	0.00629157894736842	0.0083	0.004902634375793761	0.08154157894736842	0.0972	0.06791849533104544	1011725	0.029107180907734925
fam393	0.12982165392729303	0.13529411764705881	0.0948655625676304	0.0016436842105263156	0.0023	0.0014654035209539988	0.013000526315789476	0.0085	0.010802804204018517	445770	0.005634581950371424
fam1571	0.1385884824991404	0.07624633431085044	0.26925454140310634	0.003365497076023392	0.0035	0.0017832659976606134	0.041057309941520466	0.0486	0.02145030137366129	800271	0.015358056222783033
fam1037	0.045846751140522266	0.0224	0.07970171010848447	0.001645263157894737	0.0014	0.0015068453223489012	0.051496315789473675	0.0625	0.02951782221865048	1076262	0.016999745741164505
fam1720	0.02731449106598734	0.0	0.04326528660392946	0.0007621052631578949	0.0	0.0009134295060944101	0.03058	0.0304	0.013395435986303614	638310	0.009339354988130393
fam1499	0.04306569343065693	0.0	0.12919708029197086	0.00059	0.0	0.00177	0.007257894736842107	0.0137	0.006885477913273909	878045	0.0025774312324019933
fam1031	0.028199678754788546	0.0	0.07122043711325117	0.0008799999999999999	0.0	0.0012113150748365663	0.09100315789473683	0.10785	0.06007548488996608	1069790	0.0252243512005821
fam1483	0.06849134961210607	0.05279503105590062	0.0674837314661349	0.0020178947368421052	0.0017	0.001346807449010118	0.033912105263157896	0.0322	0.019438827417242552	898949	0.011640259819097918
fam1781	0.09309955617115845	0.08521303258145363	0.06875269720571146	0.002502923976608187	0.0023	0.0014349206592400886	0.029194736842105263	0.0316	0.014472435033813104	576543	0.010359754367661457
fam425	0.22231667802641494	0.17196261682242991	0.15856843637583218	0.004352105263157895	0.0034	0.0034280838271200094	0.024033684210526318	0.01715	0.019985192468563825	488844	0.015417911591205086
fam1195	0.055794249672840204	0.033249324938289734	0.07473413377132081	0.004897385620915033	0.0023	0.005082906735072	0.1119797385620915	0.1445	0.0760093667769976	1202382	0.03560506101240705
fam1928	0.28343341458368	0.25196869680232203	0.27536919853612263	0.010531578947368423	0.0112	0.004565413756723821	0.07054263157894737	0.0523	0.06250162880758474	428950	0.031096491228070174
fam1496	0.0	0.0	0.0	0.0	0.0	0.0	0.017562631578947368	0.0	0.023734554499406948	880345	0.005237732011187389
fam1988	0.07909674938184391	0.007783543365455893	0.11410746647529356	0.0011873684210526316	0.0021	0.0012655135928703461	0.03743157894736842	0.014799999999999999	0.07603713948931437	366161	0.0112730172538785
fam265	0.08286529053930547	0.04221854304635761	0.14365518067366603	0.0015315789473684211	0.0013	0.001038581673673342	0.03752105263157895	0.0331	0.02676739355925964	307616	0.011819672638386087
fam1040	0.16789268101602975	0.1679425837320574	0.06577269458520446	0.004206432748538012	0.0044	0.0024362070557685887	0.02628888888888889	0.0274	0.014911820518068641	1080932	0.011779942954032022
fam1786	0.09020132123956145	0.07607373416196944	0.10634917947521579	0.0029942105263157893	0.0031	0.002153923753206236	0.03710157894736842	0.0408	0.016999057176071447	571907	0.014067278287461774
fam443	0.07422865087140476	0.014285714285714285	0.14709482696544277	0.0010021052631578944	0.0017	0.0010607821292620708	0.0252	0.0143	0.032182445361931156	513956	0.008406682234596731
