fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam3994	0.0	0.0	0.0	0.0	0.0	0.0	0.0001394285714285714	0.0	0.0009143095604443619	197050	0.0017494974700214873
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.0005653246753246754	0.0	0.0019596051049416067	1083135	0.00012317048031333747
fam680	0.13121266397830633	0.18918918918918917	0.11149699225001539	0.0007766436781609195	0.0	0.0008405836775787158	0.0002523809523809524	0.0	0.001347507001556244	740604	0.0008136565531735543
fam3111	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1169453	0.00010923845193508114
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	718111	4.483902788987535e-05
fam1988	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2284257	2.355546133371023e-05
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.00011619374087475402	0.0	0.00076857430813829	303171	5.472144112403111e-05
fam1040	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1096314	0.0
fam3247	nan	nan	nan	0.0019358090522440174	0.0	0.0025026010732611464	0.0	0.0	0.0	1001697	0.0014661172272488452
fam2139	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2149985	0.0
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	712456	0.0
fam150	0.0	0.0	0.0	0.0	0.0	0.0	0.00015932203389830508	0.0	0.0014903211625286034	169196	2.7694693696687705e-05
fam43	0.11279930686830497	0.0	0.15598596588131755	0.0002235129816542881	0.0	0.0002683038825216629	0.0007584904462642036	0.0	0.0012559469884247771	47979	0.0009499067027840848
fam3496	nan	nan	nan	0.00041414285714285706	0.0	0.0007607600303299857	0.0	0.0	0.0	747993	0.0006138723431956515
fam3704	0.0	0.0	0.0	0.0	0.0	0.0	0.00016209553158705702	0.0	0.0008704598700265972	504447	3.584915330570086e-05
fam2799	0.0	0.0	0.0	0.0	0.0	0.0	0.00013785310734463279	0.0	0.001289497743464466	1457027	2.6339009389856852e-05
fam124	0.0	0.0	0.0	0.0	0.0	0.0	0.0002553672316384181	0.0	0.0023887417214997477	141657	6.074965068950854e-05
fam732	0.0	0.0	0.0	0.0	0.0	0.0	0.00015313628899835794	0.0	0.0010575068347595867	794776	2.9229082937522834e-05
fam3155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1091189	0.0
fam1699	0.0	0.0	0.0	0.0	0.0	0.0	0.0010597142857142858	0.0	0.0022264188055233737	1796157	0.000266710690439504
fam2916	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1358228	0.0
fam157	0.0	0.0	0.0	0.0	0.0	0.0	0.0001206627309083984	0.0	0.0007981348584513013	177208	2.6043065464128118e-05
fam1334	0.2974026653538485	0.3529411764705882	0.12354526596917796	0.0002303973727422003	0.0003	0.0002356547105141643	0.00033832512315270933	0.0	0.0006873717723388385	1394506	0.0005091957135431742
fam1564	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1654705	2.311924908678967e-05
fam565	0.21846396314481417	0.276595744680851	0.12872014146610125	0.0005524268104776579	0.0	0.0006750833741507013	0.00010621468926553675	0.0	0.0007005454263141543	629744	0.000791445363797671
fam2587	nan	nan	nan	0.0019161016949152542	0.0	0.0024699540357688214	0.0	0.0	0.0	1680886	0.001343769617074702
fam2771	0.0	0.0	0.0	0.0	0.0	0.0	0.0001321212121212121	0.0	0.0011927552965419325	1481629	0.0031713152059750266
fam3462	0.0667951188182402	0.0	0.12381259394170202	0.0002824433497536946	0.0	0.00038574748688493133	6.135960591133005e-05	0.0	0.0004023753654524559	783392	0.0003569425499730188
fam3187	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1058933	0.0023049218537589127
fam2649	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1602731	3.6186650744540335e-05
fam2457	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1824138	5.304899074295111e-05
fam4146	nan	nan	nan	0.00026737464712999056	0.0	0.0014191663206566168	0.0	0.0	0.0	16723	0.0037396219409930927
fam2068	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2209862	0.0
fam3895	nan	nan	nan	1.4689265536723163e-05	0.0	0.0001374054972544103	0.0	0.0	0.0	297703	3.455484718118835e-05
fam2834	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1428830	0.004899845916795069
fam2153	0.0	0.0	0.0	0.0	0.0	0.0	0.002287621982537237	0.0	0.004973392568081691	2141942	0.0007423616596099147
fam1050	0.6721276125761291	0.8461538461538463	0.29080662743512203	0.0005465592275261798	0.0006	0.0005272133888269656	0.0007161226710186317	0.0	0.0007763297211217754	1106558	0.0008146679465940491
fam1221	nan	nan	nan	nan	nan	nan	nan	nan	nan	1273817	5.108556832694763e-05
fam1221	nan	nan	nan	nan	nan	nan	nan	nan	nan	1273817	5.108556832694763e-05
fam1221	0.0	0.0	0.0	0.0	0.0	0.0	0.00020919540229885058	0.0	0.001939998351931285	1273817	5.108556832694763e-05
fam1500	0.0	0.0	0.0	0.0	0.0	0.0	4.886363636363636e-05	0.0	0.0004557696582759308	1584554	1.214063714063714e-05
fam93	0.03647155853244026	0.0	0.09115824853023764	0.0001614045578366886	0.0	0.0003473592115885883	0.001369676433459571	0.0	0.001789614142146562	96928	0.0006059997102746838
fam2113	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2176413	0.0
fam1916	0.2565958653086845	0.37931034482758624	0.17494273425220186	0.0005231001642036125	0.0	0.000567520790024462	0.000707047619047619	0.0	0.001374255763129386	2358921	0.0005857264638143148
fam1945	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2325312	0.001044932079414838
fam3046	0.0	0.0	0.0	0.0	0.0	0.0	0.0001288135593220339	0.0	0.0012049405143848286	1234631	2.9892685259916896e-05
fam1546	0.0	0.0	0.0	0.0	0.0	0.0	5.50561797752809e-05	0.0	0.000516472746587299	1629529	0.0005126617583430355
fam2140	0.2048109148916055	0.22817460317460317	0.12998289823962475	0.0028123380506278645	0.0	0.002978290537463793	0.0007654574446880606	0.0	0.005630547604763904	2149790	0.0022402032807161696
fam2408	0.0	0.0	0.0	0.0	0.0	0.0	0.0018234708966258907	0.0	0.004045792823751358	1863619	0.0006223913723565325
fam2759	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1493589	0.0
fam518	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	586879	0.0
