fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.11021430804605443	0.10574521232306411	0.08409014874781996	0.008208333333333331	0.0097	0.004721368386860365	0.0787361111111111	0.08405	0.03666155383124108	143922	0.014426411430156747
fam393	0.07147552746541697	0.07007115691326217	0.05406829077004224	0.009713888888888888	0.0088	0.007408596837375174	0.12995833333333331	0.1253	0.059474688243543294	381046	0.03167641325536062
fam1571	0.016011950829783718	0.01624405705229794	0.015824231140492702	0.002188888888888889	0.0021	0.00206515775262082	0.13014444444444445	0.1144	0.07490007211257635	320353	0.01553329285569723
fam158	0.015242604462891779	0.013731343283582088	0.01119677845365631	0.0018916666666666665	0.0014	0.0011764766135466621	0.16313333333333332	0.11385	0.11493249951360339	150868	0.01417466849565615
fam1720	0.05806205207085724	0.03523345746204526	0.056395012322180416	0.010955555555555557	0.00655	0.011086138603490506	0.3053388888888889	0.0611	0.33753623038273634	198996	0.03769479862376037
fam1499	0.059817628456391235	0.06090909090909091	0.034358452079541364	0.006455555555555556	0.00585	0.004746135530000781	0.14809166666666665	0.09325	0.14927020126639848	389492	0.019701419481155162
fam1031	0.007067591831101225	0.007583965330444204	0.004169074931574314	0.0018916666666666665	0.0011	0.001434568266452005	0.2322027777777778	0.15810000000000002	0.15801629748244872	846697	0.020113960113960112
fam875	0.027324113570731647	0.02437325905292479	0.026647991950564828	0.005722222222222222	0.0035	0.005953995442423101	0.1937722222222222	0.1471	0.15680894711419283	860237	0.022376543209876542
fam1483	0.014769085212127374	0.014648858250753984	0.007904164549630664	0.003230555555555555	0.0034	0.0018792462207025168	0.2109194444444444	0.2388	0.11179615581605172	400413	0.024759340838635988
fam425	0.05606628466277819	0.052127608527708334	0.05065142797239109	0.01043888888888889	0.01015	0.006798418025858736	0.2103638888888889	0.2328	0.10045794629478264	409675	0.027777777777777776
fam1195	0.027120255448037013	0.02522812667740204	0.019738117815014295	0.006758333333333334	0.00595	0.005003408560393826	0.26932222222222224	0.2791	0.15912384958318737	681049	0.02374126795834981
fam1928	0.03447337854092199	0.03574468085106383	0.014186492349135021	0.004597222222222223	0.0042	0.0024761625901461933	0.14533888888888888	0.13715	0.08504431615267738	3278	0.01789893983202533
fam657	0.08921746287343921	0.08378588052754074	0.03557476035446511	0.02940833333333333	0.020900000000000002	0.018756100859305604	0.3808638888888889	0.26385	0.27657579948841204	641858	0.06679252067601582
fam265	0.045835079803611685	0.03976908274534958	0.03526985285377134	0.012333333333333332	0.0061	0.016975014318436114	0.1935888888888889	0.13765	0.1719534057977105	255744	0.026170798898071626
fam1040	0.028859443425206483	0.0275904353157572	0.01663279478119498	0.00675	0.0078	0.0034319171836679793	0.22978333333333334	0.25435	0.11199277382442534	837770	0.02922705314009662
fam443	0.029778287976443503	0.02842377260981912	0.01603700982289041	0.011519444444444443	0.00695	0.010287609036669212	0.4360333333333333	0.4328	0.33644308087203495	425112	0.039175539175539176
fam1784	0.1450287819077395	0.10572720053469087	0.11931242301010364	0.005944444444444444	0.004	0.0038272012144388843	0.047022222222222215	0.0338	0.03702233643439766	144691	0.021494708994708994
fam519	0.07675935509974642	0.06066176470588235	0.06002136878265258	0.010761111111111114	0.0049	0.012096814956787817	0.21661388888888894	0.0833	0.2803006215087827	495957	0.04052287581699346
fam321	0.025931954959948808	0.01712558764271323	0.04714654233442328	0.00326111111111111	0.0033	0.00218088638679294	0.18528888888888886	0.19845000000000002	0.09366382788633501	313093	0.020636106958976913
fam594	0.08541027689385175	0.08361839604713037	0.029045874037614782	0.04478888888888889	0.0475	0.02623072602224957	0.543711111111111	0.4407	0.40646153622710574	580742	0.08734882842025699
fam1679	0.04895201304241131	0.05225409836065574	0.02588674695770352	0.005008333333333333	0.004	0.004188633760282437	0.09924166666666667	0.08585000000000001	0.05787239014993823	235334	0.015646662705486234
