fam	loc
fam1	11823
fam2	13114
fam4	14272
fam6	15950
fam7	16609
fam8	20103
fam9	20359
fam10	20666
fam11	21024
fam13	22447
fam14	23723
fam15	24270
fam16	26269
fam18	41657
fam19	42940
fam20	43691
fam22	45702
fam23	45952
fam24	46780
fam25	50628
fam26	52316
fam27	53366
fam28	54081
fam31	57515
fam33	59911
fam34	61274
fam36	63089
fam37	63545
fam38	64227
fam39	65141
fam40	66039
fam42	67850
fam43	69394
fam44	70168
fam45	71228
fam48	74775
fam50	77134
fam51	77723
fam52	78110
fam53	79885
fam54	82796
fam55	83991
fam56	85601
fam57	86986
fam58	87502
fam59	88201
fam60	88848
fam61	89144
fam62	89995
fam63	90372
fam64	90732
fam65	91398
fam66	91815
fam67	92031
fam68	92317
fam69	92710
fam70	93095
fam71	93661
fam72	93864
fam74	95063
fam75	95520
fam76	96033
fam77	96227
fam78	96792
fam79	98117
fam80	98850
fam81	99184
fam82	99326
fam83	99709
fam84	100110
fam85	101098
fam86	101499
fam93	112745
fam157	158331
fam158	159080
fam159	159652
fam160	160829
fam161	161404
fam162	163414
fam163	164818
fam164	166183
fam165	167030
fam166	167751
fam167	168225
fam168	168791
fam169	169670
fam170	171110
fam172	173751
fam173	174786
fam174	175427
fam175	176953
fam176	177586
fam177	179059
fam179	182168
fam180	183176
fam181	184161
fam182	185650
fam183	186064
fam184	186950
fam185	187929
fam187	189199
fam188	189885
fam190	191650
fam191	192994
fam192	194401
fam193	195422
fam195	196851
fam196	197348
fam197	199012
fam198	200044
fam199	200252
fam201	201932
fam202	203492
fam203	205511
fam204	206396
fam205	207271
fam206	208433
fam207	209368
fam208	210667
fam209	211901
fam210	212331
fam211	213849
fam212	215107
fam213	216495
fam214	218395
fam215	219424
fam217	221527
fam218	222456
fam220	229375
fam221	230088
fam222	230890
fam223	233968
fam224	236376
fam225	240475
fam226	244242
fam227	244721
fam231	248544
fam232	249769
fam233	250126
fam237	252343
fam238	253480
fam240	254349
fam241	254669
fam245	257342
fam246	259114
fam247	259835
fam248	260460
fam249	261190
fam251	263061
fam252	264151
fam253	264969
fam254	265784
fam259	273092
fam264	277971
fam265	280480
fam266	281234
fam267	281827
fam268	282019
fam269	283359
fam270	283738
fam271	284596
fam272	285111
fam273	286064
fam276	287391
fam277	287804
fam310	310291
fam314	313101
fam315	314037
fam316	314675
fam317	315820
fam322	326321
fam323	327727
fam327	330610
fam328	331731
fam333	336053
fam334	336713
fam335	337940
fam336	338581
fam337	340624
fam338	340893
fam339	341245
fam342	345420
fam344	348266
fam345	350376
fam346	350893
fam347	351647
fam349	355793
fam350	357056
fam351	358086
fam352	358427
fam353	360689
fam354	361701
fam356	364092
fam357	364990
fam358	365733
fam359	366079
fam360	367062
fam361	368680
fam362	369498
fam364	373232
fam365	373818
fam366	374411
fam367	374514
fam368	374864
fam369	376488
fam370	377988
fam371	378695
fam372	380491
fam374	381516
fam378	384671
fam379	385467
fam381	388268
fam383	390562
fam384	391337
fam385	393292
fam386	394146
fam387	395162
fam388	395796
fam390	397596
fam392	399294
fam393	400396
fam394	400923
fam401	408847
fam402	410192
fam405	411489
fam406	418381
fam409	420584
fam410	421555
fam411	421837
fam412	422951
fam414	424640
fam415	425888
fam416	426390
fam417	426809
fam418	428217
fam419	429101
fam420	429867
fam422	432290
fam424	434050
fam425	435080
