fam	loc
fam1	3521
fam2	4849
fam3	5299
fam4	6401
fam5	8354
fam6	10869
fam7	11407
fam8	11976
fam9	12238
fam11	14836
fam12	16393
fam13	18061
fam14	19304
fam15	20999
fam16	21755
fam18	24735
fam19	25651
fam20	25928
fam22	27789
fam23	29286
fam24	30778
fam26	33014
fam32	40483
fam33	41129
fam34	41955
fam35	43476
fam37	45351
fam38	46004
fam39	46807
fam41	50968
fam42	51841
fam45	56116
fam46	57510
fam47	58424
fam48	59260
fam49	61533
fam55	67381
fam56	68363
fam58	71169
fam59	72689
fam60	74132
fam61	74808
fam62	75225
fam63	76374
fam64	78185
fam65	79311
fam66	80267
fam67	81528
fam68	82429
fam69	83160
fam74	87289
fam75	88150
fam76	88945
fam77	89665
fam78	90227
fam79	92390
fam80	93750
fam82	95217
fam83	95868
fam84	96158
fam85	97027
fam86	97348
fam87	97718
fam88	98388
fam89	98825
fam90	99003
fam91	99294
fam92	99720
fam93	100065
fam94	100633
fam95	100837
fam96	101272
fam97	101840
fam98	102361
fam99	102882
fam100	103076
fam101	103565
fam102	104860
fam103	105567
fam104	105976
fam105	106125
fam106	106508
fam107	106925
fam108	107943
fam109	108350
fam110	109458
fam111	110303
fam112	111090
fam113	111872
fam114	114588
fam115	115223
fam116	115857
fam117	117591
fam118	119737
fam119	120785
fam120	121147
fam121	122738
fam122	123683
fam123	124645
fam124	125588
fam125	127395
fam126	128086
fam131	134575
fam132	138169
fam133	138987
fam134	139998
fam135	142683
fam136	143266
fam137	144600
fam138	145552
fam140	147279
fam141	147952
fam142	148750
fam143	149157
fam144	150072
fam145	151430
fam146	153393
fam147	153604
fam148	154362
fam149	155038
fam150	155700
fam151	157309
fam152	158430
fam153	159096
fam154	159884
fam155	161070
fam156	161460
fam157	164062
fam158	166188
fam159	166780
fam160	167899
fam161	168469
fam162	169692
fam164	173615
fam165	174369
fam166	175383
fam167	176034
fam168	176553
fam169	177059
fam170	178719
fam171	179842
fam172	181450
fam173	182403
fam174	183296
fam175	184129
fam176	184661
fam179	189787
fam180	190299
fam182	193020
fam183	195118
fam184	195399
fam185	196957
fam186	198380
fam187	198921
fam188	199859
fam189	200897
fam192	202431
fam193	203144
fam194	204079
fam195	204593
fam196	206401
fam197	206828
fam198	207369
fam199	209294
fam200	210540
fam201	212090
fam202	213942
fam203	215011
fam204	216145
fam205	216518
fam206	219897
fam207	222021
fam208	223623
fam209	224546
fam210	225184
fam211	226357
fam212	227650
fam213	230881
fam214	231638
fam215	232990
fam216	233461
fam217	236373
fam218	236905
fam219	239247
fam220	239730
fam221	241036
fam222	241889
fam223	242858
fam224	243671
fam225	244409
fam226	245423
fam227	246282
fam228	247101
fam229	248186
fam230	249268
fam231	250258
fam232	251198
fam233	252151
fam234	253681
fam236	257019
fam237	257291
fam238	257704
fam239	259397
fam240	261562
fam241	262181
fam242	263818
fam243	264660
fam244	266221
fam250	271415
fam251	273087
fam253	277228
fam254	277716
fam255	278997
fam256	279441
fam257	279918
fam259	280793
fam260	282147
