fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.03587921135918929	0.050405040504050404	0.033607400658779506	0.0029866666666666665	0.0056	0.0027937708487912093	0.05960444444444445	0.0663	0.03639324085935346	871082	0.019121447028423777
fam4124	0.273085545147791	0.15734989648033126	0.28538635200197765	0.004355555555555555	0.0025	0.003414629022020502	0.02408055555555556	0.0282	0.016634449185090504	624467	0.011074800290486565
fam1785	0.05551614860973389	0.0576036866359447	0.05599960386853396	0.0023044444444444445	0.0025	0.001961626938771381	0.03960666666666667	0.0379	0.02286577646469355	1297709	0.0136608970779825
fam393	0.09890103834734158	0.08196721311475409	0.07279443275462845	0.0074355555555555555	0.0069	0.004120310428194866	0.09231333333333334	0.068	0.06538082831466048	438530	0.030816617834873408
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	200938	0.0
fam4609	0.0	0.0	0.0	0.0	0.0	0.0	0.06551555555555555	0.0615	0.03177360159038776	748781	0.016296296296296295
fam3276	0.1777175931165874	0.17294459814144852	0.19564397805946368	0.005149999999999999	0.0056	0.005194842527824004	0.034208333333333334	0.03955	0.015838830186180625	285637	0.013447971781305116
fam1720	0.355209751922369	0.3810664671037376	0.12526072286520104	0.028955555555555554	0.0309	0.011027088979328347	0.09115555555555555	0.0965	0.04682106627271084	1343780	0.053271604938271606
fam2659	0.06549931347971961	0.05168269230769231	0.08580667894756557	0.0030400000000000006	0.0014	0.0024228908353452487	0.05568000000000001	0.0573	0.022104927555235784	309920	0.01841901603095633
fam1031	0.03987503020782731	0.036126739709801604	0.014303444146793156	0.006744444444444444	0.0061	0.002523450508556846	0.19152666666666668	0.1756	0.09687766260140214	1162677	0.05283018867924528
fam3345	0.2119507921366712	0.19216646266829865	0.08002761019829784	0.024195555555555557	0.0206	0.01399445851527677	0.1188377777777778	0.1181	0.06351095544650856	208335	0.05136452241715401
fam4095	0.5047193786979929	0.3852130325814537	0.4367518908242305	0.010255555555555554	0.0112	0.006671949758522385	0.025751111111111114	0.0194	0.01756708566511338	595855	0.014340740740740742
fam680	0.24689301849854964	0.19794344473007713	0.2622795357606255	0.010504444444444445	0.0077	0.008235099825491034	0.01078	0.0	0.015114343445144344	775533	0.010443230115361265
fam875	0.01974857992175167	0.017449319989735694	0.011590892088557679	0.0035622222222222223	0.0034	0.0021407463795901642	0.1925844444444444	0.1866	0.08985021599072673	999294	0.049901592413669704
fam4190	0.04969700244746466	0.048602150537634406	0.02406866884552038	0.005835555555555554	0.0064	0.003034406810458681	0.1288377777777778	0.1213	0.0655486563601214	686971	0.03839506172839506
fam1483	0.13915957171088317	0.16282420749279536	0.09767455562959426	0.008130555555555556	0.0091	0.0058458351482270614	0.04958055555555555	0.0557	0.024901414723804624	1580529	0.018790849673202617
fam1781	0.016116583344200505	0.017117117117117116	0.008809739575487285	0.0020488888888888887	0.0019	0.001436604364035357	0.12036222222222222	0.111	0.06132701159046709	1302473	0.032475247524752476
fam425	0.15639799434456972	0.15744157441574416	0.10093468719433223	0.006826666666666665	0.0064	0.004947744716310431	0.04046222222222222	0.0394	0.020815574178846514	485103	0.01620681083768332
fam1195	0.13568714198553505	0.13427561837455831	0.10575101058504113	0.004164444444444444	0.0038	0.0032209836700096968	0.026926666666666668	0.0362	0.02061677202883344	1350235	0.010725925925925927
fam3726	0.04028952455819694	0.03787878787878787	0.013444164734325763	0.004348888888888888	0.0038	0.002318392376168569	0.10573555555555557	0.1084	0.03598426912820876	216230	0.02956798684954025
fam1928	0.0377999261720192	0.0	0.10273120420561917	0.0001777777777777778	0.0	0.0003325917677132393	0.001422222222222222	0.0	0.0018888725489489334	1127636	0.0005329070077271516
fam3111	0.07603429477621997	0.06942148760330578	0.028733266371653285	0.006733333333333334	0.0067	0.0030866738660823164	0.08602	0.0934	0.029735931127173404	455586	0.02957871961308387
fam98	0.013370825551853548	0.015459723352318959	0.010750979737682066	0.0037377777777777782	0.0019	0.004073234526291463	0.18830000000000002	0.1229	0.15882848611001743	136064	0.04601481481481481
fam657	0.0	0.0	0.0	0.0	0.0	0.0	0.014177777777777779	0.0153	0.009567395765222378	748795	0.003939608398207125
fam4153	0.0671083184770756	0.06880301602262016	0.0619061852704552	0.0035755555555555558	0.0049	0.0029789748837519077	0.05871555555555556	0.0578	0.028778232171444797	651389	0.018364197530864195
fam1496	0.03474135645412386	0.03387916431394692	0.0150534445346303	0.005333333333333333	0.0049	0.002929087836777101	0.15528222222222224	0.1742	0.059919387657785275	1563391	0.04052631578947368
fam2317	0.11772270967177824	0.10820895522388059	0.14024377714230618	0.0037977777777777775	0.0029	0.003653277912529081	0.035304444444444444	0.0268	0.01952190741540904	707694	0.012951874029718341
fam4239	0.11977283137450111	0.1312127236580517	0.06023436308194486	0.006546666666666668	0.0066	0.004362343916341815	0.05237333333333333	0.055	0.020268578857159398	740018	0.01971080669710807
fam4592	0.15835359837835447	0.15726681127982647	0.04249146225919363	0.011280000000000002	0.012	0.0037833318649042667	0.07505555555555557	0.0814	0.027499604486493624	765358	0.029629629629629624
fam1988	0.0896323768657477	0.07548701298701298	0.09544593773992328	0.0061155555555555555	0.0062	0.005067848789972397	0.061695555555555545	0.0848	0.04420966689439743	1056741	0.020358106450821686
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	298593	0.0
fam2943	0.1525354830290471	0.1081081081081081	0.09715615592668364	0.004711111111111111	0.0037	0.002917169268864917	0.03297333333333334	0.0339	0.013443633768028974	659635	0.013080765243615112
fam1040	0.10055918719915333	0.08092502448508238	0.13119691868598043	0.0031155555555555554	0.0056	0.0032562388361458824	0.045704444444444436	0.0546	0.02785701551818226	1175229	0.015163398692810463
fam1786	0.09023549844559388	0.09743589743589744	0.06206534346592314	0.0069022222222222245	0.0079	0.005433946341242815	0.06808666666666666	0.0515	0.046839715342146704	1296109	0.023181454836131096
fam3641	0.37275453608201603	0.35844599853904463	0.13708725863580967	0.01172666666666667	0.0115	0.007009498317759029	0.031482222222222224	0.0293	0.017112221608986417	133147	0.016920842411038486
fam3986	0.10764884260507544	0.11380869702837566	0.03003232057741756	0.015177777777777776	0.0181	0.008108620622218166	0.14129777777777777	0.1503	0.07168696608291385	484098	0.048927875243664716
fam443	0.21482712354672856	0.20716112531969308	0.11754130252661124	0.013468888888888886	0.0141	0.006199025809565107	0.06803333333333332	0.0725	0.028205279253674793	503173	0.02857585619091895
fam3286	0.12399565507540018	0.04757630161579892	0.1534026762042505	0.0029488888888888893	0.0053	0.003082396053737865	0.01605777777777778	0.0135	0.016234743113169893	270976	0.006565656565656565
fam4262	0.033895998842623974	0.02097428958051421	0.031585030599155815	0.00298	0.0031	0.0019643036651416424	0.10131111111111112	0.0994	0.04240543582672297	764216	0.02793934874471787
fam355	0.12658638438806638	0.10843373493975902	0.060645789582752234	0.004373333333333333	0.0045	0.0017310754524925314	0.03774222222222222	0.0437	0.014991249134654657	397262	0.014184979804203466
fam3280	0.1897404571897957	0.16960537363560033	0.0700636581113318	0.017091666666666665	0.018349999999999998	0.006114299042226982	0.09984722222222223	0.1191	0.04293174483416872	280223	0.03782211138819618
